condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,queries_per_second,recall_at_k,repair_happened
all,True,32,0,257.49439562567454,0.05578501400304958,0.001823125736363083,0,17925.961261663095,0.9822000000000001,False
all,True,64,0,257.49439562567454,0.07216895400051726,0.001823125736363083,0,13856.373753079928,0.9944,False
all,True,128,0,257.49439562567454,0.11890036999830045,0.001823125736363083,0,8410.402760010704,0.9992000000000001,False
all,False,32,1,252.52132330277027,0.053848049996304326,0.00031724391092231125,0,18570.77461613989,0.984,False
all,False,64,1,252.52132330277027,0.07138352399488213,0.00031724391092231125,0,14008.834868837457,0.9972000000000001,False
all,False,128,1,252.52132330277027,0.11767117599811172,0.00031724391092231125,0,8498.257891261723,0.999,False
all,False,32,2,252.91389566117573,0.04918981200171402,0.0007105384275595641,0,20329.412927318263,0.983,False
all,False,64,2,252.91389566117573,0.07255782599531813,0.0007105384275595641,0,13782.110837561839,0.9967999999999999,False
all,False,128,2,252.91389566117573,0.1205610440010787,0.0007105384275595641,0,8294.553255453335,0.9994,False
all,False,32,3,254.0705578079571,0.04798422200110508,0.0004716594085745089,0,20840.183674895674,0.9832000000000001,False
all,False,64,3,254.0705578079571,0.07053565800015349,0.0004716594085745089,0,14177.2265029104,0.9946,False
all,False,128,3,254.0705578079571,0.11651307600550354,0.0004716594085745089,0,8582.72765841977,0.9985999999999999,False
all,False,32,4,252.06051845874643,0.04870805000246037,0.0003339665724737102,0,20530.487259282345,0.988,False
all,False,64,4,252.06051845874643,0.07191431400133297,0.0003339665724737102,0,13905.437518064407,0.9966000000000002,False
all,False,128,4,252.06051845874643,0.11976136999874143,0.0003339665724737102,0,8349.937880724887,0.9992000000000001,False
all,False,32,5,253.13779109022582,0.04800126400368754,0.00026102697622014756,0,20832.78473506819,0.9866000000000001,False
all,False,64,5,253.13779109022582,0.07052336599736009,0.00026102697622014756,0,14179.69754928364,0.9962000000000001,False
all,False,128,5,253.13779109022582,0.1181110319957952,0.00026102697622014756,0,8466.609622339092,0.999,False
all,False,32,6,254.87978279608686,0.04948495999997249,0.0010839715254060182,0,20208.160216772045,0.9816000000000001,False
all,False,64,6,254.87978279608686,0.0734540239936905,0.0010839715254060182,0,13613.958032930876,0.9962000000000001,False
all,False,128,6,254.87978279608686,0.12072098000498954,0.0010839715254060182,0,8283.56429809192,0.9987999999999999,False
all,True,32,7,258.73976142639964,0.04901381400122773,0.003126996242087956,40000,20402.411450268926,0.9624000000000001,True
all,True,64,7,258.73976142639964,0.07239216399466386,0.003126996242087956,40000,13813.649776703893,0.9888000000000001,True
all,True,128,7,258.73976142639964,0.118036301995744,0.003126996242087956,40000,8471.969920203504,0.998,True
all,True,32,8,266.9533287620279,0.09043035200011218,0.012697418871172584,52600,11058.23407608498,0.927,True
all,True,64,8,266.9533287620279,0.09929649400146445,0.012697418871172584,52600,10070.849027008464,0.9724,True
all,True,128,8,266.9533287620279,0.14799211399804335,0.012697418871172584,52600,6757.116801596748,0.992,True
all,True,32,9,277.0573719009158,0.10121990799962077,0.054075145259742524,65448,9879.479439990664,0.8668,True
all,True,64,9,277.0573719009158,0.1232152720040176,0.054075145259742524,65448,8115.877064065513,0.9392,True
all,True,128,9,277.0573719009158,0.17244643199956045,0.054075145259742524,65448,5798.90223534778,0.9818000000000001,True
all,True,32,10,278.7645403213019,0.13410623800155008,0.0610704424300816,71800,7456.774680298178,0.8756,True
all,True,64,10,278.7645403213019,0.1599297119973926,0.0610704424300816,71800,6252.7468317851,0.9474,True
all,True,128,10,278.7645403213019,0.2085508820018731,0.0610704424300816,71800,4794.992907251375,0.9833999999999999,True
all,True,32,11,277.6749434020019,0.1499876040033996,0.05717270424621652,78056,6667.217645381775,0.8900000000000001,True
