bridge_edges_added,bridge_nodes_found,condition,drift_detected,edges_added,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,recall_at_k,repair_happened,total_edges
0,0,bridge_only,False,0,0,257.49439562567454,0.09091705596074462,0.0001641420102581288,0.9822000000000001,False,0
0,0,bridge_only,True,0,1,252.50020923908153,0.08925571001600474,0.004642365205047325,0.9862000000000001,False,0
10592,331,bridge_only,True,15500,2,255.74954117832735,0.09012359392363578,0.0025779724896518785,0.978,True,26092
0,0,bridge_only,False,0,3,262.1860844366065,0.2191174440085888,0.0014264668737185187,0.9540000000000001,False,26092
12625,399,bridge_only,True,15500,4,268.2475391765451,0.24523714394308627,0.009101209808284615,0.9232,True,53791
12771,455,bridge_only,True,15051,5,278.67080518798696,0.5586652400670573,0.043577611789869075,0.8742000000000001,True,79468
10382,484,bridge_only,True,14822,6,293.5099731164368,1.0681556139606982,0.11092143745692293,0.8146,True,99376
5473,350,bridge_only,True,12813,7,308.490663069981,1.8030874440446496,0.2547027339226412,0.7942,True,111250
2462,295,bridge_only,True,12864,8,328.99641462670417,2.449811866041273,0.454759575120251,0.8098000000000001,True,119060
1637,238,bridge_only,True,11688,9,346.36945288988306,2.8921453719958663,0.6403258175297726,0.7834000000000001,True,124085
1733,213,bridge_only,True,12121,10,362.13167051152953,2.7635037819854915,0.6591796468376785,0.6818,True,132532
1088,217,bridge_only,True,10561,11,366.4947982723202,3.247091159923002,0.6278880276727432,0.7206,True,137899
688,213,bridge_only,True,9109,12,366.06005803110236,3.564486593939364,0.6780338425127533,0.779,True,140575
881,237,bridge_only,True,9572,13,369.9717771965618,3.57181301608216,0.6816842958261125,0.7524000000000001,True,142838
722,205,bridge_only,True,8247,14,369.4657706285007,3.7302478359779343,0.6174093108508032,0.7642,True,144387
720,182,bridge_only,True,7477,15,372.30818756838386,3.7713258620351553,0.6428464555817068,0.775,True,145601
833,195,bridge_only,True,8922,16,371.96412064690213,3.8577730959514156,0.6439374175674758,0.7672,True,147296
705,182,bridge_only,True,8266,17,369.6402131237101,3.7841789800440893,0.6171183352354361,0.7896,True,148138
832,175,bridge_only,True,8369,18,374.4820840251265,3.904550627921708,0.6544806307507975,0.785,True,149191
705,181,bridge_only,True,8266,19,374.25722096996554,3.913871032069437,0.6402177884667225,0.772,True,150003
1041,170,bridge_only,True,7562,20,375.7985104726176,3.9221069500781596,0.6252044764529253,0.7664000000000001,True,150675
1010,173,bridge_only,True,8682,21,369.9429979492537,3.883354114019312,0.6483350433950025,0.773,True,151535
865,173,bridge_only,True,8402,22,370.33264532595,4.071059409994632,0.6589364731580482,0.793,True,151872
1184,151,bridge_only,True,7706,23,374.60619663960466,4.00930794805754,0.6586798181308952,0.7807999999999999,True,152384
1041,136,bridge_only,True,7681,24,371.6467177665542,4.014236549963243,0.6371067076356767,0.7916000000000001,True,152729
1010,149,bridge_only,True,7200,25,369.1330286357402,4.059220636030659,0.6253131139355197,0.7854000000000001,True,153158
833,167,bridge_only,True,9048,26,374.36589523651776,4.176593331969343,0.6144945591869001,0.8042,True,154191
1026,138,bridge_only,True,7582,27,369.55104691488657,4.138475996092893,0.641091194462766,0.7966,True,154523
1219,143,bridge_only,True,7404,28,373.2326329810524,4.057379827951081,0.6178936121538094,0.8086000000000001,True,154699
1154,163,bridge_only,True,8684,29,371.1039130269859,4.002226753975265,0.6129593362730508,0.773,True,155601
1090,153,bridge_only,True,7861,30,374.89118958178165,3.96610168996267,0.6548942039174275,0.7658,True,155907
1027,156,bridge_only,True,8615,31,374.1074564152881,4.0007419099565595,0.6065291044162834,0.7631999999999999,True,156403
1330,156,bridge_only,True,8319,32,374.68283224917343,4.034043479943648,0.6349909515747421,0.7836000000000001,True,156696
993,142,bridge_only,True,7730,33,372.7198689151744,4.098056351998821,0.6137001866707557,0.7842,True,156907
1105,145,bridge_only,True,8560,34,376.4598360526587,4.092563445912674,0.6646124318461807,0.7736000000000001,True,157366
1025,156,bridge_only,True,9236,35,374.13812421423626,4.0651346819940954,0.6388458990507337,0.78,True,158123
896,118,bridge_only,True,7327,36,374.09942146590504,4.1267803240334615,0.6602687959604437,0.7964000000000001,True,158219
912,125,bridge_only,True,7116,37,370.56807963771104,3.997455453965813,0.6104941187036199,0.776,True,158283
945,123,bridge_only,True,8455,38,370.0443743090525,4.0271960500394925,0.6594904869476053,0.7747999999999999,True,158490
1187,135,bridge_only,True,7874,39,371.89946779921985,4.056617903988808,0.6324456752970932,0.7744000000000001,True,158683
976,125,bridge_only,True,7565,40,372.7685451171454,4.159256372018717,0.6131835749524831,0.7984000000000001,True,158795
1024,111,bridge_only,True,7325,41,372.564619020086,4.122516406001523,0.6450028243225854,0.785,True,158940
1088,121,bridge_only,True,6864,42,368.97303762241927,4.083834047894925,0.5934252706585392,0.8044000000000001,True,159099
1153,135,bridge_only,True,8588,43,373.8683408819857,4.068635618081316,0.6717876358709418,0.7787999999999999,True,159417
1424,133,bridge_only,True,7490,44,378.14248924352785,4.238480232073925,0.6363440493693232,0.8056,True,159577
1409,136,bridge_only,True,8214,45,373.8831959220088,4.008676283992827,0.638839364529638,0.7844,True,159758
929,128,bridge_only,True,8009,46,370.99524209487544,4.117959604016505,0.6467627350363957,0.7956000000000001,True,159837
1346,116,bridge_only,True,7119,47,377.46393433279394,4.1442646839423105,0.6462778674330231,0.7778,True,159869
1409,121,bridge_only,True,7031,48,369.2416302552306,4.099965561996214,0.6136958570350607,0.7954,True,159996
1251,149,bridge_only,True,9252,49,371.3644357007077,4.142819697968662,0.6322683090895921,0.7827999999999999,True,160865
1457,146,bridge_only,True,8342,50,373.9658231859807,4.145167166017927,0.6153620162460871,0.781,True,161073
1154,116,bridge_only,True,7813,51,374.27238287421306,4.313252176041715,0.6169339222190724,0.8088000000000001,True,161122
912,105,bridge_only,True,7744,52,372.15521575388766,4.123078046017326,0.6462069047287762,0.7858,True,161235
1168,123,bridge_only,True,8747,53,372.67098219021426,4.067058430053294,0.6259756313014044,0.7622000000000001,True,161301
1184,105,bridge_only,True,7614,54,376.2101163476599,4.202384827891365,0.6095310137860945,0.7842,True,161626
1185,110,bridge_only,True,7073,55,376.70418882741825,4.261762680020183,0.6318587957022822,0.7814000000000001,True,161706
1253,124,bridge_only,True,8118,56,374.853905876852,4.101066965959035,0.6450489393662391,0.7894,True,161800
1152,112,bridge_only,True,7764,57,373.74632259998276,4.141239549964666,0.6236693704789533,0.7994000000000001,True,161930
1328,122,bridge_only,True,8492,58,380.3198368990929,4.278994757914916,0.6375423766905793,0.8088,True,162043
1345,124,bridge_only,True,7923,59,373.0435896047216,4.217230578069575,0.640998370427343,0.8042,True,162075
