condition,epoch,ef,recall,edge_count,drift_detected,mmd_squared,mean_eh,repair_count,mean_latency_ms
static,0,32,0.8252,0,False,0.0,0.0,0,0.08961878414265811
static,0,64,0.9062,0,False,0.0,0.0,0,0.14783600415103137
static,0,128,0.9576000000000001,0,False,0.0,0.0,0,0.26901559182442725
static,1,32,0.8125999999999999,0,False,0.0,0.0,0,0.09075817209668458
static,1,64,0.8972,0,False,0.0,0.0,0,0.20099839800968766
static,1,128,0.9536,0,False,0.0,0.0,0,0.32025232585147023
static,2,32,0.8218,0,False,0.0,0.0,0,0.09101169602945447
static,2,64,0.9047999999999999,0,False,0.0,0.0,0,0.15380574786104262
static,2,128,0.952,0,False,0.0,0.0,0,0.27399848005734384
static,3,32,0.8132,0,False,0.0,0.0,0,0.08753346791490912
static,3,64,0.8974000000000001,0,False,0.0,0.0,0,0.15115918591618538
static,3,128,0.9522,0,False,0.0,0.0,0,0.27246756199747324
static,4,32,0.8072,0,False,0.0,0.0,0,0.08925547008402646
static,4,64,0.8972,0,False,0.0,0.0,0,0.15181583212688565
static,4,128,0.9542,0,False,0.0,0.0,0,0.2823157240636647
static,5,32,0.8146000000000001,0,False,0.0,0.0,0,0.09123686398379505
static,5,64,0.9032,0,False,0.0,0.0,0,0.1558797499164939
static,5,128,0.9568,0,False,0.0,0.0,0,0.2814510881435126
static,6,32,0.8258,0,False,0.0,0.0,0,0.08717573992908001
static,6,64,0.907,0,False,0.0,0.0,0,0.14853623206727207
static,6,128,0.9566,0,False,0.0,0.0,0,0.27350916992872953
static,7,32,0.8284000000000001,0,False,0.0,0.0,0,0.08838413399644196
static,7,64,0.9054,0,False,0.0,0.0,0,0.15043242019601166
static,7,128,0.953,0,False,0.0,0.0,0,0.27815807797014713
static,8,32,0.823,0,False,0.0,0.0,0,0.09307187213562429
static,8,64,0.9068,0,False,0.0,0.0,0,0.15168830403126776
static,8,128,0.9522,0,False,0.0,0.0,0,0.28167807194404304
static,9,32,0.817,0,False,0.0,0.0,0,0.08897345187142491
static,9,64,0.908,0,False,0.0,0.0,0,0.1496819059830159
static,9,128,0.9586,0,False,0.0,0.0,0,0.2710356779862195
static,10,32,0.8084000000000001,0,False,0.0,0.0,0,0.08828090806491673
static,10,64,0.9026000000000001,0,False,0.0,0.0,0,0.15974057000130415
static,10,128,0.9554,0,False,0.0,0.0,0,0.36757446406409144
static,11,32,0.8373999999999999,0,False,0.0,0.0,0,0.08963023801334202
static,11,64,0.9122,0,False,0.0,0.0,0,0.15513244993053377
static,11,128,0.9562,0,False,0.0,0.0,0,0.27632349194027483
static,12,32,0.8208,0,False,0.0,0.0,0,0.09232792188413441
static,12,64,0.9047999999999999,0,False,0.0,0.0,0,0.1515641261357814
static,12,128,0.9542,0,False,0.0,0.0,0,0.2888960181735456
static,13,32,0.22,0,False,0.0,0.0,0,0.10220472211949527
static,13,64,0.3092,0,False,0.0,0.0,0,0.17277404805645347
static,13,128,0.43539999999999995,0,False,0.0,0.0,0,0.3173104759771377
static,14,32,0.2026,0,False,0.0,0.0,0,0.10371398786082864
static,14,64,0.311,0,False,0.0,0.0,0,0.1687553881201893
static,14,128,0.44060000000000005,0,False,0.0,0.0,0,0.32268028403632343
static,15,32,0.2082,0,False,0.0,0.0,0,0.10613244795240462
static,15,64,0.312,0,False,0.0,0.0,0,0.1760877319611609
static,15,128,0.442,0,False,0.0,0.0,0,0.3145815038587898
static,16,32,0.20440000000000003,0,False,0.0,0.0,0,0.10892399796284735
static,16,64,0.309,0,False,0.0,0.0,0,0.1813809941522777
static,16,128,0.42860000000000004,0,False,0.0,0.0,0,0.328410750022158
static,17,32,0.2154,0,False,0.0,0.0,0,0.10228503798134625
static,17,64,0.32880000000000004,0,False,0.0,0.0,0,0.17444883985444903
static,17,128,0.436,0,False,0.0,0.0,0,0.31143529806286097
static,18,32,0.2078,0,False,0.0,0.0,0,0.10576648195274174
static,18,64,0.3158,0,False,0.0,0.0,0,0.22723939991556108
static,18,128,0.43160000000000004,0,False,0.0,0.0,0,0.379768589977175
static,19,32,0.18919999999999998,0,False,0.0,0.0,0,0.1064637741073966
static,19,64,0.28820000000000007,0,False,0.0,0.0,0,0.18000777601264417
static,19,128,0.40520000000000006,0,False,0.0,0.0,0,0.3119130120612681
static,20,32,0.2014,0,False,0.0,0.0,0,0.10226911399513483
static,20,64,0.3108,0,False,0.0,0.0,0,0.1732025919482112
static,20,128,0.4292,0,False,0.0,0.0,0,0.3011942100711167
static,21,32,0.2184,0,False,0.0,0.0,0,0.09999424801208079
static,21,64,0.31720000000000004,0,False,0.0,0.0,0,0.17882031807675958
static,21,128,0.43379999999999996,0,False,0.0,0.0,0,0.3208366399630904
static,22,32,0.2144,0,False,0.0,0.0,0,0.10507139004766941
static,22,64,0.31439999999999996,0,False,0.0,0.0,0,0.17979357205331326
static,22,128,0.4338,0,False,0.0,0.0,0,0.314928239909932
static,23,32,0.2072,0,False,0.0,0.0,0,0.1080927059520036
static,23,64,0.307,0,False,0.0,0.0,0,0.18061280599795282
static,23,128,0.42040000000000005,0,False,0.0,0.0,0,0.31861109007149935
static,24,32,0.21359999999999998,0,False,0.0,0.0,0,0.11002017394639552
static,24,64,0.31320000000000003,0,False,0.0,0.0,0,0.17998353787697852
static,24,128,0.426,0,False,0.0,0.0,0,0.31629656394943595
adaptive_current,0,32,0.8252,0,False,0.0009175472951439456,0.6377537427553123,0,0.10880144988186657
adaptive_current,0,64,0.9062,0,False,0.0009175472951439456,0.6377537427553123,0,0.17380932811647654
adaptive_current,0,128,0.9576000000000001,0,False,0.0009175472951439456,0.6377537427553123,0,0.28995748003944755
adaptive_current,1,32,0.8125999999999999,0,False,0.001298910119841309,0.6514364696148023,0,0.10439952183514833
adaptive_current,1,64,0.8972,0,False,0.001298910119841309,0.6514364696148023,0,0.16582959005609155
adaptive_current,1,128,0.9536,0,False,0.001298910119841309,0.6514364696148023,0,0.2903404859825969
adaptive_current,2,32,0.8218,0,False,0.00013804658628063462,0.649401207606095,0,0.10584913799539208
adaptive_current,2,64,0.9047999999999999,0,False,0.00013804658628063462,0.649401207606095,0,0.1695956881158054
adaptive_current,2,128,0.952,0,False,0.00013804658628063462,0.649401207606095,0,0.30138037190772593
adaptive_current,3,32,0.8132,0,False,0.0018135362345104832,0.6592792047145115,0,0.10546501190401614
adaptive_current,3,64,0.8974000000000001,0,False,0.0018135362345104832,0.6592792047145115,0,0.17203997797332704
adaptive_current,3,128,0.9522,0,False,0.0018135362345104832,0.6592792047145115,0,0.29811950004659593
adaptive_current,4,32,0.8072,0,False,0.0004302752530189595,0.6498672813940993,0,0.10833575204014778
adaptive_current,4,64,0.8972,0,False,0.0004302752530189595,0.6498672813940993,0,0.169614824000746
adaptive_current,4,128,0.9542,0,False,0.0004302752530189595,0.6498672813940993,0,0.3004896198399365
adaptive_current,5,32,0.8146000000000001,65776,True,0.0021129510837286643,0.6568614385740309,1,0.10668094200082123
adaptive_current,5,64,0.9032,65776,True,0.0021129510837286643,0.6568614385740309,1,0.17251699208281934
adaptive_current,5,128,0.9568,65776,True,0.0021129510837286643,0.6568614385740309,1,0.2979143080301583
adaptive_current,6,32,0.8264,129951,True,0.0026722481726322383,0.6368819442210847,1,0.11032970994710922
adaptive_current,6,64,0.907,129951,True,0.0026722481726322383,0.6368819442210847,1,0.17338259983807802
adaptive_current,6,128,0.9566,129951,True,0.0026722481726322383,0.6368819442210847,1,0.2942635880317539
adaptive_current,7,32,0.8292,129951,False,0.0008116721906528102,0.6430530013348145,0,0.12266179011203349
adaptive_current,7,64,0.9056000000000001,129951,False,0.0008116721906528102,0.6430530013348145,0,0.1853288800921291
adaptive_current,7,128,0.953,129951,False,0.0008116721906528102,0.6430530013348145,0,0.3119933900889009
adaptive_current,8,32,0.8255999999999999,129951,False,0.0009351381001183273,0.6397580213471933,0,0.12912849406711757
adaptive_current,8,64,0.9074000000000001,129951,False,0.0009351381001183273,0.6397580213471933,0,0.1888241358101368
adaptive_current,8,128,0.9524000000000001,129951,False,0.0009351381001183273,0.6397580213471933,0,0.31898292410187423
adaptive_current,9,32,0.8202,129951,False,0.0003279196396757032,0.6488978384929089,0,0.12331396387889981
adaptive_current,9,64,0.9086000000000001,129951,False,0.0003279196396757032,0.6488978384929089,0,0.18586818990297616
adaptive_current,9,128,0.9586,129951,False,0.0003279196396757032,0.6488978384929089,0,0.3089984739199281
adaptive_current,10,32,0.8116,129951,False,0.0018092977740549847,0.6565156890393113,0,0.11935091414488852
adaptive_current,10,64,0.9032,129951,False,0.0018092977740549847,0.6565156890393113,0,0.18217696202918887
adaptive_current,10,128,0.9556,129951,False,0.0018092977740549847,0.6565156890393113,0,0.3096322079654783
adaptive_current,11,32,0.8412000000000001,129951,False,0.0008225475116218392,0.6465031012993918,0,0.12509839795529842
adaptive_current,11,64,0.9134000000000001,129951,False,0.0008225475116218392,0.6465031012993918,0,0.22275520209223032
adaptive_current,11,128,0.9566,129951,False,0.0008225475116218392,0.6465031012993918,0,0.35983647615648806
adaptive_current,12,32,0.8246,129951,False,0.001741562626434207,0.6476835929360846,0,0.1342067620716989
