condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,n_index_rebuilds,per_query_recall_std,queries_per_second,recall_at_k,repair_happened
static,False,32,0,0.0,0.11896910995710641,0.0,0,0,0.1465620687626918,8405.54325707357,0.9634000000000001,False
static,False,64,0,0.0,0.1885999699588865,0.0,0,0,0.11301964431018176,5302.227779877129,0.9784,False
static,False,128,0,0.0,0.32187440001871437,0.0,0,0,0.06328696548263316,3106.8019076442806,0.9926,False
static,False,32,1,0.0,0.11489719606470317,0.0,0,0,0.1705608395851756,8703.432583653828,0.957,False
static,False,64,1,0.0,0.18754235201049596,0.0,0,0,0.10660037523386114,5332.128925972061,0.9806000000000001,False
static,False,128,1,0.0,0.3247170160757378,0.0,0,0,0.07005826146858059,3079.60454947873,0.9927999999999999,False
static,False,32,2,0.0,0.11724559392314404,0.0,0,0,0.15483978816828703,8529.105159000794,0.9592,False
static,False,64,2,0.0,0.18874211004003882,0.0,0,0,0.10257699547169434,5298.234717137924,0.9785999999999999,False
static,False,128,2,0.0,0.32733805396128446,0.0,0,0,0.07146775496683802,3054.945759891008,0.9894,False
static,False,32,3,0.0,0.11370591807644814,0.0,0,0,0.1719767426136453,8794.616998982128,0.9520000000000001,False
static,False,64,3,0.0,0.1859588340157643,0.0,0,0,0.11837888325203949,5377.534255324633,0.9762000000000001,False
static,False,128,3,0.0,0.3145177299156785,0.0,0,0,0.10235995310667154,3179.4709960169744,0.9838,False
static,False,32,4,0.0,0.11481923598330468,0.0,0,0,0.16155197306130306,8709.342049144145,0.9564,False
static,False,64,4,0.0,0.18795280996710062,0.0,0,0,0.10359517363275182,5320.484435295438,0.9798000000000001,False
static,False,128,4,0.0,0.32812573201954365,0.0,0,0,0.08968834929911466,3047.6122486499735,0.986,False
static,False,32,5,0.0,0.11779063194990158,0.0,0,0,0.1800337746090994,8489.639485297248,0.9472,False
static,False,64,5,0.0,0.19021504803095013,0.0,0,0,0.1170599846232691,5257.207620278753,0.9735999999999999,False
static,False,128,5,0.0,0.3309111259877682,0.0,0,0,0.06333908745790391,3021.9594370391887,0.9895999999999999,False
static,False,32,6,0.0,0.12021818803623319,0.0,0,0,0.18494312639295354,8318.208886151277,0.9402,False
static,False,64,6,0.0,0.19149140594527125,0.0,0,0,0.14629066955892983,5222.166473025963,0.9648000000000002,False
static,False,128,6,0.0,0.32953500805888325,0.0,0,0,0.1243174967572948,3034.5789538127437,0.9754,False
static,False,32,7,0.0,0.11707677191589028,0.0,0,0,0.2054079842654613,8541.403932100342,0.9234000000000001,False
static,False,64,7,0.0,0.19005062989890575,0.0,0,0,0.16952864064812176,5261.755778088887,0.9502,False
static,False,128,7,0.0,0.32773627201095223,0.0,0,0,0.1346811048365731,3051.233828541817,0.969,False
static,False,32,8,0.0,0.11834859196096659,0.0,0,0,0.21576385239423215,8449.61468007847,0.9186,False
static,False,64,8,0.0,0.19143426592927426,0.0,0,0,0.17371655073711315,5223.725204814961,0.9516,False
static,False,128,8,0.0,0.3311450859764591,0.0,0,0,0.16211107303327557,3019.824368074994,0.96,False
static,False,32,9,0.0,0.11877425003331155,0.0,0,0,0.22044273632850778,8419.33331273015,0.915,False
static,False,64,9,0.0,0.19028644799254835,0.0,0,0,0.14660027285104213,5255.234992032434,0.9594,False
static,False,128,9,0.0,0.3262906139716506,0.0,0,0,0.12931140707609673,3064.7525769370855,0.9683999999999999,False
static,False,32,10,0.0,0.11888082989025861,0.0,0,0,0.20115705307048024,8411.785154285355,0.9172,False
static,False,64,10,0.0,0.18837679200805724,0.0,0,0,0.1666098436467666,5308.509553327716,0.9454000000000001,False
static,False,128,10,0.0,0.32355291803833097,0.0,0,0,0.14142404321755195,3090.6845348912325,0.9618000000000001,False
static,False,32,11,0.0,0.12020898994524032,0.0,0,0,0.21567113854199407,8318.845374672372,0.9185999999999999,False
static,False,64,11,0.0,0.19125340599566698,0.0,0,0,0.16386958229030793,5228.665051971184,0.9526,False
