condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,per_query_recall_std,queries_per_second,recall_at_k,repair_happened,schedule,top_n
adaptive_mconj48,True,32,0,0.6381551105792523,0.12982432008720934,0.0037283318505643777,0,0.1465620687626918,7702.717020418448,0.9634000000000001,False,gradual,1000
adaptive_mconj48,True,64,0,0.6381551105792523,0.1994217000901699,0.0037283318505643777,0,0.11301964431018176,5014.4994228203,0.9784,False,gradual,1000
adaptive_mconj48,True,128,0,0.6381551105792523,0.33859020401723683,0.0037283318505643777,0,0.06328696548263316,2953.422716119372,0.9926,False,gradual,1000
adaptive_mconj48,False,32,1,0.6658591437589316,0.1314454721286893,0.0007921174281912862,0,0.1705608395851756,7607.717358426529,0.957,False,gradual,1000
adaptive_mconj48,False,64,1,0.6658591437589316,0.2079560060519725,0.0007921174281912862,0,0.10660037523386114,4808.709394765349,0.9806000000000001,False,gradual,1000
adaptive_mconj48,False,128,1,0.6658591437589316,0.34318602993153036,0.0007921174281912862,0,0.07005826146858059,2913.871523848193,0.9927999999999999,False,gradual,1000
adaptive_mconj48,False,32,2,0.6666914425105751,0.1301025659777224,0.0016899184135683643,0,0.15483978816828703,7686.243484015765,0.9592,False,gradual,1000
adaptive_mconj48,False,64,2,0.6666914425105751,0.20222163014113903,0.0016899184135683643,0,0.10257699547169434,4945.0694235926085,0.9785999999999999,False,gradual,1000
adaptive_mconj48,False,128,2,0.6666914425105751,0.3459386080503464,0.0016899184135683643,0,0.07146775496683802,2890.686314649403,0.9894,False,gradual,1000
adaptive_mconj48,False,32,3,0.6553663415808973,0.13054815190844238,0.00023017875179380683,0,0.1719767426136453,7660.008857891242,0.9520000000000001,False,gradual,1000
adaptive_mconj48,False,64,3,0.6553663415808973,0.20293889986351132,0.00023017875179380683,0,0.11837888325203949,4927.591509920278,0.9762000000000001,False,gradual,1000
adaptive_mconj48,False,128,3,0.6553663415808973,0.34576917393133044,0.00023017875179380683,0,0.10235995310667154,2892.1028113356324,0.9838,False,gradual,1000
adaptive_mconj48,False,32,4,0.6609581251859276,0.12974581588059664,0.0005957100233506077,0,0.16155197306130306,7707.377638445673,0.9564,False,gradual,1000
adaptive_mconj48,False,64,4,0.6609581251859276,0.2015489221084863,0.0005957100233506077,0,0.10359517363275182,4961.574537529589,0.9798000000000001,False,gradual,1000
adaptive_mconj48,False,128,4,0.6609581251859276,0.34502829797565937,0.0005957100233506077,0,0.08968834929911466,2898.3129959692374,0.986,False,gradual,1000
adaptive_mconj48,True,32,5,0.6738988235528692,0.14641465805470943,0.005007853583473061,15505,0.17792976142287156,6829.917258874034,0.949,True,gradual,1000
adaptive_mconj48,True,64,5,0.6738988235528692,0.23111490393057466,0.005007853583473061,15505,0.12206621154111405,4326.852067923725,0.9728000000000001,True,gradual,1000
adaptive_mconj48,True,128,5,0.6738988235528692,0.35745038208551705,0.005007853583473061,15505,0.07749993548384412,2797.5910786990244,0.9875999999999999,True,gradual,1000
adaptive_mconj48,True,32,6,0.6765601420943708,0.15331747592426836,0.0063726128054855955,30184,0.18079944690180885,6522.413664662423,0.9465999999999999,True,gradual,1000
adaptive_mconj48,True,64,6,0.6765601420943708,0.2221541500184685,0.0063726128054855955,30184,0.15565847230395138,4501.3788845126965,0.9638,True,gradual,1000
adaptive_mconj48,True,128,6,0.6765601420943708,0.3675098780076951,0.0063726128054855955,30184,0.11743662120480136,2721.0152973876297,0.9808000000000001,True,gradual,1000
adaptive_mconj48,True,32,7,0.6977646160104959,0.17573662009090185,0.01663942434446567,42729,0.1904600745563227,5690.333633836466,0.9364,True,gradual,1000
adaptive_mconj48,True,64,7,0.6977646160104959,0.2616916298866272,0.01663942434446567,42729,0.15924559648542877,3821.2914965344153,0.9578000000000001,True,gradual,1000
adaptive_mconj48,True,128,7,0.6977646160104959,0.40395325794816017,0.01663942434446567,42729,0.12858786879017786,2475.5339394448733,0.9745999999999999,True,gradual,1000
adaptive_mconj48,True,32,8,0.7105764019664016,0.17840888001956046,0.03481512850209764,50624,0.1769857621392184,5605.102166945735,0.9401999999999999,True,gradual,1000
adaptive_mconj48,True,64,8,0.7105764019664016,0.2423305520787835,0.03481512850209764,50624,0.15813968508884796,4126.594816137308,0.9572,True,gradual,1000
adaptive_mconj48,True,128,8,0.7105764019664016,0.38921566400676966,0.03481512850209764,50624,0.13860505041303509,2569.269668403189,0.9692000000000001,True,gradual,1000
adaptive_mconj48,True,32,9,0.7124129052172447,0.17820913600735366,0.03816135692931792,58398,0.2039866662309083,5611.384592306961,0.9288,True,gradual,1000
adaptive_mconj48,True,64,9,0.7124129052172447,0.26507627009414136,0.03816135692931792,58398,0.15122050125561678,3772.4991363612135,0.9606,True,gradual,1000
adaptive_mconj48,True,128,9,0.7124129052172447,0.4346415880136192,0.03816135692931792,58398,0.11732007500849972,2300.7462414495544,0.974,True,gradual,1000
adaptive_mconj48,True,32,10,0.7077872750588613,0.18728443002328277,0.0326742694113488,64947,0.21533926720410285,5339.4721594084585,0.923,True,gradual,1000
adaptive_mconj48,True,64,10,0.7077872750588613,0.26877310196869075,0.0326742694113488,64947,0.18125992386625348,3720.610405860068,0.9478000000000001,True,gradual,1000
adaptive_mconj48,True,128,10,0.7077872750588613,0.42607333790510893,0.0326742694113488,64947,0.15527253459643145,2347.013790904491,0.9638,True,gradual,1000
adaptive_mconj48,True,32,11,0.7148835481558616,0.19934403616935015,0.038521007810586455,70375,0.1973758850518472,5016.453058823706,0.9326,True,gradual,1000
adaptive_mconj48,True,64,11,0.7148835481558616,0.2741620419546962,0.038521007810586455,70375,0.15206564372007242,3647.477939944891,0.9598,True,gradual,1000
adaptive_mconj48,True,128,11,0.7148835481558616,0.40389920002780855,0.038521007810586455,70375,0.1362403758068804,2475.8652652224855,0.9684,True,gradual,1000
adaptive_mconj48,True,32,12,0.706633748358972,0.1984254859853536,0.02826604026906181,74780,0.204264142717218,5039.675196127846,0.9296000000000001,True,gradual,1000
adaptive_mconj48,True,64,12,0.706633748358972,0.2814111339394003,0.02826604026906181,74780,0.1490603904462886,3553.5196706728107,0.959,True,gradual,1000
adaptive_mconj48,True,128,12,0.706633748358972,0.4065875259693712,0.02826604026906181,74780,0.1364234583933423,2459.4950315207934,0.9692000000000001,True,gradual,1000
adaptive_mconj48,True,32,13,0.7042790569808766,0.20536406408064067,0.026531202581483095,79229,0.19472349627099447,4869.401102265527,0.9326,True,gradual,1000
adaptive_mconj48,True,64,13,0.7042790569808766,0.2912084481213242,0.026531202581483095,79229,0.1719743004056129,3433.9663098763426,0.9522,True,gradual,1000
adaptive_mconj48,True,128,13,0.7042790569808766,0.4395061619579792,0.026531202581483095,79229,0.15323498295102198,2275.2809552090175,0.9648,True,gradual,1000
adaptive_mconj48,True,32,14,0.7212875519692402,0.2078585079871118,0.04321028812803768,81800,0.20457604942905705,4810.964966909147,0.9308,True,gradual,1000
adaptive_mconj48,True,64,14,0.7212875519692402,0.29467633808963,0.04321028812803768,81800,0.14715488439056312,3393.553776604336,0.9612,True,gradual,1000
