condition,drift_detected,ef_search,epoch_idx,mean_eh,mean_latency_ms,mmd_squared,n_conjugate_edges,per_query_recall_std,queries_per_second,recall_at_k,repair_happened,schedule,top_n
static,False,32,0,0.0,0.12576003395952284,0.0,0,0.1465620687626918,7951.651796801043,0.9634000000000001,False,sudden,500
static,False,64,0,0.0,0.1804828920867294,0.0,0,0.11301964431018176,5540.691355496781,0.9784,False,sudden,500
static,False,128,0,0.0,0.31095622200518847,0.0,0,0.06328696548263316,3215.886768727575,0.9926,False,sudden,500
static,False,32,1,0.0,0.1124182918574661,0.0,0,0.1705608395851756,8895.349533222661,0.957,False,sudden,500
static,False,64,1,0.0,0.18496501189656556,0.0,0,0.10660037523386114,5406.427895450902,0.9806000000000001,False,sudden,500
static,False,128,1,0.0,0.32201862800866365,0.0,0,0.07005826146858059,3105.4104111427237,0.9927999999999999,False,sudden,500
static,False,32,2,0.0,0.11440918198786676,0.0,0,0.15483978816828703,8740.55720550516,0.9592,False,sudden,500
static,False,64,2,0.0,0.18553198408335447,0.0,0,0.10257699547169434,5389.906246842739,0.9785999999999999,False,sudden,500
static,False,128,2,0.0,0.3178561001550406,0.0,0,0.07146775496683802,3146.0777361586897,0.9894,False,sudden,500
static,False,32,3,0.0,0.11200385610572994,0.0,0,0.1719767426136453,8928.264032767007,0.9520000000000001,False,sudden,500
static,False,64,3,0.0,0.18118870607577264,0.0,0,0.11837888325203949,5519.107794620502,0.9762000000000001,False,sudden,500
static,False,128,3,0.0,0.30976584809832275,0.0,0,0.10235995310667154,3228.2448376381058,0.9838,False,sudden,500
static,False,32,4,0.0,0.11343461996875703,0.0,0,0.16155197306130306,8815.650815204626,0.9564,False,sudden,500
static,False,64,4,0.0,0.18481555208563805,0.0,0,0.10359517363275182,5410.800058301531,0.9798000000000001,False,sudden,500
static,False,128,4,0.0,0.31643287814222276,0.0,0,0.08968834929911466,3160.2278684534913,0.986,False,sudden,500
static,False,32,5,0.0,0.11319129401817918,0.0,0,0.17344267064364524,8834.60171273768,0.9542,False,sudden,500
static,False,64,5,0.0,0.18554804613813758,0.0,0,0.11310366925966638,5389.439667047293,0.9766000000000001,False,sudden,500
static,False,128,5,0.0,0.3188817861955613,0.0,0,0.0650218424838915,3135.9583497400754,0.9904,False,sudden,500
static,False,32,6,0.0,0.11325470986776054,0.0,0,0.15337522616120247,8829.654865282237,0.9598,False,sudden,500
static,False,64,6,0.0,0.18356078816577792,0.0,0,0.12079917218259403,5447.786588804997,0.9766,False,sudden,500
static,False,128,6,0.0,0.3145763617940247,0.0,0,0.08643587218279226,3178.8783947306583,0.9877999999999999,False,sudden,500
static,False,32,7,0.0,0.11204073205590248,0.0,0,0.1730276278517393,8925.325474498437,0.9512,False,sudden,500
static,False,64,7,0.0,0.18192008207552135,0.0,0,0.15697273648630836,5496.919243829635,0.9634000000000001,False,sudden,500
static,False,128,7,0.0,0.33651959197595716,0.0,0,0.12467493733706067,2971.5951874547786,0.9795999999999999,False,sudden,500
static,False,32,8,0.0,0.11710309190675616,0.0,0,0.18038669574001293,8539.484173451665,0.9508,False,sudden,500
static,False,64,8,0.0,0.18460630998015404,0.0,0,0.14077997016621363,5416.932932073147,0.971,False,sudden,500
static,False,128,8,0.0,0.3179385121911764,0.0,0,0.11659348180751786,3145.262249320397,0.9813999999999999,False,sudden,500
static,False,32,9,0.0,0.11500241188332438,0.0,0,0.18777124380479565,8695.469804707654,0.9486,False,sudden,500
static,False,64,9,0.0,0.18296196986921132,0.0,0,0.13232248486179513,5465.616711029296,0.9726,False,sudden,500
static,False,128,9,0.0,0.3157110020983964,0.0,0,0.11150802661692118,3167.4537578780164,0.9814,False,sudden,500
static,False,32,10,0.0,0.11574524198658764,0.0,0,0.1400634142094216,8639.663996865445,0.9668,False,sudden,500
static,False,64,10,0.0,0.1840132181532681,0.0,0,0.11377504119972885,5434.3922139717215,0.9782000000000001,False,sudden,500
static,False,128,10,0.0,0.31535983993671834,0.0,0,0.07389181280764466,3170.9808078310316,0.99,False,sudden,500
