condition,epoch,ef,recall,edge_count,lN_attempts,l0_edge_count,lN_edge_count
static,0,32,0.9822000000000001,0,,,
static,0,64,0.9944,0,,,
static,0,128,0.9992000000000001,0,,,
static,1,32,0.984,0,,,
static,1,64,0.9972000000000001,0,,,
static,1,128,0.999,0,,,
static,2,32,0.983,0,,,
static,2,64,0.9967999999999999,0,,,
static,2,128,0.9994,0,,,
static,3,32,0.9832000000000001,0,,,
static,3,64,0.9946,0,,,
static,3,128,0.9985999999999999,0,,,
static,4,32,0.988,0,,,
static,4,64,0.9966000000000002,0,,,
static,4,128,0.9992000000000001,0,,,
static,5,32,0.9866000000000001,0,,,
static,5,64,0.9962000000000001,0,,,
static,5,128,0.999,0,,,
static,6,32,0.9816000000000001,0,,,
static,6,64,0.9962000000000001,0,,,
static,6,128,0.9987999999999999,0,,,
static,7,32,0.9624000000000001,0,,,
static,7,64,0.9888000000000001,0,,,
static,7,128,0.998,0,,,
static,8,32,0.9262,0,,,
static,8,64,0.9724,0,,,
static,8,128,0.992,0,,,
static,9,32,0.8652000000000001,0,,,
static,9,64,0.9388000000000002,0,,,
static,9,128,0.9818000000000001,0,,,
static,10,32,0.8644000000000001,0,,,
static,10,64,0.9424000000000001,0,,,
static,10,128,0.9816000000000001,0,,,
static,11,32,0.879,0,,,
static,11,64,0.9496000000000001,0,,,
static,11,128,0.9838,0,,,
static,12,32,0.8666,0,,,
static,12,64,0.9442,0,,,
static,12,128,0.9848000000000001,0,,,
static,13,32,0.8732000000000001,0,,,
static,13,64,0.949,0,,,
static,13,128,0.9824,0,,,
static,14,32,0.8656,0,,,
static,14,64,0.9472,0,,,
static,14,128,0.9834,0,,,
static,15,32,0.8746,0,,,
static,15,64,0.9438000000000001,0,,,
static,15,128,0.9828000000000001,0,,,
static,16,32,0.7832,0,,,
static,16,64,0.889,0,,,
static,16,128,0.956,0,,,
static,17,32,0.6826,0,,,
static,17,64,0.8146000000000001,0,,,
static,17,128,0.9102,0,,,
static,18,32,0.5905999999999999,0,,,
static,18,64,0.7298000000000001,0,,,
static,18,128,0.8396,0,,,
static,19,32,0.5032,0,,,
static,19,64,0.6418,0,,,
static,19,128,0.7557999999999999,0,,,
static,20,32,0.4772,0,,,
static,20,64,0.6142,0,,,
static,20,128,0.7304,0,,,
static,21,32,0.514,0,,,
static,21,64,0.6476000000000001,0,,,
static,21,128,0.7547999999999999,0,,,
static,22,32,0.5078,0,,,
static,22,64,0.6397999999999999,0,,,
static,22,128,0.7596,0,,,
static,23,32,0.48579999999999995,0,,,
static,23,64,0.614,0,,,
static,23,128,0.7422000000000001,0,,,
static,24,32,0.5085999999999999,0,,,
static,24,64,0.639,0,,,
static,24,128,0.7546,0,,,
adaptive_eh,0,32,0.9822000000000001,0,,,
adaptive_eh,0,64,0.9944,0,,,
adaptive_eh,0,128,0.9992000000000001,0,,,
adaptive_eh,1,32,0.984,0,,,
adaptive_eh,1,64,0.9972000000000001,0,,,
adaptive_eh,1,128,0.999,0,,,
adaptive_eh,2,32,0.983,0,,,
adaptive_eh,2,64,0.9967999999999999,0,,,
adaptive_eh,2,128,0.9994,0,,,
adaptive_eh,3,32,0.9832000000000001,0,,,
adaptive_eh,3,64,0.9946,0,,,
adaptive_eh,3,128,0.9985999999999999,0,,,
adaptive_eh,4,32,0.988,0,,,
adaptive_eh,4,64,0.9966000000000002,0,,,
adaptive_eh,4,128,0.9992000000000001,0,,,
adaptive_eh,5,32,0.9866000000000001,0,,,
adaptive_eh,5,64,0.9962000000000001,0,,,
adaptive_eh,5,128,0.999,0,,,
adaptive_eh,6,32,0.9816000000000001,0,,,
adaptive_eh,6,64,0.9962000000000001,0,,,
adaptive_eh,6,128,0.9987999999999999,0,,,
adaptive_eh,7,32,0.9624000000000001,21386,,,
adaptive_eh,7,64,0.9888000000000001,21386,,,
adaptive_eh,7,128,0.998,21386,,,
adaptive_eh,8,32,0.9280000000000002,42706,,,
adaptive_eh,8,64,0.9728,42706,,,
adaptive_eh,8,128,0.992,42706,,,
adaptive_eh,9,32,0.8734000000000001,62336,,,
adaptive_eh,9,64,0.942,62336,,,
adaptive_eh,9,128,0.9834,62336,,,
adaptive_eh,10,32,0.8888,78275,,,
adaptive_eh,10,64,0.9546000000000001,78275,,,
adaptive_eh,10,128,0.9856,78275,,,
adaptive_eh,11,32,0.9070000000000001,88480,,,
adaptive_eh,11,64,0.963,88480,,,
adaptive_eh,11,128,0.9874,88480,,,
adaptive_eh,12,32,0.8994000000000001,97631,,,
adaptive_eh,12,64,0.9574000000000001,97631,,,
adaptive_eh,12,128,0.9894,97631,,,
adaptive_eh,13,32,0.909,105619,,,
adaptive_eh,13,64,0.9614,105619,,,
adaptive_eh,13,128,0.9864,105619,,,
adaptive_eh,14,32,0.9074000000000001,112243,,,
adaptive_eh,14,64,0.9646,112243,,,
adaptive_eh,14,128,0.9882,112243,,,
adaptive_eh,15,32,0.9096000000000001,112243,,,
adaptive_eh,15,64,0.9596,112243,,,
adaptive_eh,15,128,0.9858,112243,,,
adaptive_eh,16,32,0.8615999999999999,122492,,,
adaptive_eh,16,64,0.9284000000000001,122492,,,
adaptive_eh,16,128,0.9688,122492,,,
adaptive_eh,17,32,0.8054000000000001,128899,,,
adaptive_eh,17,64,0.879,128899,,,
adaptive_eh,17,128,0.9376,128899,,,
adaptive_eh,18,32,0.7564000000000001,134682,,,
adaptive_eh,18,64,0.8284,134682,,,
adaptive_eh,18,128,0.8878,134682,,,
adaptive_eh,19,32,0.6446,141802,,,
adaptive_eh,19,64,0.7308,141802,,,
adaptive_eh,19,128,0.8036,141802,,,
adaptive_eh,20,32,0.6794,147227,,,
adaptive_eh,20,64,0.7514000000000001,147227,,,
adaptive_eh,20,128,0.8158,147227,,,
adaptive_eh,21,32,0.7348,150229,,,
adaptive_eh,21,64,0.7898,150229,,,
adaptive_eh,21,128,0.843,150229,,,
adaptive_eh,22,32,0.7692,152227,,,
adaptive_eh,22,64,0.8192,152227,,,
adaptive_eh,22,128,0.871,152227,,,
adaptive_eh,23,32,0.7607999999999999,154205,,,
adaptive_eh,23,64,0.7975999999999999,154205,,,
adaptive_eh,23,128,0.8526,154205,,,
adaptive_eh,24,32,0.7716000000000002,65995,,,
adaptive_eh,24,64,0.815,65995,,,
adaptive_eh,24,128,0.8562000000000001,65995,,,
adaptive_layer0_eh,0,32,0.9822000000000001,0,,,
adaptive_layer0_eh,0,64,0.9944,0,,,
adaptive_layer0_eh,0,128,0.9992000000000001,0,,,
adaptive_layer0_eh,1,32,0.984,0,,,
adaptive_layer0_eh,1,64,0.9972000000000001,0,,,
