condition,epoch,ef,recall,edge_count
static,0,32,0.8298,0
static,0,64,0.916,0
static,0,128,0.9618,0
static,1,32,0.8208000000000001,0
static,1,64,0.9017999999999999,0
static,1,128,0.9564000000000001,0
static,2,32,0.8234000000000001,0
static,2,64,0.9084000000000001,0
static,2,128,0.9582,0
static,3,32,0.812,0
static,3,64,0.8982,0
static,3,128,0.9518,0
static,4,32,0.8140000000000002,0
static,4,64,0.908,0
static,4,128,0.9592,0
static,5,32,0.8374000000000001,0
static,5,64,0.9172,0
static,5,128,0.9604000000000001,0
static,6,32,0.8318000000000001,0
static,6,64,0.9162,0
static,6,128,0.9592,0
static,7,32,0.8364000000000001,0
static,7,64,0.913,0
static,7,128,0.9586000000000001,0
static,8,32,0.8306,0
static,8,64,0.9115999999999999,0
static,8,128,0.9592,0
static,9,32,0.8308,0
static,9,64,0.9096000000000001,0
static,9,128,0.9562,0
static,10,32,0.837,0
static,10,64,0.9142,0
static,10,128,0.9598,0
static,11,32,0.8244000000000001,0
static,11,64,0.9034,0
static,11,128,0.9526,0
static,12,32,0.8342,0
static,12,64,0.9084,0
static,12,128,0.9626,0
static,13,32,0.8234000000000001,0
static,13,64,0.9064000000000001,0
static,13,128,0.9526,0
static,14,32,0.8158,0
static,14,64,0.9008,0
static,14,128,0.9516000000000001,0
static,15,32,0.8334,0
static,15,64,0.912,0
static,15,128,0.959,0
static,16,32,0.8413999999999999,0
static,16,64,0.9188,0
static,16,128,0.9585999999999999,0
static,17,32,0.8362,0
static,17,64,0.9084000000000001,0
static,17,128,0.957,0
static,18,32,0.8424,0
static,18,64,0.9156,0
static,18,128,0.9576,0
static,19,32,0.8528000000000001,0
static,19,64,0.9236000000000001,0
static,19,128,0.9648000000000001,0
static,20,32,0.8344000000000001,0
static,20,64,0.9128000000000001,0
static,20,128,0.958,0
static,21,32,0.822,0
static,21,64,0.893,0
static,21,128,0.9486,0
static,22,32,0.8458,0
static,22,64,0.9140000000000001,0
static,22,128,0.9628,0
static,23,32,0.8446,0
static,23,64,0.9154,0
static,23,128,0.9604,0
static,24,32,0.8402000000000001,0
static,24,64,0.914,0
static,24,128,0.9578000000000001,0
adaptive_eh,0,32,0.8298,0
adaptive_eh,0,64,0.916,0
adaptive_eh,0,128,0.9618,0
adaptive_eh,1,32,0.8208000000000001,0
adaptive_eh,1,64,0.9017999999999999,0
adaptive_eh,1,128,0.9564000000000001,0
adaptive_eh,2,32,0.8234000000000001,0
adaptive_eh,2,64,0.9084000000000001,0
