condition,epoch,ef,recall,edge_count
static,0,32,0.8298,0
static,0,64,0.916,0
static,0,128,0.9618,0
static,1,32,0.8208000000000001,0
static,1,64,0.9017999999999999,0
static,1,128,0.9564000000000001,0
static,2,32,0.8234000000000001,0
static,2,64,0.9084000000000001,0
static,2,128,0.9582,0
static,3,32,0.812,0
static,3,64,0.8982,0
static,3,128,0.9518,0
static,4,32,0.8140000000000002,0
static,4,64,0.908,0
static,4,128,0.9592,0
static,5,32,0.8174000000000001,0
static,5,64,0.9064000000000001,0
static,5,128,0.9581999999999999,0
static,6,32,0.8326,0
static,6,64,0.9148,0
static,6,128,0.9626000000000001,0
static,7,32,0.8188000000000001,0
static,7,64,0.901,0
static,7,128,0.9526000000000001,0
static,8,32,0.8142,0
static,8,64,0.9048,0
static,8,128,0.9538,0
static,9,32,0.8192,0
static,9,64,0.9047999999999999,0
static,9,128,0.9556,0
static,10,32,0.809,0
static,10,64,0.8990000000000001,0
static,10,128,0.95,0
static,11,32,0.8308,0
static,11,64,0.9132,0
static,11,128,0.9592,0
static,12,32,0.8104000000000001,0
static,12,64,0.8962,0
static,12,128,0.9492,0
static,13,32,0.8528,0
static,13,64,0.9308000000000001,0
static,13,128,0.9648000000000001,0
static,14,32,0.8522000000000001,0
static,14,64,0.9236,0
static,14,128,0.9658,0
static,15,32,0.846,0
static,15,64,0.9228000000000001,0
static,15,128,0.9656000000000001,0
static,16,32,0.8398,0
static,16,64,0.9142,0
static,16,128,0.9562,0
static,17,32,0.846,0
static,17,64,0.9178000000000001,0
static,17,128,0.9616,0
static,18,32,0.8424,0
static,18,64,0.9156,0
static,18,128,0.9576,0
static,19,32,0.8528000000000001,0
static,19,64,0.9236000000000001,0
static,19,128,0.9648000000000001,0
static,20,32,0.8344000000000001,0
static,20,64,0.9128000000000001,0
static,20,128,0.958,0
static,21,32,0.822,0
static,21,64,0.893,0
static,21,128,0.9486,0
static,22,32,0.8458,0
static,22,64,0.9140000000000001,0
static,22,128,0.9628,0
static,23,32,0.8446,0
static,23,64,0.9154,0
static,23,128,0.9604,0
static,24,32,0.8402000000000001,0
static,24,64,0.914,0
static,24,128,0.9578000000000001,0
adaptive_eh,0,32,0.8298,0
adaptive_eh,0,64,0.916,0
adaptive_eh,0,128,0.9618,0
adaptive_eh,1,32,0.8208000000000001,0
adaptive_eh,1,64,0.9017999999999999,0
adaptive_eh,1,128,0.9564000000000001,0
adaptive_eh,2,32,0.8234000000000001,0
adaptive_eh,2,64,0.9084000000000001,0
