condition,edge_count,ef,epoch,recall
static,0,32,0,0.9564000000000001
static,0,64,0,0.9794
static,0,128,0,0.992
static,0,32,1,0.9518000000000001
static,0,64,1,0.9752000000000001
static,0,128,1,0.9896
static,0,32,2,0.9582
static,0,64,2,0.9824
static,0,128,2,0.9916
static,0,32,3,0.9422000000000001
static,0,64,3,0.973
static,0,128,3,0.9854
static,0,32,4,0.9508000000000001
static,0,64,4,0.9764
static,0,128,4,0.9886000000000001
static,0,32,5,0.9492
static,0,64,5,0.9726
static,0,128,5,0.9852000000000001
static,0,32,6,0.9490000000000001
static,0,64,6,0.9726000000000001
static,0,128,6,0.9856
static,0,32,7,0.9482
static,0,64,7,0.9754
static,0,128,7,0.9887999999999999
static,0,32,8,0.9462
static,0,64,8,0.9746
static,0,128,8,0.9887999999999999
static,0,32,9,0.95
static,0,64,9,0.9772000000000001
static,0,128,9,0.9884000000000001
static,0,32,10,0.9492
static,0,64,10,0.9732000000000001
static,0,128,10,0.9852000000000001
static,0,32,11,0.9564000000000001
static,0,64,11,0.9798
static,0,128,11,0.9884000000000001
static,0,32,12,0.9452
static,0,64,12,0.97
static,0,128,12,0.9862000000000001
static,0,32,13,0.29279999999999995
static,0,64,13,0.41480000000000006
static,0,128,13,0.5388
static,0,32,14,0.28420000000000006
static,0,64,14,0.4052
static,0,128,14,0.5376000000000001
static,0,32,15,0.28120000000000006
static,0,64,15,0.38820000000000005
static,0,128,15,0.5192
static,0,32,16,0.2744
static,0,64,16,0.3998
static,0,128,16,0.5274
static,0,32,17,0.30560000000000004
static,0,64,17,0.42660000000000003
static,0,128,17,0.5588
static,0,32,18,0.2962
static,0,64,18,0.4036
static,0,128,18,0.5186000000000001
static,0,32,19,0.29120000000000007
static,0,64,19,0.4044
static,0,128,19,0.5354
static,0,32,20,0.29460000000000003
static,0,64,20,0.401
static,0,128,20,0.5346
static,0,32,21,0.3098
static,0,64,21,0.42079999999999995
static,0,128,21,0.5458
static,0,32,22,0.2958
static,0,64,22,0.40759999999999996
static,0,128,22,0.539
static,0,32,23,0.27220000000000005
static,0,64,23,0.39239999999999997
static,0,128,23,0.5324
static,0,32,24,0.282
static,0,64,24,0.4064
static,0,128,24,0.5344
adaptive_current,0,32,0,0.9564000000000001
adaptive_current,0,64,0,0.9794
adaptive_current,0,128,0,0.992
adaptive_current,0,32,1,0.9518000000000001
adaptive_current,0,64,1,0.9752000000000001
adaptive_current,0,128,1,0.9896
adaptive_current,0,32,2,0.9582
adaptive_current,0,64,2,0.9824
adaptive_current,0,128,2,0.9916
adaptive_current,0,32,3,0.9422000000000001
adaptive_current,0,64,3,0.973
adaptive_current,0,128,3,0.9854
adaptive_current,0,32,4,0.9508000000000001
adaptive_current,0,64,4,0.9764
adaptive_current,0,128,4,0.9886000000000001
adaptive_current,0,32,5,0.9492
adaptive_current,0,64,5,0.9726
adaptive_current,0,128,5,0.9852000000000001
adaptive_current,0,32,6,0.9490000000000001
adaptive_current,0,64,6,0.9726000000000001
adaptive_current,0,128,6,0.9856
adaptive_current,0,32,7,0.9482
adaptive_current,0,64,7,0.9754
adaptive_current,0,128,7,0.9887999999999999
adaptive_current,0,32,8,0.9462
adaptive_current,0,64,8,0.9746
adaptive_current,0,128,8,0.9887999999999999
adaptive_current,0,32,9,0.95
adaptive_current,0,64,9,0.9772000000000001
adaptive_current,0,128,9,0.9884000000000001
adaptive_current,0,32,10,0.9492
adaptive_current,0,64,10,0.9732000000000001
adaptive_current,0,128,10,0.9852000000000001
adaptive_current,0,32,11,0.9564000000000001
adaptive_current,0,64,11,0.9798
adaptive_current,0,128,11,0.9884000000000001
adaptive_current,0,32,12,0.9452
adaptive_current,0,64,12,0.97
adaptive_current,0,128,12,0.9862000000000001
adaptive_current,24474,32,13,0.29279999999999995
adaptive_current,24474,64,13,0.41480000000000006
adaptive_current,24474,128,13,0.5388
adaptive_current,42051,32,14,0.325
adaptive_current,42051,64,14,0.4406
adaptive_current,42051,128,14,0.5621999999999999
adaptive_current,54772,32,15,0.34979999999999994
adaptive_current,54772,64,15,0.4464
adaptive_current,54772,128,15,0.5565999999999999
adaptive_current,62614,32,16,0.357
adaptive_current,62614,64,16,0.47140000000000004
adaptive_current,62614,128,16,0.578
adaptive_current,68448,32,17,0.3964
adaptive_current,68448,64,17,0.496
adaptive_current,68448,128,17,0.6076
adaptive_current,73532,32,18,0.401
adaptive_current,73532,64,18,0.49179999999999996
adaptive_current,73532,128,18,0.583
adaptive_current,77591,32,19,0.41240000000000004
adaptive_current,77591,64,19,0.5058
adaptive_current,77591,128,19,0.6045999999999999
adaptive_current,80351,32,20,0.4122
adaptive_current,80351,64,20,0.49439999999999995
adaptive_current,80351,128,20,0.6022000000000001
adaptive_current,82084,32,21,0.4294
adaptive_current,82084,64,21,0.5246000000000001
adaptive_current,82084,128,21,0.618
adaptive_current,84390,32,22,0.4298
adaptive_current,84390,64,22,0.51
adaptive_current,84390,128,22,0.6104
adaptive_current,86347,32,23,0.3932
adaptive_current,86347,64,23,0.49279999999999996
adaptive_current,86347,128,23,0.601
adaptive_current,87856,32,24,0.4032
adaptive_current,87856,64,24,0.508
adaptive_current,87856,128,24,0.6053999999999999
adaptive_improved,24200,32,0,0.9564000000000001
adaptive_improved,24200,64,0,0.9794
adaptive_improved,24200,128,0,0.992
adaptive_improved,52840,32,1,0.9538000000000001
adaptive_improved,52840,64,1,0.9762000000000001
adaptive_improved,52840,128,1,0.9897999999999999
adaptive_improved,77480,32,2,0.9602
adaptive_improved,77480,64,2,0.983
adaptive_improved,77480,128,2,0.9916
adaptive_improved,104692,32,3,0.9472
adaptive_improved,104692,64,3,0.9756000000000001
