condition,edge_count,ef,epoch,recall
static,0,32,0,1.0
static,0,64,0,1.0
static,0,128,0,1.0
static,0,32,1,1.0
static,0,64,1,1.0
static,0,128,1,1.0
static,0,32,2,0.9996
static,0,64,2,1.0
static,0,128,2,0.9997999999999999
static,0,32,3,0.9997999999999999
static,0,64,3,0.9997999999999999
static,0,128,3,1.0
static,0,32,4,1.0
static,0,64,4,1.0
static,0,128,4,1.0
static,0,32,5,1.0
static,0,64,5,1.0
static,0,128,5,1.0
static,0,32,6,0.9152
static,0,64,6,0.949
static,0,128,6,0.9718
static,0,32,7,0.8341999999999999
static,0,64,7,0.9002
static,0,128,7,0.9456
static,0,32,8,0.7604000000000001
static,0,64,8,0.8503999999999999
static,0,128,8,0.92
static,0,32,9,0.6808
static,0,64,9,0.8004000000000001
static,0,128,9,0.897
static,0,32,10,0.692
static,0,64,10,0.8054000000000001
static,0,128,10,0.8904000000000001
static,0,32,11,0.6746
static,0,64,11,0.8016
static,0,128,11,0.901
static,0,32,12,0.6764
static,0,64,12,0.7976
static,0,128,12,0.8906000000000001
static,0,32,13,0.6814
static,0,64,13,0.8112
static,0,128,13,0.902
static,0,32,14,0.6716
static,0,64,14,0.7991999999999999
static,0,128,14,0.9056000000000002
static,0,32,15,0.678
static,0,64,15,0.8042
static,0,128,15,0.9006000000000001
static,0,32,16,0.5918
static,0,64,16,0.7526000000000002
static,0,128,16,0.876
static,0,32,17,0.522
static,0,64,17,0.708
static,0,128,17,0.8554
static,0,32,18,0.4322
static,0,64,18,0.656
static,0,128,18,0.8226
static,0,32,19,0.3494
static,0,64,19,0.599
static,0,128,19,0.788
static,0,32,20,0.3496
static,0,64,20,0.614
static,0,128,20,0.7955999999999999
static,0,32,21,0.36160000000000003
static,0,64,21,0.6197999999999999
static,0,128,21,0.8008000000000001
static,0,32,22,0.3538
static,0,64,22,0.6102
static,0,128,22,0.7952
static,0,32,23,0.3642
static,0,64,23,0.598
static,0,128,23,0.7924
static,0,32,24,0.3538
static,0,64,24,0.5998
static,0,128,24,0.7968
adaptive_current,0,32,0,1.0
adaptive_current,0,64,0,1.0
adaptive_current,0,128,0,1.0
adaptive_current,0,32,1,1.0
adaptive_current,0,64,1,1.0
adaptive_current,0,128,1,1.0
adaptive_current,0,32,2,0.9996
adaptive_current,0,64,2,1.0
adaptive_current,0,128,2,0.9997999999999999
adaptive_current,0,32,3,0.9997999999999999
adaptive_current,0,64,3,0.9997999999999999
adaptive_current,0,128,3,1.0
adaptive_current,15948,32,4,1.0
adaptive_current,15948,64,4,1.0
adaptive_current,15948,128,4,1.0
adaptive_current,31536,32,5,1.0
adaptive_current,31536,64,5,1.0
adaptive_current,31536,128,5,1.0
adaptive_current,46427,32,6,0.9152
adaptive_current,46427,64,6,0.949
adaptive_current,46427,128,6,0.9718
adaptive_current,60324,32,7,0.8341999999999999
adaptive_current,60324,64,7,0.9002
adaptive_current,60324,128,7,0.9456
adaptive_current,72260,32,8,0.7604000000000001
adaptive_current,72260,64,8,0.8503999999999999
adaptive_current,72260,128,8,0.92
adaptive_current,82008,32,9,0.6808
adaptive_current,82008,64,9,0.8004000000000001
adaptive_current,82008,128,9,0.897
adaptive_current,90148,32,10,0.692
adaptive_current,90148,64,10,0.8054000000000001
adaptive_current,90148,128,10,0.8904000000000001
adaptive_current,97569,32,11,0.675
adaptive_current,97569,64,11,0.802
adaptive_current,97569,128,11,0.9012
adaptive_current,102661,32,12,0.6764
adaptive_current,102661,64,12,0.7976
adaptive_current,102661,128,12,0.8906000000000001
adaptive_current,108271,32,13,0.6814
adaptive_current,108271,64,13,0.8112
adaptive_current,108271,128,13,0.902
adaptive_current,113458,32,14,0.6716
adaptive_current,113458,64,14,0.7991999999999999
adaptive_current,113458,128,14,0.9056000000000002
adaptive_current,117508,32,15,0.679
adaptive_current,117508,64,15,0.8044
adaptive_current,117508,128,15,0.9006000000000001
adaptive_current,122395,32,16,0.5918
adaptive_current,122395,64,16,0.7526000000000002
adaptive_current,122395,128,16,0.876
adaptive_current,127824,32,17,0.522
adaptive_current,127824,64,17,0.708
adaptive_current,127824,128,17,0.8554
adaptive_current,132648,32,18,0.4322
adaptive_current,132648,64,18,0.6562
adaptive_current,132648,128,18,0.8228
adaptive_current,138149,32,19,0.3506
adaptive_current,138149,64,19,0.5992
adaptive_current,138149,128,19,0.7882
adaptive_current,143087,32,20,0.3516
adaptive_current,143087,64,20,0.6146
adaptive_current,143087,128,20,0.7962
adaptive_current,147432,32,21,0.36160000000000003
adaptive_current,147432,64,21,0.6197999999999999
adaptive_current,147432,128,21,0.8008000000000001
adaptive_current,150997,32,22,0.3542
adaptive_current,150997,64,22,0.6105999999999999
adaptive_current,150997,128,22,0.7954000000000001
adaptive_current,154533,32,23,0.36460000000000004
adaptive_current,154533,64,23,0.5982
adaptive_current,154533,128,23,0.7924
adaptive_current,157846,32,24,0.35420000000000007
adaptive_current,157846,64,24,0.6
adaptive_current,157846,128,24,0.7968
adaptive_improved,28600,32,0,1.0
adaptive_improved,28600,64,0,1.0
adaptive_improved,28600,128,0,1.0
adaptive_improved,56980,32,1,1.0
adaptive_improved,56980,64,1,1.0
adaptive_improved,56980,128,1,1.0
adaptive_improved,82940,32,2,0.9996
adaptive_improved,82940,64,2,1.0
adaptive_improved,82940,128,2,0.9997999999999999
adaptive_improved,113080,32,3,0.9997999999999999
adaptive_improved,113080,64,3,0.9997999999999999
adaptive_improved,113080,128,3,1.0
adaptive_improved,137500,32,4,1.0
adaptive_improved,137500,64,4,1.0
adaptive_improved,137500,128,4,1.0
adaptive_improved,165220,32,5,1.0
adaptive_improved,165220,64,5,1.0
adaptive_improved,165220,128,5,1.0
adaptive_improved,203420,32,6,0.9152
adaptive_improved,203420,64,6,0.949
adaptive_improved,203420,128,6,0.9718
adaptive_improved,253850,32,7,0.8344
adaptive_improved,253850,64,7,0.9002
adaptive_improved,253850,128,7,0.9456
adaptive_improved,312720,32,8,0.7606
adaptive_improved,312720,64,8,0.8505999999999999
adaptive_improved,312720,128,8,0.92
adaptive_improved,381360,32,9,0.6814000000000001
adaptive_improved,381360,64,9,0.8004000000000001
adaptive_improved,381360,128,9,0.897
adaptive_improved,447933,32,10,0.6932
adaptive_improved,447933,64,10,0.8064000000000001
adaptive_improved,447933,128,10,0.8914000000000001
adaptive_improved,466855,32,11,0.6764000000000001
adaptive_improved,466855,64,11,0.8024000000000001
adaptive_improved,466855,128,11,0.9016
adaptive_improved,484127,32,12,0.6802
adaptive_improved,484127,64,12,0.8002
adaptive_improved,484127,128,12,0.8927999999999999
adaptive_improved,455457,32,13,0.6871999999999999
adaptive_improved,455457,64,13,0.815
adaptive_improved,455457,128,13,0.9036000000000001
adaptive_improved,477556,32,14,0.6772
adaptive_improved,477556,64,14,0.8024
adaptive_improved,477556,128,14,0.906
adaptive_improved,496836,32,15,0.6814
adaptive_improved,496836,64,15,0.8068
adaptive_improved,496836,128,15,0.9014000000000001
adaptive_improved,481716,32,16,0.5998
adaptive_improved,481716,64,16,0.7564000000000001
adaptive_improved,481716,128,16,0.8767999999999999
adaptive_improved,470661,32,17,0.531
adaptive_improved,470661,64,17,0.7128
adaptive_improved,470661,128,17,0.858
adaptive_improved,470307,32,18,0.446
adaptive_improved,470307,64,18,0.6622
adaptive_improved,470307,128,18,0.8254
adaptive_improved,481675,32,19,0.3654
adaptive_improved,481675,64,19,0.6095999999999999
adaptive_improved,481675,128,19,0.7924000000000001
adaptive_improved,491333,32,20,0.36579999999999996
adaptive_improved,491333,64,20,0.6222000000000001
adaptive_improved,491333,128,20,0.7988
adaptive_improved,499729,32,21,0.373
adaptive_improved,499729,64,21,0.6264000000000001
adaptive_improved,499729,128,21,0.8046
adaptive_improved,458790,32,22,0.3718
adaptive_improved,458790,64,22,0.6192000000000001
adaptive_improved,458790,128,22,0.7988000000000001
adaptive_improved,471366,32,23,0.38300000000000006
adaptive_improved,471366,64,23,0.61
adaptive_improved,471366,128,23,0.7972
adaptive_improved,480563,32,24,0.373
adaptive_improved,480563,64,24,0.6112000000000001
adaptive_improved,480563,128,24,0.802
