condition,drift_detected,edge_count,ef,epoch,mean_eh,mmd_squared,recall
static,,0,32,0,,,1.0
static,,0,64,0,,,1.0
static,,0,128,0,,,1.0
static,,0,32,1,,,1.0
static,,0,64,1,,,1.0
static,,0,128,1,,,1.0
static,,0,32,2,,,0.9996
static,,0,64,2,,,1.0
static,,0,128,2,,,0.9997999999999999
static,,0,32,3,,,0.9997999999999999
static,,0,64,3,,,0.9997999999999999
static,,0,128,3,,,1.0
static,,0,32,4,,,1.0
static,,0,64,4,,,1.0
static,,0,128,4,,,1.0
static,,0,32,5,,,1.0
static,,0,64,5,,,1.0
static,,0,128,5,,,1.0
static,,0,32,6,,,1.0
static,,0,64,6,,,1.0
static,,0,128,6,,,0.9997999999999999
static,,0,32,7,,,0.9997999999999999
static,,0,64,7,,,0.9997999999999999
static,,0,128,7,,,1.0
static,,0,32,8,,,1.0
static,,0,64,8,,,1.0
static,,0,128,8,,,1.0
static,,0,32,9,,,1.0
static,,0,64,9,,,0.9997999999999999
static,,0,128,9,,,1.0
static,,0,32,10,,,1.0
static,,0,64,10,,,1.0
static,,0,128,10,,,1.0
static,,0,32,11,,,0.9994000000000001
static,,0,64,11,,,0.9997999999999999
static,,0,128,11,,,0.9996
static,,0,32,12,,,0.9997999999999999
static,,0,64,12,,,1.0
static,,0,128,12,,,0.9997999999999999
static,,0,32,13,,,0.35960000000000003
static,,0,64,13,,,0.6102000000000001
static,,0,128,13,,,0.806
static,,0,32,14,,,0.3584
static,,0,64,14,,,0.6046
static,,0,128,14,,,0.807
static,,0,32,15,,,0.3664
static,,0,64,15,,,0.6105999999999999
static,,0,128,15,,,0.8064
static,,0,32,16,,,0.34920000000000007
static,,0,64,16,,,0.6092
static,,0,128,16,,,0.7982
static,,0,32,17,,,0.36400000000000005
static,,0,64,17,,,0.6125999999999999
static,,0,128,17,,,0.8032
static,,0,32,18,,,0.3524
static,,0,64,18,,,0.6052
static,,0,128,18,,,0.7992
static,,0,32,19,,,0.3494
static,,0,64,19,,,0.599
static,,0,128,19,,,0.788
static,,0,32,20,,,0.3496
static,,0,64,20,,,0.614
static,,0,128,20,,,0.7955999999999999
static,,0,32,21,,,0.36160000000000003
static,,0,64,21,,,0.6197999999999999
static,,0,128,21,,,0.8008000000000001
static,,0,32,22,,,0.3538
static,,0,64,22,,,0.6102
static,,0,128,22,,,0.7952
static,,0,32,23,,,0.3642
static,,0,64,23,,,0.598
static,,0,128,23,,,0.7924
static,,0,32,24,,,0.3538
static,,0,64,24,,,0.5998
static,,0,128,24,,,0.7968
adaptive_current,,0,32,0,,,1.0
adaptive_current,,0,64,0,,,1.0
adaptive_current,,0,128,0,,,1.0
adaptive_current,,0,32,1,,,1.0
adaptive_current,,0,64,1,,,1.0
adaptive_current,,0,128,1,,,1.0
adaptive_current,,0,32,2,,,0.9996
adaptive_current,,0,64,2,,,1.0
adaptive_current,,0,128,2,,,0.9997999999999999
adaptive_current,,0,32,3,,,0.9997999999999999
adaptive_current,,0,64,3,,,0.9997999999999999
adaptive_current,,0,128,3,,,1.0
adaptive_current,,15948,32,4,,,1.0
adaptive_current,,15948,64,4,,,1.0
adaptive_current,,15948,128,4,,,1.0
adaptive_current,,31536,32,5,,,1.0
adaptive_current,,31536,64,5,,,1.0
adaptive_current,,31536,128,5,,,1.0
adaptive_current,,31536,32,6,,,1.0
adaptive_current,,31536,64,6,,,1.0
adaptive_current,,31536,128,6,,,0.9997999999999999
adaptive_current,,31536,32,7,,,0.9997999999999999
adaptive_current,,31536,64,7,,,0.9997999999999999
adaptive_current,,31536,128,7,,,1.0
adaptive_current,,45946,32,8,,,1.0
adaptive_current,,45946,64,8,,,1.0
adaptive_current,,45946,128,8,,,1.0
adaptive_current,,58267,32,9,,,1.0
adaptive_current,,58267,64,9,,,0.9997999999999999
adaptive_current,,58267,128,9,,,1.0
adaptive_current,,58267,32,10,,,1.0
adaptive_current,,58267,64,10,,,1.0
adaptive_current,,58267,128,10,,,1.0
adaptive_current,,71522,32,11,,,0.9994000000000001
adaptive_current,,71522,64,11,,,0.9997999999999999
adaptive_current,,71522,128,11,,,0.9996
adaptive_current,,85251,32,12,,,0.9997999999999999
adaptive_current,,85251,64,12,,,1.0
adaptive_current,,85251,128,12,,,0.9997999999999999
adaptive_current,,99986,32,13,,,0.35960000000000003
adaptive_current,,99986,64,13,,,0.6102000000000001
adaptive_current,,99986,128,13,,,0.806
adaptive_current,,110565,32,14,,,0.3584
adaptive_current,,110565,64,14,,,0.6046
adaptive_current,,110565,128,14,,,0.807
adaptive_current,,118074,32,15,,,0.36760000000000004
adaptive_current,,118074,64,15,,,0.6113999999999999
adaptive_current,,118074,128,15,,,0.8066
adaptive_current,,123926,32,16,,,0.34940000000000004
adaptive_current,,123926,64,16,,,0.6093999999999999
adaptive_current,,123926,128,16,,,0.7984000000000001
adaptive_current,,129835,32,17,,,0.36460000000000004
adaptive_current,,129835,64,17,,,0.6132000000000001
adaptive_current,,129835,128,17,,,0.8032
adaptive_current,,135921,32,18,,,0.3524
adaptive_current,,135921,64,18,,,0.6052
adaptive_current,,135921,128,18,,,0.7992
adaptive_current,,143027,32,19,,,0.3504
adaptive_current,,143027,64,19,,,0.5995999999999999
adaptive_current,,143027,128,19,,,0.7884000000000001
adaptive_current,,148485,32,20,,,0.3514
adaptive_current,,148485,64,20,,,0.6146
adaptive_current,,148485,128,20,,,0.7962
adaptive_current,,152741,32,21,,,0.36160000000000003
adaptive_current,,152741,64,21,,,0.6197999999999999
adaptive_current,,152741,128,21,,,0.8008000000000001
adaptive_current,,156739,32,22,,,0.3538
adaptive_current,,156739,64,22,,,0.6102
adaptive_current,,156739,128,22,,,0.7952
adaptive_current,,160433,32,23,,,0.365
adaptive_current,,160433,64,23,,,0.5988
adaptive_current,,160433,128,23,,,0.7924
adaptive_current,,164499,32,24,,,0.354
adaptive_current,,164499,64,24,,,0.5998
adaptive_current,,164499,128,24,,,0.7968
adaptive_improved_mmd2gate,False,0,32,0,152.55455436500537,0.00020762818107254223,1.0
adaptive_improved_mmd2gate,False,0,64,0,152.55455436500537,0.00020762818107254223,1.0
adaptive_improved_mmd2gate,False,0,128,0,152.55455436500537,0.00020762818107254223,1.0
adaptive_improved_mmd2gate,False,0,32,1,152.40662927344172,0.00029468756216578557,1.0
adaptive_improved_mmd2gate,False,0,64,1,152.40662927344172,0.00029468756216578557,1.0
adaptive_improved_mmd2gate,False,0,128,1,152.40662927344172,0.00029468756216578557,1.0
adaptive_improved_mmd2gate,False,0,32,2,153.26973465914503,0.0009929735969648513,0.9996
adaptive_improved_mmd2gate,False,0,64,2,153.26973465914503,0.0009929735969648513,1.0
adaptive_improved_mmd2gate,False,0,128,2,153.26973465914503,0.0009929735969648513,0.9997999999999999
adaptive_improved_mmd2gate,False,0,32,3,157.0094319594157,0.0013201804040146765,0.9997999999999999
adaptive_improved_mmd2gate,False,0,64,3,157.0094319594157,0.0013201804040146765,0.9997999999999999
adaptive_improved_mmd2gate,False,0,128,3,157.0094319594157,0.0013201804040146765,1.0
adaptive_improved_mmd2gate,True,0,32,4,147.6205587094595,0.0024283659174630405,1.0
adaptive_improved_mmd2gate,True,0,64,4,147.6205587094595,0.0024283659174630405,1.0
adaptive_improved_mmd2gate,True,0,128,4,147.6205587094595,0.0024283659174630405,1.0
adaptive_improved_mmd2gate,True,27720,32,5,152.07387374750635,0.0021943523174181717,1.0
adaptive_improved_mmd2gate,True,27720,64,5,152.07387374750635,0.0021943523174181717,1.0
adaptive_improved_mmd2gate,True,27720,128,5,152.07387374750635,0.0021943523174181717,1.0
adaptive_improved_mmd2gate,False,55440,32,6,153.03294529222393,2.2144889386288537e-05,1.0
adaptive_improved_mmd2gate,False,55440,64,6,153.03294529222393,2.2144889386288537e-05,1.0
adaptive_improved_mmd2gate,False,55440,128,6,153.03294529222393,2.2144889386288537e-05,0.9997999999999999
adaptive_improved_mmd2gate,False,83820,32,7,154.57175975945714,0.0003390398943471875,0.9997999999999999
adaptive_improved_mmd2gate,False,83820,64,7,154.57175975945714,0.0003390398943471875,0.9997999999999999
adaptive_improved_mmd2gate,False,83820,128,7,154.57175975945714,0.0003390398943471875,1.0
adaptive_improved_mmd2gate,True,111540,32,8,152.6028721735679,0.002999432259918471,1.0
adaptive_improved_mmd2gate,True,111540,64,8,152.6028721735679,0.002999432259918471,1.0
adaptive_improved_mmd2gate,True,111540,128,8,152.6028721735679,0.002999432259918471,1.0
adaptive_improved_mmd2gate,True,139700,32,9,150.96256285457738,0.002653346626930434,1.0
adaptive_improved_mmd2gate,True,139700,64,9,150.96256285457738,0.002653346626930434,0.9997999999999999
adaptive_improved_mmd2gate,True,139700,128,9,150.96256285457738,0.002653346626930434,1.0
adaptive_improved_mmd2gate,False,165880,32,10,150.24774765997338,0.001000280240615336,1.0
adaptive_improved_mmd2gate,False,165880,64,10,150.24774765997338,0.001000280240615336,1.0
adaptive_improved_mmd2gate,False,165880,128,10,150.24774765997338,0.001000280240615336,1.0
adaptive_improved_mmd2gate,True,191840,32,11,151.41124386070413,0.002960459081046662,0.9994000000000001
adaptive_improved_mmd2gate,True,191840,64,11,151.41124386070413,0.002960459081046662,0.9997999999999999
adaptive_improved_mmd2gate,True,191840,128,11,151.41124386070413,0.002960459081046662,0.9996
adaptive_improved_mmd2gate,True,214042,32,12,148.5147585082446,0.003242526096829815,0.9997999999999999
adaptive_improved_mmd2gate,True,214042,64,12,148.5147585082446,0.003242526096829815,1.0
adaptive_improved_mmd2gate,True,214042,128,12,148.5147585082446,0.003242526096829815,0.9997999999999999
adaptive_improved_mmd2gate,True,324052,32,13,307.5858073420194,1.1983418198615008,0.3598
adaptive_improved_mmd2gate,True,324052,64,13,307.5858073420194,1.1983418198615008,0.6102000000000001
adaptive_improved_mmd2gate,True,324052,128,13,307.5858073420194,1.1983418198615008,0.8062
adaptive_improved_mmd2gate,True,434585,32,14,308.6397287838834,1.2342156964301858,0.365
adaptive_improved_mmd2gate,True,434585,64,14,308.6397287838834,1.2342156964301858,0.6078
adaptive_improved_mmd2gate,True,434585,128,14,308.6397287838834,1.2342156964301858,0.8078
adaptive_improved_mmd2gate,True,494357,32,15,305.26164761277107,1.1852524838883642,0.38060000000000005
adaptive_improved_mmd2gate,True,494357,64,15,305.26164761277107,1.1852524838883642,0.6187999999999999
adaptive_improved_mmd2gate,True,494357,128,15,305.26164761277107,1.1852524838883642,0.8096
adaptive_improved_mmd2gate,True,454748,32,16,306.16806424743186,1.1939162126558278,0.35660000000000003
adaptive_improved_mmd2gate,True,454748,64,16,306.16806424743186,1.1939162126558278,0.6142000000000001
adaptive_improved_mmd2gate,True,454748,128,16,306.16806424743186,1.1939162126558278,0.8004000000000001
adaptive_improved_mmd2gate,True,463761,32,17,304.8545209450614,1.1668445006006154,0.38139999999999996
adaptive_improved_mmd2gate,True,463761,64,17,304.8545209450614,1.1668445006006154,0.6225999999999999
adaptive_improved_mmd2gate,True,463761,128,17,304.8545209450614,1.1668445006006154,0.807
adaptive_improved_mmd2gate,True,472713,32,18,304.61267529512946,1.1769516853356734,0.371
adaptive_improved_mmd2gate,True,472713,64,18,304.61267529512946,1.1769516853356734,0.6152000000000001
adaptive_improved_mmd2gate,True,472713,128,18,304.61267529512946,1.1769516853356734,0.8026
adaptive_improved_mmd2gate,True,483902,32,19,307.065811813759,1.2059784680011232,0.372
adaptive_improved_mmd2gate,True,483902,64,19,307.065811813759,1.2059784680011232,0.6129999999999999
adaptive_improved_mmd2gate,True,483902,128,19,307.065811813759,1.2059784680011232,0.7932
adaptive_improved_mmd2gate,True,493581,32,20,305.497002949451,1.2092559091519373,0.36460000000000004
adaptive_improved_mmd2gate,True,493581,64,20,305.497002949451,1.2092559091519373,0.6216
adaptive_improved_mmd2gate,True,493581,128,20,305.497002949451,1.2092559091519373,0.799
adaptive_improved_mmd2gate,True,451922,32,21,302.8290027696466,1.1453172845891284,0.38120000000000004
adaptive_improved_mmd2gate,True,451922,64,21,302.8290027696466,1.1453172845891284,0.6296
adaptive_improved_mmd2gate,True,451922,128,21,302.8290027696466,1.1453172845891284,0.805
adaptive_improved_mmd2gate,True,460940,32,22,302.5642664652763,1.1228034940925444,0.375
adaptive_improved_mmd2gate,True,460940,64,22,302.5642664652763,1.1228034940925444,0.6206
adaptive_improved_mmd2gate,True,460940,128,22,302.5642664652763,1.1228034940925444,0.799
adaptive_improved_mmd2gate,True,473414,32,23,307.69696176375425,1.2200972960361616,0.382
adaptive_improved_mmd2gate,True,473414,64,23,307.69696176375425,1.2200972960361616,0.6103999999999999
adaptive_improved_mmd2gate,True,473414,128,23,307.69696176375425,1.2200972960361616,0.797
adaptive_improved_mmd2gate,True,482289,32,24,303.28047922051326,1.1550803199430675,0.37839999999999996
adaptive_improved_mmd2gate,True,482289,64,24,303.28047922051326,1.1550803199430675,0.6154
adaptive_improved_mmd2gate,True,482289,128,24,303.28047922051326,1.1550803199430675,0.8028
