condition,edge_count,ef,epoch,recall
static,0,32,0,0.9822000000000001
static,0,64,0,0.9944
static,0,128,0,0.9992000000000001
static,0,32,1,0.984
static,0,64,1,0.9972000000000001
static,0,128,1,0.999
static,0,32,2,0.983
static,0,64,2,0.9967999999999999
static,0,128,2,0.9994
static,0,32,3,0.9832000000000001
static,0,64,3,0.9946
static,0,128,3,0.9985999999999999
static,0,32,4,0.988
static,0,64,4,0.9966000000000002
static,0,128,4,0.9992000000000001
static,0,32,5,0.9866000000000001
static,0,64,5,0.9962000000000001
static,0,128,5,0.999
static,0,32,6,0.9816000000000001
static,0,64,6,0.9962000000000001
static,0,128,6,0.9987999999999999
static,0,32,7,0.9624000000000001
static,0,64,7,0.9888000000000001
static,0,128,7,0.998
static,0,32,8,0.9262
static,0,64,8,0.9724
static,0,128,8,0.992
static,0,32,9,0.8652000000000001
static,0,64,9,0.9388000000000002
static,0,128,9,0.9818000000000001
static,0,32,10,0.8644000000000001
static,0,64,10,0.9424000000000001
static,0,128,10,0.9816000000000001
static,0,32,11,0.879
static,0,64,11,0.9496000000000001
static,0,128,11,0.9838
static,0,32,12,0.8666
static,0,64,12,0.9442
static,0,128,12,0.9848000000000001
static,0,32,13,0.8732000000000001
static,0,64,13,0.949
static,0,128,13,0.9824
static,0,32,14,0.8656
static,0,64,14,0.9472
static,0,128,14,0.9834
static,0,32,15,0.8746
static,0,64,15,0.9438000000000001
static,0,128,15,0.9828000000000001
static,0,32,16,0.7832
static,0,64,16,0.889
static,0,128,16,0.956
static,0,32,17,0.6826
static,0,64,17,0.8146000000000001
static,0,128,17,0.9102
static,0,32,18,0.5905999999999999
static,0,64,18,0.7298000000000001
static,0,128,18,0.8396
static,0,32,19,0.5032
static,0,64,19,0.6418
static,0,128,19,0.7557999999999999
static,0,32,20,0.4772
static,0,64,20,0.6142
static,0,128,20,0.7304
static,0,32,21,0.514
static,0,64,21,0.6476000000000001
static,0,128,21,0.7547999999999999
static,0,32,22,0.5078
static,0,64,22,0.6397999999999999
static,0,128,22,0.7596
static,0,32,23,0.48579999999999995
static,0,64,23,0.614
static,0,128,23,0.7422000000000001
static,0,32,24,0.5085999999999999
static,0,64,24,0.639
static,0,128,24,0.7546
adaptive_current,0,32,0,0.9822000000000001
adaptive_current,0,64,0,0.9944
adaptive_current,0,128,0,0.9992000000000001
adaptive_current,0,32,1,0.984
adaptive_current,0,64,1,0.9972000000000001
adaptive_current,0,128,1,0.999
adaptive_current,0,32,2,0.983
adaptive_current,0,64,2,0.9967999999999999
adaptive_current,0,128,2,0.9994
adaptive_current,0,32,3,0.9832000000000001
adaptive_current,0,64,3,0.9946
adaptive_current,0,128,3,0.9985999999999999
adaptive_current,0,32,4,0.988
adaptive_current,0,64,4,0.9966000000000002
adaptive_current,0,128,4,0.9992000000000001
adaptive_current,0,32,5,0.9866000000000001
adaptive_current,0,64,5,0.9962000000000001
adaptive_current,0,128,5,0.999
adaptive_current,0,32,6,0.9816000000000001
adaptive_current,0,64,6,0.9962000000000001
adaptive_current,0,128,6,0.9987999999999999
adaptive_current,21707,32,7,0.9624000000000001
adaptive_current,21707,64,7,0.9888000000000001
adaptive_current,21707,128,7,0.998
adaptive_current,43752,32,8,0.9278000000000002
adaptive_current,43752,64,8,0.9728
adaptive_current,43752,128,8,0.992
adaptive_current,64451,32,9,0.873
adaptive_current,64451,64,9,0.9424
adaptive_current,64451,128,9,0.9832000000000001
adaptive_current,79744,32,10,0.8897999999999999
adaptive_current,79744,64,10,0.9556000000000001
adaptive_current,79744,128,10,0.9858
adaptive_current,90524,32,11,0.9070000000000001
adaptive_current,90524,64,11,0.963
adaptive_current,90524,128,11,0.9876
adaptive_current,102700,32,12,0.8996000000000001
adaptive_current,102700,64,12,0.9586000000000001
adaptive_current,102700,128,12,0.9894000000000001
adaptive_current,110949,32,13,0.911
adaptive_current,110949,64,13,0.9626
adaptive_current,110949,128,13,0.987
adaptive_current,117190,32,14,0.9072
adaptive_current,117190,64,14,0.9642000000000001
adaptive_current,117190,128,14,0.9873999999999999
adaptive_current,122075,32,15,0.9096000000000002
adaptive_current,122075,64,15,0.9598
adaptive_current,122075,128,15,0.9866000000000001
adaptive_current,125745,32,16,0.863
adaptive_current,125745,64,16,0.9292
adaptive_current,125745,128,16,0.9692000000000001
adaptive_current,128377,32,17,0.805
adaptive_current,128377,64,17,0.8760000000000001
adaptive_current,128377,128,17,0.9375999999999999
adaptive_current,131363,32,18,0.751
adaptive_current,131363,64,18,0.8266
adaptive_current,131363,128,18,0.8847999999999999
adaptive_current,138830,32,19,0.6451999999999999
adaptive_current,138830,64,19,0.7306
adaptive_current,138830,128,19,0.8036000000000001
adaptive_current,143105,32,20,0.6978
adaptive_current,143105,64,20,0.7598
adaptive_current,143105,128,20,0.82
adaptive_current,145426,32,21,0.7464000000000001
adaptive_current,145426,64,21,0.7966
adaptive_current,145426,128,21,0.8473999999999999
adaptive_current,147193,32,22,0.7768
adaptive_current,147193,64,22,0.8258
adaptive_current,147193,128,22,0.8766000000000002
adaptive_current,148976,32,23,0.7636000000000002
adaptive_current,148976,64,23,0.8044000000000001
adaptive_current,148976,128,23,0.8556
adaptive_current,149958,32,24,0.7746000000000002
adaptive_current,149958,64,24,0.8174000000000001
adaptive_current,149958,128,24,0.8564
adaptive_improved,29260,32,0,0.9828
adaptive_improved,29260,64,0,0.9944
adaptive_improved,29260,128,0,0.9992000000000001
adaptive_improved,55862,32,1,0.9842000000000001
adaptive_improved,55862,64,1,0.9972000000000001
adaptive_improved,55862,128,1,0.999
adaptive_improved,80376,32,2,0.9834
adaptive_improved,80376,64,2,0.9967999999999999
adaptive_improved,80376,128,2,0.9994
adaptive_improved,109084,32,3,0.984
adaptive_improved,109084,64,3,0.9948
adaptive_improved,109084,128,3,0.9987999999999999
adaptive_improved,132980,32,4,0.9896
adaptive_improved,132980,64,4,0.9968
adaptive_improved,132980,128,4,0.9994
adaptive_improved,159802,32,5,0.9886
adaptive_improved,159802,64,5,0.9964000000000001
adaptive_improved,159802,128,5,0.9992000000000001
adaptive_improved,187274,32,6,0.9836000000000001
adaptive_improved,187274,64,6,0.9964
adaptive_improved,187274,128,6,0.9987999999999999
adaptive_improved,214412,32,7,0.9666
adaptive_improved,214412,64,7,0.9902000000000001
adaptive_improved,214412,128,7,0.9982000000000001
adaptive_improved,248365,32,8,0.934
adaptive_improved,248365,64,8,0.9743999999999999
adaptive_improved,248365,128,8,0.9926
adaptive_improved,292420,32,9,0.894
adaptive_improved,292420,64,9,0.9518
adaptive_improved,292420,128,9,0.9856
adaptive_improved,333390,32,10,0.919
adaptive_improved,333390,64,10,0.9686000000000001
adaptive_improved,333390,128,10,0.9906
adaptive_improved,368118,32,11,0.9348
adaptive_improved,368118,64,11,0.9772000000000001
adaptive_improved,368118,128,11,0.9924
adaptive_improved,403237,32,12,0.9434000000000001
adaptive_improved,403237,64,12,0.9778000000000002
adaptive_improved,403237,128,12,0.994
adaptive_improved,435907,32,13,0.9532
adaptive_improved,435907,64,13,0.9812000000000001
adaptive_improved,435907,128,13,0.9934
adaptive_improved,463800,32,14,0.9584000000000001
adaptive_improved,463800,64,14,0.9846
adaptive_improved,463800,128,14,0.9956
adaptive_improved,489497,32,15,0.9572
adaptive_improved,489497,64,15,0.9796000000000001
adaptive_improved,489497,128,15,0.9938
adaptive_improved,467953,32,16,0.9516
adaptive_improved,467953,64,16,0.9782000000000001
adaptive_improved,467953,128,16,0.9908
adaptive_improved,488905,32,17,0.9504000000000001
adaptive_improved,488905,64,17,0.9678000000000001
adaptive_improved,488905,128,17,0.9816
adaptive_improved,455149,32,18,0.9242
adaptive_improved,455149,64,18,0.9434000000000001
adaptive_improved,455149,128,18,0.9572
adaptive_improved,473803,32,19,0.8378
adaptive_improved,473803,64,19,0.8666
adaptive_improved,473803,128,19,0.897
adaptive_improved,486152,32,20,0.8764000000000001
adaptive_improved,486152,64,20,0.8907999999999999
adaptive_improved,486152,128,20,0.9142
adaptive_improved,495172,32,21,0.9016000000000002
adaptive_improved,495172,64,21,0.9174000000000001
adaptive_improved,495172,128,21,0.9284000000000001
adaptive_improved,452211,32,22,0.9234000000000001
adaptive_improved,452211,64,22,0.9342
adaptive_improved,452211,128,22,0.9482
adaptive_improved,458025,32,23,0.9242
adaptive_improved,458025,64,23,0.93
adaptive_improved,458025,128,23,0.9452
adaptive_improved,463849,32,24,0.9198000000000001
adaptive_improved,463849,64,24,0.9324
adaptive_improved,463849,128,24,0.9464000000000001
