condition,edge_count,ef,epoch,recall
static,0,32,0,0.9822000000000001
static,0,64,0,0.9944
static,0,128,0,0.9992000000000001
static,0,32,1,0.984
static,0,64,1,0.9972000000000001
static,0,128,1,0.999
static,0,32,2,0.983
static,0,64,2,0.9967999999999999
static,0,128,2,0.9994
static,0,32,3,0.9832000000000001
static,0,64,3,0.9946
static,0,128,3,0.9985999999999999
static,0,32,4,0.988
static,0,64,4,0.9966000000000002
static,0,128,4,0.9992000000000001
static,0,32,5,0.9866000000000001
static,0,64,5,0.9962000000000001
static,0,128,5,0.999
static,0,32,6,0.9874
static,0,64,6,0.9966
static,0,128,6,0.9992000000000001
static,0,32,7,0.9838000000000001
static,0,64,7,0.9964000000000001
static,0,128,7,0.9987999999999999
static,0,32,8,0.9858000000000001
static,0,64,8,0.9952000000000001
static,0,128,8,0.999
static,0,32,9,0.9826000000000001
static,0,64,9,0.9952000000000001
static,0,128,9,0.9986
static,0,32,10,0.9845999999999999
static,0,64,10,0.9958
static,0,128,10,0.9984
static,0,32,11,0.9834
static,0,64,11,0.9952000000000001
static,0,128,11,0.9994000000000001
static,0,32,12,0.985
static,0,64,12,0.9966
static,0,128,12,0.9994
static,0,32,13,0.5046
static,0,64,13,0.6407999999999999
static,0,128,13,0.762
static,0,32,14,0.5111999999999999
static,0,64,14,0.6497999999999999
static,0,128,14,0.768
static,0,32,15,0.5154
static,0,64,15,0.6452
static,0,128,15,0.7612000000000001
static,0,32,16,0.5131999999999999
static,0,64,16,0.643
static,0,128,16,0.7562000000000001
static,0,32,17,0.5156000000000001
static,0,64,17,0.637
static,0,128,17,0.7564000000000001
static,0,32,18,0.498
static,0,64,18,0.6286
static,0,128,18,0.7642
static,0,32,19,0.5032
static,0,64,19,0.6418
static,0,128,19,0.7557999999999999
static,0,32,20,0.4772
static,0,64,20,0.6142
static,0,128,20,0.7304
static,0,32,21,0.514
static,0,64,21,0.6476000000000001
static,0,128,21,0.7547999999999999
static,0,32,22,0.5078
static,0,64,22,0.6397999999999999
static,0,128,22,0.7596
static,0,32,23,0.48579999999999995
static,0,64,23,0.614
static,0,128,23,0.7422000000000001
static,0,32,24,0.5085999999999999
static,0,64,24,0.639
static,0,128,24,0.7546
adaptive_current,0,32,0,0.9822000000000001
adaptive_current,0,64,0,0.9944
adaptive_current,0,128,0,0.9992000000000001
adaptive_current,0,32,1,0.984
adaptive_current,0,64,1,0.9972000000000001
adaptive_current,0,128,1,0.999
adaptive_current,0,32,2,0.983
adaptive_current,0,64,2,0.9967999999999999
adaptive_current,0,128,2,0.9994
adaptive_current,0,32,3,0.9832000000000001
adaptive_current,0,64,3,0.9946
adaptive_current,0,128,3,0.9985999999999999
adaptive_current,0,32,4,0.988
adaptive_current,0,64,4,0.9966000000000002
adaptive_current,0,128,4,0.9992000000000001
adaptive_current,0,32,5,0.9866000000000001
adaptive_current,0,64,5,0.9962000000000001
adaptive_current,0,128,5,0.999
adaptive_current,0,32,6,0.9874
adaptive_current,0,64,6,0.9966
adaptive_current,0,128,6,0.9992000000000001
adaptive_current,0,32,7,0.9838000000000001
adaptive_current,0,64,7,0.9964000000000001
adaptive_current,0,128,7,0.9987999999999999
adaptive_current,0,32,8,0.9858000000000001
adaptive_current,0,64,8,0.9952000000000001
adaptive_current,0,128,8,0.999
adaptive_current,20268,32,9,0.9826000000000001
adaptive_current,20268,64,9,0.9952000000000001
adaptive_current,20268,128,9,0.9986
adaptive_current,37915,32,10,0.9845999999999999
adaptive_current,37915,64,10,0.9958
adaptive_current,37915,128,10,0.9984
adaptive_current,37915,32,11,0.9842000000000001
adaptive_current,37915,64,11,0.9954000000000001
adaptive_current,37915,128,11,0.9994000000000001
adaptive_current,37915,32,12,0.9858000000000001
adaptive_current,37915,64,12,0.9967999999999999
adaptive_current,37915,128,12,0.9994
adaptive_current,61322,32,13,0.5046
adaptive_current,61322,64,13,0.6407999999999999
adaptive_current,61322,128,13,0.762
adaptive_current,74883,32,14,0.699
adaptive_current,74883,64,14,0.764
adaptive_current,74883,128,14,0.8226
adaptive_current,79973,32,15,0.7504
adaptive_current,79973,64,15,0.8052
adaptive_current,79973,128,15,0.8624
adaptive_current,83599,32,16,0.7562000000000001
adaptive_current,83599,64,16,0.8026
adaptive_current,83599,128,16,0.8473999999999999
adaptive_current,85918,32,17,0.7896000000000002
adaptive_current,85918,64,17,0.8324000000000001
adaptive_current,85918,128,17,0.8710000000000001
adaptive_current,87665,32,18,0.783
adaptive_current,87665,64,18,0.8284000000000001
adaptive_current,87665,128,18,0.8817999999999999
adaptive_current,88999,32,19,0.7724000000000001
adaptive_current,88999,64,19,0.8256
adaptive_current,88999,128,19,0.8700000000000001
adaptive_current,90168,32,20,0.7536
adaptive_current,90168,64,20,0.807
adaptive_current,90168,128,20,0.855
adaptive_current,91284,32,21,0.7732
adaptive_current,91284,64,21,0.8234000000000001
adaptive_current,91284,128,21,0.8662000000000001
adaptive_current,92597,32,22,0.7974000000000001
adaptive_current,92597,64,22,0.8464
adaptive_current,92597,128,22,0.8872000000000001
adaptive_current,93444,32,23,0.7784000000000001
adaptive_current,93444,64,23,0.8184000000000001
adaptive_current,93444,128,23,0.8624
adaptive_current,93851,32,24,0.7807999999999999
adaptive_current,93851,64,24,0.8282
adaptive_current,93851,128,24,0.8634000000000001
adaptive_improved,29260,32,0,0.9828
adaptive_improved,29260,64,0,0.9944
adaptive_improved,29260,128,0,0.9992000000000001
adaptive_improved,55862,32,1,0.9842000000000001
adaptive_improved,55862,64,1,0.9972000000000001
adaptive_improved,55862,128,1,0.999
adaptive_improved,80376,32,2,0.9834
adaptive_improved,80376,64,2,0.9967999999999999
adaptive_improved,80376,128,2,0.9994
adaptive_improved,109084,32,3,0.984
adaptive_improved,109084,64,3,0.9948
adaptive_improved,109084,128,3,0.9987999999999999
adaptive_improved,132980,32,4,0.9896
adaptive_improved,132980,64,4,0.9968
adaptive_improved,132980,128,4,0.9994
adaptive_improved,159802,32,5,0.9886
adaptive_improved,159802,64,5,0.9964000000000001
adaptive_improved,159802,128,5,0.9992000000000001
adaptive_improved,187058,32,6,0.9887999999999999
adaptive_improved,187058,64,6,0.997
adaptive_improved,187058,128,6,0.9996
adaptive_improved,209214,32,7,0.9882000000000001
adaptive_improved,209214,64,7,0.9975999999999999
adaptive_improved,209214,128,7,0.9992000000000001
adaptive_improved,233122,32,8,0.9882000000000001
adaptive_improved,233122,64,8,0.9956
adaptive_improved,233122,128,8,0.9992000000000001
adaptive_improved,258178,32,9,0.9853999999999999
adaptive_improved,258178,64,9,0.9962000000000001
adaptive_improved,258178,128,9,0.9986
adaptive_improved,281394,32,10,0.9864
adaptive_improved,281394,64,10,0.9965999999999999
adaptive_improved,281394,128,10,0.9985999999999999
adaptive_improved,301732,32,11,0.9866000000000001
adaptive_improved,301732,64,11,0.9962000000000001
adaptive_improved,301732,128,11,0.9997999999999999
adaptive_improved,323438,32,12,0.9886
adaptive_improved,323438,64,12,0.997
adaptive_improved,323438,128,12,0.9994
adaptive_improved,370280,32,13,0.8038
adaptive_improved,370280,64,13,0.8468
adaptive_improved,370280,128,13,0.8886000000000001
adaptive_improved,389683,32,14,0.92
adaptive_improved,389683,64,14,0.9366
adaptive_improved,389683,128,14,0.9516
adaptive_improved,403481,32,15,0.9382
adaptive_improved,403481,64,15,0.9496000000000001
adaptive_improved,403481,128,15,0.964
adaptive_improved,414424,32,16,0.9446
adaptive_improved,414424,64,16,0.9522
adaptive_improved,414424,128,16,0.9622
adaptive_improved,423458,32,17,0.953
adaptive_improved,423458,64,17,0.9618
adaptive_improved,423458,128,17,0.9702000000000001
adaptive_improved,430565,32,18,0.9524000000000001
adaptive_improved,430565,64,18,0.9588
adaptive_improved,430565,128,18,0.9708
adaptive_improved,438636,32,19,0.9494000000000001
adaptive_improved,438636,64,19,0.9580000000000001
adaptive_improved,438636,128,19,0.9672000000000001
adaptive_improved,446206,32,20,0.9578000000000001
adaptive_improved,446206,64,20,0.9644000000000001
adaptive_improved,446206,128,20,0.9682000000000001
adaptive_improved,452613,32,21,0.962
adaptive_improved,452613,64,21,0.9676000000000001
adaptive_improved,452613,128,21,0.9728000000000001
adaptive_improved,457937,32,22,0.9612
adaptive_improved,457937,64,22,0.969
adaptive_improved,457937,128,22,0.9784
adaptive_improved,462529,32,23,0.9558000000000001
adaptive_improved,462529,64,23,0.9602
adaptive_improved,462529,128,23,0.9694
adaptive_improved,467193,32,24,0.9614000000000001
adaptive_improved,467193,64,24,0.9658000000000001
adaptive_improved,467193,128,24,0.9702000000000001
