condition,edge_count,ef,epoch,recall
static,0,32,0,0.8998
static,0,64,0,0.9586000000000001
static,0,128,0,0.9888000000000001
static,0,32,1,0.8937999999999999
static,0,64,1,0.9578000000000002
static,0,128,1,0.99
static,0,32,2,0.9126000000000001
static,0,64,2,0.967
static,0,128,2,0.9907999999999999
static,0,32,3,0.891
static,0,64,3,0.955
static,0,128,3,0.9846
static,0,32,4,0.8916000000000001
static,0,64,4,0.9604000000000001
static,0,128,4,0.987
static,0,32,5,0.8977999999999999
static,0,64,5,0.9584000000000001
static,0,128,5,0.9886
static,0,32,6,0.8932
static,0,64,6,0.9626
static,0,128,6,0.9886
static,0,32,7,0.8712000000000001
static,0,64,7,0.9456
static,0,128,7,0.9818000000000002
static,0,32,8,0.8076
static,0,64,8,0.9056000000000001
static,0,128,8,0.9636
static,0,32,9,0.7228000000000001
static,0,64,9,0.839
static,0,128,9,0.9218000000000002
static,0,32,10,0.7272000000000001
static,0,64,10,0.8444
static,0,128,10,0.9212
static,0,32,11,0.7364
static,0,64,11,0.859
static,0,128,11,0.934
static,0,32,12,0.7442
static,0,64,12,0.8528000000000001
static,0,128,12,0.93
static,0,32,13,0.7376
static,0,64,13,0.8452000000000001
static,0,128,13,0.929
static,0,32,14,0.7274
static,0,64,14,0.8458000000000001
static,0,128,14,0.926
static,0,32,15,0.7325999999999999
static,0,64,15,0.8526
static,0,128,15,0.936
static,0,32,16,0.6336
static,0,64,16,0.7724000000000001
static,0,128,16,0.883
static,0,32,17,0.5484
static,0,64,17,0.699
static,0,128,17,0.8212
static,0,32,18,0.4542
static,0,64,18,0.588
static,0,128,18,0.7164
static,0,32,19,0.386
static,0,64,19,0.5092
static,0,128,19,0.6356000000000002
static,0,32,20,0.395
static,0,64,20,0.5146
static,0,128,20,0.639
static,0,32,21,0.3996
static,0,64,21,0.5352
static,0,128,21,0.66
static,0,32,22,0.394
static,0,64,22,0.5227999999999999
static,0,128,22,0.6471999999999999
static,0,32,23,0.3927999999999999
static,0,64,23,0.5178
static,0,128,23,0.6407999999999999
static,0,32,24,0.4018
static,0,64,24,0.5216000000000001
static,0,128,24,0.6488
adaptive_current,0,32,0,0.8998
adaptive_current,0,64,0,0.9586000000000001
adaptive_current,0,128,0,0.9888000000000001
adaptive_current,0,32,1,0.8937999999999999
adaptive_current,0,64,1,0.9578000000000002
adaptive_current,0,128,1,0.99
adaptive_current,0,32,2,0.9126000000000001
adaptive_current,0,64,2,0.967
adaptive_current,0,128,2,0.9907999999999999
adaptive_current,0,32,3,0.891
adaptive_current,0,64,3,0.955
adaptive_current,0,128,3,0.9846
adaptive_current,0,32,4,0.8916000000000001
adaptive_current,0,64,4,0.9604000000000001
adaptive_current,0,128,4,0.987
adaptive_current,0,32,5,0.8977999999999999
adaptive_current,0,64,5,0.9584000000000001
adaptive_current,0,128,5,0.9886
adaptive_current,0,32,6,0.8932
adaptive_current,0,64,6,0.9626
adaptive_current,0,128,6,0.9886
adaptive_current,21036,32,7,0.8712000000000001
adaptive_current,21036,64,7,0.9456
adaptive_current,21036,128,7,0.9818000000000002
adaptive_current,40580,32,8,0.808
adaptive_current,40580,64,8,0.9057999999999999
adaptive_current,40580,128,8,0.9636
adaptive_current,60516,32,9,0.7234
adaptive_current,60516,64,9,0.839
adaptive_current,60516,128,9,0.9218000000000002
adaptive_current,75560,32,10,0.7315999999999999
adaptive_current,75560,64,10,0.8466000000000001
adaptive_current,75560,128,10,0.922
adaptive_current,89220,32,11,0.7454000000000001
adaptive_current,89220,64,11,0.8636
adaptive_current,89220,128,11,0.936
adaptive_current,102094,32,12,0.7494000000000001
adaptive_current,102094,64,12,0.8568000000000001
adaptive_current,102094,128,12,0.9308
adaptive_current,112662,32,13,0.7522000000000001
adaptive_current,112662,64,13,0.8526
adaptive_current,112662,128,13,0.932
adaptive_current,121601,32,14,0.7446
adaptive_current,121601,64,14,0.8568
adaptive_current,121601,128,14,0.9314000000000001
adaptive_current,130553,32,15,0.7502000000000001
adaptive_current,130553,64,15,0.8626
adaptive_current,130553,128,15,0.9382
adaptive_current,137884,32,16,0.6714000000000001
adaptive_current,137884,64,16,0.7956
adaptive_current,137884,128,16,0.8927999999999999
adaptive_current,145398,32,17,0.6093999999999999
adaptive_current,145398,64,17,0.7363999999999999
adaptive_current,145398,128,17,0.8378000000000001
adaptive_current,154165,32,18,0.5438
adaptive_current,154165,64,18,0.646
adaptive_current,154165,128,18,0.7494000000000001
adaptive_current,163937,32,19,0.49620000000000003
adaptive_current,163937,64,19,0.587
adaptive_current,163937,128,19,0.6822
adaptive_current,170743,32,20,0.562
adaptive_current,170743,64,20,0.6412
adaptive_current,170743,128,20,0.7186
adaptive_current,175144,32,21,0.598
adaptive_current,175144,64,21,0.6788
adaptive_current,175144,128,21,0.7522000000000001
adaptive_current,177613,32,22,0.605
adaptive_current,177613,64,22,0.6912
adaptive_current,177613,128,22,0.7622000000000001
adaptive_current,180150,32,23,0.6144
adaptive_current,180150,64,23,0.6804
adaptive_current,180150,128,23,0.7526
adaptive_current,182191,32,24,0.6257999999999999
adaptive_current,182191,64,24,0.6914000000000001
adaptive_current,182191,128,24,0.767
adaptive_improved,32340,32,0,0.9006000000000002
adaptive_improved,32340,64,0,0.9590000000000001
adaptive_improved,32340,128,0,0.9888000000000001
adaptive_improved,58062,32,1,0.8962
adaptive_improved,58062,64,1,0.9584000000000001
adaptive_improved,58062,128,1,0.99
adaptive_improved,81642,32,2,0.9164000000000001
adaptive_improved,81642,64,2,0.968
adaptive_improved,81642,128,2,0.991
adaptive_improved,110696,32,3,0.8976000000000001
adaptive_improved,110696,64,3,0.9576
adaptive_improved,110696,128,3,0.9855999999999999
adaptive_improved,135904,32,4,0.8982
adaptive_improved,135904,64,4,0.9618000000000001
adaptive_improved,135904,128,4,0.9874
adaptive_improved,162912,32,5,0.905
adaptive_improved,162912,64,5,0.9612
adaptive_improved,162912,128,5,0.9887999999999999
adaptive_improved,190156,32,6,0.8998
adaptive_improved,190156,64,6,0.9646
adaptive_improved,190156,128,6,0.989
adaptive_improved,218870,32,7,0.8772000000000001
adaptive_improved,218870,64,7,0.9482
adaptive_improved,218870,128,7,0.9826
adaptive_improved,254225,32,8,0.8164
adaptive_improved,254225,64,8,0.9108
adaptive_improved,254225,128,8,0.9652000000000001
adaptive_improved,296417,32,9,0.732
adaptive_improved,296417,64,9,0.8438000000000001
adaptive_improved,296417,128,9,0.9244000000000001
adaptive_improved,342101,32,10,0.7466
adaptive_improved,342101,64,10,0.8558
adaptive_improved,342101,128,10,0.9254000000000001
adaptive_improved,383899,32,11,0.7724000000000001
adaptive_improved,383899,64,11,0.8804000000000001
adaptive_improved,383899,128,11,0.9424000000000001
adaptive_improved,428900,32,12,0.7846000000000001
