condition,edge_count,ef,epoch,recall
static,0,32,0,0.8998
static,0,64,0,0.9586000000000001
static,0,128,0,0.9888000000000001
static,0,32,1,0.8937999999999999
static,0,64,1,0.9578000000000002
static,0,128,1,0.99
static,0,32,2,0.9126000000000001
static,0,64,2,0.967
static,0,128,2,0.9907999999999999
static,0,32,3,0.891
static,0,64,3,0.955
static,0,128,3,0.9846
static,0,32,4,0.8916000000000001
static,0,64,4,0.9604000000000001
static,0,128,4,0.987
static,0,32,5,0.8977999999999999
static,0,64,5,0.9584000000000001
static,0,128,5,0.9886
static,0,32,6,0.9074000000000001
static,0,64,6,0.9636000000000001
static,0,128,6,0.99
static,0,32,7,0.9032
static,0,64,7,0.9626000000000001
static,0,128,7,0.9912000000000001
static,0,32,8,0.8986000000000001
static,0,64,8,0.9610000000000001
static,0,128,8,0.9877999999999999
static,0,32,9,0.898
static,0,64,9,0.9594000000000001
static,0,128,9,0.9886
static,0,32,10,0.906
static,0,64,10,0.9633999999999999
static,0,128,10,0.9896000000000001
static,0,32,11,0.9062
static,0,64,11,0.9642000000000001
static,0,128,11,0.9908
static,0,32,12,0.9066000000000002
static,0,64,12,0.9658
static,0,128,12,0.9894
static,0,32,13,0.3782
static,0,64,13,0.5152
static,0,128,13,0.6344
static,0,32,14,0.39259999999999995
static,0,64,14,0.5222
static,0,128,14,0.6422
static,0,32,15,0.4014
static,0,64,15,0.5254
static,0,128,15,0.642
static,0,32,16,0.382
static,0,64,16,0.51
static,0,128,16,0.636
static,0,32,17,0.3876
static,0,64,17,0.523
static,0,128,17,0.6504
static,0,32,18,0.3902
static,0,64,18,0.5121999999999999
static,0,128,18,0.6454000000000001
static,0,32,19,0.386
static,0,64,19,0.5092
static,0,128,19,0.6356000000000002
static,0,32,20,0.395
static,0,64,20,0.5146
static,0,128,20,0.639
static,0,32,21,0.3996
static,0,64,21,0.5352
static,0,128,21,0.66
static,0,32,22,0.394
static,0,64,22,0.5227999999999999
static,0,128,22,0.6471999999999999
static,0,32,23,0.3927999999999999
static,0,64,23,0.5178
static,0,128,23,0.6407999999999999
static,0,32,24,0.4018
static,0,64,24,0.5216000000000001
static,0,128,24,0.6488
adaptive_current,0,32,0,0.8998
adaptive_current,0,64,0,0.9586000000000001
adaptive_current,0,128,0,0.9888000000000001
adaptive_current,0,32,1,0.8937999999999999
adaptive_current,0,64,1,0.9578000000000002
adaptive_current,0,128,1,0.99
adaptive_current,0,32,2,0.9126000000000001
adaptive_current,0,64,2,0.967
adaptive_current,0,128,2,0.9907999999999999
adaptive_current,0,32,3,0.891
adaptive_current,0,64,3,0.955
adaptive_current,0,128,3,0.9846
adaptive_current,0,32,4,0.8916000000000001
adaptive_current,0,64,4,0.9604000000000001
adaptive_current,0,128,4,0.987
adaptive_current,0,32,5,0.8977999999999999
adaptive_current,0,64,5,0.9584000000000001
adaptive_current,0,128,5,0.9886
adaptive_current,0,32,6,0.9074000000000001
adaptive_current,0,64,6,0.9636000000000001
adaptive_current,0,128,6,0.99
adaptive_current,0,32,7,0.9032
adaptive_current,0,64,7,0.9626000000000001
adaptive_current,0,128,7,0.9912000000000001
adaptive_current,0,32,8,0.8986000000000001
adaptive_current,0,64,8,0.9610000000000001
adaptive_current,0,128,8,0.9877999999999999
adaptive_current,17388,32,9,0.898
adaptive_current,17388,64,9,0.9594000000000001
adaptive_current,17388,128,9,0.9886
adaptive_current,17388,32,10,0.9062
adaptive_current,17388,64,10,0.9633999999999999
adaptive_current,17388,128,10,0.9896000000000001
adaptive_current,17388,32,11,0.9064000000000001
adaptive_current,17388,64,11,0.9644000000000001
adaptive_current,17388,128,11,0.9908
adaptive_current,17388,32,12,0.9066000000000002
adaptive_current,17388,64,12,0.9658
adaptive_current,17388,128,12,0.9894
adaptive_current,43597,32,13,0.3782
adaptive_current,43597,64,13,0.5152
adaptive_current,43597,128,13,0.6344
adaptive_current,60570,32,14,0.5458
adaptive_current,60570,64,14,0.6352000000000001
adaptive_current,60570,128,14,0.7122
adaptive_current,68721,32,15,0.604
adaptive_current,68721,64,15,0.6756
adaptive_current,68721,128,15,0.7454
adaptive_current,73823,32,16,0.6194
adaptive_current,73823,64,16,0.6934000000000001
adaptive_current,73823,128,16,0.7592000000000001
adaptive_current,76351,32,17,0.6292
adaptive_current,76351,64,17,0.7104000000000001
adaptive_current,76351,128,17,0.7846000000000002
adaptive_current,78790,32,18,0.6367999999999999
adaptive_current,78790,64,18,0.7052
adaptive_current,78790,128,18,0.7747999999999999
adaptive_current,79976,32,19,0.629
adaptive_current,79976,64,19,0.6991999999999999
adaptive_current,79976,128,19,0.7576000000000002
adaptive_current,80843,32,20,0.6387999999999999
adaptive_current,80843,64,20,0.6998000000000001
adaptive_current,80843,128,20,0.7618
adaptive_current,81453,32,21,0.6497999999999999
adaptive_current,81453,64,21,0.7226
adaptive_current,81453,128,21,0.7834
adaptive_current,82132,32,22,0.6648
adaptive_current,82132,64,22,0.734
adaptive_current,82132,128,22,0.7922
adaptive_current,82801,32,23,0.6492
adaptive_current,82801,64,23,0.7176
adaptive_current,82801,128,23,0.7728
adaptive_current,83267,32,24,0.6544000000000001
adaptive_current,83267,64,24,0.7182000000000001
adaptive_current,83267,128,24,0.7914000000000001
adaptive_improved,32340,32,0,0.9006000000000002
adaptive_improved,32340,64,0,0.9590000000000001
adaptive_improved,32340,128,0,0.9888000000000001
adaptive_improved,58062,32,1,0.8962
adaptive_improved,58062,64,1,0.9584000000000001
adaptive_improved,58062,128,1,0.99
adaptive_improved,81642,32,2,0.9164000000000001
adaptive_improved,81642,64,2,0.968
adaptive_improved,81642,128,2,0.991
adaptive_improved,110696,32,3,0.8976000000000001
adaptive_improved,110696,64,3,0.9576
adaptive_improved,110696,128,3,0.9855999999999999
adaptive_improved,135904,32,4,0.8982
adaptive_improved,135904,64,4,0.9618000000000001
adaptive_improved,135904,128,4,0.9874
adaptive_improved,162912,32,5,0.905
adaptive_improved,162912,64,5,0.9612
adaptive_improved,162912,128,5,0.9887999999999999
adaptive_improved,188236,32,6,0.9162
adaptive_improved,188236,64,6,0.9668000000000001
adaptive_improved,188236,128,6,0.9908
adaptive_improved,211486,32,7,0.9144000000000001
adaptive_improved,211486,64,7,0.9672000000000001
adaptive_improved,211486,128,7,0.9924
adaptive_improved,236068,32,8,0.912
adaptive_improved,236068,64,8,0.9678000000000001
adaptive_improved,236068,128,8,0.989
adaptive_improved,262906,32,9,0.9136
adaptive_improved,262906,64,9,0.966
adaptive_improved,262906,128,9,0.9892000000000001
adaptive_improved,287628,32,10,0.9216
adaptive_improved,287628,64,10,0.9698000000000001
adaptive_improved,287628,128,10,0.9906000000000001
adaptive_improved,310934,32,11,0.927
adaptive_improved,310934,64,11,0.9716
adaptive_improved,310934,128,11,0.9924000000000001
