schedule,phase,ef,recall,edges_inserted
gradual,baseline,32,0.7686000000000001,0
gradual,baseline,64,0.8806000000000002,0
gradual,baseline,128,0.941,0
gradual,baseline,256,0.9768000000000001,0
gradual,shortcut,32,0.8314,31345
gradual,shortcut,64,0.9106000000000001,31345
gradual,shortcut,128,0.9568000000000002,31345
gradual,shortcut,256,0.9818,31345
sudden,baseline,32,0.7686000000000001,0
sudden,baseline,64,0.8806000000000002,0
sudden,baseline,128,0.941,0
sudden,baseline,256,0.9768000000000001,0
sudden,shortcut,32,0.8314,31345
sudden,shortcut,64,0.9106000000000001,31345
sudden,shortcut,128,0.9568000000000002,31345
sudden,shortcut,256,0.9818,31345
