condition,epoch,ef,recall,edge_count,gate_open,window_mean_gap,n_efhigh_queries
static,0,32,0.8986000000000002,0,False,0.0,0
static,0,64,0.9526000000000001,0,False,0.0,0
static,0,128,0.977,0,False,0.0,0
static,1,32,0.906,0,False,0.0,0
static,1,64,0.9542,0,False,0.0,0
static,1,128,0.981,0,False,0.0,0
static,2,32,0.9102,0,False,0.0,0
static,2,64,0.958,0,False,0.0,0
static,2,128,0.9822000000000001,0,False,0.0,0
static,3,32,0.8986000000000002,0,False,0.0,0
static,3,64,0.951,0,False,0.0,0
static,3,128,0.9774,0,False,0.0,0
static,4,32,0.9044,0,False,0.0,0
static,4,64,0.9526000000000001,0,False,0.0,0
static,4,128,0.978,0,False,0.0,0
static,5,32,0.8922,0,False,0.0,0
static,5,64,0.9496,0,False,0.0,0
static,5,128,0.9758,0,False,0.0,0
static,6,32,0.8764,0,False,0.0,0
static,6,64,0.9364,0,False,0.0,0
static,6,128,0.9692000000000001,0,False,0.0,0
static,7,32,0.852,0,False,0.0,0
static,7,64,0.9264000000000001,0,False,0.0,0
static,7,128,0.9648,0,False,0.0,0
static,8,32,0.8552000000000001,0,False,0.0,0
static,8,64,0.9332,0,False,0.0,0
static,8,128,0.9708000000000001,0,False,0.0,0
static,9,32,0.829,0,False,0.0,0
static,9,64,0.9092,0,False,0.0,0
static,9,128,0.9520000000000001,0,False,0.0,0
static,10,32,0.8286000000000001,0,False,0.0,0
static,10,64,0.9096000000000001,0,False,0.0,0
static,10,128,0.9574000000000001,0,False,0.0,0
static,11,32,0.8432000000000001,0,False,0.0,0
static,11,64,0.919,0,False,0.0,0
static,11,128,0.9624000000000001,0,False,0.0,0
static,12,32,0.847,0,False,0.0,0
static,12,64,0.9106000000000002,0,False,0.0,0
static,12,128,0.9574,0,False,0.0,0
static,13,32,0.8276,0,False,0.0,0
static,13,64,0.9044,0,False,0.0,0
static,13,128,0.9502,0,False,0.0,0
static,14,32,0.8298,0,False,0.0,0
static,14,64,0.9084000000000001,0,False,0.0,0
static,14,128,0.9576000000000001,0,False,0.0,0
static,15,32,0.8218,0,False,0.0,0
static,15,64,0.911,0,False,0.0,0
static,15,128,0.9574000000000001,0,False,0.0,0
static,16,32,0.8054000000000001,0,False,0.0,0
static,16,64,0.8932,0,False,0.0,0
static,16,128,0.947,0,False,0.0,0
static,17,32,0.7807999999999999,0,False,0.0,0
static,17,64,0.8822000000000001,0,False,0.0,0
static,17,128,0.9448000000000001,0,False,0.0,0
static,18,32,0.7692,0,False,0.0,0
static,18,64,0.8732000000000001,0,False,0.0,0
static,18,128,0.936,0,False,0.0,0
static,19,32,0.7766000000000001,0,False,0.0,0
static,19,64,0.8756,0,False,0.0,0
static,19,128,0.9376000000000001,0,False,0.0,0
static,20,32,0.7647999999999999,0,False,0.0,0
static,20,64,0.8622000000000001,0,False,0.0,0
static,20,128,0.9346,0,False,0.0,0
static,21,32,0.7844000000000001,0,False,0.0,0
static,21,64,0.8694,0,False,0.0,0
static,21,128,0.9328,0,False,0.0,0
static,22,32,0.7686000000000001,0,False,0.0,0
static,22,64,0.8806000000000002,0,False,0.0,0
static,22,128,0.941,0,False,0.0,0
static,23,32,0.7994000000000001,0,False,0.0,0
static,23,64,0.8912,0,False,0.0,0
static,23,128,0.9474000000000001,0,False,0.0,0
static,24,32,0.781,0,False,0.0,0
static,24,64,0.8836,0,False,0.0,0
static,24,128,0.9406,0,False,0.0,0
adaptive_eh,0,32,0.8986000000000002,0,False,0.0,0
adaptive_eh,0,64,0.9526000000000001,0,False,0.0,0
adaptive_eh,0,128,0.977,0,False,0.0,0
adaptive_eh,1,32,0.906,0,False,0.0,0
adaptive_eh,1,64,0.9542,0,False,0.0,0
adaptive_eh,1,128,0.981,0,False,0.0,0
adaptive_eh,2,32,0.9102,0,False,0.0,0
adaptive_eh,2,64,0.958,0,False,0.0,0
adaptive_eh,2,128,0.9822000000000001,0,False,0.0,0
adaptive_eh,3,32,0.8986000000000002,0,False,0.0,0
adaptive_eh,3,64,0.951,0,False,0.0,0
adaptive_eh,3,128,0.9774,0,False,0.0,0
adaptive_eh,4,32,0.9044,0,False,0.0,0
adaptive_eh,4,64,0.9526000000000001,0,False,0.0,0
adaptive_eh,4,128,0.978,0,False,0.0,0
adaptive_eh,5,32,0.8922,0,False,0.0,0
adaptive_eh,5,64,0.9496,0,False,0.0,0
adaptive_eh,5,128,0.9758,0,False,0.0,0
adaptive_eh,6,32,0.8764,20812,False,0.0,0
adaptive_eh,6,64,0.9364,20812,False,0.0,0
adaptive_eh,6,128,0.9692000000000001,20812,False,0.0,0
adaptive_eh,7,32,0.8534,37132,False,0.0,0
adaptive_eh,7,64,0.9264000000000001,37132,False,0.0,0
adaptive_eh,7,128,0.9648,37132,False,0.0,0
adaptive_eh,8,32,0.8572000000000001,46507,False,0.0,0
adaptive_eh,8,64,0.9338000000000001,46507,False,0.0,0
adaptive_eh,8,128,0.9712000000000001,46507,False,0.0,0
adaptive_eh,9,32,0.8308,53992,False,0.0,0
adaptive_eh,9,64,0.9102,53992,False,0.0,0
adaptive_eh,9,128,0.9528000000000001,53992,False,0.0,0
adaptive_eh,10,32,0.835,60531,False,0.0,0
adaptive_eh,10,64,0.9118,60531,False,0.0,0
adaptive_eh,10,128,0.958,60531,False,0.0,0
adaptive_eh,11,32,0.845,66069,False,0.0,0
adaptive_eh,11,64,0.92,66069,False,0.0,0
adaptive_eh,11,128,0.963,66069,False,0.0,0
adaptive_eh,12,32,0.8512000000000001,72726,False,0.0,0
adaptive_eh,12,64,0.9126000000000002,72726,False,0.0,0
adaptive_eh,12,128,0.958,72726,False,0.0,0
adaptive_eh,13,32,0.835,77458,False,0.0,0
adaptive_eh,13,64,0.9102,77458,False,0.0,0
adaptive_eh,13,128,0.953,77458,False,0.0,0
adaptive_eh,14,32,0.8368,77458,False,0.0,0
adaptive_eh,14,64,0.912,77458,False,0.0,0
adaptive_eh,14,128,0.9588,77458,False,0.0,0
adaptive_eh,15,32,0.8284,77458,False,0.0,0
adaptive_eh,15,64,0.9138000000000001,77458,False,0.0,0
adaptive_eh,15,128,0.9588,77458,False,0.0,0
adaptive_eh,16,32,0.8096000000000001,91758,False,0.0,0
adaptive_eh,16,64,0.8962,91758,False,0.0,0
adaptive_eh,16,128,0.9486000000000001,91758,False,0.0,0
adaptive_eh,17,32,0.7886,103534,False,0.0,0
adaptive_eh,17,64,0.8864,103534,False,0.0,0
adaptive_eh,17,128,0.946,103534,False,0.0,0
adaptive_eh,18,32,0.7777999999999999,113459,False,0.0,0
adaptive_eh,18,64,0.878,113459,False,0.0,0
adaptive_eh,18,128,0.9372,113459,False,0.0,0
adaptive_eh,19,32,0.7856000000000002,120010,False,0.0,0
adaptive_eh,19,64,0.8797999999999999,120010,False,0.0,0
adaptive_eh,19,128,0.9388,120010,False,0.0,0
adaptive_eh,20,32,0.7742,129633,False,0.0,0
adaptive_eh,20,64,0.8674000000000001,129633,False,0.0,0
adaptive_eh,20,128,0.9366,129633,False,0.0,0
adaptive_eh,21,32,0.7956,139580,False,0.0,0
adaptive_eh,21,64,0.8756,139580,False,0.0,0
adaptive_eh,21,128,0.9344,139580,False,0.0,0
adaptive_eh,22,32,0.78,147463,False,0.0,0
adaptive_eh,22,64,0.8852000000000001,147463,False,0.0,0
adaptive_eh,22,128,0.9426000000000001,147463,False,0.0,0
adaptive_eh,23,32,0.8124,106159,False,0.0,0
adaptive_eh,23,64,0.895,106159,False,0.0,0
adaptive_eh,23,128,0.9482,106159,False,0.0,0
adaptive_eh,24,32,0.7894000000000001,106159,False,0.0,0
adaptive_eh,24,64,0.8874000000000001,106159,False,0.0,0
adaptive_eh,24,128,0.9418,106159,False,0.0,0
gateway_gap_gate,0,32,0.8986000000000002,0,False,0.0,45
gateway_gap_gate,0,64,0.9526000000000001,0,False,0.0,45
gateway_gap_gate,0,128,0.977,0,False,0.0,45
gateway_gap_gate,1,32,0.906,0,False,0.0,50
gateway_gap_gate,1,64,0.9542,0,False,0.0,50
gateway_gap_gate,1,128,0.981,0,False,0.0,50
gateway_gap_gate,2,32,0.9102,0,False,0.0,50
gateway_gap_gate,2,64,0.958,0,False,0.0,50
gateway_gap_gate,2,128,0.9822000000000001,0,False,0.0,50
gateway_gap_gate,3,32,0.8986000000000002,0,False,0.0,41
gateway_gap_gate,3,64,0.951,0,False,0.0,41
gateway_gap_gate,3,128,0.9774,0,False,0.0,41
gateway_gap_gate,4,32,0.9044,0,False,0.0,58
gateway_gap_gate,4,64,0.9526000000000001,0,False,0.0,58
gateway_gap_gate,4,128,0.978,0,False,0.0,58
gateway_gap_gate,5,32,0.8922,2083,False,1.36,50
gateway_gap_gate,5,64,0.9536,2083,False,1.36,50
gateway_gap_gate,5,128,0.9763999999999999,2083,False,1.36,50
gateway_gap_gate,6,32,0.8772000000000001,3679,False,1.0530973451327434,63
gateway_gap_gate,6,64,0.9382,3679,False,1.0530973451327434,63
gateway_gap_gate,6,128,0.9696,3679,False,1.0530973451327434,63
gateway_gap_gate,7,32,0.8528000000000001,6060,False,1.2160493827160495,49
gateway_gap_gate,7,64,0.9286,6060,False,1.2160493827160495,49
gateway_gap_gate,7,128,0.9658,6060,False,1.2160493827160495,49
gateway_gap_gate,8,32,0.8568000000000001,7446,False,1.1682692307692308,46
gateway_gap_gate,8,64,0.9350000000000002,7446,False,1.1682692307692308,46
gateway_gap_gate,8,128,0.9722000000000001,7446,False,1.1682692307692308,46
gateway_gap_gate,9,32,0.8306,9159,False,1.2056451612903225,40
gateway_gap_gate,9,64,0.911,9159,False,1.2056451612903225,40
gateway_gap_gate,9,128,0.9524000000000001,9159,False,1.2056451612903225,40
gateway_gap_gate,10,32,0.8298000000000001,11613,False,1.274247491638796,51
gateway_gap_gate,10,64,0.9132,11613,False,1.274247491638796,51
gateway_gap_gate,10,128,0.9598000000000001,11613,False,1.274247491638796,51
gateway_gap_gate,11,32,0.8474,13516,False,1.2766666666666666,50
gateway_gap_gate,11,64,0.9222,13516,False,1.2766666666666666,50
gateway_gap_gate,11,128,0.9638,13516,False,1.2766666666666666,50
gateway_gap_gate,12,32,0.8484,15624,False,1.3866666666666667,49
gateway_gap_gate,12,64,0.9126000000000001,15624,False,1.3866666666666667,49
gateway_gap_gate,12,128,0.9588,15624,False,1.3866666666666667,49
gateway_gap_gate,13,32,0.8298,18259,False,1.4533333333333334,48
gateway_gap_gate,13,64,0.9086000000000001,18259,False,1.4533333333333334,48
gateway_gap_gate,13,128,0.9515999999999999,18259,False,1.4533333333333334,48
gateway_gap_gate,14,32,0.8328,19862,False,1.4666666666666666,50
gateway_gap_gate,14,64,0.9106000000000001,19862,False,1.4666666666666666,50
gateway_gap_gate,14,128,0.9582,19862,False,1.4666666666666666,50
gateway_gap_gate,15,32,0.8258,21090,False,1.4233333333333333,49
gateway_gap_gate,15,64,0.915,21090,False,1.4233333333333333,49
gateway_gap_gate,15,128,0.9586,21090,False,1.4233333333333333,49
gateway_gap_gate,16,32,0.809,23152,False,1.4833333333333334,40
gateway_gap_gate,16,64,0.899,23152,False,1.4833333333333334,40
gateway_gap_gate,16,128,0.949,23152,False,1.4833333333333334,40
gateway_gap_gate,17,32,0.784,25958,False,1.6166666666666667,46
gateway_gap_gate,17,64,0.8878,25958,False,1.6166666666666667,46
gateway_gap_gate,17,128,0.9474,25958,False,1.6166666666666667,46
gateway_gap_gate,18,32,0.7746000000000002,29267,False,1.7133333333333334,48
gateway_gap_gate,18,64,0.8797999999999999,29267,False,1.7133333333333334,48
gateway_gap_gate,18,128,0.9384000000000001,29267,False,1.7133333333333334,48
gateway_gap_gate,19,32,0.7832,33044,False,1.8,61
gateway_gap_gate,19,64,0.8856,33044,False,1.8,61
gateway_gap_gate,19,128,0.9402,33044,False,1.8,61
gateway_gap_gate,20,32,0.7728,36522,False,2.033333333333333,55
gateway_gap_gate,20,64,0.8692000000000001,36522,False,2.033333333333333,55
gateway_gap_gate,20,128,0.9368,36522,False,2.033333333333333,55
gateway_gap_gate,21,32,0.7938000000000001,38195,False,2.1133333333333333,34
gateway_gap_gate,21,64,0.8752000000000001,38195,False,2.1133333333333333,34
gateway_gap_gate,21,128,0.9342,38195,False,2.1133333333333333,34
gateway_gap_gate,22,32,0.7786000000000002,41750,False,2.256666666666667,57
gateway_gap_gate,22,64,0.8874000000000001,41750,False,2.256666666666667,57
gateway_gap_gate,22,128,0.9428000000000001,41750,False,2.256666666666667,57
gateway_gap_gate,23,32,0.8108000000000001,43470,False,2.2066666666666666,40
gateway_gap_gate,23,64,0.8986000000000002,43470,False,2.2066666666666666,40
gateway_gap_gate,23,128,0.9504000000000001,43470,False,2.2066666666666666,40
gateway_gap_gate,24,32,0.7938,45796,False,2.1433333333333335,50
gateway_gap_gate,24,64,0.8926,45796,False,2.1433333333333335,50
gateway_gap_gate,24,128,0.9434000000000001,45796,False,2.1433333333333335,50
