condition,edge_count,ef,epoch,recall
static,0,32,0,1.0
static,0,64,0,1.0
static,0,128,0,1.0
static,0,32,1,1.0
static,0,64,1,1.0
static,0,128,1,1.0
static,0,32,2,1.0
static,0,64,2,1.0
static,0,128,2,1.0
static,0,32,3,1.0
static,0,64,3,1.0
static,0,128,3,1.0
static,0,32,4,1.0
static,0,64,4,1.0
static,0,128,4,1.0
static,0,32,5,1.0
static,0,64,5,1.0
static,0,128,5,1.0
static,0,32,6,1.0
static,0,64,6,1.0
static,0,128,6,1.0
static,0,32,7,1.0
static,0,64,7,1.0
static,0,128,7,1.0
static,0,32,8,1.0
static,0,64,8,0.9997999999999999
static,0,128,8,1.0
static,0,32,9,1.0
static,0,64,9,0.9997999999999999
static,0,128,9,0.9997999999999999
static,0,32,10,1.0
static,0,64,10,1.0
static,0,128,10,1.0
static,0,32,11,1.0
static,0,64,11,1.0
static,0,128,11,1.0
static,0,32,12,1.0
static,0,64,12,1.0
static,0,128,12,1.0
static,0,32,13,0.325
static,0,64,13,0.6497999999999999
static,0,128,13,0.8478000000000002
static,0,32,14,0.3312
static,0,64,14,0.6285999999999999
static,0,128,14,0.8346
static,0,32,15,0.32780000000000004
static,0,64,15,0.622
static,0,128,15,0.838
static,0,32,16,0.321
static,0,64,16,0.6396000000000001
static,0,128,16,0.8542000000000002
static,0,32,17,0.3316
static,0,64,17,0.653
static,0,128,17,0.8398000000000002
static,0,32,18,0.3162
static,0,64,18,0.6322000000000001
static,0,128,18,0.8394000000000001
static,0,32,19,0.327
static,0,64,19,0.633
static,0,128,19,0.8430000000000001
static,0,32,20,0.32739999999999997
static,0,64,20,0.6386
static,0,128,20,0.8464
static,0,32,21,0.3292
static,0,64,21,0.644
static,0,128,21,0.8536000000000001
static,0,32,22,0.32880000000000004
static,0,64,22,0.6576
static,0,128,22,0.8610000000000001
static,0,32,23,0.324
static,0,64,23,0.6391999999999999
static,0,128,23,0.8484
static,0,32,24,0.32680000000000003
static,0,64,24,0.6355999999999999
static,0,128,24,0.8494
adaptive_current,0,32,0,1.0
adaptive_current,0,64,0,1.0
adaptive_current,0,128,0,1.0
adaptive_current,0,32,1,1.0
adaptive_current,0,64,1,1.0
adaptive_current,0,128,1,1.0
adaptive_current,0,32,2,1.0
adaptive_current,0,64,2,1.0
adaptive_current,0,128,2,1.0
adaptive_current,0,32,3,1.0
adaptive_current,0,64,3,1.0
adaptive_current,0,128,3,1.0
adaptive_current,0,32,4,1.0
adaptive_current,0,64,4,1.0
adaptive_current,0,128,4,1.0
adaptive_current,0,32,5,1.0
adaptive_current,0,64,5,1.0
adaptive_current,0,128,5,1.0
adaptive_current,0,32,6,1.0
adaptive_current,0,64,6,1.0
adaptive_current,0,128,6,1.0
adaptive_current,0,32,7,1.0
adaptive_current,0,64,7,1.0
adaptive_current,0,128,7,1.0
adaptive_current,15756,32,8,1.0
adaptive_current,15756,64,8,0.9997999999999999
adaptive_current,15756,128,8,1.0
adaptive_current,15756,32,9,1.0
adaptive_current,15756,64,9,0.9997999999999999
adaptive_current,15756,128,9,0.9997999999999999
adaptive_current,15756,32,10,1.0
adaptive_current,15756,64,10,1.0
adaptive_current,15756,128,10,1.0
adaptive_current,15756,32,11,1.0
adaptive_current,15756,64,11,1.0
adaptive_current,15756,128,11,1.0
adaptive_current,15756,32,12,1.0
adaptive_current,15756,64,12,1.0
adaptive_current,15756,128,12,1.0
adaptive_current,33027,32,13,0.325
adaptive_current,33027,64,13,0.6497999999999999
adaptive_current,33027,128,13,0.8478000000000002
adaptive_current,47908,32,14,0.34679999999999994
adaptive_current,47908,64,14,0.6376
adaptive_current,47908,128,14,0.8376000000000001
adaptive_current,60362,32,15,0.35320000000000007
adaptive_current,60362,64,15,0.6325999999999999
adaptive_current,60362,128,15,0.8412000000000002
adaptive_current,69464,32,16,0.3588
adaptive_current,69464,64,16,0.656
adaptive_current,69464,128,16,0.8596000000000001
adaptive_current,77753,32,17,0.3792
adaptive_current,77753,64,17,0.6746
adaptive_current,77753,128,17,0.8446
adaptive_current,83916,32,18,0.39640000000000003
adaptive_current,83916,64,18,0.6614
adaptive_current,83916,128,18,0.8486000000000001
adaptive_current,89572,32,19,0.4146
adaptive_current,89572,64,19,0.6678
adaptive_current,89572,128,19,0.8508000000000001
adaptive_current,94184,32,20,0.398
adaptive_current,94184,64,20,0.6656
adaptive_current,94184,128,20,0.8546
adaptive_current,98803,32,21,0.43320000000000003
adaptive_current,98803,64,21,0.689
adaptive_current,98803,128,21,0.8666000000000001
adaptive_current,102515,32,22,0.42640000000000006
adaptive_current,102515,64,22,0.6962
adaptive_current,102515,128,22,0.8694000000000001
adaptive_current,106061,32,23,0.41480000000000006
adaptive_current,106061,64,23,0.6788
adaptive_current,106061,128,23,0.8592000000000001
adaptive_current,109416,32,24,0.42560000000000003
adaptive_current,109416,64,24,0.6702
adaptive_current,109416,128,24,0.8590000000000001
adaptive_improved,26620,32,0,1.0
adaptive_improved,26620,64,0,1.0
adaptive_improved,26620,128,0,1.0
adaptive_improved,57200,32,1,1.0
adaptive_improved,57200,64,1,1.0
adaptive_improved,57200,128,1,1.0
adaptive_improved,82280,32,2,1.0
adaptive_improved,82280,64,2,1.0
adaptive_improved,82280,128,2,1.0
adaptive_improved,110220,32,3,1.0
adaptive_improved,110220,64,3,1.0
adaptive_improved,110220,128,3,1.0
adaptive_improved,137500,32,4,1.0
adaptive_improved,137500,64,4,1.0
adaptive_improved,137500,128,4,1.0
adaptive_improved,164780,32,5,1.0
adaptive_improved,164780,64,5,1.0
adaptive_improved,164780,128,5,1.0
adaptive_improved,190300,32,6,1.0
adaptive_improved,190300,64,6,1.0
adaptive_improved,190300,128,6,1.0
adaptive_improved,216884,32,7,1.0
adaptive_improved,216884,64,7,1.0
adaptive_improved,216884,128,7,1.0
adaptive_improved,239544,32,8,1.0
adaptive_improved,239544,64,8,0.9997999999999999
adaptive_improved,239544,128,8,1.0
adaptive_improved,264624,32,9,1.0
adaptive_improved,264624,64,9,0.9997999999999999
adaptive_improved,264624,128,9,0.9997999999999999
adaptive_improved,289906,32,10,1.0
adaptive_improved,289906,64,10,1.0
adaptive_improved,289906,128,10,1.0
adaptive_improved,317626,32,11,1.0
adaptive_improved,317626,64,11,1.0
adaptive_improved,317626,128,11,1.0
adaptive_improved,345310,32,12,1.0
adaptive_improved,345310,64,12,1.0
adaptive_improved,345310,128,12,1.0
adaptive_improved,457275,32,13,0.377
adaptive_improved,457275,64,13,0.6748
adaptive_improved,457275,128,13,0.8568000000000001
adaptive_improved,466351,32,14,0.4784
adaptive_improved,466351,64,14,0.7028000000000001
adaptive_improved,466351,128,14,0.8608000000000001
adaptive_improved,471643,32,15,0.5556000000000001
adaptive_improved,471643,64,15,0.7406
adaptive_improved,471643,128,15,0.8744000000000001
adaptive_improved,472077,32,16,0.644
adaptive_improved,472077,64,16,0.8002
adaptive_improved,472077,128,16,0.9057999999999999
adaptive_improved,469555,32,17,0.6728000000000001
adaptive_improved,469555,64,17,0.8134
adaptive_improved,469555,128,17,0.9002
adaptive_improved,463490,32,18,0.7328000000000001
adaptive_improved,463490,64,18,0.8396
adaptive_improved,463490,128,18,0.9072
adaptive_improved,455796,32,19,0.7708
adaptive_improved,455796,64,19,0.8606
adaptive_improved,455796,128,19,0.915
adaptive_improved,497304,32,20,0.7678000000000001
adaptive_improved,497304,64,20,0.8600000000000001
adaptive_improved,497304,128,20,0.9162
adaptive_improved,488951,32,21,0.8132
adaptive_improved,488951,64,21,0.8832000000000001
adaptive_improved,488951,128,21,0.927
adaptive_improved,480089,32,22,0.823
adaptive_improved,480089,64,22,0.886
adaptive_improved,480089,128,22,0.9274000000000001
adaptive_improved,470756,32,23,0.8416000000000001
adaptive_improved,470756,64,23,0.8942
adaptive_improved,470756,128,23,0.9266000000000001
adaptive_improved,462429,32,24,0.8474
adaptive_improved,462429,64,24,0.8932
adaptive_improved,462429,128,24,0.9298000000000002
