condition,edge_count,ef,eh_gate_open,epoch,mean_eh_window,recall
static,0,32,,0,,1.0
static,0,64,,0,,1.0
static,0,128,,0,,1.0
static,0,32,,1,,1.0
static,0,64,,1,,1.0
static,0,128,,1,,1.0
static,0,32,,2,,1.0
static,0,64,,2,,1.0
static,0,128,,2,,1.0
static,0,32,,3,,1.0
static,0,64,,3,,1.0
static,0,128,,3,,1.0
static,0,32,,4,,1.0
static,0,64,,4,,1.0
static,0,128,,4,,1.0
static,0,32,,5,,1.0
static,0,64,,5,,1.0
static,0,128,,5,,1.0
static,0,32,,6,,0.915
static,0,64,,6,,0.95
static,0,128,,6,,0.9808
static,0,32,,7,,0.8308000000000001
static,0,64,,7,,0.9106000000000001
static,0,128,,7,,0.9634000000000001
static,0,32,,8,,0.7414
static,0,64,,8,,0.861
static,0,128,,8,,0.9408000000000001
static,0,32,,9,,0.6596000000000001
static,0,64,,9,,0.8172
static,0,128,,9,,0.9174000000000001
static,0,32,,10,,0.6636
static,0,64,,10,,0.8172
static,0,128,,10,,0.9216
static,0,32,,11,,0.6617999999999999
static,0,64,,11,,0.822
static,0,128,,11,,0.9344000000000001
static,0,32,,12,,0.662
static,0,64,,12,,0.8105999999999999
static,0,128,,12,,0.9202000000000001
static,0,32,,13,,0.665
static,0,64,,13,,0.8291999999999999
static,0,128,,13,,0.922
static,0,32,,14,,0.6662
static,0,64,,14,,0.8144000000000001
static,0,128,,14,,0.9154000000000001
static,0,32,,15,,0.6642
static,0,64,,15,,0.8164
static,0,128,,15,,0.9228000000000001
static,0,32,,16,,0.5808
static,0,64,,16,,0.7806
static,0,128,,16,,0.9106000000000002
static,0,32,,17,,0.5016
static,0,64,,17,,0.7432000000000001
static,0,128,,17,,0.8812000000000001
static,0,32,,18,,0.40419999999999995
static,0,64,,18,,0.6804
static,0,128,,18,,0.8592000000000001
static,0,32,,19,,0.327
static,0,64,,19,,0.633
static,0,128,,19,,0.8430000000000001
static,0,32,,20,,0.32739999999999997
static,0,64,,20,,0.6386
static,0,128,,20,,0.8464
static,0,32,,21,,0.3292
static,0,64,,21,,0.644
static,0,128,,21,,0.8536000000000001
static,0,32,,22,,0.32880000000000004
static,0,64,,22,,0.6576
static,0,128,,22,,0.8610000000000001
static,0,32,,23,,0.324
static,0,64,,23,,0.6391999999999999
static,0,128,,23,,0.8484
static,0,32,,24,,0.32680000000000003
static,0,64,,24,,0.6355999999999999
static,0,128,,24,,0.8494
adaptive_improved,26620,32,,0,,1.0
adaptive_improved,26620,64,,0,,1.0
adaptive_improved,26620,128,,0,,1.0
adaptive_improved,57200,32,,1,,1.0
adaptive_improved,57200,64,,1,,1.0
adaptive_improved,57200,128,,1,,1.0
adaptive_improved,82280,32,,2,,1.0
adaptive_improved,82280,64,,2,,1.0
adaptive_improved,82280,128,,2,,1.0
adaptive_improved,110220,32,,3,,1.0
adaptive_improved,110220,64,,3,,1.0
adaptive_improved,110220,128,,3,,1.0
adaptive_improved,137500,32,,4,,1.0
adaptive_improved,137500,64,,4,,1.0
adaptive_improved,137500,128,,4,,1.0
adaptive_improved,164780,32,,5,,1.0
adaptive_improved,164780,64,,5,,1.0
adaptive_improved,164780,128,,5,,1.0
adaptive_improved,201680,32,,6,,0.9166
adaptive_improved,201680,64,,6,,0.9512
adaptive_improved,201680,128,,6,,0.981
adaptive_improved,249104,32,,7,,0.8344000000000001
adaptive_improved,249104,64,,7,,0.9126000000000001
adaptive_improved,249104,128,,7,,0.9638000000000001
adaptive_improved,305212,32,,8,,0.7672
adaptive_improved,305212,64,,8,,0.873
adaptive_improved,305212,128,,8,,0.9458000000000002
adaptive_improved,372796,32,,9,,0.716
adaptive_improved,372796,64,,9,,0.8452000000000001
adaptive_improved,372796,128,,9,,0.9248
adaptive_improved,441433,32,,10,,0.7464000000000001
adaptive_improved,441433,64,,10,,0.858
adaptive_improved,441433,128,,10,,0.9340000000000002
adaptive_improved,460010,32,,11,,0.7486000000000002
adaptive_improved,460010,64,,11,,0.8644
adaptive_improved,460010,128,,11,,0.9446000000000001
adaptive_improved,475994,32,,12,,0.8164000000000001
adaptive_improved,475994,64,,12,,0.888
adaptive_improved,475994,128,,12,,0.943
adaptive_improved,488531,32,,13,,0.7884
adaptive_improved,488531,64,,13,,0.8896
adaptive_improved,488531,128,,13,,0.9426000000000001
adaptive_improved,452574,32,,14,,0.8264000000000001
adaptive_improved,452574,64,,14,,0.8984
adaptive_improved,452574,128,,14,,0.9462
adaptive_improved,466925,32,,15,,0.8138000000000001
adaptive_improved,466925,64,,15,,0.8931999999999999
adaptive_improved,466925,128,,15,,0.9428
adaptive_improved,491754,32,,16,,0.7948000000000001
adaptive_improved,491754,64,,16,,0.886
adaptive_improved,491754,128,,16,,0.9434000000000001
adaptive_improved,472252,32,,17,,0.7884000000000001
adaptive_improved,472252,64,,17,,0.8707999999999999
adaptive_improved,472252,128,,17,,0.9286000000000001
adaptive_improved,459734,32,,18,,0.765
adaptive_improved,459734,64,,18,,0.8592000000000001
adaptive_improved,459734,128,,18,,0.9204000000000001
adaptive_improved,452365,32,,19,,0.7714000000000001
adaptive_improved,452365,64,,19,,0.8598000000000002
adaptive_improved,452365,128,,19,,0.9134000000000001
adaptive_improved,493940,32,,20,,0.7648
adaptive_improved,493940,64,,20,,0.8628000000000001
adaptive_improved,493940,128,,20,,0.9172
adaptive_improved,484543,32,,21,,0.8094000000000001
adaptive_improved,484543,64,,21,,0.8772000000000001
adaptive_improved,484543,128,,21,,0.9286000000000001
adaptive_improved,474532,32,,22,,0.8358000000000001
adaptive_improved,474532,64,,22,,0.8966000000000001
adaptive_improved,474532,128,,22,,0.93
adaptive_improved,464294,32,,23,,0.8340000000000002
adaptive_improved,464294,64,,23,,0.891
adaptive_improved,464294,128,,23,,0.9274000000000001
adaptive_improved,455377,32,,24,,0.857
adaptive_improved,455377,64,,24,,0.8958
adaptive_improved,455377,128,,24,,0.9308000000000001
adaptive_improved_gated,0,32,False,0,143.81994506039737,1.0
adaptive_improved_gated,0,64,False,0,143.81994506039737,1.0
adaptive_improved_gated,0,128,False,0,143.81994506039737,1.0
adaptive_improved_gated,0,32,False,1,143.8494764418778,1.0
adaptive_improved_gated,0,64,False,1,143.8494764418778,1.0
adaptive_improved_gated,0,128,False,1,143.8494764418778,1.0
adaptive_improved_gated,0,32,False,2,144.15166107595576,1.0
adaptive_improved_gated,0,64,False,2,144.15166107595576,1.0
adaptive_improved_gated,0,128,False,2,144.15166107595576,1.0
adaptive_improved_gated,0,32,False,3,141.5336431512203,1.0
adaptive_improved_gated,0,64,False,3,141.5336431512203,1.0
adaptive_improved_gated,0,128,False,3,141.5336431512203,1.0
adaptive_improved_gated,0,32,False,4,143.10856989598003,1.0
adaptive_improved_gated,0,64,False,4,143.10856989598003,1.0
adaptive_improved_gated,0,128,False,4,143.10856989598003,1.0
adaptive_improved_gated,0,32,False,5,141.49414536591087,1.0
adaptive_improved_gated,0,64,False,5,141.49414536591087,1.0
adaptive_improved_gated,0,128,False,5,141.49414536591087,1.0
adaptive_improved_gated,0,32,False,6,165.07422687201822,0.915
adaptive_improved_gated,0,64,False,6,165.07422687201822,0.95
adaptive_improved_gated,0,128,False,6,165.07422687201822,0.9808
adaptive_improved_gated,0,32,False,7,187.72766599231355,0.8308000000000001
adaptive_improved_gated,0,64,False,7,187.72766599231355,0.9106000000000001
adaptive_improved_gated,0,128,False,7,187.72766599231355,0.9634000000000001
adaptive_improved_gated,0,32,False,8,205.5805932115786,0.7414
adaptive_improved_gated,0,64,False,8,205.5805932115786,0.861
adaptive_improved_gated,0,128,False,8,205.5805932115786,0.9408000000000001
adaptive_improved_gated,47429,32,True,9,234.58920671165586,0.6634000000000001
adaptive_improved_gated,47429,64,True,9,234.58920671165586,0.8194000000000001
adaptive_improved_gated,47429,128,True,9,234.58920671165586,0.918
adaptive_improved_gated,117047,32,True,10,234.58920671165586,0.6944
adaptive_improved_gated,117047,64,True,10,234.58920671165586,0.8328
adaptive_improved_gated,117047,128,True,10,234.58920671165586,0.9258000000000001
adaptive_improved_gated,186343,32,True,11,234.58920671165586,0.7142000000000001
adaptive_improved_gated,186343,64,True,11,234.58920671165586,0.8488
adaptive_improved_gated,186343,128,True,11,234.58920671165586,0.9410000000000001
adaptive_improved_gated,255070,32,True,12,234.58920671165586,0.7797999999999999
adaptive_improved_gated,255070,64,True,12,234.58920671165586,0.8667999999999999
adaptive_improved_gated,255070,128,True,12,234.58920671165586,0.9376000000000001
adaptive_improved_gated,319337,32,True,13,234.58920671165586,0.7624000000000001
adaptive_improved_gated,319337,64,True,13,234.58920671165586,0.8774
adaptive_improved_gated,319337,128,True,13,234.58920671165586,0.9374000000000001
adaptive_improved_gated,384982,32,True,14,234.58920671165586,0.794
adaptive_improved_gated,384982,64,True,14,234.58920671165586,0.881
adaptive_improved_gated,384982,128,True,14,234.58920671165586,0.9392
adaptive_improved_gated,450895,32,True,15,234.58920671165586,0.7846000000000001
adaptive_improved_gated,450895,64,True,15,234.58920671165586,0.88
adaptive_improved_gated,450895,128,True,15,234.58920671165586,0.9398000000000001
adaptive_improved_gated,476842,32,True,16,234.58920671165586,0.7674000000000001
adaptive_improved_gated,476842,64,True,16,234.58920671165586,0.8715999999999999
adaptive_improved_gated,476842,128,True,16,234.58920671165586,0.9386
adaptive_improved_gated,458829,32,True,17,234.58920671165586,0.7602000000000001
adaptive_improved_gated,458829,64,True,17,234.58920671165586,0.8548
adaptive_improved_gated,458829,128,True,17,234.58920671165586,0.9238
adaptive_improved_gated,498136,32,True,18,234.58920671165586,0.7348
adaptive_improved_gated,498136,64,True,18,234.58920671165586,0.8446
adaptive_improved_gated,498136,128,True,18,234.58920671165586,0.9162
adaptive_improved_gated,491957,32,True,19,234.58920671165586,0.7476000000000002
adaptive_improved_gated,491957,64,True,19,234.58920671165586,0.847
adaptive_improved_gated,491957,128,True,19,234.58920671165586,0.91
adaptive_improved_gated,484795,32,True,20,234.58920671165586,0.7460000000000001
adaptive_improved_gated,484795,64,True,20,234.58920671165586,0.8542000000000001
adaptive_improved_gated,484795,128,True,20,234.58920671165586,0.9156
adaptive_improved_gated,475651,32,True,21,234.58920671165586,0.7966
adaptive_improved_gated,475651,64,True,21,234.58920671165586,0.8694000000000001
adaptive_improved_gated,475651,128,True,21,234.58920671165586,0.9264000000000001
adaptive_improved_gated,465486,32,True,22,234.58920671165586,0.821
adaptive_improved_gated,465486,64,True,22,234.58920671165586,0.8897999999999999
adaptive_improved_gated,465486,128,True,22,234.58920671165586,0.9282000000000001
adaptive_improved_gated,455034,32,True,23,234.58920671165586,0.8302
adaptive_improved_gated,455034,64,True,23,234.58920671165586,0.8874000000000001
adaptive_improved_gated,455034,128,True,23,234.58920671165586,0.9278000000000002
adaptive_improved_gated,496871,32,True,24,234.58920671165586,0.8488000000000001
adaptive_improved_gated,496871,64,True,24,234.58920671165586,0.8928
adaptive_improved_gated,496871,128,True,24,234.58920671165586,0.9294000000000001
