query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
0,in_distribution,0.5,251.09332275390625,181.98570251464844,69,200,4730,589,200,0,16,43,10,0,0
1,in_distribution,0.7,238.8501739501953,199.00169372558594,41,214,5144,564,214,0,13,7,21,0,0
2,in_distribution,0.9,195.121826171875,164.613037109375,61,200,4875,525,200,0,32,24,5,0,0
3,in_distribution,0.5,315.1932678222656,208.23460388183594,70,201,4966,591,201,0,32,16,22,0,0
4,in_distribution,0.7,307.85107421875,180.17782592773438,103,201,4776,521,201,0,48,29,26,0,0
5,in_distribution,0.6,279.755859375,182.66127014160156,85,200,4911,532,200,0,48,16,21,0,0
6,in_distribution,0.7,261.1656494140625,174.2359161376953,60,202,5033,531,202,0,32,9,19,0,0
7,in_distribution,0.8,264.4799499511719,194.44679260253906,72,201,4876,533,201,0,32,12,28,0,0
8,in_distribution,0.8,284.91644287109375,184.3443603515625,86,201,4780,555,201,0,32,29,25,0,0
9,in_distribution,1.0,250.30345153808594,172.75413513183594,109,201,4865,556,201,0,48,56,5,0,0
10,in_distribution,0.8,261.99951171875,174.6844482421875,95,200,4831,521,200,0,32,31,32,0,0
11,in_distribution,0.9,262.93792724609375,194.4853973388672,84,200,4758,528,200,0,48,16,20,0,0
12,in_distribution,0.7,274.6697692871094,163.28411865234375,84,202,4869,590,202,0,32,28,24,0,0
13,in_distribution,0.7,241.60354614257812,204.14146423339844,103,202,4925,555,202,0,16,76,11,0,0
14,in_distribution,0.7,303.73712158203125,218.76931762695312,52,201,4889,511,201,0,16,16,20,0,0
15,in_distribution,0.8,277.7098693847656,181.04603576660156,98,200,4686,508,200,0,48,13,37,0,0
16,in_distribution,0.6,311.25054931640625,204.98509216308594,54,204,4846,555,204,0,16,13,25,0,0
17,in_distribution,0.9,309.368896484375,207.3826141357422,73,209,4937,559,209,0,16,48,9,0,0
18,in_distribution,0.3,263.10626220703125,176.23724365234375,87,201,4751,532,201,0,48,26,13,0,0
19,in_distribution,0.6,261.914794921875,188.99302673339844,99,202,4799,543,202,0,48,15,36,0,0
20,in_distribution,0.4,278.4803771972656,196.90298461914062,84,200,4737,530,200,0,32,43,9,0,0
21,in_distribution,0.4,282.37213134765625,212.75491333007812,71,203,4839,565,203,0,16,45,10,0,0
22,in_distribution,0.8,325.0814208984375,177.52059936523438,94,200,4847,583,200,0,32,44,18,0,0
23,in_distribution,0.8,277.657958984375,180.5818634033203,87,202,4875,562,202,0,16,41,30,0,0
24,in_distribution,0.6,281.43048095703125,195.56686401367188,89,202,4899,528,202,0,32,48,9,0,0
25,in_distribution,0.5,274.10577392578125,214.24935913085938,73,203,4903,583,203,0,32,32,9,0,0
26,in_distribution,0.6,252.4262237548828,167.5822296142578,80,200,4934,496,200,0,46,25,9,0,0
27,in_distribution,0.9,283.56005859375,171.00624084472656,75,202,4926,538,202,0,16,37,22,0,0
28,in_distribution,0.6,295.71142578125,186.829833984375,88,200,4760,534,200,0,32,29,27,0,0
29,in_distribution,0.7,307.9317932128906,200.878662109375,123,202,4945,556,202,0,16,87,20,0,0
30,in_distribution,0.8,217.56153869628906,146.61309814453125,73,201,4904,563,201,0,45,7,21,0,0
31,in_distribution,0.8,290.74322509765625,171.41908264160156,107,200,4729,523,200,0,32,48,27,0,0
32,in_distribution,0.6,286.7581481933594,177.77127075195312,120,201,4814,518,201,0,64,31,25,0,0
33,in_distribution,0.5,260.3990173339844,185.95489501953125,61,202,4930,549,202,0,32,12,17,0,0
34,in_distribution,0.6,269.9544677734375,184.58226013183594,74,200,4888,543,200,0,32,31,11,0,0
35,in_distribution,0.9,255.21566772460938,173.44473266601562,58,201,4803,550,201,0,32,15,11,0,0
36,in_distribution,0.9,323.7252502441406,204.94882202148438,58,200,4847,554,200,0,16,31,11,0,0
37,in_distribution,0.6,223.01632690429688,160.4901885986328,119,201,4965,570,201,0,80,18,21,0,0
38,in_distribution,0.7,267.83245849609375,184.9104766845703,56,200,4822,550,200,0,16,13,27,0,0
39,in_distribution,0.7,232.3953857421875,195.49087524414062,60,207,5016,595,207,0,16,39,5,0,0
40,in_distribution,0.7,271.00714111328125,190.66908264160156,92,201,4800,532,201,0,48,25,19,0,0
41,in_distribution,0.8,208.07984924316406,151.0876922607422,71,200,4771,539,200,0,32,28,11,0,0
42,in_distribution,0.9,272.43511962890625,174.92507934570312,62,200,4823,565,200,0,16,28,18,0,0
43,in_distribution,0.8,288.9493713378906,171.4351348876953,68,202,4852,538,202,0,32,12,24,0,0
44,in_distribution,0.8,259.8055419921875,174.40133666992188,60,200,4835,564,200,0,32,13,15,0,0
45,in_distribution,0.6,279.83203125,177.32102966308594,60,211,5076,564,211,0,16,25,19,0,0
46,in_distribution,0.5,224.9334716796875,178.66763305664062,45,200,4821,552,200,0,16,24,5,0,0
47,in_distribution,0.8,242.25686645507812,153.31431579589844,68,202,4841,484,202,0,32,16,20,0,0
48,in_distribution,0.9,267.5588684082031,162.5229949951172,89,200,4889,507,200,0,48,32,9,0,0
49,in_distribution,0.8,257.9751892089844,167.4484100341797,78,200,4773,517,200,0,32,28,18,0,0
