query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
0,0.0,0.7,270.7206115722656,173.04501342773438,94,202,4830,553,202,0,32,48,14,0,0
1,0.0,0.5,259.6795654296875,168.48318481445312,90,200,4720,513,200,0,32,31,27,0,0
2,0.0,0.9,272.7912292480469,154.87509155273438,100,201,4913,553,201,0,48,32,20,0,0
3,0.0,0.9,273.1586608886719,180.47952270507812,114,200,4790,531,200,0,63,39,12,0,0
4,0.0,0.8,264.4539794921875,166.13333129882812,97,201,4836,521,201,0,32,47,18,0,0
5,0.0,0.9,283.54974365234375,194.052734375,81,201,4885,565,201,0,32,31,18,0,0
6,0.0,0.7,241.93170166015625,178.6068572998047,89,200,4817,530,200,0,16,71,2,0,0
7,0.0,0.8,244.20648193359375,144.52542114257812,108,200,4720,516,200,0,64,16,28,0,0
8,0.0,0.8,209.6739044189453,188.07147216796875,43,203,4754,566,203,0,30,11,2,0,0
9,0.0,0.4,283.1230773925781,198.1020965576172,97,207,4847,554,207,0,16,64,17,0,0
10,0.0,0.8,258.3559265136719,180.35745239257812,49,201,4877,558,201,0,16,15,18,0,0
11,0.0,0.9,275.4591064453125,182.67613220214844,77,200,4767,537,200,0,32,30,15,0,0
12,0.0,0.8,242.2434539794922,161.39263916015625,65,201,4822,531,201,0,16,31,18,0,0
13,0.0,0.9,248.85519409179688,166.538330078125,88,203,4826,500,203,0,16,44,28,0,0
14,0.0,0.8,228.18289184570312,177.4112548828125,74,201,4827,536,201,0,31,31,12,0,0
15,0.0,0.6,235.2493133544922,194.0982208251953,59,200,4852,560,200,0,16,31,12,0,0
16,0.0,0.5,241.4534912109375,182.136962890625,39,200,4764,558,200,0,13,24,2,0,0
17,0.0,0.5,285.84503173828125,185.2596435546875,69,201,4735,516,201,0,15,43,11,0,0
18,0.0,0.6,251.601806640625,176.15802001953125,93,200,4813,545,200,0,32,43,18,0,0
19,0.0,0.8,241.2105255126953,176.50991821289062,59,200,4842,582,200,0,16,31,12,0,0
20,0.0,0.6,255.5765380859375,166.4647674560547,95,200,4855,518,200,0,16,47,32,0,0
21,0.0,0.5,234.81553649902344,177.75938415527344,76,214,5106,569,214,0,32,42,2,0,0
22,0.0,0.8,287.93524169921875,172.3788604736328,86,204,4935,604,204,0,48,27,11,0,0
23,0.0,0.7,250.34579467773438,152.30789184570312,99,200,4942,489,200,0,48,16,35,0,0
24,0.0,0.8,220.36468505859375,174.47442626953125,112,205,4926,506,205,0,64,16,32,0,0
25,0.0,0.5,276.052978515625,193.33990478515625,91,201,4788,552,201,0,48,31,12,0,0
26,0.0,0.7,283.5176086425781,190.2894744873047,94,202,4904,523,202,0,48,24,22,0,0
27,0.0,0.9,249.55320739746094,166.5819091796875,93,200,4794,526,200,0,48,30,15,0,0
28,0.0,0.7,231.27919006347656,176.1460723876953,59,201,4856,542,201,0,32,15,12,0,0
29,0.0,0.7,260.77081298828125,171.9582061767578,100,200,4842,529,200,0,48,26,26,0,0
30,0.0,0.8,264.85205078125,174.0506134033203,76,200,4842,530,200,0,15,32,29,0,0
31,0.0,0.9,221.26150512695312,172.32452392578125,70,205,4847,540,205,0,16,31,23,0,0
32,0.0,0.7,237.2958526611328,178.2016143798828,53,200,4928,544,200,0,32,14,7,0,0
33,0.0,0.9,262.0357666015625,214.9967803955078,71,205,5030,589,205,0,16,53,2,0,0
34,0.0,0.7,241.6371307373047,166.39569091796875,75,202,4881,577,202,0,32,27,16,0,0
35,0.0,0.5,262.0942077636719,206.23379516601562,85,201,4775,536,201,0,48,30,7,0,0
36,0.0,0.9,273.4197998046875,194.75027465820312,49,205,4996,543,205,0,16,16,17,0,0
37,0.0,0.7,297.6165771484375,203.37905883789062,68,202,4924,546,202,0,32,16,20,0,0
38,0.0,0.9,258.8476867675781,192.9635772705078,74,202,4910,536,202,0,32,14,28,0,0
39,0.0,0.8,227.8443603515625,170.3605499267578,81,203,4975,553,203,0,16,58,7,0,0
40,0.0,0.8,309.5248107910156,182.74298095703125,88,202,4831,544,202,0,48,24,16,0,0
41,0.0,0.8,279.6526184082031,183.28659057617188,77,202,4797,525,202,0,16,47,14,0,0
42,0.0,0.7,263.43963623046875,190.03208923339844,49,201,4799,518,201,0,16,16,17,0,0
43,0.0,0.7,210.9066162109375,175.71316528320312,91,201,4873,534,201,0,31,58,2,0,0
44,0.0,0.6,306.6179504394531,190.19906616210938,91,208,4956,551,208,0,32,43,16,0,0
45,0.0,0.8,254.3153533935547,182.44384765625,46,204,4880,591,204,0,16,16,14,0,0
46,0.0,0.8,278.49468994140625,156.4692840576172,75,200,4833,530,200,0,32,31,12,0,0
47,0.0,0.9,206.4932098388672,172.2136688232422,75,201,4819,538,201,0,16,47,12,0,0
48,0.0,1.0,249.74502563476562,182.00050354003906,83,201,4773,542,201,0,16,47,20,0,0
49,0.0,0.6,276.4617004394531,159.46609497070312,101,200,4846,558,200,0,16,78,7,0,0
50,0.0,0.6,238.5823516845703,179.5785369873047,71,200,4868,519,200,0,16,53,2,0,0
51,0.0,0.9,304.6512451171875,177.15907287597656,92,201,4909,540,201,0,48,16,28,0,0
