query_id,distribution,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps
0,in_distribution,1.0,45.85289764404297,37.032325744628906,35,50,908
1,in_distribution,1.0,46.909584045410156,27.7275447845459,40,51,977
2,in_distribution,1.0,61.06284713745117,33.62497329711914,42,51,840
3,in_distribution,1.0,53.938560485839844,25.489315032958984,74,50,893
4,in_distribution,1.0,53.1446418762207,31.01359748840332,51,50,873
5,in_distribution,0.8,54.28998565673828,27.649396896362305,45,50,925
6,in_distribution,1.0,51.86473846435547,25.66565704345703,60,50,887
7,in_distribution,1.0,48.51484680175781,24.45638084411621,67,51,942
8,in_distribution,1.0,61.47163772583008,39.18998718261719,58,51,930
9,in_distribution,1.0,42.77173614501953,42.22199249267578,28,52,924
10,in_distribution,1.0,73.91510772705078,39.0515251159668,34,50,896
11,in_distribution,1.0,52.26528549194336,35.49383544921875,28,51,919
12,in_distribution,1.0,57.06689453125,32.42206954956055,53,53,922
13,in_distribution,1.0,49.80070495605469,37.59307098388672,40,51,884
14,in_distribution,0.8,88.68226623535156,48.19434356689453,53,52,858
15,in_distribution,1.0,57.141056060791016,41.1994743347168,44,51,933
16,in_distribution,0.9,60.423580169677734,38.03776168823242,70,52,949
17,in_distribution,1.0,48.430419921875,26.103878021240234,44,50,854
18,in_distribution,1.0,53.9911003112793,29.709135055541992,44,52,936
19,in_distribution,1.0,70.31098175048828,42.45072937011719,54,50,863
20,in_distribution,1.0,55.067962646484375,29.844364166259766,63,50,914
21,in_distribution,1.0,51.22418975830078,32.383392333984375,39,51,912
22,in_distribution,1.0,30.091432571411133,26.501134872436523,49,50,930
23,in_distribution,0.8,85.88463592529297,45.24433898925781,33,50,912
24,in_distribution,0.8,50.70033645629883,32.644554138183594,37,50,936
25,in_distribution,1.0,74.45405578613281,46.629356384277344,28,54,994
26,in_distribution,1.0,54.96833419799805,23.13670539855957,44,50,919
27,in_distribution,0.9,57.126136779785156,25.35597038269043,60,50,899
28,in_distribution,0.9,44.25828552246094,31.822872161865234,26,50,954
29,in_distribution,0.9,46.27556228637695,24.331785202026367,24,50,941
30,in_distribution,1.0,47.88249969482422,27.91362190246582,42,52,989
31,in_distribution,1.0,78.73780822753906,32.17873001098633,73,50,847
32,in_distribution,0.8,57.96734619140625,29.0203857421875,79,50,912
33,in_distribution,1.0,48.76116943359375,29.43265151977539,44,50,989
34,in_distribution,1.0,71.60651397705078,30.83500099182129,38,50,891
35,in_distribution,1.0,52.394405364990234,37.186580657958984,59,51,936
36,in_distribution,1.0,50.371219635009766,24.75956916809082,56,50,951
37,in_distribution,1.0,49.79941940307617,29.402000427246094,67,51,904
38,in_distribution,1.0,77.47046661376953,28.529930114746094,54,50,885
39,in_distribution,0.7,49.30202865600586,36.5017204284668,66,52,935
40,in_distribution,1.0,52.124916076660156,35.481292724609375,37,51,920
41,in_distribution,0.8,61.68762969970703,41.607826232910156,52,50,859
42,in_distribution,1.0,69.44972229003906,32.15167236328125,27,50,928
43,in_distribution,1.0,46.91427230834961,29.433732986450195,57,50,873
44,in_distribution,1.0,63.079872131347656,30.251333236694336,77,50,887
45,in_distribution,1.0,55.75632095336914,35.492061614990234,58,51,945
46,in_distribution,1.0,64.12869262695312,37.2885856628418,31,50,886
47,in_distribution,1.0,47.00185775756836,27.42970085144043,35,52,974
48,in_distribution,1.0,45.07688903808594,36.53853225708008,42,50,881
49,in_distribution,1.0,50.85928726196289,35.4356575012207,40,53,973
50,in_distribution,1.0,50.31429672241211,28.941003799438477,45,53,991
51,in_distribution,1.0,36.39986038208008,20.106443405151367,35,50,932
52,in_distribution,0.9,66.86351776123047,52.857540130615234,25,52,942
53,in_distribution,1.0,56.17107009887695,30.133235931396484,59,50,928
