query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length
0,0.0,0.7,270.7206115722656,173.04501342773438,92,202,4836,551,202
1,0.0,0.6,259.6795654296875,182.151123046875,73,202,4759,505,202
2,0.0,0.9,272.7912292480469,176.89190673828125,113,201,4928,574,201
3,0.0,0.9,273.1586608886719,192.17434692382812,63,203,4866,520,203
4,0.0,0.8,264.4539794921875,175.1422119140625,82,201,4833,518,201
5,0.0,0.9,283.54974365234375,176.25965881347656,97,200,4877,556,200
6,0.0,0.7,241.93170166015625,178.6068572998047,89,200,4815,529,200
7,0.0,0.8,244.20648193359375,144.52542114257812,108,200,4704,513,200
8,0.0,0.8,209.6739044189453,188.07147216796875,41,206,4838,584,206
9,0.0,0.5,283.1230773925781,181.7522735595703,110,202,4700,506,202
10,0.0,0.8,258.3559265136719,163.54298400878906,82,202,4881,543,202
11,0.0,0.9,275.4591064453125,182.67613220214844,79,200,4780,542,200
12,0.0,0.8,242.2434539794922,161.39263916015625,66,201,4823,533,201
13,0.0,0.9,248.85519409179688,166.538330078125,89,203,4835,498,203
14,0.0,0.8,228.18289184570312,177.4112548828125,76,201,4826,539,201
15,0.0,0.6,235.2493133544922,194.0982208251953,60,200,4846,555,200
16,0.0,0.5,241.4534912109375,182.136962890625,37,200,4747,555,200
17,0.0,0.6,285.84503173828125,185.2596435546875,70,201,4767,519,201
18,0.0,0.6,251.601806640625,184.03823852539062,98,203,4854,513,203
19,0.0,0.8,241.2105255126953,176.50991821289062,60,202,4877,573,202
20,0.0,0.6,255.5765380859375,166.4647674560547,94,200,4848,518,200
21,0.0,0.4,234.81553649902344,177.75938415527344,76,202,4842,572,202
22,0.0,0.8,287.93524169921875,172.3788604736328,87,204,4944,609,204
23,0.0,0.7,250.34579467773438,152.30789184570312,99,201,4969,490,201
24,0.0,0.8,220.36468505859375,155.36282348632812,138,205,4922,524,205
25,0.0,0.5,276.052978515625,193.33990478515625,92,201,4803,554,201
26,0.0,0.7,283.5176086425781,190.2894744873047,101,205,4955,524,205
27,0.0,0.9,249.55320739746094,166.5819091796875,95,200,4797,528,200
28,0.0,0.7,231.27919006347656,176.1460723876953,60,200,4829,545,200
29,0.0,0.7,260.77081298828125,173.45748901367188,105,200,4853,538,200
30,0.0,0.8,264.85205078125,174.0506134033203,74,200,4827,529,200
