cluster_id,centroid_distance,recall,entry_point_distance,base_layer_visited,n_queries
1,185.56211853027344,0.9992000000000001,198611.04,200.346,500
4,221.4687042236328,0.998,132424.114,200.314,500
3,223.2091827392578,0.9992000000000001,172026.682,200.286,500
8,243.01063537597656,0.994,134299.83,200.426,500
7,252.19337463378906,0.9867999999999999,196187.642,200.68,500
5,257.4531555175781,0.9632,366047.05,202.82,500
2,298.0862121582031,0.9997999999999999,405091.026,200.438,500
9,303.8072814941406,0.9708,409126.22,202.544,500
0,310.79803466796875,0.9996,399209.742,200.21,500
6,318.5693054199219,0.9967999999999999,158754.658,200.424,500
