query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
0,in_distribution,0.5,251.09332275390625,181.98570251464844,69,200,4723,585,200,0,16,43,10,0,0
1,in_distribution,0.7,238.8501739501953,199.00169372558594,41,214,5139,563,214,0,13,7,21,0,0
2,in_distribution,0.9,195.121826171875,164.613037109375,62,200,4869,524,200,0,32,25,5,0,0
3,in_distribution,0.5,315.1932678222656,208.23460388183594,70,201,4967,590,201,0,32,16,22,0,0
4,in_distribution,0.7,307.85107421875,180.17782592773438,103,201,4773,520,201,0,48,29,26,0,0
5,in_distribution,0.6,279.755859375,182.66127014160156,85,200,4915,533,200,0,48,16,21,0,0
6,in_distribution,0.8,261.1656494140625,174.2359161376953,59,205,5113,530,205,0,31,9,19,0,0
7,in_distribution,0.8,264.4799499511719,194.44679260253906,76,201,4875,538,201,0,32,16,28,0,0
8,in_distribution,0.8,284.91644287109375,184.3443603515625,85,201,4783,555,201,0,32,28,25,0,0
9,in_distribution,1.0,250.30345153808594,174.19680786132812,125,200,4836,551,200,0,48,72,5,0,0
10,in_distribution,0.8,261.99951171875,174.6844482421875,95,200,4833,522,200,0,32,31,32,0,0
11,in_distribution,0.9,262.93792724609375,194.95425415039062,84,200,4760,529,200,0,48,16,20,0,0
12,in_distribution,0.7,274.6697692871094,163.28411865234375,82,201,4847,593,201,0,32,26,24,0,0
13,in_distribution,0.7,241.60354614257812,204.14146423339844,103,202,4933,532,202,0,16,76,11,0,0
14,in_distribution,0.7,303.73712158203125,218.76931762695312,52,201,4891,514,201,0,16,16,20,0,0
15,in_distribution,0.8,277.7098693847656,181.04603576660156,97,200,4683,511,200,0,48,12,37,0,0
16,in_distribution,0.6,311.25054931640625,204.98509216308594,54,202,4800,558,202,0,16,13,25,0,0
17,in_distribution,0.9,309.368896484375,203.9402313232422,94,213,5032,546,213,0,32,53,9,0,0
18,in_distribution,0.3,263.10626220703125,176.23724365234375,87,203,4806,536,203,0,48,26,13,0,0
19,in_distribution,0.6,261.914794921875,188.99302673339844,99,200,4765,543,200,0,48,15,36,0,0
20,in_distribution,0.4,278.4803771972656,196.90298461914062,84,200,4739,529,200,0,32,43,9,0,0
21,in_distribution,0.4,282.37213134765625,212.75491333007812,71,203,4837,564,203,0,16,45,10,0,0
22,in_distribution,0.8,325.0814208984375,177.52059936523438,98,210,5045,585,210,0,32,48,18,0,0
23,in_distribution,0.8,277.657958984375,180.5818634033203,87,203,4899,562,203,0,16,41,30,0,0
24,in_distribution,0.6,281.43048095703125,199.8924102783203,81,202,4912,539,202,0,46,26,9,0,0
25,in_distribution,0.6,274.10577392578125,214.24935913085938,66,215,5191,579,215,0,32,25,9,0,0
26,in_distribution,0.6,252.4262237548828,167.5822296142578,75,200,4935,510,200,0,46,20,9,0,0
27,in_distribution,0.9,283.56005859375,171.00624084472656,71,202,4925,537,202,0,16,33,22,0,0
28,in_distribution,0.6,295.71142578125,186.829833984375,87,201,4789,532,201,0,32,28,27,0,0
29,in_distribution,0.7,307.9317932128906,194.28933715820312,81,200,4915,553,200,0,16,45,20,0,0
30,in_distribution,0.8,217.56153869628906,146.61309814453125,73,201,4901,573,201,0,45,7,21,0,0
31,in_distribution,0.8,290.74322509765625,171.41908264160156,107,200,4732,523,200,0,32,48,27,0,0
32,in_distribution,0.6,286.7581481933594,177.77127075195312,120,200,4804,515,200,0,64,31,25,0,0
33,in_distribution,0.5,260.3990173339844,185.95489501953125,65,202,4927,548,202,0,32,16,17,0,0
34,in_distribution,0.6,269.9544677734375,184.58226013183594,74,201,4903,541,201,0,32,31,11,0,0
35,in_distribution,0.9,255.21566772460938,173.44473266601562,58,201,4803,551,201,0,32,15,11,0,0
36,in_distribution,0.9,323.7252502441406,204.94882202148438,58,200,4852,542,200,0,16,31,11,0,0
37,in_distribution,0.6,223.01632690429688,160.4901885986328,124,200,4943,572,200,0,80,23,21,0,0
38,in_distribution,0.7,267.83245849609375,184.9104766845703,55,200,4823,550,200,0,16,12,27,0,0
39,in_distribution,0.7,232.3953857421875,195.49087524414062,62,207,5013,594,207,0,16,41,5,0,0
40,in_distribution,0.7,271.00714111328125,172.54287719726562,108,208,4944,566,208,0,64,25,19,0,0
41,in_distribution,0.8,208.07984924316406,151.0876922607422,74,200,4767,542,200,0,32,31,11,0,0
42,in_distribution,0.9,272.43511962890625,174.92507934570312,65,200,4817,561,200,0,15,32,18,0,0
43,in_distribution,0.8,288.9493713378906,171.4351348876953,68,202,4855,539,202,0,32,12,24,0,0
44,in_distribution,0.8,259.8055419921875,174.40133666992188,55,200,4835,564,200,0,28,12,15,0,0
45,in_distribution,0.6,279.83203125,177.32102966308594,60,211,5085,561,211,0,16,25,19,0,0
46,in_distribution,0.5,224.9334716796875,178.66763305664062,46,200,4835,555,200,0,16,25,5,0,0
47,in_distribution,0.8,242.25686645507812,153.31431579589844,68,203,4866,483,203,0,32,16,20,0,0
48,in_distribution,0.9,267.5588684082031,162.5229949951172,84,201,4928,506,201,0,48,27,9,0,0
49,in_distribution,0.8,257.9751892089844,167.4484100341797,81,200,4783,515,200,0,31,32,18,0,0
50,in_distribution,0.7,246.88555908203125,176.81417846679688,102,201,4740,539,201,0,32,48,22,0,0
51,in_distribution,0.6,253.9650421142578,177.40330505371094,99,200,4822,553,200,0,32,47,20,0,0
52,in_distribution,0.8,275.5556945800781,172.96749877929688,100,201,4731,505,201,0,16,62,22,0,0
53,in_distribution,0.5,282.85211181640625,206.7939453125,69,203,4963,515,203,0,16,28,25,0,0
54,in_distribution,0.6,269.4936828613281,183.20645141601562,91,200,4736,508,200,0,31,40,20,0,0
55,in_distribution,0.6,236.23968505859375,172.94447326660156,51,201,4803,515,201,0,31,11,9,0,0
56,in_distribution,0.7,280.9667663574219,200.25990295410156,97,201,4796,545,201,0,16,41,40,0,0
57,in_distribution,0.6,250.5829315185547,179.75550842285156,102,206,4836,535,206,0,32,48,22,0,0
58,in_distribution,0.6,240.7862548828125,193.5704803466797,42,200,4783,573,200,0,16,15,11,0,0
59,in_distribution,0.9,263.9432678222656,168.04495239257812,117,200,4832,523,200,0,46,44,27,0,0
60,in_distribution,0.8,219.6339111328125,194.71897888183594,45,206,4957,536,206,0,16,24,5,0,0
61,in_distribution,0.6,318.5397644042969,190.06729125976562,98,201,4799,545,201,0,46,15,37,0,0
62,in_distribution,0.5,249.62831115722656,179.77362060546875,103,201,4883,537,201,0,32,44,27,0,0
63,in_distribution,0.8,285.5789794921875,206.6162567138672,58,203,5010,556,203,0,16,31,11,0,0
64,in_distribution,0.9,318.1304931640625,207.50367736816406,122,201,4940,545,201,0,48,43,31,0,0
65,in_distribution,0.7,261.2489318847656,186.9993896484375,82,200,4752,532,200,0,16,48,18,0,0
66,in_distribution,1.0,252.90444946289062,177.76438903808594,96,203,4873,512,203,0,16,48,32,0,0
67,in_distribution,0.8,232.98403930664062,150.63006591796875,107,200,4741,488,200,0,59,26,22,0,0
68,in_distribution,0.5,242.07432556152344,169.32669067382812,81,202,4916,557,202,0,46,26,9,0,0
69,in_distribution,0.9,268.0575866699219,196.3962860107422,113,200,4862,551,200,0,32,64,17,0,0
70,in_distribution,1.0,268.7767639160156,187.9187469482422,68,208,4940,555,208,0,32,16,20,0,0
71,in_distribution,0.8,290.2359619140625,170.6237030029297,118,201,4963,551,201,0,32,76,10,0,0
72,in_distribution,0.9,268.0406494140625,210.10353088378906,60,200,4707,574,200,0,16,23,21,0,0
73,in_distribution,0.7,261.66180419921875,181.20474243164062,59,201,4859,513,201,0,31,9,19,0,0
74,in_distribution,0.9,267.20989990234375,182.9874725341797,85,202,4807,538,202,0,32,31,22,0,0
75,in_distribution,0.8,220.736328125,170.44485473632812,58,202,4938,556,202,0,16,31,11,0,0
76,in_distribution,0.7,257.6370544433594,185.10623168945312,106,200,4787,564,200,0,48,47,11,0,0
77,in_distribution,0.8,281.5483093261719,176.4158477783203,98,200,4801,555,200,0,32,46,20,0,0
78,in_distribution,0.7,258.0266418457031,204.60130310058594,73,201,4918,526,201,0,16,46,11,0,0
79,in_distribution,0.4,316.7450256347656,192.13616943359375,79,200,4771,547,200,0,16,33,30,0,0
80,in_distribution,0.9,185.52049255371094,162.0273895263672,57,200,4801,546,200,0,29,7,21,0,0
81,in_distribution,0.7,262.715576171875,174.24447631835938,65,201,4889,518,201,0,16,15,34,0,0
82,in_distribution,0.7,256.8034362792969,176.54908752441406,84,200,4793,507,200,0,16,48,20,0,0
83,in_distribution,0.9,274.91680908203125,180.96133422851562,100,202,4826,547,202,0,48,27,25,0,0
84,in_distribution,0.7,299.4056396484375,186.61767578125,85,200,4789,565,200,0,32,28,25,0,0
85,in_distribution,0.9,234.38455200195312,151.1009979248047,83,200,4875,537,200,0,32,28,23,0,0
86,in_distribution,0.8,309.6632385253906,168.40911865234375,82,202,4902,526,202,0,48,16,18,0,0
87,in_distribution,0.9,286.8544616699219,192.56854248046875,86,203,4983,610,203,0,32,24,30,0,0
88,in_distribution,0.7,282.3471374511719,154.38523864746094,114,200,4814,527,200,0,32,64,18,0,0
89,in_distribution,0.6,251.30831909179688,204.2032470703125,75,202,4971,559,202,0,10,43,22,0,0
90,in_distribution,0.8,223.00204467773438,174.7971649169922,58,200,4846,534,200,0,32,15,11,0,0
91,in_distribution,0.8,249.74508666992188,177.1483917236328,99,200,4861,559,200,0,32,26,41,0,0
92,in_distribution,0.4,300.8708190917969,220.36927795410156,50,205,4785,581,205,0,16,16,18,0,0
93,in_distribution,0.8,277.69146728515625,153.54417419433594,67,200,4894,501,200,0,47,11,9,0,0
94,in_distribution,0.7,323.02862548828125,200.2668914794922,35,204,4974,604,204,0,15,11,9,0,0
95,in_distribution,0.7,298.6162414550781,202.41102600097656,49,202,4895,557,202,0,16,16,17,0,0
96,in_distribution,0.2,266.0813293457031,186.78570556640625,113,200,4908,584,200,0,16,60,37,0,0
97,in_distribution,0.8,243.88101196289062,173.90158081054688,117,202,4809,513,202,0,16,74,27,0,0
98,in_distribution,0.8,240.82203674316406,178.72874450683594,114,204,4862,565,204,0,16,76,22,0,0
99,in_distribution,0.8,284.8294677734375,230.859619140625,55,202,4887,575,202,0,16,15,24,0,0
100,in_distribution,0.7,279.56121826171875,173.92984008789062,102,200,4736,500,200,0,64,16,22,0,0
101,in_distribution,0.7,325.3067626953125,213.5447540283203,68,203,4913,580,203,0,32,16,20,0,0
102,in_distribution,0.8,266.52569580078125,186.32505798339844,66,200,4841,488,200,0,16,32,18,0,0
103,in_distribution,0.9,272.5236511230469,186.01353454589844,97,210,5045,569,210,0,31,41,25,0,0
104,in_distribution,0.8,245.2227783203125,175.69114685058594,70,200,4820,568,200,0,16,28,26,0,0
105,in_distribution,0.7,281.7415466308594,190.34835815429688,95,200,4803,532,200,0,16,62,17,0,0
106,in_distribution,0.7,253.5828399658203,155.59666442871094,133,200,4956,527,200,0,96,16,21,0,0
107,in_distribution,0.8,304.75823974609375,200.31732177734375,97,205,4933,562,205,0,47,30,20,0,0
108,in_distribution,0.6,249.63327026367188,169.97654724121094,73,205,5021,550,205,0,16,32,25,0,0
