query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
0,0.0,0.7,251.66392517089844,163.61764526367188,116,201,4807,591,201,0,16,91,9,0,0
1,0.0,0.6,266.00146484375,159.95285034179688,92,200,4712,497,200,0,32,32,28,0,0
2,0.0,0.9,247.72955322265625,169.68177795410156,98,200,4894,533,200,0,32,48,18,0,0
3,0.0,0.9,269.41558837890625,200.074951171875,56,202,4830,548,202,0,6,40,10,0,0
4,0.0,0.8,270.1528625488281,175.28733825683594,82,201,4832,512,201,0,32,41,9,0,0
5,0.0,0.9,311.6493225097656,175.1621856689453,143,201,4873,551,201,0,32,87,24,0,0
6,0.0,0.7,311.02679443359375,194.9962615966797,57,200,4832,564,200,0,32,15,10,0,0
7,0.0,0.8,282.5119934082031,160.05722045898438,83,200,4713,564,200,0,16,31,36,0,0
8,0.0,0.8,240.66200256347656,153.48678588867188,74,200,4697,542,200,0,32,31,11,0,0
9,0.0,0.5,254.6890411376953,193.09634399414062,83,202,4644,521,202,0,16,44,23,0,0
10,0.0,0.8,263.9217834472656,163.54298400878906,76,200,4884,552,200,0,16,41,19,0,0
11,0.0,0.9,299.5918273925781,182.67613220214844,113,200,4781,541,200,0,32,44,37,0,0
12,0.0,0.8,231.93551635742188,174.93801879882812,95,203,4849,560,203,0,16,54,25,0,0
13,0.0,0.9,248.65684509277344,155.3734893798828,74,203,4827,511,203,0,32,31,11,0,0
14,0.0,0.8,260.28204345703125,196.91705322265625,51,204,4890,576,204,0,16,12,23,0,0
15,0.0,0.6,290.0254211425781,192.0353546142578,57,200,4864,597,200,0,32,15,10,0,0
16,0.0,0.5,239.6538543701172,189.4579620361328,73,200,4785,551,200,0,32,36,5,0,0
17,0.0,0.5,280.50341796875,195.79713439941406,57,200,4706,540,200,0,16,31,10,0,0
18,0.0,0.6,314.529052734375,193.66647338867188,78,203,4842,508,203,0,15,28,35,0,0
19,0.0,0.8,246.30856323242188,184.92994689941406,80,203,4903,547,203,0,16,28,36,0,0
20,0.0,0.6,195.9879913330078,172.2159881591797,61,200,4835,526,200,0,47,9,5,0,0
21,0.0,0.4,211.9223175048828,190.6146697998047,61,203,4892,567,203,0,47,9,5,0,0
22,0.0,0.8,277.908203125,140.19166564941406,74,201,4891,505,201,0,48,15,11,0,0
23,0.0,0.7,281.8099365234375,157.7001495361328,99,200,4916,525,200,0,16,72,11,0,0
24,0.0,0.8,253.10398864746094,161.05828857421875,103,205,4933,515,205,0,48,28,27,0,0
25,0.0,0.5,302.10748291015625,212.22425842285156,76,208,4930,578,208,0,32,25,19,0,0
26,0.0,0.7,262.0457763671875,179.49562072753906,81,200,4848,504,200,0,48,16,17,0,0
27,0.0,0.9,297.9457702636719,196.0166015625,70,202,4849,515,202,0,32,13,25,0,0
28,0.0,0.8,247.4755096435547,168.52842712402344,70,200,4821,541,200,0,32,16,22,0,0
29,0.0,0.7,281.66229248046875,183.3561248779297,90,201,4867,530,201,0,32,30,28,0,0
30,0.0,0.8,238.95294189453125,166.7933349609375,72,201,4841,563,201,0,16,41,15,0,0
31,0.0,0.9,240.8834991455078,178.8210906982422,51,206,4857,528,206,0,14,26,11,0,0
32,0.0,0.7,249.36488342285156,171.18695068359375,120,218,5306,571,218,0,48,62,10,0,0
33,0.0,0.9,295.1407165527344,200.59246826171875,127,202,4983,551,202,0,48,61,18,0,0
34,0.0,0.7,245.41390991210938,174.824462890625,82,201,4873,540,201,0,48,16,18,0,0
35,0.0,0.5,300.66357421875,198.91665649414062,120,211,4934,544,211,0,46,52,22,0,0
36,0.0,1.0,265.4747009277344,178.56637573242188,76,201,4900,508,201,0,32,25,19,0,0
37,0.0,0.7,331.63531494140625,175.99411010742188,95,200,4895,531,200,0,16,57,22,0,0
38,0.0,0.9,250.30169677734375,199.77035522460938,58,201,4852,577,201,0,32,15,11,0,0
39,0.0,0.8,261.1643981933594,165.969970703125,82,201,4918,575,201,0,48,16,18,0,0
40,0.0,0.8,313.80841064453125,186.88845825195312,85,203,4819,534,203,0,16,44,25,0,0
41,0.0,0.8,275.7738342285156,197.7122344970703,85,201,4821,547,201,0,48,28,9,0,0
42,0.0,0.7,211.7038116455078,190.10362243652344,69,201,4803,543,201,0,32,12,25,0,0
43,0.0,0.7,225.19464111328125,177.67904663085938,58,205,4959,591,205,0,32,15,11,0,0
44,0.0,0.6,315.44427490234375,193.68321228027344,74,201,4836,544,201,0,16,32,26,0,0
45,0.0,0.8,214.7690887451172,182.44384765625,40,203,4883,604,203,0,16,15,9,0,0
46,0.0,0.8,283.5263366699219,178.90188598632812,52,202,4907,531,202,0,16,16,20,0,0
47,0.0,0.9,263.7725830078125,172.2136688232422,63,201,4798,542,201,0,16,30,17,0,0
48,0.0,1.0,277.68218994140625,173.4044647216797,100,202,4831,545,202,0,16,63,21,0,0
49,0.0,0.6,272.2554016113281,179.35177612304688,88,201,4879,585,201,0,16,31,41,0,0
50,0.0,0.6,269.1083068847656,200.709716796875,86,201,4885,514,201,0,16,60,10,0,0
51,0.0,0.9,263.7845458984375,173.6611785888672,100,200,4856,540,200,0,32,48,20,0,0
52,0.0,0.6,257.48468017578125,217.46652221679688,68,202,4922,582,202,0,32,16,20,0,0
53,0.0,1.0,304.22821044921875,216.4602813720703,104,204,4890,543,204,0,48,31,25,0,0
54,0.0,0.8,280.039306640625,199.43939208984375,70,205,4873,525,205,0,32,10,28,0,0
55,0.0,0.5,246.85496520996094,180.5779571533203,89,201,4796,577,201,0,16,42,31,0,0
56,0.0,0.9,283.57623291015625,174.60740661621094,67,204,4835,540,204,0,16,30,21,0,0
57,0.0,0.5,237.8708038330078,164.7013702392578,124,200,4775,530,200,0,32,64,28,0,0
58,0.0,0.7,323.90350341796875,185.98269653320312,88,202,4949,551,202,0,32,31,25,0,0
59,0.0,0.8,272.3848571777344,168.05374145507812,60,200,4708,513,200,0,26,25,9,0,0
60,0.0,0.9,219.63589477539062,197.5365447998047,58,206,4969,538,206,0,16,31,11,0,0
61,0.0,0.7,226.02346801757812,193.133056640625,42,202,4895,553,202,0,16,15,11,0,0
62,0.0,0.7,217.36700439453125,196.5240936279297,46,201,4791,504,201,0,16,25,5,0,0
63,0.0,0.6,248.59413146972656,172.62693786621094,69,201,4888,563,201,0,32,15,22,0,0
64,0.0,0.5,263.1390075683594,175.74774169921875,90,200,4769,543,200,0,48,31,11,0,0
65,0.0,0.6,319.9169921875,177.35333251953125,72,201,4872,541,201,0,16,31,25,0,0
66,0.0,0.6,241.5108184814453,213.27430725097656,78,201,4859,572,201,0,16,57,5,0,0
67,0.0,0.8,254.1841583251953,185.12315368652344,58,202,4794,485,202,0,16,31,11,0,0
68,0.0,0.8,211.67608642578125,184.9274444580078,37,201,4910,538,201,0,16,16,5,0,0
69,0.0,0.7,261.1562194824219,213.4529266357422,66,210,5062,567,210,0,16,28,22,0,0
70,0.0,0.9,281.063720703125,157.100341796875,106,204,4959,489,204,0,80,15,11,0,0
71,0.0,0.8,258.3587951660156,197.47181701660156,56,200,4806,594,200,0,16,31,9,0,0
72,0.0,0.8,295.6520690917969,183.31072998046875,58,200,4870,518,200,0,16,31,11,0,0
73,0.0,0.9,293.619384765625,153.39878845214844,70,200,4883,567,200,0,29,11,30,0,0
74,0.0,0.7,276.373779296875,185.93203735351562,87,202,4962,566,202,0,48,12,27,0,0
75,0.0,0.7,223.834716796875,165.13699340820312,106,200,4905,514,200,0,48,47,11,0,0
76,0.0,0.9,253.95420837402344,155.21701049804688,100,202,4959,530,202,0,32,31,37,0,0
77,0.0,0.7,282.4471740722656,176.01904296875,72,205,4952,552,205,0,45,11,16,0,0
78,0.0,0.6,271.9201965332031,170.5150146484375,86,200,4947,546,200,0,32,32,22,0,0
79,0.0,0.9,217.5870819091797,161.31675720214844,90,201,4782,538,201,0,48,31,11,0,0
80,0.0,0.8,269.79901123046875,180.0967559814453,74,202,4905,547,202,0,15,40,19,0,0
81,0.0,0.8,256.2898254394531,209.263671875,50,203,4870,576,203,0,16,10,24,0,0
82,0.0,0.4,286.16534423828125,182.98150634765625,94,200,4795,609,200,0,32,41,21,0,0
83,0.0,0.5,283.3990173339844,196.19615173339844,121,200,4839,545,200,0,64,46,11,0,0
84,0.0,0.5,283.9691162109375,198.46755981445312,87,200,4783,554,200,0,16,37,34,0,0
85,0.0,0.8,299.0135498046875,178.47796630859375,68,200,4810,513,200,0,32,16,20,0,0
86,0.0,0.9,278.28448486328125,187.23899841308594,71,201,4833,564,201,0,32,30,9,0,0
87,0.0,0.4,264.76776123046875,181.53871154785156,55,200,4936,548,200,0,16,12,27,0,0
88,0.0,0.8,283.4281005859375,174.9412841796875,64,200,4855,569,200,0,16,16,32,0,0
89,0.0,0.7,289.4320983886719,170.881103515625,99,201,4804,497,201,0,32,44,23,0,0
90,0.0,0.9,254.90760803222656,165.2506103515625,76,200,4884,537,200,0,13,41,22,0,0
91,0.0,0.8,283.8514099121094,154.2320556640625,86,202,4949,543,202,0,48,16,22,0,0
92,0.0,0.9,267.9737243652344,164.29037475585938,74,200,4756,523,200,0,31,25,18,0,0
93,0.0,0.9,267.4767761230469,181.15493774414062,69,203,5021,551,203,0,32,16,21,0,0
94,0.0,0.5,249.5389862060547,175.30612182617188,92,204,4941,586,204,0,48,25,19,0,0
95,0.0,0.7,257.6836242675781,161.84849548339844,108,200,4869,505,200,0,64,23,21,0,0
