ef_search,index_condition,query_condition,mean_recall,mean_ep_distance,mean_base_layer_entry_distance,mean_upper_layer_dist_computations,mean_layer1_visits,mean_base_visited,mean_base_dist_computations,mean_candidates_remaining,n_queries
10,incremental,in_distribution,0.0223,2313.7368,1523.3968,124.9198,27.3476,15.0234,460.839,34.2902,5000
10,incremental,near,0.0198,2327.2312,1543.0483,123.9072,26.8534,15.0072,456.9794,33.9792,5000
10,incremental,far,0.0453,6142.9119,2870.9565,126.9804,26.7178,16.7086,486.1862,40.1084,5000
10,full_rebuild,in_distribution,0.0211,2281.5634,1519.1967,129.6076,27.4652,14.914,457.3018,34.1642,5000
10,full_rebuild,near,0.0185,2337.1977,1544.3761,128.3006,26.6742,14.998,457.1094,34.0958,5000
10,full_rebuild,far,0.0431,6079.8603,3009.0705,139.7538,26.386,17.0156,494.3224,42.1252,5000
20,incremental,in_distribution,0.0371,2313.7368,1523.3968,124.9198,27.3476,27.4548,838.3276,69.4418,5000
20,incremental,near,0.0346,2327.2312,1543.0483,123.9072,26.8534,27.4494,832.1216,69.038,5000
20,incremental,far,0.0874,6142.9119,2870.9565,126.9804,26.7178,31.6658,919.4278,90.6028,5000
20,full_rebuild,in_distribution,0.0361,2281.5634,1519.1967,129.6076,27.4652,27.297,833.6388,69.218,5000
20,full_rebuild,near,0.0343,2337.1977,1544.3761,128.3006,26.6742,27.626,837.7544,69.2884,5000
20,full_rebuild,far,0.0846,6079.8603,3009.0705,139.7538,26.386,32.0924,930.9772,94.0086,5000
50,incremental,in_distribution,0.073,2313.7368,1523.3968,124.9198,27.3476,61.2124,1851.3078,172.197,5000
50,incremental,near,0.0682,2327.2312,1543.0483,123.9072,26.8534,61.2842,1838.7946,171.1896,5000
50,incremental,far,0.1846,6142.9119,2870.9565,126.9804,26.7178,69.7004,2007.7368,234.8076,5000
50,full_rebuild,in_distribution,0.0722,2281.5634,1519.1967,129.6076,27.4652,61.2132,1851.5048,171.518,5000
50,full_rebuild,near,0.0679,2337.1977,1544.3761,128.3006,26.6742,61.372,1841.966,172.2162,5000
50,full_rebuild,far,0.1863,6079.8603,3009.0705,139.7538,26.386,70.8584,2040.6214,244.4642,5000
100,incremental,in_distribution,0.1157,2313.7368,1523.3968,124.9198,27.3476,113.0754,3378.3046,335.6788,5000
100,incremental,near,0.109,2327.2312,1543.0483,123.9072,26.8534,113.1726,3352.2828,334.803,5000
100,incremental,far,0.2857,6142.9119,2870.9565,126.9804,26.7178,122.3316,3466.4462,442.4624,5000
100,full_rebuild,in_distribution,0.1144,2281.5634,1519.1967,129.6076,27.4652,113.2448,3383.4916,335.1792,5000
100,full_rebuild,near,0.1085,2337.1977,1544.3761,128.3006,26.6742,113.1218,3351.3066,335.841,5000
100,full_rebuild,far,0.287,6079.8603,3009.0705,139.7538,26.386,123.5972,3502.445,457.4752,5000
200,incremental,in_distribution,0.1745,2313.7368,1523.3968,124.9198,27.3476,211.6082,6202.9552,648.081,5000
200,incremental,near,0.1631,2327.2312,1543.0483,123.9072,26.8534,211.597,6143.3728,646.4022,5000
200,incremental,far,0.403,6142.9119,2870.9565,126.9804,26.7178,220.1304,6037.9746,795.2696,5000
200,full_rebuild,in_distribution,0.1726,2281.5634,1519.1967,129.6076,27.4652,211.1558,6189.114,647.2308,5000
200,full_rebuild,near,0.1631,2337.1977,1544.3761,128.3006,26.6742,211.5296,6143.1776,647.7766,5000
200,full_rebuild,far,0.4035,6079.8603,3009.0705,139.7538,26.386,221.2484,6070.579,815.362,5000
500,incremental,in_distribution,0.2772,2313.7368,1523.3968,124.9198,27.3476,506.691,14237.4794,1520.1968,5000
500,incremental,near,0.2629,2327.2312,1543.0483,123.9072,26.8534,506.5682,14078.7116,1516.6942,5000
500,incremental,far,0.5756,6142.9119,2870.9565,126.9804,26.7178,517.3146,13132.0488,1668.0262,5000
500,full_rebuild,in_distribution,0.2774,2281.5634,1519.1967,129.6076,27.4652,506.478,14230.188,1518.9804,5000
500,full_rebuild,near,0.266,2337.1977,1544.3761,128.3006,26.6742,506.7164,14081.3268,1517.3556,5000
500,full_rebuild,far,0.5736,6079.8603,3009.0705,139.7538,26.386,518.452,13165.2016,1695.6048,5000
