index_condition,query_condition,query_id,recall,entry_point_dist,base_layer_entry_dist,upper_layer_dist_computations,base_visited,base_dist_computations,candidates_remaining_at_termination,lb_trace_len,lb_trace_final,layer0_visits,layer1_visits,layer2_visits,layer3_visits,layer4_visits,layer5_visits,layer6_visits
incremental,in_distribution,0,0.0,2350.748047,1854.624146,120,33,994,53,33,1881.49292,0,32,16,32,35,5,0
incremental,in_distribution,1,0.1,1846.224731,1255.563354,104,28,860,64,28,1278.535645,0,32,16,16,35,5,0
incremental,in_distribution,2,0.0,2097.683838,1289.605713,164,30,908,57,30,1367.203857,0,48,64,16,26,10,0
incremental,in_distribution,3,0.0,2319.732666,1432.270996,147,28,849,76,28,1409.792358,0,48,16,32,41,10,0
incremental,in_distribution,4,0.1,2113.750732,1523.058472,114,26,791,62,26,1582.050903,0,16,16,48,24,10,0
incremental,in_distribution,5,0.1,2291.562988,1451.234985,81,26,800,72,26,1431.092773,0,16,16,16,23,10,0
incremental,in_distribution,6,0.0,2527.486084,1662.428711,100,20,600,65,20,1727.659058,0,16,16,16,42,10,0
incremental,in_distribution,7,0.0,1928.440063,1757.024048,73,35,1075,87,35,1560.195679,0,16,16,32,4,5,0
incremental,in_distribution,8,0.1,2030.607788,1390.760498,107,24,732,76,24,1302.28894,0,32,32,14,19,10,0
incremental,in_distribution,9,0.0,2099.523193,1350.007568,114,29,886,70,29,1414.744141,0,16,32,32,24,10,0
incremental,in_distribution,10,0.2,2378.397217,1495.017578,154,27,843,62,27,1407.903564,0,48,48,16,32,10,0
incremental,in_distribution,11,0.0,1913.397461,1646.25647,105,26,777,74,26,1519.731445,0,16,48,32,4,5,0
incremental,in_distribution,12,0.1,2446.461914,1664.468994,146,21,628,59,21,1739.532715,0,32,32,16,56,10,0
incremental,in_distribution,13,0.2,2057.432617,1444.681519,127,40,1228,81,40,1346.009399,0,16,16,48,37,10,0
incremental,in_distribution,14,0.0,2331.484863,1396.380127,101,36,1096,62,36,1464.490967,0,32,16,16,27,10,0
incremental,in_distribution,15,0.0,2505.965332,1732.514771,115,26,786,62,26,1821.460327,0,16,16,48,25,10,0
incremental,in_distribution,16,0.2,2428.885254,1517.669922,158,22,689,76,22,1495.544189,0,32,32,48,36,10,0
incremental,in_distribution,17,0.1,2374.034424,1520.182129,93,28,850,74,28,1424.867065,0,16,16,32,19,10,0
incremental,in_distribution,18,0.1,2611.857422,1776.092041,100,26,811,77,26,1655.436768,0,16,32,31,11,10,0
incremental,in_distribution,19,0.0,2428.054688,1540.604248,104,22,650,68,22,1468.001099,0,32,16,16,30,10,0
incremental,in_distribution,20,0.0,2189.342529,1435.564331,132,24,735,63,24,1515.487793,0,48,16,32,26,10,0
incremental,in_distribution,21,0.2,2308.548828,1576.348267,78,27,824,82,27,1456.725098,0,16,16,27,9,10,0
incremental,in_distribution,22,0.2,2348.659424,1585.985229,109,37,1134,71,37,1484.797119,0,16,48,16,19,10,0
incremental,in_distribution,23,0.1,1976.31543,1439.706909,112,30,932,95,30,1300.158081,0,32,32,15,23,10,0
incremental,in_distribution,24,0.1,2321.418701,1350.841675,146,20,608,56,20,1423.398804,0,32,32,63,9,10,0
