ef_search,index_condition,query_condition,mean_recall,mean_ep_distance,mean_base_layer_entry_distance,mean_upper_layer_dist_computations,mean_layer1_visits,mean_base_visited,mean_base_dist_computations,mean_candidates_remaining,n_queries
10,incremental,in_distribution,0.0213,2363.5185,1524.3504,127.1618,27.3698,14.9308,455.8218,34.1266,5000
10,incremental,near,0.0169,2494.3186,1641.676,125.8062,27.1656,15.0648,455.8404,33.8406,5000
10,incremental,far,0.0726,5909.4685,3971.9987,110.0126,25.5228,17.4594,490.7134,43.359,5000
10,full_rebuild,in_distribution,0.0225,2287.9969,1520.4712,126.6436,27.5168,14.8106,452.6038,33.7474,5000
10,full_rebuild,near,0.0169,2458.5507,1632.9154,123.407,26.4294,14.9626,452.787,33.764,5000
10,full_rebuild,far,0.0856,5258.6093,3543.1834,105.3842,23.8422,16.7744,472.091,41.5996,5000
20,incremental,in_distribution,0.0384,2363.5185,1524.3504,127.1618,27.3698,27.3634,831.799,69.1226,5000
20,incremental,near,0.0296,2494.3186,1641.676,125.8062,27.1656,27.3882,824.0452,69.111,5000
20,incremental,far,0.1596,5909.4685,3971.9987,110.0126,25.5228,33.7808,943.1196,101.6362,5000
20,full_rebuild,in_distribution,0.0395,2287.9969,1520.4712,126.6436,27.5168,27.2148,827.4094,68.701,5000
20,full_rebuild,near,0.0298,2458.5507,1632.9154,123.407,26.4294,27.4634,826.3912,68.708,5000
20,full_rebuild,far,0.1706,5258.6093,3543.1834,105.3842,23.8422,32.0826,893.4984,94.4768,5000
50,incremental,in_distribution,0.075,2363.5185,1524.3504,127.1618,27.3698,61.126,1840.0764,171.6226,5000
50,incremental,near,0.0597,2494.3186,1641.676,125.8062,27.1656,61.5418,1830.1012,172.0212,5000
50,incremental,far,0.3684,5909.4685,3971.9987,110.0126,25.5228,75.2416,2052.5712,275.0652,5000
50,full_rebuild,in_distribution,0.077,2287.9969,1520.4712,126.6436,27.5168,60.9504,1834.6816,170.5554,5000
50,full_rebuild,near,0.0586,2458.5507,1632.9154,123.407,26.4294,61.7238,1835.811,171.2732,5000
50,full_rebuild,far,0.3722,5258.6093,3543.1834,105.3842,23.8422,71.9356,1956.7718,252.4068,5000
100,incremental,in_distribution,0.1181,2363.5185,1524.3504,127.1618,27.3698,112.8566,3354.6806,334.4958,5000
100,incremental,near,0.0973,2494.3186,1641.676,125.8062,27.1656,113.9588,3340.6756,335.3176,5000
100,incremental,far,0.5607,5909.4685,3971.9987,110.0126,25.5228,131.0844,3437.1226,516.9662,5000
100,full_rebuild,in_distribution,0.122,2287.9969,1520.4712,126.6436,27.5168,113.0106,3358.4974,333.3584,5000
100,full_rebuild,near,0.0965,2458.5507,1632.9154,123.407,26.4294,113.8352,3338.0276,335.0664,5000
100,full_rebuild,far,0.5576,5258.6093,3543.1834,105.3842,23.8422,126.8866,3318.2534,476.6266,5000
200,incremental,in_distribution,0.1809,2363.5185,1524.3504,127.1618,27.3698,211.3922,6159.3866,645.2102,5000
200,incremental,near,0.1505,2494.3186,1641.676,125.8062,27.1656,212.4732,6097.6892,647.3042,5000
200,incremental,far,0.7241,5909.4685,3971.9987,110.0126,25.5228,231.4652,5646.677,890.2754,5000
200,full_rebuild,in_distribution,0.1821,2287.9969,1520.4712,126.6436,27.5168,211.0308,6148.4082,644.1252,5000
200,full_rebuild,near,0.1493,2458.5507,1632.9154,123.407,26.4294,212.7728,6107.754,646.7862,5000
200,full_rebuild,far,0.7239,5258.6093,3543.1834,105.3842,23.8422,228.386,5557.4856,835.3302,5000
500,incremental,in_distribution,0.2869,2363.5185,1524.3504,127.1618,27.3698,506.0086,14110.862,1512.321,5000
500,incremental,near,0.2467,2494.3186,1641.676,125.8062,27.1656,507.1954,13907.6498,1517.8034,5000
500,incremental,far,0.8749,5909.4685,3971.9987,110.0126,25.5228,530.5286,11053.0432,1714.2484,5000
500,full_rebuild,in_distribution,0.2874,2287.9969,1520.4712,126.6436,27.5168,506.1092,14114.2344,1512.1712,5000
500,full_rebuild,near,0.2438,2458.5507,1632.9154,123.407,26.4294,507.155,13908.4992,1519.4174,5000
500,full_rebuild,far,0.8751,5258.6093,3543.1834,105.3842,23.8422,527.367,10966.2896,1633.98,5000
