index_condition,query_condition,query_id,recall,entry_point_dist,base_layer_entry_dist,upper_layer_dist_computations,base_visited,base_dist_computations,candidates_remaining_at_termination,lb_trace_len,lb_trace_final,layer0_visits,layer1_visits,layer2_visits,layer3_visits,layer4_visits,layer5_visits,layer6_visits
incremental,in_distribution,0,0.0,1985.819092,1545.070312,96,33,1009,79,33,1486.353882,0,32,16,16,27,5,0
incremental,in_distribution,1,0.0,2229.371582,1416.21582,115,28,844,77,28,1389.787109,0,16,16,32,41,10,0
incremental,in_distribution,2,0.3,2101.22998,1474.687012,140,30,929,77,30,1364.505371,0,16,32,48,34,10,0
incremental,in_distribution,3,0.0,2479.302979,1696.261353,126,22,687,69,22,1659.410889,0,16,16,64,20,10,0
incremental,in_distribution,4,0.0,2575.90625,1470.679565,146,36,1096,81,36,1548.990601,0,32,16,32,56,10,0
incremental,in_distribution,5,0.1,2044.477661,1659.604492,93,32,976,65,32,1540.456665,0,11,32,15,30,5,0
incremental,in_distribution,6,0.0,2098.859375,1435.689087,117,25,769,57,25,1583.517334,0,32,31,24,20,10,0
incremental,in_distribution,7,0.0,2541.425781,1772.360474,114,26,807,60,26,1774.736206,0,16,16,47,25,10,0
incremental,in_distribution,8,0.0,2239.181396,1324.96228,138,27,809,72,27,1407.452393,0,16,32,48,32,10,0
incremental,in_distribution,9,0.0,2347.199951,1576.589966,108,31,938,76,31,1523.002441,0,16,48,16,18,10,0
incremental,in_distribution,10,0.1,2319.224121,1654.40332,129,23,698,63,23,1653.115723,0,16,32,48,28,5,0
incremental,in_distribution,11,0.0,2459.273926,1409.920166,136,20,623,67,20,1409.920166,0,64,26,27,9,10,0
incremental,in_distribution,12,0.0,2339.925049,1459.485596,164,20,612,64,20,1543.401123,0,16,64,64,10,10,0
incremental,in_distribution,13,0.0,2242.078125,1299.222656,163,33,1010,67,33,1296.303711,0,32,48,32,41,10,0
incremental,in_distribution,14,0.0,2323.310547,1561.849854,110,30,887,65,30,1442.308838,0,32,16,32,20,10,0
incremental,in_distribution,15,0.0,2119.536133,1649.963623,130,38,1127,75,38,1638.164185,0,16,31,16,62,5,0
incremental,in_distribution,16,0.0,2311.097656,1185.748535,119,25,756,73,25,1283.489258,0,16,32,28,33,10,0
incremental,in_distribution,17,0.0,2149.330566,1441.390503,115,22,667,71,22,1370.698853,0,16,16,32,41,10,0
incremental,in_distribution,18,0.0,2372.341064,1746.617188,116,22,672,68,22,1583.59729,0,32,32,32,10,10,0
incremental,in_distribution,19,0.0,2285.475342,1610.067139,124,24,745,75,24,1511.000244,0,32,16,16,55,5,0
incremental,in_distribution,20,0.0,2244.79126,1580.240967,131,21,641,65,21,1508.44873,0,32,32,32,25,10,0
incremental,in_distribution,21,0.0,2012.611328,1339.714111,163,30,927,52,30,1408.783203,0,32,48,32,46,5,0
incremental,in_distribution,22,0.1,2317.496582,1619.19519,115,27,836,75,27,1585.396362,0,16,16,48,25,10,0
incremental,in_distribution,23,0.1,2394.052002,1429.875488,157,21,646,67,21,1460.193604,0,48,16,32,51,10,0
incremental,in_distribution,24,0.0,2408.474609,1449.264038,117,31,945,58,31,1365.197998,0,16,32,16,43,10,0
incremental,in_distribution,25,0.0,2518.71167,1324.965454,146,28,864,80,28,1353.160034,0,16,80,16,24,10,0
incremental,in_distribution,26,0.0,2043.771118,1332.075073,156,21,650,77,21,1408.380859,0,16,64,46,25,5,0
