ef_search,index_condition,query_condition,mean_recall,mean_ep_distance,mean_base_layer_entry_distance,mean_upper_layer_dist_computations,mean_layer1_visits,mean_base_visited,mean_base_dist_computations,mean_candidates_remaining,n_queries
10,incremental,in_distribution,0.0495,552.8981,41.0284,126.7252,28.125,14.5536,431.7102,32.9352,5000
10,incremental,near,0.061,385.344,15.664,115.091,27.3162,14.728,441.3368,33.3354,5000
10,incremental,far,0.0625,379.7963,15.7375,126.516,28.8466,14.8906,446.3402,33.6486,5000
10,full_rebuild,in_distribution,0.0576,551.5915,15.6872,125.2872,28.3458,14.8214,445.7176,33.6568,5000
10,full_rebuild,near,0.063,377.6423,15.7032,125.9934,27.9398,14.8314,444.3598,33.6476,5000
10,full_rebuild,far,0.0589,377.3208,22.8142,149.9512,28.1466,15.2128,451.8682,34.8704,5000
20,incremental,in_distribution,0.0834,552.8981,41.0284,126.7252,28.125,26.6918,784.6752,67.2916,5000
20,incremental,near,0.1032,385.344,15.664,115.091,27.3162,26.7296,794.4924,67.4224,5000
20,incremental,far,0.1043,379.7963,15.7375,126.516,28.8466,26.9084,800.0942,68.0942,5000
20,full_rebuild,in_distribution,0.0968,551.5915,15.6872,125.2872,28.3458,26.8664,801.5394,68.1578,5000
20,full_rebuild,near,0.1039,377.6423,15.7032,125.9934,27.9398,26.7766,795.4988,68.0846,5000
20,full_rebuild,far,0.1001,377.3208,22.8142,149.9512,28.1466,27.675,816.613,72.2182,5000
50,incremental,in_distribution,0.1531,552.8981,41.0284,126.7252,28.125,58.9738,1699.6436,165.6442,5000
50,incremental,near,0.1932,385.344,15.664,115.091,27.3162,59.1142,1724.4068,165.6856,5000
50,incremental,far,0.194,379.7963,15.7375,126.516,28.8466,59.0996,1725.5334,167.2806,5000
50,full_rebuild,in_distribution,0.1796,551.5915,15.6872,125.2872,28.3458,59.2552,1736.1112,167.4164,5000
50,full_rebuild,near,0.1927,377.6423,15.7032,125.9934,27.9398,59.1044,1724.1454,166.9672,5000
50,full_rebuild,far,0.1898,377.3208,22.8142,149.9512,28.1466,60.9564,1772.46,179.7028,5000
100,incremental,in_distribution,0.2278,552.8981,41.0284,126.7252,28.125,108.9874,3065.5964,319.6466,5000
100,incremental,near,0.2882,385.344,15.664,115.091,27.3162,108.637,3095.8878,320.4576,5000
100,incremental,far,0.2877,379.7963,15.7375,126.516,28.8466,108.4162,3091.452,322.1638,5000
100,full_rebuild,in_distribution,0.2672,551.5915,15.6872,125.2872,28.3458,108.6734,3112.4358,323.186,5000
100,full_rebuild,near,0.2854,377.6423,15.7032,125.9934,27.9398,108.4008,3088.9454,321.811,5000
100,full_rebuild,far,0.2876,377.3208,22.8142,149.9512,28.1466,110.8574,3154.9784,344.0238,5000
200,incremental,in_distribution,0.3223,552.8981,41.0284,126.7252,28.125,206.5252,5599.2892,608.5158,5000
200,incremental,near,0.4054,385.344,15.664,115.091,27.3162,205.4606,5644.6174,609.8088,5000
200,incremental,far,0.4055,379.7963,15.7375,126.516,28.8466,205.5312,5645.8352,610.3686,5000
200,full_rebuild,in_distribution,0.3785,551.5915,15.6872,125.2872,28.3458,206.0466,5697.419,613.6924,5000
200,full_rebuild,near,0.4033,377.6423,15.7032,125.9934,27.9398,205.605,5647.555,610.5412,5000
200,full_rebuild,far,0.4057,377.3208,22.8142,149.9512,28.1466,207.9812,5709.163,643.4304,5000
500,incremental,in_distribution,0.4552,552.8981,41.0284,126.7252,28.125,503.9388,12634.9112,1395.8944,5000
500,incremental,near,0.5781,385.344,15.664,115.091,27.3162,502.8094,12761.7918,1390.2964,5000
500,incremental,far,0.574,379.7963,15.7375,126.516,28.8466,502.6878,12741.136,1389.7576,5000
500,full_rebuild,in_distribution,0.5445,551.5915,15.6872,125.2872,28.3458,502.8894,12902.6384,1402.3032,5000
500,full_rebuild,near,0.5773,377.6423,15.7032,125.9934,27.9398,502.8812,12763.0906,1390.3518,5000
500,full_rebuild,far,0.5731,377.3208,22.8142,149.9512,28.1466,505.1392,12803.5352,1437.4508,5000
