index_condition,query_condition,query_id,recall,entry_point_dist,base_layer_entry_dist,upper_layer_dist_computations,base_visited,base_dist_computations,candidates_remaining_at_termination,lb_trace_len,lb_trace_final,layer0_visits,layer1_visits,layer2_visits,layer3_visits,layer4_visits,layer5_visits,layer6_visits
incremental,in_distribution,0,0.3,518.023499,15.501176,124,200,5535,582,200,16.779827,0,32,16,60,6,10,0
incremental,in_distribution,1,0.4,550.741821,16.877604,122,215,5879,611,215,16.715841,0,30,11,28,43,10,0
incremental,in_distribution,2,0.4,656.258545,16.647589,103,207,5748,643,207,15.527719,0,32,16,22,23,10,0
incremental,in_distribution,3,0.6,636.436096,17.26977,140,203,5613,619,203,17.12368,0,32,16,43,39,10,0
incremental,in_distribution,4,0.2,25.259109,14.603354,84,207,5755,628,207,16.315241,0,16,16,32,15,5,0
incremental,in_distribution,5,0.5,627.18512,16.583178,134,207,5754,687,207,15.995029,0,16,48,16,44,10,0
incremental,in_distribution,6,0.0,760.017822,310.950714,88,231,5338,584,231,317.216949,0,29,15,24,10,10,0
incremental,in_distribution,7,0.3,626.81897,17.574059,158,204,5597,607,204,17.12661,0,16,32,59,41,10,0
incremental,in_distribution,8,0.6,675.420227,16.93383,143,239,6593,623,239,16.591766,0,32,32,28,41,10,0
incremental,in_distribution,9,0.3,534.226013,17.208487,76,202,5524,601,202,15.81942,0,16,16,28,6,10,0
incremental,in_distribution,10,0.0,758.210815,308.341614,129,205,4959,606,205,318.266693,0,16,48,45,10,10,0
incremental,in_distribution,11,0.3,704.919678,13.677425,177,200,5462,541,200,15.322002,0,64,32,55,16,10,0
incremental,in_distribution,12,0.0,736.451599,290.582031,113,217,5205,641,217,297.680908,0,32,16,45,10,10,0
incremental,in_distribution,13,0.4,666.233948,14.39352,149,200,5370,571,200,15.624854,0,32,32,47,28,10,0
incremental,in_distribution,14,0.5,558.621887,14.02651,148,208,5750,656,208,15.4042,0,16,32,30,60,10,0
incremental,in_distribution,15,0.6,492.44928,15.959966,108,209,5822,586,209,16.394808,0,16,32,44,6,10,0
incremental,in_distribution,16,0.6,618.792725,17.778341,132,203,5576,571,203,17.199385,0,16,16,44,46,10,0
incremental,in_distribution,17,0.4,607.231873,15.533707,155,214,5837,642,214,14.45817,0,16,48,29,52,10,0
incremental,in_distribution,18,0.5,630.263184,16.146379,108,203,5599,618,203,16.097771,0,32,16,11,39,10,0
incremental,in_distribution,19,0.4,645.768982,15.714284,137,208,5715,590,208,16.556381,0,32,32,14,49,10,0
incremental,in_distribution,20,0.2,665.328979,15.163572,108,201,5558,590,201,15.206257,0,16,32,16,34,10,0
incremental,in_distribution,21,0.2,521.769714,15.876033,128,203,5594,658,203,15.402591,0,32,27,25,34,10,0
incremental,in_distribution,22,0.5,663.116272,15.821739,117,207,5728,688,207,16.468374,0,16,16,41,34,10,0
incremental,in_distribution,23,0.3,583.291992,17.095112,141,203,5573,615,203,16.021713,0,16,48,32,35,10,0
incremental,in_distribution,24,0.4,553.37085,20.212355,137,202,5614,597,202,18.452759,0,16,32,42,37,10,0
incremental,in_distribution,25,0.4,654.199829,17.266621,148,202,5506,577,202,16.731436,0,16,64,30,28,10,0
