ef_search,index_condition,query_condition,mean_recall,mean_ep_distance,mean_base_layer_entry_distance,mean_upper_layer_dist_computations,mean_layer1_visits,mean_base_visited,mean_base_dist_computations,mean_candidates_remaining,n_queries
10,incremental,in_distribution,0.0222,2454.7732,1521.0504,123.3444,27.1106,14.9672,456.3214,33.8598,5000
10,incremental,near,0.0154,2651.5899,1637.1506,121.5088,26.7342,14.8688,451.794,33.6274,5000
10,incremental,far,0.0,6086.2349,4646.6959,106.5686,23.0066,14.8296,415.6942,31.9068,5000
10,full_rebuild,in_distribution,0.0218,2116.0959,1520.6937,121.3884,26.527,14.8424,453.4418,33.9434,5000
10,full_rebuild,near,0.0163,2330.1513,1632.5348,118.1144,26.263,14.9454,451.6648,33.6544,5000
10,full_rebuild,far,0.0734,6006.5688,3961.853,116.8196,28.647,17.6074,490.607,43.4136,5000
20,incremental,in_distribution,0.0398,2454.7732,1521.0504,123.3444,27.1106,27.5432,835.8464,69.0718,5000
20,incremental,near,0.0276,2651.5899,1637.1506,121.5088,26.7342,27.3188,826.2344,68.6304,5000
20,incremental,far,0.0,6086.2349,4646.6959,106.5686,23.0066,27.533,770.0158,66.1138,5000
20,full_rebuild,in_distribution,0.0371,2116.0959,1520.6937,121.3884,26.527,27.1968,827.214,68.8204,5000
20,full_rebuild,near,0.0287,2330.1513,1632.5348,118.1144,26.263,27.4488,825.4484,68.5022,5000
20,full_rebuild,far,0.1625,6006.5688,3961.853,116.8196,28.647,34.0398,943.5376,101.8686,5000
50,incremental,in_distribution,0.0768,2454.7732,1521.0504,123.3444,27.1106,61.2576,1840.5982,171.1374,5000
50,incremental,near,0.056,2651.5899,1637.1506,121.5088,26.7342,61.3592,1837.2884,171.026,5000
50,incremental,far,0.0,6086.2349,4646.6959,106.5686,23.0066,62.5318,1732.6308,167.2928,5000
50,full_rebuild,in_distribution,0.0753,2116.0959,1520.6937,121.3884,26.527,61.0158,1837.0512,170.563,5000
50,full_rebuild,near,0.0592,2330.1513,1632.5348,118.1144,26.263,61.515,1829.4584,170.9036,5000
50,full_rebuild,far,0.3693,6006.5688,3961.853,116.8196,28.647,75.3322,2045.6904,274.8766,5000
100,incremental,in_distribution,0.1204,2454.7732,1521.0504,123.3444,27.1106,112.5408,3338.5118,334.0784,5000
100,incremental,near,0.089,2651.5899,1637.1506,121.5088,26.7342,113.259,3348.0988,334.28,5000
100,incremental,far,0.0,6086.2349,4646.6959,106.5686,23.0066,116.767,3193.9598,330.3276,5000
100,full_rebuild,in_distribution,0.12,2116.0959,1520.6937,121.3884,26.527,112.9092,3356.2078,333.5542,5000
100,full_rebuild,near,0.095,2330.1513,1632.5348,118.1144,26.263,113.9046,3340.998,335.01,5000
100,full_rebuild,far,0.5583,6006.5688,3961.853,116.8196,28.647,131.1074,3428.351,516.6462,5000
200,incremental,in_distribution,0.1801,2454.7732,1521.0504,123.3444,27.1106,211.0734,6138.2536,645.0448,5000
200,incremental,near,0.1349,2651.5899,1637.1506,121.5088,26.7342,211.9586,6139.536,645.914,5000
200,incremental,far,0.0,6086.2349,4646.6959,106.5686,23.0066,219.2872,5881.4454,646.093,5000
200,full_rebuild,in_distribution,0.1816,2116.0959,1520.6937,121.3884,26.527,211.0832,6150.6798,644.107,5000
200,full_rebuild,near,0.1485,2330.1513,1632.5348,118.1144,26.263,212.7322,6106.7402,646.5296,5000
200,full_rebuild,far,0.7246,6006.5688,3961.853,116.8196,28.647,232.239,5656.9504,892.4188,5000
500,incremental,in_distribution,0.2878,2454.7732,1521.0504,123.3444,27.1106,506.4808,14093.9762,1511.6308,5000
500,incremental,near,0.213,2651.5899,1637.1506,121.5088,26.7342,506.8764,14048.1002,1517.7556,5000
500,incremental,far,0.0,6086.2349,4646.6959,106.5686,23.0066,516.3224,13273.0944,1551.9598,5000
500,full_rebuild,in_distribution,0.2873,2116.0959,1520.6937,121.3884,26.527,506.2002,14117.8772,1512.8984,5000
500,full_rebuild,near,0.2449,2330.1513,1632.5348,118.1144,26.263,507.205,13915.2306,1519.0768,5000
500,full_rebuild,far,0.8757,6006.5688,3961.853,116.8196,28.647,531.3206,11064.3798,1716.6522,5000
