index_condition,query_condition,query_id,recall,entry_point_dist,base_layer_entry_dist,upper_layer_dist_computations,base_visited,base_dist_computations,candidates_remaining_at_termination,lb_trace_len,lb_trace_final,layer0_visits,layer1_visits,layer2_visits,layer3_visits,layer4_visits,layer5_visits,layer6_visits
incremental,in_distribution,0,0.1,2561.401855,1561.642822,120,32,969,63,32,1453.733521,0,16,32,32,32,8,0
incremental,in_distribution,1,0.0,2146.856934,1514.049927,130,29,883,73,29,1348.320557,0,16,16,63,27,8,0
incremental,in_distribution,2,0.1,2324.390137,1360.958984,108,28,849,63,28,1355.965942,0,48,16,16,20,8,0
incremental,in_distribution,3,0.1,2673.764648,1632.044067,134,25,742,58,25,1634.501221,0,32,16,48,30,8,0
incremental,in_distribution,4,0.0,2525.181641,1630.210449,103,26,773,80,26,1544.064941,0,16,32,16,31,8,0
incremental,in_distribution,5,0.1,2721.138672,1360.120483,120,22,682,67,22,1560.118652,0,16,64,16,16,8,0
incremental,in_distribution,6,0.0,2481.387695,1729.369873,57,26,803,90,26,1513.105835,0,13,15,14,7,8,0
incremental,in_distribution,7,0.0,2231.266113,1555.513428,122,20,598,48,20,1771.440796,0,16,32,32,34,8,0
incremental,in_distribution,8,0.0,2355.179688,1421.991577,120,27,813,60,27,1418.326782,0,32,32,32,16,8,0
incremental,in_distribution,9,0.1,2790.364014,1411.817871,147,23,666,71,23,1528.888428,0,16,32,48,43,8,0
incremental,in_distribution,10,0.0,2849.05957,1679.285278,133,27,826,61,27,1645.539062,0,16,32,32,45,8,0
incremental,in_distribution,11,0.1,2373.455811,1634.119019,101,32,971,89,32,1393.997559,0,16,16,32,29,8,0
incremental,in_distribution,12,0.1,2657.29248,1645.810669,120,36,1105,72,36,1491.992798,0,16,48,16,32,8,0
incremental,in_distribution,13,0.0,2239.477539,1369.627197,147,27,824,81,27,1301.373901,0,16,32,64,27,8,0
incremental,in_distribution,14,0.0,2149.37207,1532.30835,106,26,801,69,26,1474.306885,0,16,16,32,34,8,0
incremental,in_distribution,15,0.0,2594.828369,1639.476807,104,29,887,74,29,1670.940796,0,16,48,16,16,8,0
incremental,in_distribution,16,0.0,2081.70459,1272.375854,104,25,782,65,25,1262.665649,0,16,16,32,32,8,0
incremental,in_distribution,17,0.0,2264.938721,1378.553711,147,23,685,79,23,1348.626221,0,32,48,16,43,8,0
incremental,in_distribution,18,0.1,2482.986816,1636.905151,134,29,875,87,29,1557.484619,0,16,47,31,32,8,0
incremental,in_distribution,19,0.1,2108.958496,1580.085205,153,36,1097,73,36,1495.907715,0,32,16,32,65,8,0
incremental,in_distribution,20,0.1,2508.318115,1657.497192,118,35,1061,85,35,1494.978271,0,16,32,46,16,8,0
incremental,in_distribution,21,0.0,2516.135254,1423.643433,140,23,680,63,23,1431.755005,0,16,32,46,38,8,0
incremental,in_distribution,22,0.0,2240.037842,1559.681885,104,22,645,67,22,1608.283691,0,32,16,32,16,8,0
incremental,in_distribution,23,0.1,2623.943115,1424.553223,154,30,917,67,30,1463.144897,0,32,48,32,34,8,0
incremental,in_distribution,24,0.1,2425.574219,1292.678955,129,23,702,68,23,1379.934937,0,32,32,31,26,8,0
incremental,in_distribution,25,0.0,2017.776855,1403.831543,120,22,680,66,22,1403.831543,0,32,16,32,32,8,0
incremental,in_distribution,26,0.1,2254.434814,1471.633545,150,29,901,74,29,1406.283569,0,48,16,48,30,8,0
incremental,in_distribution,27,0.1,2486.390869,1384.026245,120,26,810,64,26,1414.296997,0,16,48,32,16,8,0
incremental,in_distribution,28,0.0,2136.210449,1372.582642,104,26,798,55,26,1274.528198,0,16,16,32,32,8,0
incremental,in_distribution,29,0.2,2424.580078,1368.455933,128,29,899,71,29,1240.558105,0,16,48,16,40,8,0
incremental,in_distribution,30,0.1,2860.228271,1366.328369,147,22,655,63,22,1494.68103,0,32,48,16,43,8,0
incremental,in_distribution,31,0.1,2087.573486,1633.932739,131,22,654,68,22,1479.856201,0,32,32,32,27,8,0
incremental,in_distribution,32,0.1,2608.342529,1360.470093,142,26,786,62,26,1465.515625,0,45,15,32,42,8,0
