index_condition,query_condition,query_id,recall,entry_point_dist,base_layer_entry_dist,upper_layer_dist_computations,base_visited,base_dist_computations,candidates_remaining_at_termination,lb_trace_len,lb_trace_final,layer0_visits,layer1_visits,layer2_visits,layer3_visits,layer4_visits,layer5_visits,layer6_visits
incremental,in_distribution,0,0.6,627.702026,14.447934,113,210,5709,617,210,15.206365,0,32,16,14,49,2,0
incremental,in_distribution,1,0.2,467.325989,16.177969,78,225,5958,592,225,16.629885,0,16,29,13,18,2,0
incremental,in_distribution,2,0.5,616.502319,16.24398,133,212,5671,590,212,15.791786,0,16,15,48,52,2,0
incremental,in_distribution,3,0.3,575.954102,17.245575,83,201,5468,585,201,17.819458,0,16,32,12,21,2,0
incremental,in_distribution,4,0.7,670.86554,18.3955,170,203,5350,589,203,18.287527,0,32,64,26,46,2,0
incremental,in_distribution,5,0.5,29.473076,16.488735,82,203,5403,605,203,17.350916,0,16,31,21,13,1,0
incremental,in_distribution,6,0.4,599.922974,16.561617,155,200,5464,615,200,16.709431,0,48,16,40,49,2,0
incremental,in_distribution,7,0.2,478.316284,17.071247,142,225,5926,605,225,17.536362,0,48,32,28,32,2,0
incremental,in_distribution,8,0.3,687.299805,16.756016,140,210,5557,600,210,17.25276,0,32,32,28,46,2,0
incremental,in_distribution,9,0.4,668.498352,14.829561,158,200,5474,605,200,15.50164,0,16,60,39,41,2,0
incremental,in_distribution,10,0.0,539.430237,479.173676,54,202,4595,566,202,490.928589,0,21,3,20,9,1,0
incremental,in_distribution,11,0.7,453.376709,15.514003,145,211,5735,584,211,15.078684,0,16,64,32,31,2,0
incremental,in_distribution,12,0.7,571.02124,15.994604,83,204,5538,574,204,15.150673,0,16,16,28,21,2,0
incremental,in_distribution,13,0.4,687.953369,17.234001,120,200,5408,597,200,17.910791,0,16,16,42,44,2,0
incremental,in_distribution,14,0.2,27.641563,15.123023,93,207,5654,594,207,16.707335,0,32,32,12,16,1,0
incremental,in_distribution,15,0.7,555.937927,16.67078,130,202,5313,583,202,16.864227,0,48,13,24,43,2,0
incremental,in_distribution,16,0.4,601.04834,14.596516,124,202,5424,607,202,16.402647,0,16,48,6,52,2,0
incremental,in_distribution,17,0.6,682.77179,15.646912,139,203,5434,632,203,16.412123,0,48,16,27,46,2,0
incremental,in_distribution,18,0.5,561.94342,18.347342,166,213,5743,623,213,16.83139,0,32,48,33,51,2,0
incremental,in_distribution,19,0.4,560.098206,14.597003,83,201,5462,570,201,15.445012,0,16,16,28,21,2,0
incremental,in_distribution,20,0.4,570.941772,15.229198,99,201,5491,593,201,15.946678,0,16,48,12,21,2,0
incremental,in_distribution,21,0.4,688.051086,16.863785,104,203,5482,590,203,15.897574,0,16,16,25,45,2,0
incremental,in_distribution,22,0.1,602.48761,15.890731,134,205,5631,628,205,15.66027,0,32,29,22,49,2,0
incremental,in_distribution,23,0.3,608.994873,17.592678,151,202,5464,576,202,16.924828,0,16,16,66,51,2,0
incremental,in_distribution,24,0.5,625.053345,16.881622,108,204,5527,593,204,16.664207,0,16,16,25,49,2,0
incremental,in_distribution,25,0.7,472.75293,18.192303,88,229,6092,625,229,17.529179,0,16,32,16,22,2,0
incremental,in_distribution,26,0.5,556.244751,14.84201,119,200,5390,597,200,15.186609,0,48,31,7,31,2,0
incremental,in_distribution,27,0.6,576.468811,15.451697,130,201,5503,579,201,14.914253,0,16,32,29,51,2,0
incremental,in_distribution,28,0.5,455.308319,16.045546,94,203,5447,580,203,14.916162,0,32,16,12,32,2,0
incremental,in_distribution,29,0.6,21.695179,15.446554,96,200,5343,531,200,15.907249,0,16,48,28,3,1,0
incremental,in_distribution,30,0.3,604.694519,16.208046,145,201,5405,608,201,16.555902,0,16,64,14,49,2,0
incremental,in_distribution,31,0.6,541.73645,15.919785,115,204,5546,589,204,15.301941,0,32,16,16,50,1,0
incremental,in_distribution,32,0.7,680.571167,19.066137,114,206,5604,649,206,17.64455,0,16,45,11,40,2,0
incremental,in_distribution,33,0.5,581.274963,15.909979,164,208,5581,621,208,16.880608,0,32,32,38,60,2,0
incremental,in_distribution,34,0.3,20.142063,14.348515,87,203,5537,611,203,14.466297,0,32,16,29,9,1,0
incremental,in_distribution,35,0.4,601.868958,16.598307,95,203,5490,636,203,16.33849,0,14,9,21,49,2,0
incremental,in_distribution,36,0.5,673.913696,14.500543,135,203,5504,589,203,15.092655,0,32,32,23,46,2,0
incremental,in_distribution,37,0.3,576.819702,17.639086,131,208,5601,605,208,16.608829,0,32,16,60,21,2,0
incremental,in_distribution,38,0.4,23.85957,18.558483,103,210,5565,625,210,17.561598,0,16,32,45,9,1,0
incremental,in_distribution,39,0.4,554.8396,16.420727,99,203,5470,635,203,16.460361,0,16,32,28,21,2,0
incremental,in_distribution,40,0.6,676.3526,15.839801,113,207,5647,644,207,16.360935,0,16,32,21,42,2,0
incremental,in_distribution,41,0.6,686.764709,16.729048,145,206,5536,573,206,16.639513,0,16,32,51,44,2,0
incremental,in_distribution,42,0.3,467.03891,17.178596,104,207,5534,611,207,16.273331,0,32,16,32,22,2,0
incremental,in_distribution,43,0.2,24.325975,16.822971,102,206,5579,616,206,17.869827,0,32,15,45,9,1,0
incremental,in_distribution,44,0.5,562.38739,18.389814,83,202,5364,625,202,18.528435,0,16,32,12,21,2,0
incremental,in_distribution,45,0.3,548.446289,16.385395,116,202,5459,580,202,16.813904,0,16,42,16,40,2,0
incremental,in_distribution,46,0.4,677.039185,14.057669,106,202,5516,610,202,14.037012,0,16,16,26,46,2,0
incremental,in_distribution,47,0.4,575.616333,15.198339,133,204,5361,535,204,15.556815,0,16,32,40,43,2,0
incremental,in_distribution,48,0.4,481.816864,18.170734,86,207,5483,591,207,16.894888,0,16,15,31,22,2,0
incremental,in_distribution,49,0.2,616.524841,19.065147,109,201,5446,577,201,17.553961,0,16,16,26,49,2,0
incremental,in_distribution,50,0.6,610.084167,14.767566,144,203,5565,579,203,15.173294,0,32,32,29,49,2,0
incremental,in_distribution,51,0.5,614.091003,17.900723,97,201,5381,568,201,16.536949,0,16,16,14,49,2,0
incremental,in_distribution,52,0.4,553.120972,16.040928,130,205,5557,600,205,15.504775,0,16,32,29,51,2,0
incremental,in_distribution,53,0.6,558.399658,17.045668,114,202,5467,611,202,15.056576,0,12,26,23,51,2,0
incremental,in_distribution,54,0.5,599.361633,14.292505,161,201,5437,559,201,15.482962,0,48,32,30,49,2,0
incremental,in_distribution,55,0.2,571.368408,15.159881,160,204,5548,595,204,16.199936,0,32,32,43,51,2,0
incremental,in_distribution,56,0.1,20.24325,15.96541,80,203,5516,625,203,15.393139,0,16,32,22,9,1,0
incremental,in_distribution,57,0.4,555.666382,15.868052,115,200,5383,604,200,16.265045,0,48,16,28,21,2,0
incremental,in_distribution,58,0.1,683.264832,16.049696,155,201,5403,630,201,14.911935,0,16,64,29,44,2,0
incremental,in_distribution,59,0.6,686.218445,14.630461,109,200,5399,589,200,14.864848,0,48,16,7,36,2,0
incremental,in_distribution,60,0.4,684.869751,17.075487,111,204,5544,605,204,15.500029,0,16,16,28,49,2,0
incremental,in_distribution,61,0.2,625.78363,16.448887,148,207,5511,614,207,16.241383,0,48,28,15,55,2,0
incremental,in_distribution,62,0.5,590.3703,14.488775,143,226,6080,567,226,16.550594,0,32,16,42,51,2,0
incremental,in_distribution,63,0.5,20.043945,15.895511,80,208,5527,592,208,15.302943,0,16,32,28,3,1,0
incremental,in_distribution,64,0.3,557.362915,15.972387,144,204,5538,622,204,16.192062,0,31,48,23,40,2,0
incremental,in_distribution,65,0.5,591.369568,13.262442,199,200,5378,613,200,14.76895,0,80,16,40,61,2,0
incremental,in_distribution,66,0.6,602.036194,14.714911,173,201,5412,571,201,15.540288,0,48,32,35,56,2,0
incremental,in_distribution,67,0.2,673.810425,14.860331,138,207,5609,647,207,15.795117,0,32,32,27,45,2,0
incremental,in_distribution,68,0.5,544.950562,13.555954,122,205,5538,615,205,15.476086,0,16,64,6,35,1,0
incremental,in_distribution,69,0.4,477.070618,16.376793,104,200,5302,599,200,17.118416,0,16,32,32,22,2,0
incremental,in_distribution,70,0.4,652.279175,14.711007,142,200,5383,617,200,16.069597,0,32,31,26,51,2,0
incremental,in_distribution,71,0.6,595.422119,16.565247,148,207,5565,609,207,17.379644,0,10,54,21,61,2,0
incremental,in_distribution,72,0.4,23.285011,16.117678,73,204,5503,611,204,16.671003,0,16,14,39,3,1,0
incremental,in_distribution,73,0.3,598.038086,15.190985,152,203,5404,561,203,17.066057,0,47,14,40,49,2,0
incremental,in_distribution,74,0.4,571.903564,16.749954,130,227,6022,608,227,17.242981,0,32,32,13,51,2,0
incremental,in_distribution,75,0.6,682.29126,14.673904,106,207,5554,610,207,14.689797,0,16,29,10,49,2,0
incremental,in_distribution,76,0.4,676.483582,16.169697,119,209,5748,662,209,16.803476,0,16,29,28,44,2,0
incremental,in_distribution,77,0.3,691.515625,15.451996,141,200,5403,603,200,16.631588,0,16,32,40,51,2,0
incremental,in_distribution,78,0.3,487.182007,14.763414,114,205,5509,646,205,16.824879,0,32,32,26,22,2,0
incremental,in_distribution,79,0.4,677.786316,15.785507,171,201,5509,605,201,16.66795,0,48,48,29,44,2,0
incremental,in_distribution,80,0.6,466.950073,12.153499,120,210,5759,640,210,13.158698,0,48,16,32,22,2,0
incremental,in_distribution,81,0.5,578.439697,16.048069,113,201,5358,594,201,16.106735,0,16,16,30,49,2,0
incremental,in_distribution,82,0.6,559.994263,14.839668,97,200,5318,615,200,15.95112,0,16,32,16,31,2,0
incremental,in_distribution,83,0.3,673.534668,15.41787,155,204,5490,579,204,15.133865,0,64,32,21,36,2,0
incremental,in_distribution,84,0.5,632.863403,15.919167,132,209,5736,640,209,15.17985,0,16,43,15,56,2,0
incremental,in_distribution,85,0.6,545.918457,13.919421,114,208,5615,594,208,14.493029,0,16,32,13,51,2,0
incremental,in_distribution,86,0.8,620.41687,18.779753,141,206,5502,624,206,17.493366,0,16,32,42,49,2,0
incremental,in_distribution,87,0.3,558.984192,15.974533,99,202,5465,647,202,15.688568,0,16,32,28,21,2,0
incremental,in_distribution,88,0.4,651.23468,13.522482,129,206,5389,619,206,16.066299,0,32,16,26,53,2,0
incremental,in_distribution,89,0.6,624.244019,15.266535,144,201,5473,567,201,15.309796,0,16,32,31,63,2,0
incremental,in_distribution,90,0.5,558.878601,16.089846,96,202,5498,544,202,15.213517,0,16,32,25,21,2,0
