index_condition,query_condition,query_id,recall,entry_point_dist,layer1_visits,base_visited,lb_trace_len,lb_trace_final
incremental,in_distribution,0,0.4,7387.256836,16,54,54,167.021851
incremental,in_distribution,1,0.3,5740.974609,15,53,53,203.785873
incremental,in_distribution,2,0.5,6850.185547,32,50,50,183.499542
incremental,in_distribution,3,0.3,6112.421875,32,56,56,186.809235
incremental,in_distribution,4,0.1,5788.974609,16,54,54,191.811646
incremental,in_distribution,5,0.3,7030.49707,32,63,63,168.47551
incremental,in_distribution,6,0.5,6064.066406,48,52,52,187.181549
incremental,in_distribution,7,0.2,6260.164551,48,52,52,169.818954
incremental,in_distribution,8,0.2,6485.841797,32,52,52,174.36879
incremental,in_distribution,9,0.2,7245.564453,32,52,52,174.47374
incremental,in_distribution,10,0.1,7670.078125,16,63,63,183.478012
incremental,in_distribution,11,0.4,7643.415039,16,54,54,177.782379
incremental,in_distribution,12,0.3,5633.813965,16,57,57,185.261917
incremental,in_distribution,13,0.4,7834.149414,16,56,56,192.912109
incremental,in_distribution,14,0.1,6755.876953,32,58,58,167.365829
incremental,in_distribution,15,0.4,6104.620605,48,61,61,165.098099
incremental,in_distribution,16,0.5,6739.527832,32,55,55,164.040039
incremental,in_distribution,17,0.3,8127.421875,32,52,52,179.908554
incremental,in_distribution,18,0.0,6854.720215,16,53,53,4398.720215
incremental,in_distribution,19,0.3,7796.309082,16,53,53,168.982544
incremental,in_distribution,20,0.2,8068.586426,32,57,57,196.216278
incremental,in_distribution,21,0.3,5752.741699,16,51,51,183.860931
incremental,in_distribution,22,0.2,5422.357422,64,50,50,166.13089
incremental,in_distribution,23,0.5,5401.321777,16,60,60,176.243439
incremental,in_distribution,24,0.1,5796.775391,16,52,52,170.488342
incremental,in_distribution,25,0.1,6992.664062,32,54,54,185.467957
incremental,in_distribution,26,0.2,279.019348,64,59,59,198.116821
incremental,in_distribution,27,0.1,7099.586914,16,53,53,178.884995
incremental,in_distribution,28,0.3,5496.948242,16,58,58,182.13591
incremental,in_distribution,29,0.3,8297.330078,16,56,56,183.75087
incremental,in_distribution,30,0.5,7972.493652,32,57,57,183.038498
incremental,in_distribution,31,0.3,5784.787109,16,61,61,192.229736
incremental,in_distribution,32,0.1,5728.040527,16,55,55,211.028381
incremental,in_distribution,33,0.3,247.572052,32,53,53,186.401352
incremental,in_distribution,34,0.5,6885.865234,64,58,58,149.701172
incremental,in_distribution,35,0.3,8005.123047,16,50,50,173.017776
incremental,in_distribution,36,0.4,7010.017578,16,55,55,188.190186
incremental,in_distribution,37,0.3,5989.080566,16,57,57,199.492401
incremental,in_distribution,38,0.2,195.42688,16,55,55,164.2509
incremental,in_distribution,39,0.4,6238.748535,32,66,66,184.244644
incremental,in_distribution,40,0.8,6938.994141,16,53,53,167.012741
incremental,in_distribution,41,0.2,6912.580078,48,52,52,167.775223
incremental,in_distribution,42,0.0,6818.140137,16,52,52,4156.966797
incremental,in_distribution,43,0.2,5877.305664,48,68,68,175.308487
incremental,in_distribution,44,0.0,6546.001953,16,57,57,4123.15918
incremental,in_distribution,45,0.1,5720.38916,48,50,50,181.499893
incremental,in_distribution,46,0.3,5828.231445,48,52,52,160.621353
incremental,in_distribution,47,0.3,7577.07959,16,51,51,172.283783
incremental,in_distribution,48,0.0,5532.33252,16,58,58,173.665024
incremental,in_distribution,49,0.3,6145.508789,48,51,51,170.237244
incremental,in_distribution,50,0.5,6319.997559,32,51,51,182.782074
incremental,in_distribution,51,0.1,8043.149414,32,55,55,169.557953
incremental,in_distribution,52,0.1,5786.826172,16,52,52,184.684265
incremental,in_distribution,53,0.5,5847.160156,32,67,67,161.038681
incremental,in_distribution,54,0.2,6878.470703,16,52,52,176.397675
incremental,in_distribution,55,0.4,6877.398926,16,60,60,172.58165
incremental,in_distribution,56,0.3,7236.59668,16,53,53,171.828796
incremental,in_distribution,57,0.5,5564.074219,48,55,55,189.12973
incremental,in_distribution,58,0.1,8059.737793,62,51,51,179.253967
incremental,in_distribution,59,0.2,7250.29248,16,60,60,189.865509
incremental,in_distribution,60,0.3,6240.189453,32,58,58,182.36705
