query_id,window,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
0,in_distribution,1.0,488.1645812988281,9.285594940185547,56,200,1567,279,200,0,16,32,8,0,0
1,in_distribution,1.0,11.95832347869873,8.552650451660156,49,200,1540,269,200,0,23,22,4,0,0
2,in_distribution,1.0,429.9263610839844,9.25981616973877,21,200,1568,299,200,0,6,7,8,0,0
3,in_distribution,1.0,8.803967475891113,7.344749450683594,47,200,1562,243,200,0,30,13,4,0,0
4,in_distribution,1.0,547.4183959960938,7.414412498474121,41,200,1512,252,200,0,18,15,8,0,0
5,in_distribution,1.0,430.68988037109375,7.767317771911621,44,200,1525,262,200,0,26,10,8,0,0
6,in_distribution,1.0,475.1745300292969,8.270515441894531,44,200,1558,242,200,0,16,20,8,0,0
7,in_distribution,1.0,530.3845825195312,8.159194946289062,58,200,1528,255,200,0,32,18,8,0,0
8,in_distribution,1.0,371.6964111328125,7.287117004394531,37,200,1605,255,200,0,13,16,8,0,0
9,in_distribution,1.0,455.8127746582031,7.953324317932129,44,200,1517,271,200,0,26,10,8,0,0
10,in_distribution,1.0,395.02667236328125,7.507457256317139,45,200,1538,248,200,0,15,22,8,0,0
11,in_distribution,1.0,10.99691390991211,8.892733573913574,38,200,1538,279,200,0,16,18,4,0,0
12,in_distribution,1.0,481.52838134765625,7.8601603507995605,77,200,1592,286,200,0,42,27,8,0,0
13,in_distribution,1.0,433.996337890625,8.413516998291016,52,200,1559,265,200,0,37,7,8,0,0
14,in_distribution,1.0,464.9851379394531,8.534748077392578,44,200,1565,255,200,0,16,20,8,0,0
15,in_distribution,1.0,431.8405456542969,6.566559314727783,70,200,1529,246,200,0,46,16,8,0,0
16,in_distribution,1.0,463.9420166015625,8.649537086486816,41,200,1570,294,200,0,9,24,8,0,0
17,in_distribution,1.0,9.504141807556152,6.975075721740723,41,200,1550,264,200,0,24,13,4,0,0
18,in_distribution,1.0,538.337646484375,8.169036865234375,84,200,1558,231,200,0,52,24,8,0,0
19,in_distribution,1.0,395.5046081542969,8.92136001586914,53,200,1606,266,200,0,29,16,8,0,0
20,in_distribution,1.0,453.73895263671875,7.569154262542725,47,200,1553,269,200,0,32,7,8,0,0
21,in_distribution,1.0,536.1007690429688,7.814830303192139,62,200,1529,256,200,0,26,28,8,0,0
22,in_distribution,1.0,540.4974975585938,8.02540111541748,55,200,1533,255,200,0,32,15,8,0,0
23,in_distribution,1.0,439.8005676269531,9.295872688293457,21,201,1558,280,201,0,6,7,8,0,0
24,in_distribution,1.0,517.6982421875,8.064448356628418,52,200,1533,236,200,0,26,18,8,0,0
25,in_distribution,1.0,544.4786376953125,9.392422676086426,81,200,1507,275,200,0,59,14,8,0,0
26,in_distribution,1.0,483.9767761230469,6.56843900680542,72,200,1576,275,200,0,45,19,8,0,0
27,in_distribution,1.0,540.7203369140625,7.804145812988281,51,200,1532,258,200,0,22,21,8,0,0
28,in_distribution,1.0,389.4818420410156,8.163819313049316,52,200,1596,253,200,0,26,18,8,0,0
29,in_distribution,1.0,382.53668212890625,7.871372222900391,59,200,1567,241,200,0,41,10,8,0,0
30,in_distribution,1.0,447.8020324707031,8.740401268005371,34,200,1549,247,200,0,19,7,8,0,0
31,in_distribution,1.0,532.9967651367188,8.092242240905762,48,200,1510,269,200,0,22,18,8,0,0
32,in_distribution,1.0,11.23573112487793,8.760736465454102,72,200,1564,299,200,0,55,13,4,0,0
33,in_distribution,1.0,461.05084228515625,9.797391891479492,35,201,1535,285,201,0,4,23,8,0,0
34,in_distribution,1.0,499.1605224609375,0.0,66,200,1587,270,200,0,25,33,8,0,0
35,in_distribution,1.0,465.2430114746094,8.12230110168457,45,200,1583,269,200,0,27,10,8,0,0
