shift_sigma,shift_absolute,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
0,0.0,10,0.0215,554322.5212,423460.6194,121.516,27.074,14.879,454.121,34.194,1000
0,0.0,20,0.0394,554322.5212,423460.6194,121.516,27.074,27.498,835.03,69.385,1000
0,0.0,50,0.0771,554322.5212,423460.6194,121.516,27.074,60.923,1832.193,171.595,1000
0,0.0,100,0.12,554322.5212,423460.6194,121.516,27.074,113.516,3369.541,334.888,1000
0,0.0,200,0.1768,554322.5212,423460.6194,121.516,27.074,210.399,6122.689,646.052,1000
0,0.0,500,0.2859,554322.5212,423460.6194,121.516,27.074,506.528,14097.987,1513.557,1000
0,0.0,1000,0.3894,554322.5212,423460.6194,121.516,27.074,1003.903,26559.657,2855.76,1000
0,0.0,2000,0.4934,554322.5212,423460.6194,121.516,27.074,2002.636,49524.023,5342.502,1000
0,0.0,5000,0.633,554322.5212,423460.6194,121.516,27.074,5001.632,110131.116,12160.684,1000
1,50.0,10,0.0211,553660.6808,424388.9407,121.406,27.414,14.92,454.931,33.998,1000
1,50.0,20,0.0379,553660.6808,424388.9407,121.406,27.414,27.516,835.043,68.876,1000
1,50.0,50,0.0734,553660.6808,424388.9407,121.406,27.414,61.48,1846.543,171.23,1000
1,50.0,100,0.1148,553660.6808,424388.9407,121.406,27.414,113.789,3373.591,334.856,1000
1,50.0,200,0.1804,553660.6808,424388.9407,121.406,27.414,211.733,6156.149,646.759,1000
1,50.0,500,0.2869,553660.6808,424388.9407,121.406,27.414,505.896,14084.239,1515.243,1000
1,50.0,1000,0.3851,553660.6808,424388.9407,121.406,27.414,1004.224,26571.693,2857.416,1000
1,50.0,2000,0.4892,553660.6808,424388.9407,121.406,27.414,2002.762,49528.83,5348.482,1000
1,50.0,5000,0.6342,553660.6808,424388.9407,121.406,27.414,5001.64,110119.982,12166.521,1000
2,100.0,10,0.0227,559198.6584,430881.6028,121.876,27.144,14.939,454.761,33.716,1000
2,100.0,20,0.0356,559198.6584,430881.6028,121.876,27.144,27.303,827.058,68.63,1000
2,100.0,50,0.0739,559198.6584,430881.6028,121.876,27.144,61.786,1854.389,171.392,1000
2,100.0,100,0.1147,559198.6584,430881.6028,121.876,27.144,113.062,3351.947,334.309,1000
2,100.0,200,0.1647,559198.6584,430881.6028,121.876,27.144,211.569,6148.401,646.84,1000
2,100.0,500,0.2717,559198.6584,430881.6028,121.876,27.144,506.554,14091.059,1517.489,1000
2,100.0,1000,0.3663,559198.6584,430881.6028,121.876,27.144,1003.914,26546.527,2860.827,1000
2,100.0,2000,0.4733,559198.6584,430881.6028,121.876,27.144,2002.624,49490.596,5360.209,1000
2,100.0,5000,0.6109,559198.6584,430881.6028,121.876,27.144,5001.765,110044.579,12206.378,1000
3,150.0,10,0.0177,567307.07,442339.0898,119.031,26.67,14.878,453.134,33.992,1000
3,150.0,20,0.0324,567307.07,442339.0898,119.031,26.67,27.316,827.471,69.034,1000
3,150.0,50,0.0641,567307.07,442339.0898,119.031,26.67,61.255,1835.852,171.277,1000
3,150.0,100,0.1051,567307.07,442339.0898,119.031,26.67,113.755,3367.588,335.065,1000
3,150.0,200,0.1588,567307.07,442339.0898,119.031,26.67,211.766,6146.687,647.388,1000
3,150.0,500,0.2569,567307.07,442339.0898,119.031,26.67,506.647,14070.308,1518.999,1000
3,150.0,1000,0.3491,567307.07,442339.0898,119.031,26.67,1004.509,26515.303,2869.351,1000
3,150.0,2000,0.4573,567307.07,442339.0898,119.031,26.67,2002.83,49423.21,5374.944,1000
3,150.0,5000,0.6046,567307.07,442339.0898,119.031,26.67,5001.792,109880.067,12239.563,1000
4,200.0,10,0.0186,583210.6742,456295.3461,120.835,27.723,14.867,451.428,33.7,1000
4,200.0,20,0.0321,583210.6742,456295.3461,120.835,27.723,27.271,823.937,68.579,1000
4,200.0,50,0.0598,583210.6742,456295.3461,120.835,27.723,61.284,1833.92,170.734,1000
4,200.0,100,0.1006,583210.6742,456295.3461,120.835,27.723,113.576,3355.269,334.239,1000
4,200.0,200,0.1555,583210.6742,456295.3461,120.835,27.723,212.447,6151.643,646.493,1000
4,200.0,500,0.2451,583210.6742,456295.3461,120.835,27.723,506.838,14052.118,1520.445,1000
4,200.0,1000,0.3307,583210.6742,456295.3461,120.835,27.723,1004.378,26471.668,2873.725,1000
4,200.0,2000,0.4308,583210.6742,456295.3461,120.835,27.723,2002.926,49328.128,5388.623,1000
4,200.0,5000,0.5797,583210.6742,456295.3461,120.835,27.723,5001.791,109652.599,12296.733,1000
6,300.0,10,0.0109,624486.4806,497190.3937,118.14,26.79,14.98,452.357,33.472,1000
6,300.0,20,0.0255,624486.4806,497190.3937,118.14,26.79,27.555,828.514,68.504,1000
6,300.0,50,0.0488,624486.4806,497190.3937,118.14,26.79,61.714,1837.358,171.324,1000
6,300.0,100,0.0794,624486.4806,497190.3937,118.14,26.79,114.836,3375.776,334.941,1000
