shift,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
-2.6021,10,0.2973,115.54,78.8312,120.412,26.996,14.73,388.448,40.109,1000
-2.6021,20,0.4085,115.54,78.8312,120.412,26.996,26.572,677.582,74.852,1000
-2.6021,50,0.5323,115.54,78.8312,120.412,26.996,60.036,1442.693,165.189,1000
-2.6021,100,0.6281,115.54,78.8312,120.412,26.996,116.286,2647.563,291.03,1000
-2.6021,200,0.7142,115.54,78.8312,120.412,26.996,228.165,4873.324,503.544,1000
-2.6021,500,0.822,115.54,78.8312,120.412,26.996,555.766,10503.168,1037.265,1000
-2.4914,10,0.3075,114.4485,77.7334,121.217,27.714,14.422,383.858,40.383,1000
-2.4914,20,0.406,114.4485,77.7334,121.217,27.714,26.073,671.75,74.943,1000
-2.4914,50,0.5267,114.4485,77.7334,121.217,27.714,59.485,1444.256,163.662,1000
-2.4914,100,0.6217,114.4485,77.7334,121.217,27.714,116.115,2676.871,288.373,1000
-2.4914,200,0.7156,114.4485,77.7334,121.217,27.714,228.279,4945.853,499.879,1000
-2.4914,500,0.8046,114.4485,77.7334,121.217,27.714,551.403,10534.288,1034.323,1000
-2.3735,10,0.3135,112.6749,76.0182,121.455,27.949,14.659,388.76,40.277,1000
-2.3735,20,0.4151,112.6749,76.0182,121.455,27.949,26.295,675.956,74.928,1000
-2.3735,50,0.5448,112.6749,76.0182,121.455,27.949,59.663,1442.918,164.079,1000
-2.3735,100,0.6509,112.6749,76.0182,121.455,27.949,116.923,2697.959,291.593,1000
-2.3735,200,0.7337,112.6749,76.0182,121.455,27.949,228.199,4955.637,504.146,1000
-2.3735,500,0.8396,112.6749,76.0182,121.455,27.949,552.808,10624.831,1041.786,1000
-2.2435,10,0.3068,111.9515,75.8265,120.804,27.026,14.64,389.943,40.09,1000
-2.2435,20,0.4175,111.9515,75.8265,120.804,27.026,26.295,680.43,75.228,1000
-2.2435,50,0.5448,111.9515,75.8265,120.804,27.026,59.477,1457.54,165.553,1000
-2.2435,100,0.6488,111.9515,75.8265,120.804,27.026,116.686,2714.497,291.853,1000
-2.2435,200,0.7449,111.9515,75.8265,120.804,27.026,230.231,5049.822,507.43,1000
-2.2435,500,0.8303,111.9515,75.8265,120.804,27.026,547.715,10599.935,1043.046,1000
-2.0966,10,0.3436,111.9584,74.9375,123.164,28.415,14.552,389.029,40.617,1000
-2.0966,20,0.439,111.9584,74.9375,123.164,28.415,25.72,664.488,74.368,1000
-2.0966,50,0.5693,111.9584,74.9375,123.164,28.415,59.329,1440.096,163.519,1000
-2.0966,100,0.6716,111.9584,74.9375,123.164,28.415,116.222,2685.646,288.911,1000
-2.0966,200,0.7446,111.9584,74.9375,123.164,28.415,226.578,4928.213,495.467,1000
-2.0966,500,0.8416,111.9584,74.9375,123.164,28.415,550.996,10574.619,1031.953,1000
-1.926,10,0.327,110.5573,73.601,121.846,27.088,14.604,391.058,40.587,1000
-1.926,20,0.437,110.5573,73.601,121.846,27.088,26.214,677.725,75.584,1000
-1.926,50,0.5685,110.5573,73.601,121.846,27.088,60.072,1467.256,165.868,1000
-1.926,100,0.6669,110.5573,73.601,121.846,27.088,116.872,2698.013,290.32,1000
-1.926,200,0.7565,110.5573,73.601,121.846,27.088,228.535,4989.725,501.98,1000
-1.926,500,0.8407,110.5573,73.601,121.846,27.088,548.209,10518.666,1037.67,1000
-1.7205,10,0.3536,108.144,70.7414,123.413,28.453,14.31,383.883,40.816,1000
-1.7205,20,0.4641,108.144,70.7414,123.413,28.453,25.794,667.711,75.116,1000
-1.7205,50,0.6162,108.144,70.7414,123.413,28.453,60.113,1472.065,164.604,1000
-1.7205,100,0.7153,108.144,70.7414,123.413,28.453,116.344,2716.129,288.28,1000
-1.7205,200,0.8039,108.144,70.7414,123.413,28.453,226.9,5025.328,491.697,1000
-1.7205,500,0.8576,108.144,70.7414,123.413,28.453,537.471,10450.815,1010.246,1000
-1.4654,10,0.3653,107.4378,70.6889,121.058,27.69,14.586,391.109,40.959,1000
-1.4654,20,0.4753,107.4378,70.6889,121.058,27.69,25.769,669.551,74.756,1000
-1.4654,50,0.6162,107.4378,70.6889,121.058,27.69,59.478,1464.864,163.405,1000
-1.4654,100,0.7086,107.4378,70.6889,121.058,27.69,115.494,2704.717,285.328,1000
-1.4654,200,0.7973,107.4378,70.6889,121.058,27.69,228.988,5051.852,491.322,1000
-1.4654,500,0.8652,107.4378,70.6889,121.058,27.69,542.824,10522.1,1016.785,1000
-1.1354,10,0.3738,105.3034,67.8542,123.906,28.364,14.432,392.464,41.702,1000
-1.1354,20,0.5005,105.3034,67.8542,123.906,28.364,25.855,678.817,75.402,1000
-1.1354,50,0.6432,105.3034,67.8542,123.906,28.364,59.64,1493.417,165.019,1000
-1.1354,100,0.7531,105.3034,67.8542,123.906,28.364,117.169,2793.303,286.888,1000
-1.1354,200,0.84,105.3034,67.8542,123.906,28.364,228.562,5132.873,486.495,1000
-1.1354,500,0.8857,105.3034,67.8542,123.906,28.364,535.252,10571.288,1011.033,1000
-0.6768,10,0.3901,104.3968,67.7051,124.125,28.433,14.623,396.74,42.06,1000
-0.6768,20,0.5155,104.3968,67.7051,124.125,28.433,25.966,684.388,75.802,1000
-0.6768,50,0.6798,104.3968,67.7051,124.125,28.433,60.689,1520.608,165.798,1000
-0.6768,100,0.7682,104.3968,67.7051,124.125,28.433,116.986,2810.541,285.89,1000
-0.6768,200,0.8573,104.3968,67.7051,124.125,28.433,228.397,5197.286,487.438,1000
-0.6768,500,0.9031,104.3968,67.7051,124.125,28.433,535.648,10693.294,1024.616,1000
1.4396,10,0.3694,109.5178,71.5863,127.722,28.143,14.36,390.576,42.007,1000
1.4396,20,0.4937,109.5178,71.5863,127.722,28.143,25.44,669.867,72.846,1000
1.4396,50,0.6476,109.5178,71.5863,127.722,28.143,58.746,1473.474,156.714,1000
1.4396,100,0.7611,109.5178,71.5863,127.722,28.143,115.916,2785.964,276.681,1000
1.4396,200,0.8514,109.5178,71.5863,127.722,28.143,226.727,5151.981,477.327,1000
1.4396,500,0.9225,109.5178,71.5863,127.722,28.143,542.701,10758.751,1060.89,1000
