strategy,ef_search,actual_search_ef,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_base_dist_comps,n_queries,mean_t_query_ms,mean_t_adapt_ms
escalation_only,10,10,0,1,False,0.0,0.0,0.9398,360.8623,3000,0.0715,0.0887
escalation_only,10,10,1,2,False,0.0,0.1,0.8835,499.3753,3000,0.085,0.0873
escalation_only,10,10,2,3,False,0.1,0.1,0.8354,406.8117,3000,0.075,0.0875
escalation_only,10,10,3,3,True,0.1,0.1,0.8426,416.6068,5000,0.0747,0.0876
escalation_only,10,10,4,4,False,0.1,0.2,0.7336,591.5377,3000,0.0935,0.0878
escalation_only,10,10,5,5,False,0.2,0.3,0.7269,462.2997,3000,0.0788,0.0874
escalation_only,10,10,6,6,False,0.3,0.3,0.6678,429.457,3000,0.0756,0.0875
escalation_only,10,10,7,6,True,0.3,0.3,0.665,421.439,5000,0.0742,0.0871
escalation_only,10,10,8,7,False,0.3,0.4,0.4696,627.7107,3000,0.0953,0.0877
escalation_only,10,10,9,8,False,0.4,0.6,0.4453,605.3483,3000,0.0931,0.0879
escalation_only,10,10,10,9,False,0.6,1.0,0.4057,482.009,3000,0.0795,0.0869
escalation_only,10,10,11,9,True,0.6,1.0,0.4402,540.9546,5000,0.0863,0.0875
escalation_only,50,50,0,1,False,0.0,0.0,1.0,1413.345,3000,0.2155,0.0926
escalation_only,50,50,1,2,False,0.0,0.1,1.0,1762.8207,3000,0.2372,0.0914
escalation_only,50,50,2,3,False,0.1,0.1,0.9857,1614.6077,3000,0.2298,0.0909
escalation_only,50,50,3,3,True,0.1,0.1,0.9855,1638.4278,5000,0.2386,0.0912
escalation_only,50,50,4,4,False,0.1,0.2,0.97,1974.7897,3000,0.2486,0.0914
escalation_only,50,50,5,5,False,0.2,0.3,0.9532,1793.7297,3000,0.233,0.0911
escalation_only,50,50,6,6,False,0.3,0.3,0.938,1782.3623,3000,0.2341,0.0917
escalation_only,50,50,7,6,True,0.3,0.3,0.9327,1637.0126,5000,0.2215,0.0914
escalation_only,50,50,8,7,False,0.3,0.4,0.8806,2183.842,3000,0.2661,0.0924
escalation_only,50,50,9,8,False,0.4,0.6,0.8394,2090.0517,3000,0.2577,0.0922
escalation_only,50,50,10,9,False,0.6,1.0,0.8033,1888.513,3000,0.2335,0.0915
escalation_only,50,50,11,9,True,0.6,1.0,0.8137,1980.028,5000,0.25,0.0929
escalation_only,100,100,0,1,False,0.0,0.0,1.0,2601.187,3000,0.4011,0.0942
escalation_only,100,100,1,2,False,0.0,0.1,1.0,3170.4597,3000,0.4214,0.0949
