strategy,ef_search,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_base_dist_comps,mean_t_query_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_adapt_ms,n_queries
ha_all,10,0,1,False,0.0,0.0,0.9638,395.061,0.9459,0.7195,0.1213,1.0649,3000
ha_all,10,1,2,False,0.0,0.1,0.9413,508.9173,1.0664,0.7936,0.1516,1.1748,3000
ha_all,10,2,3,False,0.1,0.1,0.8911,462.1297,1.0541,0.7979,0.1415,1.2776,3000
ha_all,10,3,3,True,0.1,0.1,0.8873,452.8258,1.043,0.788,0.1416,1.1414,5000
ha_all,10,4,4,False,0.1,0.2,0.8567,574.3673,1.0911,0.7924,0.1671,1.2004,3000
ha_all,10,5,5,False,0.2,0.3,0.8122,526.2107,1.0699,0.7911,0.1568,1.2742,3000
ha_all,10,6,6,False,0.3,0.3,0.7452,480.643,1.0536,0.7906,0.1489,1.1402,3000
ha_all,10,7,6,True,0.3,0.3,0.7477,483.3972,1.0564,0.7913,0.1497,1.187,5000
ha_all,10,8,7,False,0.3,0.4,0.7064,639.814,1.1357,0.8063,0.1866,1.2788,3000
ha_all,10,9,8,False,0.4,0.6,0.6529,637.5297,1.1303,0.8051,0.186,1.2157,3000
ha_all,10,10,9,False,0.6,1.0,0.5639,565.2417,1.0867,0.7918,0.1722,1.1677,3000
ha_all,10,11,9,True,0.6,1.0,0.5681,576.7208,1.0962,0.7973,0.1741,1.1886,5000
ha_all,50,0,1,False,0.0,0.0,1.0,1555.321,1.3813,0.7598,0.3437,1.1429,3000
ha_all,50,1,2,False,0.0,0.1,0.9999,1900.5233,1.4898,0.7753,0.4019,1.1905,3000
ha_all,50,2,3,False,0.1,0.1,0.9891,1786.595,1.452,0.7747,0.38,1.1695,3000
ha_all,50,3,3,True,0.1,0.1,0.989,1768.4178,1.4481,0.7754,0.3782,1.1356,5000
ha_all,50,4,4,False,0.1,0.2,0.9773,2161.4243,1.5733,0.7823,0.4489,1.2581,3000
ha_all,50,5,5,False,0.2,0.3,0.9684,2030.064,1.528,0.7795,0.4249,1.2206,3000
ha_all,50,6,6,False,0.3,0.3,0.9508,1932.6617,1.4958,0.7792,0.4066,1.2169,3000
ha_all,50,7,6,True,0.3,0.3,0.9549,1981.3298,1.5098,0.7781,0.4149,1.1428,5000
ha_all,50,8,7,False,0.3,0.4,0.9028,2232.35,1.591,0.7826,0.4624,1.2274,3000
ha_all,50,9,8,False,0.4,0.6,0.8809,2321.1723,1.6177,0.7826,0.4785,1.2337,3000
ha_all,50,10,9,False,0.6,1.0,0.8622,2239.12,1.5822,0.7807,0.462,1.1981,3000
ha_all,50,11,9,True,0.6,1.0,0.8624,2234.4354,1.5828,0.7825,0.4613,1.1926,5000
ha_all,100,0,1,False,0.0,0.0,1.0,2788.1867,1.8633,0.7835,0.6133,1.1037,3000
ha_all,100,1,2,False,0.0,0.1,1.0,3551.0113,2.087,0.8093,0.7398,1.2424,3000
ha_all,100,2,3,False,0.1,0.1,0.998,3264.4843,2.0011,0.8029,0.6913,1.1941,3000
ha_all,100,3,3,True,0.1,0.1,0.9976,3244.9668,1.9994,0.8016,0.69,1.1483,5000
ha_all,100,4,4,False,0.1,0.2,0.9915,3877.5903,2.1712,0.8095,0.7951,1.1992,3000
ha_all,100,5,5,False,0.2,0.3,0.9903,3667.3297,2.1079,0.809,0.757,1.2075,3000
ha_all,100,6,6,False,0.3,0.3,0.9851,3537.0247,2.0681,0.8045,0.7348,1.1941,3000
ha_all,100,7,6,True,0.3,0.3,0.9858,3511.4776,2.07,0.8047,0.736,1.1555,5000
ha_all,100,8,7,False,0.3,0.4,0.9574,4196.0677,2.2787,0.8176,0.8604,1.282,3000
ha_all,100,9,8,False,0.4,0.6,0.9451,4272.257,2.2992,0.8171,0.8758,1.168,3000
ha_all,100,10,9,False,0.6,1.0,0.9384,4128.739,2.2549,0.818,0.849,1.3088,3000
ha_all,100,11,9,True,0.6,1.0,0.939,4085.3338,2.2449,0.8157,0.8452,1.1587,5000
ha_all,200,0,1,False,0.0,0.0,1.0,5022.5847,2.936,0.8112,1.2771,1.1958,3000
ha_all,200,1,2,False,0.0,0.1,1.0,6439.8313,3.5133,0.8396,1.6879,1.2615,3000
ha_all,200,2,3,False,0.1,0.1,0.9994,5756.9907,3.2145,0.8315,1.4739,1.1938,3000
ha_all,200,3,3,True,0.1,0.1,0.9994,5938.5454,3.3228,0.834,1.5422,1.212,5000
ha_all,200,4,4,False,0.1,0.2,0.998,7295.4603,3.8922,0.8482,1.9745,1.2573,3000
ha_all,200,5,5,False,0.2,0.3,0.9982,6784.8487,3.6695,0.8487,1.8038,1.2881,3000
ha_all,200,6,6,False,0.3,0.3,0.9966,6541.6693,3.557,0.8404,1.7208,1.2603,3000
ha_all,200,7,6,True,0.3,0.3,0.9966,6402.2842,3.5058,0.8372,1.6887,1.1824,5000
ha_all,200,8,7,False,0.3,0.4,0.9859,7838.8143,4.1534,0.8586,2.1731,1.3096,3000
ha_all,200,9,8,False,0.4,0.6,0.981,7832.8723,4.1376,0.8569,2.1643,1.2365,3000
ha_all,200,10,9,False,0.6,1.0,0.9792,7662.125,4.0661,0.8531,2.1119,1.2726,3000
ha_all,200,11,9,True,0.6,1.0,0.9802,7620.2364,4.0711,0.8554,2.1122,1.2262,5000
ha_all,500,0,1,False,0.0,0.0,1.0,10785.2443,7.0355,0.8786,4.2266,1.2536,3000
ha_all,500,1,2,False,0.0,0.1,1.0,14092.0297,8.5063,0.9062,5.3727,1.3011,3000
ha_all,500,2,3,False,0.1,0.1,1.0,12490.1587,7.7113,0.8983,4.7593,1.2486,3000
ha_all,500,3,3,True,0.1,0.1,0.9999,12736.4706,7.9619,0.9015,4.942,1.2506,5000
ha_all,500,4,4,False,0.1,0.2,0.9997,15948.428,9.3149,0.9095,6.0068,1.3086,3000
ha_all,500,5,5,False,0.2,0.3,0.9999,14617.978,8.6876,0.9098,5.5153,1.3092,3000
ha_all,500,6,6,False,0.3,0.3,0.9994,14008.2903,8.4482,0.9054,5.3297,1.3087,3000
ha_all,500,7,6,True,0.3,0.3,0.9997,14036.0692,8.5215,0.9048,5.3839,1.2292,5000
ha_all,500,8,7,False,0.3,0.4,0.9975,17332.8467,9.8732,0.9192,6.4394,1.3136,3000
ha_all,500,9,8,False,0.4,0.6,0.9962,16943.242,9.6048,0.9141,6.2414,1.2497,3000
ha_all,500,10,9,False,0.6,1.0,0.9964,16765.27,9.658,0.9116,6.2763,1.3595,3000
ha_all,500,11,9,True,0.6,1.0,0.9965,16680.1846,9.6065,0.9089,6.2417,1.2617,5000
ha_continuous,10,0,1,False,0.0,0.0,0.962,394.1293,0.8161,0.6755,0.0439,0.6256,3000
ha_continuous,10,1,2,False,0.0,0.1,0.9298,518.3157,0.9011,0.7354,0.0547,0.692,3000
ha_continuous,10,2,3,False,0.1,0.1,0.8747,447.199,0.8877,0.7355,0.0503,0.6399,3000
ha_continuous,10,3,3,True,0.1,0.1,0.8807,462.7768,0.889,0.7348,0.0505,0.6551,5000
ha_continuous,10,4,4,False,0.1,0.2,0.8193,584.2263,0.9161,0.7368,0.0603,0.6637,3000
ha_continuous,10,5,5,False,0.2,0.3,0.795,531.5633,0.9035,0.7367,0.0563,0.72,3000
ha_continuous,10,6,6,False,0.3,0.3,0.7237,474.8403,0.8929,0.7365,0.053,0.6383,3000
ha_continuous,10,7,6,True,0.3,0.3,0.7268,482.052,0.8956,0.7372,0.054,0.6547,5000
ha_continuous,10,8,7,False,0.3,0.4,0.6548,680.016,0.9395,0.7404,0.0678,0.7197,3000
ha_continuous,10,9,8,False,0.4,0.6,0.5997,667.153,0.9351,0.7401,0.0675,0.7008,3000
ha_continuous,10,10,9,False,0.6,1.0,0.5052,556.971,0.9111,0.7374,0.0626,0.669,3000
ha_continuous,10,11,9,True,0.6,1.0,0.5191,584.8106,0.9159,0.7375,0.0641,0.6459,5000
ha_continuous,50,0,1,False,0.0,0.0,1.0,1556.1233,1.0947,0.7211,0.1166,0.6489,3000
ha_continuous,50,1,2,False,0.0,0.1,0.9999,1933.9427,1.1679,0.7371,0.1372,0.6797,3000
ha_continuous,50,2,3,False,0.1,0.1,0.988,1767.9983,1.1353,0.7328,0.1277,0.6649,3000
ha_continuous,50,3,3,True,0.1,0.1,0.9889,1790.8636,1.1451,0.7343,0.1301,0.6501,5000
ha_continuous,50,4,4,False,0.1,0.2,0.9768,2187.9937,1.2107,0.7386,0.1519,0.6953,3000
ha_continuous,50,5,5,False,0.2,0.3,0.9652,2016.9793,1.1764,0.7357,0.1426,0.6863,3000
ha_continuous,50,6,6,False,0.3,0.3,0.9498,1966.576,1.1682,0.7358,0.1391,0.6909,3000
ha_continuous,50,7,6,True,0.3,0.3,0.9514,1920.1276,1.1603,0.7335,0.1378,0.632,5000
ha_continuous,50,8,7,False,0.3,0.4,0.904,2352.0793,1.2363,0.7385,0.1616,0.7241,3000
ha_continuous,50,9,8,False,0.4,0.6,0.8735,2332.3067,1.2347,0.7391,0.1625,0.6985,3000
ha_continuous,50,10,9,False,0.6,1.0,0.8493,2185.688,1.2019,0.7357,0.1546,0.685,3000
ha_continuous,50,11,9,True,0.6,1.0,0.8555,2242.5342,1.2196,0.7361,0.1605,0.6754,5000
ha_continuous,100,0,1,False,0.0,0.0,1.0,2789.0617,1.4052,0.7373,0.2158,0.6499,3000
ha_continuous,100,1,2,False,0.0,0.1,1.0,3562.6563,1.5507,0.7558,0.2696,0.7296,3000
ha_continuous,100,2,3,False,0.1,0.1,0.998,3265.8277,1.4958,0.752,0.2488,0.7031,3000
ha_continuous,100,3,3,True,0.1,0.1,0.9975,3245.2192,1.491,0.7515,0.2482,0.6654,5000
ha_continuous,100,4,4,False,0.1,0.2,0.9914,3875.0003,1.6008,0.7592,0.2916,0.7242,3000
ha_continuous,100,5,5,False,0.2,0.3,0.9899,3740.6923,1.5795,0.7577,0.2825,0.7362,3000
ha_continuous,100,6,6,False,0.3,0.3,0.9835,3453.4343,1.5186,0.754,0.2608,0.6623,3000
ha_continuous,100,7,6,True,0.3,0.3,0.9854,3512.761,1.535,0.7549,0.2671,0.6658,5000
ha_continuous,100,8,7,False,0.3,0.4,0.9569,4257.3437,1.6763,0.7626,0.3227,0.7883,3000
ha_continuous,100,9,8,False,0.4,0.6,0.9434,4251.6267,1.6775,0.7657,0.3249,0.7296,3000
ha_continuous,100,10,9,False,0.6,1.0,0.9408,4184.48,1.6663,0.7681,0.3208,0.7344,3000
ha_continuous,100,11,9,True,0.6,1.0,0.9402,4134.5374,1.6529,0.7642,0.3182,0.7064,5000
ha_continuous,200,0,1,False,0.0,0.0,1.0,5022.9313,2.0822,0.768,0.4774,0.733,3000
ha_continuous,200,1,2,False,0.0,0.1,1.0,6443.413,2.375,0.7949,0.6269,0.7594,3000
ha_continuous,200,2,3,False,0.1,0.1,0.9994,5757.9917,2.2151,0.786,0.5484,0.717,3000
ha_continuous,200,3,3,True,0.1,0.1,0.9994,5939.3912,2.2856,0.7897,0.5753,0.7109,5000
ha_continuous,200,4,4,False,0.1,0.2,0.9979,7286.838,2.5682,0.8088,0.7253,0.7832,3000
ha_continuous,200,5,5,False,0.2,0.3,0.9981,6785.624,2.4475,0.7995,0.6657,0.7812,3000
ha_continuous,200,6,6,False,0.3,0.3,0.9965,6542.5973,2.4001,0.7975,0.6388,0.7602,3000
ha_continuous,200,7,6,True,0.3,0.3,0.9965,6403.1638,2.3801,0.7998,0.6284,0.7089,5000
ha_continuous,200,8,7,False,0.3,0.4,0.986,7939.602,2.7248,0.8235,0.8034,0.8247,3000
ha_continuous,200,9,8,False,0.4,0.6,0.9805,7825.3313,2.6788,0.8155,0.7877,0.7651,3000
ha_continuous,200,10,9,False,0.6,1.0,0.9788,7666.2297,2.6493,0.8127,0.7733,0.7763,3000
ha_continuous,200,11,9,True,0.6,1.0,0.9799,7605.6242,2.6526,0.8129,0.7731,0.7488,5000
ha_continuous,500,0,1,False,0.0,0.0,1.0,10785.3767,4.2561,0.8507,1.5082,0.7923,3000
ha_continuous,500,1,2,False,0.0,0.1,1.0,14094.0973,6.4555,2.3489,1.896,0.8316,3000
ha_continuous,500,2,3,False,0.1,0.1,1.0,12490.5047,4.6149,0.8789,1.6966,0.7793,3000
ha_continuous,500,3,3,True,0.1,0.1,0.9999,12736.7426,4.6647,0.8787,1.7274,0.7775,5000
ha_continuous,500,4,4,False,0.1,0.2,0.9997,15951.4627,5.3753,0.8934,2.1017,0.8339,3000
ha_continuous,500,5,5,False,0.2,0.3,0.9999,14618.898,5.0746,0.8891,1.9421,0.8282,3000
ha_continuous,500,6,6,False,0.3,0.3,0.9994,14008.6643,4.953,0.8829,1.8791,0.8309,3000
ha_continuous,500,7,6,True,0.3,0.3,0.9997,14036.3054,4.9216,0.8855,1.8642,0.7706,5000
ha_continuous,500,8,7,False,0.3,0.4,0.9974,17295.3523,5.6196,0.8962,2.2341,0.8439,3000
ha_continuous,500,9,8,False,0.4,0.6,0.9963,16948.467,5.5122,0.9011,2.1773,0.81,3000
ha_continuous,500,10,9,False,0.6,1.0,0.9964,16780.756,5.5423,0.9028,2.1912,0.8735,3000
ha_continuous,500,11,9,True,0.6,1.0,0.9964,16681.4172,5.4617,0.8921,2.156,0.7946,5000
ha_multi_ep,10,0,1,False,0.0,0.0,0.9544,368.5483,0.8771,0.6709,0.1141,0.6227,3000
ha_multi_ep,10,1,2,False,0.0,0.1,0.9277,474.8563,0.9861,0.7365,0.1435,0.6757,3000
ha_multi_ep,10,2,3,False,0.1,0.1,0.8673,406.5823,0.9621,0.7362,0.1301,0.6175,3000
ha_multi_ep,10,3,3,True,0.1,0.1,0.8667,399.9634,1.4799,1.2541,0.1303,0.6102,5000
ha_multi_ep,10,4,4,False,0.1,0.2,0.8296,517.9937,1.0077,0.7394,0.1559,0.6694,3000
ha_multi_ep,10,5,5,False,0.2,0.3,0.7854,451.6817,0.9819,0.7389,0.1427,0.6456,3000
ha_multi_ep,10,6,6,False,0.3,0.3,0.7302,440.7543,0.9785,0.7399,0.1403,0.6594,3000
ha_multi_ep,10,7,6,True,0.3,0.3,0.7237,426.1372,0.9738,0.7378,0.1385,0.599,5000
