strategy,ef,phase_idx,bin,is_plateau,n_queries,n_events,total_edges,edges_per_event,events_per_1000q,mean_dist_comps,mean_threshold,mean_t_rewire_ms
hardness_adaptive,10,0,1,False,3000,300,317,1.0567,100.0,549.6233,456.0,0.6547
hardness_adaptive,10,1,2,False,3000,300,303,1.01,100.0,687.1567,456.0,0.7509
hardness_adaptive,10,2,3,False,3000,300,315,1.05,100.0,625.8833,456.0,0.7113
hardness_adaptive,10,3,3,True,5000,500,519,1.038,100.0,624.058,456.0,0.775
hardness_adaptive,10,4,4,False,3000,300,255,0.85,100.0,777.6167,456.0,0.791
hardness_adaptive,10,5,5,False,3000,300,296,0.9867,100.0,698.55,456.0,0.7457
hardness_adaptive,10,6,6,False,3000,299,267,0.893,99.6667,665.3478,456.0,0.7328
hardness_adaptive,10,7,6,True,5000,500,495,0.99,100.0,668.598,456.0,0.8136
hardness_adaptive,10,8,7,False,3000,300,212,0.7067,100.0,886.6967,456.0,0.8395
hardness_adaptive,10,9,8,False,3000,300,209,0.6967,100.0,882.9767,456.0,0.8425
hardness_adaptive,10,10,9,False,3000,300,245,0.8167,100.0,787.9733,456.0,0.8244
hardness_adaptive,10,11,9,True,5000,500,387,0.774,100.0,783.126,456.0,0.8701
hardness_adaptive,50,0,1,False,3000,300,319,1.0633,100.0,2165.0667,456.0,0.8444
hardness_adaptive,50,1,2,False,3000,300,284,0.9467,100.0,2725.3533,456.0,0.9889
hardness_adaptive,50,2,3,False,3000,300,314,1.0467,100.0,2495.3633,456.0,0.9392
hardness_adaptive,50,3,3,True,5000,499,505,1.012,99.8,2506.1764,456.0,0.9137
hardness_adaptive,50,4,4,False,3000,300,262,0.8733,100.0,3019.44,456.0,1.0078
hardness_adaptive,50,5,5,False,3000,300,267,0.89,100.0,2826.3633,456.0,0.9165
hardness_adaptive,50,6,6,False,3000,300,274,0.9133,100.0,2718.3867,456.0,0.8781
hardness_adaptive,50,7,6,True,5000,500,477,0.954,100.0,2706.374,456.0,0.9728
hardness_adaptive,50,8,7,False,3000,300,242,0.8067,100.0,3230.5733,456.0,1.0129
hardness_adaptive,50,9,8,False,3000,299,232,0.7759,99.6667,3241.5953,456.0,0.9999
hardness_adaptive,50,10,9,False,3000,300,230,0.7667,100.0,3109.9967,456.0,0.983
hardness_adaptive,50,11,9,True,5000,500,391,0.782,100.0,3109.794,456.0,1.0667
hardness_adaptive,100,0,1,False,3000,299,319,1.0669,99.6667,3881.6388,456.0,0.8838
hardness_adaptive,100,1,2,False,3000,300,313,1.0433,100.0,4960.2167,456.0,0.9963
hardness_adaptive,100,2,3,False,3000,299,315,1.0535,99.6667,4553.2174,456.0,1.0039
hardness_adaptive,100,3,3,True,5000,499,477,0.9559,99.8,4548.1784,456.0,1.0365
hardness_adaptive,100,4,4,False,3000,299,236,0.7893,99.6667,5553.8462,456.0,1.007
hardness_adaptive,100,5,5,False,3000,299,258,0.8629,99.6667,5178.1572,456.0,0.9643
hardness_adaptive,100,6,6,False,3000,300,286,0.9533,100.0,4978.03,456.0,0.9225
hardness_adaptive,100,7,6,True,5000,498,475,0.9538,99.6,5033.3373,456.0,1.019
hardness_adaptive,100,8,7,False,3000,300,249,0.83,100.0,5976.2,456.0,1.053
hardness_adaptive,100,9,8,False,3000,299,241,0.806,99.6667,6003.5184,456.0,1.0551
hardness_adaptive,100,10,9,False,3000,299,243,0.8127,99.6667,5798.0268,456.0,1.0199
hardness_adaptive,100,11,9,True,5000,499,390,0.7816,99.8,5764.6433,456.0,1.0876
hardness_adaptive,200,0,1,False,3000,296,331,1.1182,98.6667,7259.4527,456.0,0.8669
hardness_adaptive,200,1,2,False,3000,297,327,1.101,99.0,8962.6734,456.0,1.0492
hardness_adaptive,200,2,3,False,3000,296,303,1.0236,98.6667,8277.5642,456.0,0.9189
hardness_adaptive,200,3,3,True,5000,494,509,1.0304,98.8,8314.6964,456.0,0.9591
hardness_adaptive,200,4,4,False,3000,296,267,0.902,98.6667,10152.6351,456.0,0.9767
hardness_adaptive,200,5,5,False,3000,297,287,0.9663,99.0,9417.7811,456.0,0.9484
hardness_adaptive,200,6,6,False,3000,296,295,0.9966,98.6667,9061.5338,456.0,0.9375
hardness_adaptive,200,7,6,True,5000,494,456,0.9231,98.8,9207.6721,456.0,1.0217
hardness_adaptive,200,8,7,False,3000,296,226,0.7635,98.6667,10975.2669,456.0,1.0342
hardness_adaptive,200,9,8,False,3000,297,244,0.8215,99.0,11110.8081,456.0,1.0538
hardness_adaptive,200,10,9,False,3000,296,267,0.902,98.6667,10611.2939,456.0,1.0167
hardness_adaptive,200,11,9,True,5000,494,394,0.7976,98.8,10595.9575,456.0,1.0824
hardness_adaptive,500,0,1,False,3000,283,281,0.9929,94.3333,17291.3251,456.0,0.7213
hardness_adaptive,500,1,2,False,3000,283,283,1.0,94.3333,19120.9293,456.0,0.727
hardness_adaptive,500,2,3,False,3000,283,301,1.0636,94.3333,18220.0035,456.0,0.7686
hardness_adaptive,500,3,3,True,5000,471,474,1.0064,94.2,19062.1338,456.0,0.7939
hardness_adaptive,500,4,4,False,3000,283,267,0.9435,94.3333,21688.2686,456.0,0.7957
hardness_adaptive,500,5,5,False,3000,283,280,0.9894,94.3333,20390.3392,456.0,0.752
hardness_adaptive,500,6,6,False,3000,283,285,1.0071,94.3333,19887.6078,456.0,0.7743
hardness_adaptive,500,7,6,True,5000,471,446,0.9469,94.2,20348.5817,456.0,0.8471
hardness_adaptive,500,8,7,False,3000,283,252,0.8905,94.3333,24511.4982,456.0,0.8285
hardness_adaptive,500,9,8,False,3000,283,224,0.7915,94.3333,24390.2933,456.0,0.8378
hardness_adaptive,500,10,9,False,3000,283,226,0.7986,94.3333,23244.9152,456.0,0.8352
hardness_adaptive,500,11,9,True,5000,471,354,0.7516,94.2,23347.5966,456.0,0.8911
poolAndRewire,10,0,1,False,3000,60,3221,53.6833,20.0,,,154.2973
poolAndRewire,10,1,2,False,3000,60,2835,47.25,20.0,,,166.9707
poolAndRewire,10,2,3,False,3000,59,2675,45.339,19.6667,,,161.4676
poolAndRewire,10,3,3,True,5000,100,3264,32.64,20.0,,,162.0963
poolAndRewire,10,4,4,False,3000,60,2230,37.1667,20.0,,,173.1687
poolAndRewire,10,5,5,False,3000,60,2285,38.0833,20.0,,,170.3
poolAndRewire,10,6,6,False,3000,59,2292,38.8475,19.6667,,,166.3134
poolAndRewire,10,7,6,True,5000,100,2708,27.08,20.0,,,167.0256
poolAndRewire,10,8,7,False,3000,60,1728,28.8,20.0,,,177.9347
poolAndRewire,10,9,8,False,3000,60,1631,27.1833,20.0,,,177.4168
poolAndRewire,10,10,9,False,3000,59,1741,29.5085,19.6667,,,176.4075
poolAndRewire,10,11,9,True,5000,100,1928,19.28,20.0,,,175.6151
poolAndRewire,50,0,1,False,3000,60,3221,53.6833,20.0,,,157.6065
poolAndRewire,50,1,2,False,3000,60,2835,47.25,20.0,,,171.6935
poolAndRewire,50,2,3,False,3000,59,2675,45.339,19.6667,,,165.1575
poolAndRewire,50,3,3,True,5000,100,3264,32.64,20.0,,,166.0909
poolAndRewire,50,4,4,False,3000,60,2230,37.1667,20.0,,,177.3677
poolAndRewire,50,5,5,False,3000,60,2285,38.0833,20.0,,,174.7248
poolAndRewire,50,6,6,False,3000,59,2292,38.8475,19.6667,,,170.0275
poolAndRewire,50,7,6,True,5000,100,2708,27.08,20.0,,,170.4526
poolAndRewire,50,8,7,False,3000,60,1728,28.8,20.0,,,181.7965
poolAndRewire,50,9,8,False,3000,60,1631,27.1833,20.0,,,181.0215
poolAndRewire,50,10,9,False,3000,59,1741,29.5085,19.6667,,,179.8025
poolAndRewire,50,11,9,True,5000,100,1928,19.28,20.0,,,183.9825
poolAndRewire,100,0,1,False,3000,60,3221,53.6833,20.0,,,192.6047
poolAndRewire,100,1,2,False,3000,60,2835,47.25,20.0,,,210.3198
poolAndRewire,100,2,3,False,3000,59,2675,45.339,19.6667,,,194.4942
poolAndRewire,100,3,3,True,5000,100,3264,32.64,20.0,,,193.0023
poolAndRewire,100,4,4,False,3000,60,2230,37.1667,20.0,,,210.2472
poolAndRewire,100,5,5,False,3000,60,2285,38.0833,20.0,,,203.6587
poolAndRewire,100,6,6,False,3000,59,2292,38.8475,19.6667,,,199.1356
poolAndRewire,100,7,6,True,5000,100,2708,27.08,20.0,,,199.2808
poolAndRewire,100,8,7,False,3000,60,1728,28.8,20.0,,,214.8247
poolAndRewire,100,9,8,False,3000,60,1631,27.1833,20.0,,,215.2218
poolAndRewire,100,10,9,False,3000,59,1741,29.5085,19.6667,,,211.1717
poolAndRewire,100,11,9,True,5000,100,1928,19.28,20.0,,,212.151
poolAndRewire,200,0,1,False,3000,60,3221,53.6833,20.0,,,163.525
