strategy,ef_search,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries,mean_t_query_ms,mean_t_global_knn_ms,mean_t_orig_knn_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_adapt_ms
hardness_adaptive,10,0,1,False,0.0,0.0,0.9999,203799.743,41458.5433,129.9987,40.2267,30.9423,551.9053,67.8417,3000,0.5464,0.0916,,0.3737,0.0428,1.4391
hardness_adaptive,10,1,2,False,0.0,0.1,0.9999,211395.9137,68336.3923,126.46,37.8133,32.5867,687.5953,89.6953,3000,0.5805,0.1073,,0.3812,0.0524,1.5092
hardness_adaptive,10,2,3,False,0.1,0.1,0.9444,203650.5163,55141.968,131.5083,40.4077,31.3657,623.6537,76.851,3000,0.578,0.0992,,0.3897,0.0487,1.4915
hardness_adaptive,10,3,3,True,0.1,0.1,0.9438,206949.343,54937.8126,130.5086,40.201,31.3796,623.5288,76.4216,5000,0.5746,0.1007,,0.3849,0.0493,1.2055
hardness_adaptive,10,4,4,False,0.1,0.2,0.9255,211499.039,80258.701,124.3507,36.7983,34.701,780.5173,98.783,3000,0.604,0.1197,,0.384,0.0601,1.5421
hardness_adaptive,10,5,5,False,0.2,0.3,0.8701,218320.0317,70787.692,129.7503,38.079,32.387,700.3623,87.876,3000,0.5789,0.1058,,0.3785,0.0545,1.5029
hardness_adaptive,10,6,6,False,0.3,0.3,0.8159,211860.381,63019.3,130.909,40.101,31.956,664.8903,79.6763,3000,0.5774,0.1017,,0.3824,0.0526,1.4928
hardness_adaptive,10,7,6,True,0.3,0.3,0.8184,212387.9308,63131.8504,132.0942,40.094,31.9742,666.327,79.5996,5000,0.5709,0.1031,,0.3756,0.053,1.2022
hardness_adaptive,10,8,7,False,0.3,0.4,0.7694,208045.8397,89946.1687,118.571,34.818,38.108,892.407,104.737,3000,0.6252,0.133,,0.3816,0.069,1.586
hardness_adaptive,10,9,8,False,0.4,0.6,0.7006,209929.231,89603.6133,119.0047,35.5447,37.3333,872.991,102.84,3000,0.6178,0.1275,,0.381,0.0679,1.5678
hardness_adaptive,10,10,9,False,0.6,1.0,0.6165,214833.7757,81784.3167,126.941,37.6467,34.6037,787.0593,90.592,3000,0.6029,0.114,,0.3834,0.0645,1.5302
