strategy,ef,phase_idx,bin,is_plateau,n_queries,n_events,total_edges,edges_per_event,events_per_1000q,mean_dist_comps,mean_threshold,mean_t_rewire_ms
hardness_adaptive,10,0,1,False,3000,91,90,0.989,30.3333,526.1648,400.7967,0.5427
hardness_adaptive,10,1,2,False,3000,91,98,1.0769,30.3333,641.3846,519.1319,0.5885
hardness_adaptive,10,2,3,False,3000,91,94,1.033,30.3333,585.0879,463.783,0.5866
hardness_adaptive,10,3,3,True,5000,152,146,0.9605,30.4,574.0526,444.1579,0.5849
hardness_adaptive,10,4,4,False,3000,91,91,1.0,30.3333,758.0,613.0742,0.622
hardness_adaptive,10,5,5,False,3000,91,104,1.1429,30.3333,651.7033,523.7473,0.6093
hardness_adaptive,10,6,6,False,3000,91,86,0.9451,30.3333,627.2857,472.0604,0.5968
hardness_adaptive,10,7,6,True,5000,152,147,0.9671,30.4,623.4013,471.8224,0.6367
hardness_adaptive,10,8,7,False,3000,91,74,0.8132,30.3333,888.0879,706.1758,0.6886
hardness_adaptive,10,9,8,False,3000,91,85,0.9341,30.3333,851.5824,652.7665,0.691
hardness_adaptive,10,10,9,False,3000,91,69,0.7582,30.3333,750.4505,585.0082,0.6573
hardness_adaptive,10,11,9,True,5000,152,115,0.7566,30.4,745.7039,563.6661,0.6545
hardness_adaptive,50,0,1,False,3000,93,105,1.129,31.0,1986.1613,1382.4812,0.5624
hardness_adaptive,50,1,2,False,3000,92,88,0.9565,30.6667,2559.5,1958.9457,0.6075
hardness_adaptive,50,2,3,False,3000,93,86,0.9247,31.0,2395.2473,1714.5618,0.6006
hardness_adaptive,50,3,3,True,5000,154,154,1.0,30.8,2412.6234,1776.7208,0.6059
hardness_adaptive,50,4,4,False,3000,93,77,0.828,31.0,2748.1183,2046.0914,0.6445
hardness_adaptive,50,5,5,False,3000,92,86,0.9348,30.6667,2714.0109,1951.2989,0.6363
hardness_adaptive,50,6,6,False,3000,93,96,1.0323,31.0,2516.9032,1786.1183,0.6281
hardness_adaptive,50,7,6,True,5000,154,134,0.8701,30.8,2498.0844,1849.0584,0.6503
hardness_adaptive,50,8,7,False,3000,93,66,0.7097,31.0,2858.5161,2134.0054,0.6836
hardness_adaptive,50,9,8,False,3000,92,67,0.7283,30.6667,3042.587,2272.6277,0.6855
hardness_adaptive,50,10,9,False,3000,93,65,0.6989,31.0,2871.828,2122.5188,0.6664
hardness_adaptive,50,11,9,True,5000,154,111,0.7208,30.8,2823.9675,2127.9432,0.6882
hardness_adaptive,100,0,1,False,3000,92,91,0.9891,30.6667,3836.0761,2638.7527,0.6263
hardness_adaptive,100,1,2,False,3000,91,92,1.011,30.3333,4618.0879,3512.3736,0.6346
hardness_adaptive,100,2,3,False,3000,92,103,1.1196,30.6667,4302.7935,3162.8533,0.6436
hardness_adaptive,100,3,3,True,5000,152,148,0.9737,30.4,4190.5132,3110.0329,0.6441
hardness_adaptive,100,4,4,False,3000,92,74,0.8043,30.6667,5058.8478,3470.8777,0.7092
hardness_adaptive,100,5,5,False,3000,91,84,0.9231,30.3333,4745.022,3506.7115,0.6749
hardness_adaptive,100,6,6,False,3000,92,99,1.0761,30.6667,4764.3043,3397.7418,0.6558
hardness_adaptive,100,7,6,True,5000,153,151,0.9869,30.6,4534.4248,3307.0752,0.6866
hardness_adaptive,100,8,7,False,3000,91,78,0.8571,30.3333,5436.2967,4159.7308,0.722
hardness_adaptive,100,9,8,False,3000,92,70,0.7609,30.6667,5646.9674,4170.9674,0.7053
hardness_adaptive,100,10,9,False,3000,91,80,0.8791,30.3333,5269.3187,3856.8132,0.7255
hardness_adaptive,100,11,9,True,5000,153,107,0.6993,30.6,5378.1569,3956.0441,0.8096
hardness_adaptive,200,0,1,False,3000,92,111,1.2065,30.6667,6712.6522,4650.1033,0.5866
hardness_adaptive,200,1,2,False,3000,92,86,0.9348,30.6667,8256.6087,6109.1984,0.653
hardness_adaptive,200,2,3,False,3000,92,88,0.9565,30.6667,7718.8804,5441.5217,0.6395
hardness_adaptive,200,3,3,True,5000,153,161,1.0523,30.6,7765.2745,5786.3595,0.6668
hardness_adaptive,200,4,4,False,3000,92,77,0.837,30.6667,9464.7826,6807.1658,0.706
hardness_adaptive,200,5,5,False,3000,92,89,0.9674,30.6667,8655.0326,6177.0815,0.6971
hardness_adaptive,200,6,6,False,3000,92,86,0.9348,30.6667,8540.8696,6011.038,0.6649
hardness_adaptive,200,7,6,True,5000,154,127,0.8247,30.8,8682.0584,6343.3084,0.7267
hardness_adaptive,200,8,7,False,3000,92,79,0.8587,30.6667,10208.1739,7691.712,0.7366
hardness_adaptive,200,9,8,False,3000,92,70,0.7609,30.6667,10284.0978,7356.7446,0.735
hardness_adaptive,200,10,9,False,3000,92,67,0.7283,30.6667,9884.413,7187.5951,0.7115
