strategy,ef_search,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries,mean_t_query_ms,mean_t_global_knn_ms,mean_t_orig_knn_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_adapt_ms
hardness_adaptive,10,0,1,False,0.0,0.0,0.9513,201746.411,41519.588,128.657,40.1457,20.274,374.7777,46.4737,3000,0.406,0.0618,,0.2793,0.0317,0.4416
hardness_adaptive,10,1,2,False,0.0,0.1,0.8984,209776.2137,68570.5867,125.734,37.6417,21.4563,464.8583,57.0163,3000,0.4455,0.071,,0.2989,0.0408,0.4492
hardness_adaptive,10,2,3,False,0.1,0.1,0.8542,209789.3707,54996.3607,130.512,39.939,20.0777,410.427,49.2313,3000,0.4333,0.0637,,0.2992,0.0364,0.4287
hardness_adaptive,10,3,3,True,0.1,0.1,0.8515,212373.6348,54892.0456,130.8414,39.9522,19.7562,404.489,48.2432,5000,0.437,0.0632,,0.3008,0.0375,0.4244
hardness_adaptive,10,4,4,False,0.1,0.2,0.79,205306.9273,80188.6847,122.3903,36.5673,24.096,552.1787,63.644,3000,0.4598,0.0802,,0.298,0.0466,0.475
hardness_adaptive,10,5,5,False,0.2,0.3,0.7558,216272.1713,70516.7487,128.0373,38.318,20.3557,451.1953,52.554,3000,0.442,0.0678,,0.2978,0.0414,0.4235
hardness_adaptive,10,6,6,False,0.3,0.3,0.7015,215481.795,62755.8593,130.9577,40.1773,20.892,443.0913,51.2727,3000,0.4414,0.0666,,0.299,0.0404,0.454
hardness_adaptive,10,7,6,True,0.3,0.3,0.6973,210749.284,62931.997,131.0334,40.1358,20.1208,428.55,49.0412,5000,0.4387,0.0649,,0.2983,0.0403,0.4135
hardness_adaptive,10,8,7,False,0.3,0.4,0.6128,203398.5183,89724.1003,117.182,34.8937,26.1913,620.6683,66.6217,3000,0.4766,0.09,,0.2979,0.0537,0.4969
hardness_adaptive,10,9,8,False,0.4,0.6,0.5437,205451.192,89682.1023,119.222,35.3657,24.1253,571.9683,60.4683,3000,0.4657,0.0819,,0.2962,0.0527,0.4627
hardness_adaptive,10,10,9,False,0.6,1.0,0.4964,212890.2883,81589.424,125.5003,37.2773,23.001,529.3943,57.7993,3000,0.4562,0.0743,,0.2988,0.0487,0.4716
hardness_adaptive,10,11,9,True,0.6,1.0,0.484,211798.1894,81151.6708,125.5068,37.5668,21.7356,501.7534,54.3582,5000,0.4529,0.071,,0.2983,0.0486,0.4244
hardness_adaptive,50,0,1,False,0.0,0.0,1.0,191201.304,41572.4837,126.737,39.62,93.6203,1416.868,142.2633,3000,0.61,0.1951,,0.2854,0.0921,0.4753
hardness_adaptive,50,1,2,False,0.0,0.1,0.9999,203238.3863,68296.7697,125.0783,38.1077,95.532,1781.3007,194.2313,3000,0.6612,0.2263,,0.287,0.1098,0.4919
hardness_adaptive,50,2,3,False,0.1,0.1,0.9859,193612.3903,54958.211,128.113,40.1543,92.9037,1615.59,167.9147,3000,0.6315,0.2079,,0.2851,0.1012,0.955
hardness_adaptive,50,3,3,True,0.1,0.1,0.9861,193376.6848,54956.5776,127.9726,39.9906,95.5878,1657.2744,170.7978,5000,0.638,0.2134,,0.2834,0.1035,0.4381
hardness_adaptive,50,4,4,False,0.1,0.2,0.9702,204946.5637,80035.1467,122.1533,37.0407,92.884,1901.2887,220.53,3000,0.674,0.2354,,0.2844,0.1161,0.4834
hardness_adaptive,50,5,5,False,0.2,0.3,0.9552,211493.3753,70508.126,127.852,38.6323,91.626,1782.006,194.642,3000,0.652,0.2209,,0.2837,0.1096,0.4758
hardness_adaptive,50,6,6,False,0.3,0.3,0.9329,212221.6273,62883.1253,130.2287,40.3137,89.432,1681.527,180.703,3000,0.6412,0.211,,0.2858,0.1067,0.4434
hardness_adaptive,50,7,6,True,0.3,0.3,0.9367,212808.0222,62992.7198,131.0762,40.0956,89.9882,1691.6224,180.9906,5000,0.6399,0.2123,,0.2841,0.106,0.4295
hardness_adaptive,50,8,7,False,0.3,0.4,0.8775,206337.363,89845.8797,118.1227,35.445,91.038,1985.1233,240.1547,3000,0.6859,0.2415,,0.2848,0.1217,0.4732
hardness_adaptive,50,9,8,False,0.4,0.6,0.8552,202737.155,89377.0227,118.5067,35.5217,97.8563,2128.1243,254.616,3000,0.7104,0.254,,0.2897,0.1286,0.5065
hardness_adaptive,50,10,9,False,0.6,1.0,0.8189,211719.2007,81718.775,125.3447,37.2727,91.6987,1938.732,220.9027,3000,0.6705,0.2305,,0.2827,0.1195,0.4518
hardness_adaptive,50,11,9,True,0.6,1.0,0.8257,216051.5014,81277.6076,127.5082,38.0858,94.2406,1983.8162,225.885,5000,0.68,0.2368,,0.2828,0.1227,0.4571
hardness_adaptive,100,0,1,False,0.0,0.0,1.0,186796.327,41424.85,126.7443,40.0313,191.798,2603.331,241.7973,3000,0.8758,0.376,,0.2782,0.1812,0.5024
hardness_adaptive,100,1,2,False,0.0,0.1,1.0,215160.0977,68082.9187,126.673,37.6123,187.8057,3229.0377,317.459,3000,0.9358,0.413,,0.2781,0.2046,0.5015
hardness_adaptive,100,2,3,False,0.1,0.1,0.9969,205396.5563,54866.753,130.7683,40.0187,189.452,3003.4587,287.0173,3000,0.9056,0.3935,,0.2783,0.1936,0.4831
