update_n,reason,edges_added,total_edges,pool_size,mean_bl_entry,bl_threshold,ef
1,bl_entry 41725.23 > 25708.72,209,209,20,41725.23,25708.71864,10
2,bl_entry 41777.91 > 25708.72,61,270,40,41777.91,25708.71864,10
3,bl_entry 42048.48 > 25708.72,51,321,50,42048.48,25708.71864,10
4,bl_entry 42813.72 > 25708.72,52,373,50,42813.725,25708.71864,10
5,bl_entry 41955.92 > 25708.72,46,419,50,41955.92,25708.71864,10
6,bl_entry 41555.59 > 25708.72,50,469,50,41555.59,25708.71864,10
7,bl_entry 41116.21 > 25708.72,42,511,50,41116.21,25708.71864,10
8,bl_entry 40769.85 > 25708.72,56,567,50,40769.85,25708.71864,10
9,bl_entry 41133.44 > 25708.72,46,613,50,41133.44,25708.71864,10
10,bl_entry 41939.46 > 25708.72,58,671,50,41939.455,25708.71864,10
11,bl_entry 42551.56 > 25708.72,49,720,50,42551.56,25708.71864,10
12,bl_entry 42685.18 > 25708.72,53,773,50,42685.18,25708.71864,10
13,bl_entry 42614.75 > 25708.72,60,833,50,42614.745,25708.71864,10
14,bl_entry 40371.46 > 25708.72,50,883,50,40371.465,25708.71864,10
15,bl_entry 40023.98 > 25708.72,54,937,50,40023.98,25708.71864,10
16,bl_entry 40367.69 > 25708.72,53,990,50,40367.695,25708.71864,10
17,bl_entry 40024.08 > 25708.72,59,1049,50,40024.085,25708.71864,10
18,bl_entry 41745.67 > 25708.72,43,1092,50,41745.665,25708.71864,10
19,bl_entry 41799.22 > 25708.72,49,1141,50,41799.225,25708.71864,10
20,bl_entry 43091.63 > 25708.72,56,1197,50,43091.63,25708.71864,10
21,bl_entry 44024.41 > 25708.72,45,1242,50,44024.41,25708.71864,10
22,bl_entry 44201.38 > 25708.72,50,1292,50,44201.375,25708.71864,10
23,bl_entry 44141.16 > 25708.72,56,1348,50,44141.16,25708.71864,10
24,bl_entry 42461.21 > 25708.72,51,1399,50,42461.21,25708.71864,10
25,bl_entry 42054.34 > 25708.72,50,1449,50,42054.34,25708.71864,10
26,bl_entry 41408.88 > 25708.72,61,1510,50,41408.88,25708.71864,10
27,bl_entry 41158.74 > 25708.72,55,1565,50,41158.735,25708.71864,10
28,bl_entry 41333.03 > 25708.72,40,1605,50,41333.03,25708.71864,10
29,bl_entry 41054.49 > 25708.72,52,1657,50,41054.49,25708.71864,10
30,bl_entry 41124.64 > 25708.72,59,1716,50,41124.645,25708.71864,10
31,bl_entry 42453.21 > 25708.72,49,1765,50,42453.21,25708.71864,10
32,bl_entry 42728.51 > 25708.72,46,1811,50,42728.515,25708.71864,10
33,bl_entry 42028.04 > 25708.72,50,1861,50,42028.045,25708.71864,10
34,bl_entry 41562.20 > 25708.72,51,1912,50,41562.2,25708.71864,10
35,bl_entry 40172.12 > 25708.72,68,1980,50,40172.12,25708.71864,10
36,bl_entry 39114.19 > 25708.72,46,2026,50,39114.19,25708.71864,10
37,bl_entry 39147.51 > 25708.72,50,2076,50,39147.515,25708.71864,10
38,bl_entry 39423.67 > 25708.72,47,2123,50,39423.665,25708.71864,10
39,bl_entry 39216.64 > 25708.72,49,2172,50,39216.635,25708.71864,10
40,bl_entry 40424.64 > 25708.72,57,2229,50,40424.64,25708.71864,10
41,bl_entry 40151.02 > 25708.72,38,2267,50,40151.02,25708.71864,10
42,bl_entry 39161.10 > 25708.72,43,2310,50,39161.1,25708.71864,10
43,bl_entry 40453.64 > 25708.72,64,2374,50,40453.635,25708.71864,10
44,bl_entry 39407.86 > 25708.72,49,2423,50,39407.855,25708.71864,10
45,bl_entry 40760.39 > 25708.72,58,2481,50,40760.385,25708.71864,10
46,bl_entry 41158.60 > 25708.72,48,2529,50,41158.6,25708.71864,10
47,bl_entry 41032.50 > 25708.72,44,2573,50,41032.495,25708.71864,10
48,bl_entry 42688.06 > 25708.72,48,2621,50,42688.06,25708.71864,10
49,bl_entry 42068.14 > 25708.72,45,2666,50,42068.135,25708.71864,10
50,bl_entry 41715.84 > 25708.72,50,2716,50,41715.84,25708.71864,10
51,bl_entry 41935.63 > 25708.72,43,2759,50,41935.63,25708.71864,10
52,bl_entry 42374.00 > 25708.72,56,2815,50,42374.0,25708.71864,10
53,bl_entry 42859.70 > 25708.72,54,2869,50,42859.7,25708.71864,10
54,bl_entry 42279.60 > 25708.72,53,2922,50,42279.6,25708.71864,10
55,bl_entry 41238.81 > 25708.72,48,2970,50,41238.805,25708.71864,10
56,bl_entry 40089.40 > 25708.72,46,3016,50,40089.405,25708.71864,10
57,bl_entry 39432.97 > 25708.72,41,3057,50,39432.97,25708.71864,10
58,bl_entry 41005.58 > 25708.72,48,3105,50,41005.585,25708.71864,10
59,bl_entry 40860.21 > 25708.72,53,3158,50,40860.205,25708.71864,10
60,bl_entry 40493.22 > 25708.72,53,3211,50,40493.225,25708.71864,10
61,bl_entry 40992.78 > 25708.72,55,3266,50,40992.78,25708.71864,10
62,bl_entry 40620.40 > 25708.72,48,3314,50,40620.4,25708.71864,10
63,bl_entry 41032.72 > 25708.72,45,3359,50,41032.72,25708.71864,10
64,bl_entry 41496.13 > 25708.72,56,3415,50,41496.13,25708.71864,10
