strategy,ef_search,hardness_bin,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,10,1,0.0,0.0,0.901,260630.2234,43310.9298,142.4676,38.2914,12.2204,241.4522,31.0642,5000
no_adaptation,10,2,0.0,0.1,0.7955,271659.955,75881.5338,134.0012,33.9432,15.1642,342.8134,39.8856,5000
no_adaptation,10,3,0.1,0.1,0.7741,264467.2876,57644.3782,140.3338,37.5414,12.8948,275.4466,32.5498,5000
no_adaptation,10,4,0.1,0.2,0.5794,272869.1822,88269.8924,130.0496,31.8826,17.2042,406.361,40.9834,5000
no_adaptation,10,5,0.2,0.3,0.6501,271164.4738,74859.9728,136.608,35.4982,14.1172,322.3534,35.642,5000
no_adaptation,10,6,0.3,0.3,0.5851,263827.1128,65249.374,139.9052,38.2926,12.9006,282.8576,31.505,5000
no_adaptation,10,7,0.3,0.4,0.3255,271088.3298,98426.575,127.5774,30.872,18.1944,441.4202,40.346,5000
no_adaptation,10,8,0.4,0.6,0.3216,269819.2658,97173.386,128.7358,31.0316,17.6316,427.8934,39.5858,5000
no_adaptation,10,9,0.6,1.0,0.3213,270566.1862,84889.687,134.776,35.0488,13.8266,325.1698,33.7606,5000
no_adaptation,50,1,0.0,0.0,1.0,260630.2234,43310.9298,142.4676,38.2914,50.7758,851.605,97.455,5000
no_adaptation,50,2,0.0,0.1,1.0,271659.955,75881.5338,134.0012,33.9432,52.551,1060.9946,140.1582,5000
no_adaptation,50,3,0.1,0.1,0.9745,264467.2876,57644.3782,140.3338,37.5414,51.1352,968.3134,113.0338,5000
no_adaptation,50,4,0.1,0.2,0.9527,272869.1822,88269.8924,130.0496,31.8826,54.2976,1182.2094,162.1654,5000
no_adaptation,50,5,0.2,0.3,0.9271,271164.4738,74859.9728,136.608,35.4982,52.025,1083.511,133.7416,5000
no_adaptation,50,6,0.3,0.3,0.8999,263827.1128,65249.374,139.9052,38.2926,51.4098,1032.0974,120.6674,5000
no_adaptation,50,7,0.3,0.4,0.8254,271088.3298,98426.575,127.5774,30.872,57.3522,1307.8674,177.9606,5000
no_adaptation,50,8,0.4,0.6,0.7728,269819.2658,97173.386,128.7358,31.0316,56.5528,1291.4906,172.71,5000
no_adaptation,50,9,0.6,1.0,0.7277,270566.1862,84889.687,134.776,35.0488,53.4412,1184.8468,143.0698,5000
no_adaptation,100,1,0.0,0.0,1.0,260630.2234,43310.9298,142.4676,38.2914,100.478,1534.4058,154.074,5000
no_adaptation,100,2,0.0,0.1,1.0,271659.955,75881.5338,134.0012,33.9432,101.7984,1915.4058,219.8222,5000
no_adaptation,100,3,0.1,0.1,0.9943,264467.2876,57644.3782,140.3338,37.5414,100.7232,1765.763,183.845,5000
no_adaptation,100,4,0.1,0.2,0.9825,272869.1822,88269.8924,130.0496,31.8826,102.98,2117.4662,264.6838,5000
no_adaptation,100,5,0.2,0.3,0.9767,271164.4738,74859.9728,136.608,35.4982,101.3266,1983.1018,219.783,5000
no_adaptation,100,6,0.3,0.3,0.9688,263827.1128,65249.374,139.9052,38.2926,100.848,1900.5282,204.0654,5000
no_adaptation,100,7,0.3,0.4,0.9197,271088.3298,98426.575,127.5774,30.872,104.7476,2281.9352,300.877,5000
no_adaptation,100,8,0.4,0.6,0.893,269819.2658,97173.386,128.7358,31.0316,104.2744,2278.5762,294.2448,5000
no_adaptation,100,9,0.6,1.0,0.8804,270566.1862,84889.687,134.776,35.0488,101.9392,2159.6726,249.8166,5000
