strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,n_queries,mean_t_query_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_orig_knn_ms,mean_t_adapt_ms
full,10,0.0,0.8432,16227.2755,6335.6364,132.216,35.572,13.481,272.49,1000,0.0724,0.0,0.0,0.0724,0.0
full,10,1.0,0.8288,16098.2198,6385.5811,131.743,35.617,13.414,272.078,1000,0.0725,0.0,0.0,0.0725,0.0
full,10,2.0,0.8139,16048.6637,6484.4249,131.417,35.338,13.536,273.633,1000,0.0715,0.0,0.0,0.0715,0.0
full,10,3.0,0.8038,16078.6074,6715.9762,131.457,35.263,13.688,278.687,1000,0.074,0.0,0.0,0.074,0.0
full,10,4.0,0.7837,16188.0505,7011.7649,131.813,35.337,13.742,279.132,1000,0.0723,0.0,0.0,0.0723,0.0
full,10,6.0,0.754,14851.1159,7473.3631,121.3,36.791,13.505,276.342,1000,0.8124,0.6595,0.0796,0.0569,0.2017
full,10,8.0,0.6931,16370.8654,8233.5334,124.21,34.609,13.667,281.953,1000,0.9422,0.781,0.0861,0.0572,0.6391
full,10,10.0,0.6225,17076.0776,9300.101,123.238,33.396,13.784,285.965,1000,0.9667,0.7997,0.0881,0.0607,1.2495
full,10,12.0,0.5146,17820.6317,10912.502,119.527,32.353,14.17,302.746,1000,0.9723,0.8021,0.089,0.0632,1.6835
full,10,16.0,0.3711,20606.2435,14513.9298,114.788,30.521,14.889,328.418,1000,0.9685,0.7996,0.0863,0.0643,2.018
full,20,0.0,0.9057,16227.2755,6335.6364,132.216,35.572,23.246,444.946,1000,0.1083,0.0,0.0,0.1083,0.0
full,20,1.0,0.9014,16098.2198,6385.5811,131.743,35.617,23.352,448.076,1000,0.1057,0.0,0.0,0.1057,0.0
full,20,2.0,0.8906,16048.6637,6484.4249,131.417,35.338,23.555,452.216,1000,0.1059,0.0,0.0,0.1059,0.0
full,20,3.0,0.8799,16078.6074,6715.9762,131.457,35.263,23.757,458.205,1000,0.1068,0.0,0.0,0.1068,0.0
full,20,4.0,0.8661,16188.0505,7011.7649,131.813,35.337,23.832,460.145,1000,0.1055,0.0,0.0,0.1055,0.0
