update_n,reason,edges_added,total_edges,pool_size,mean_bl_entry,bl_threshold,ef
1,bl_entry 9607.16 > 9604.54,16,16,5,9607.163247070312,9604.542836608887,10
2,bl_entry 9626.36 > 9604.54,17,33,9,9626.360231933593,9604.542836608887,10
3,bl_entry 10024.99 > 9604.54,7,40,10,10024.98649658203,9604.542836608887,10
4,bl_entry 10077.77 > 9604.54,9,49,11,10077.769350585937,9604.542836608887,10
5,bl_entry 10045.90 > 9604.54,2,51,11,10045.899458007812,9604.542836608887,10
6,bl_entry 10187.80 > 9604.54,5,56,11,10187.800061035156,9604.542836608887,10
7,bl_entry 9986.19 > 9604.54,5,61,13,9986.192756347657,9604.542836608887,10
8,bl_entry 10018.53 > 9604.54,5,66,15,10018.532502441407,9604.542836608887,10
9,bl_entry 9896.52 > 9604.54,5,71,15,9896.519885253907,9604.542836608887,10
10,bl_entry 9836.69 > 9604.54,1,72,15,9836.686336669922,9604.542836608887,10
11,bl_entry 10063.06 > 9604.54,1,73,17,10063.05851196289,9604.542836608887,10
12,bl_entry 10159.71 > 9604.54,2,75,17,10159.713193359376,9604.542836608887,10
13,bl_entry 10213.13 > 9604.54,2,77,17,10213.129692382812,9604.542836608887,10
14,bl_entry 10336.57 > 9604.54,0,77,17,10336.574747314453,9604.542836608887,10
15,bl_entry 10190.56 > 9604.54,2,79,17,10190.55851928711,9604.542836608887,10
16,bl_entry 10140.22 > 9604.54,1,80,17,10140.221000976562,9604.542836608887,10
17,bl_entry 10047.67 > 9604.54,3,83,17,10047.671323242188,9604.542836608887,10
18,bl_entry 9802.48 > 9604.54,2,85,18,9802.482817382812,9604.542836608887,10
19,bl_entry 9827.98 > 9604.54,0,85,19,9827.981784667969,9604.542836608887,10
20,bl_entry 10024.09 > 9604.54,1,86,20,10024.090859375,9604.542836608887,10
21,bl_entry 10520.47 > 9604.54,0,86,20,10520.470478515625,9604.542836608887,10
22,bl_entry 10797.41 > 9604.54,0,86,20,10797.410043945312,9604.542836608887,10
23,bl_entry 11125.04 > 9604.54,0,86,20,11125.037392578124,9604.542836608887,10
24,bl_entry 11145.11 > 9604.54,1,87,20,11145.108935546876,9604.542836608887,10
25,bl_entry 11075.59 > 9604.54,0,87,20,11075.587165527344,9604.542836608887,10
26,bl_entry 11271.08 > 9604.54,0,87,20,11271.080366210937,9604.542836608887,10
27,bl_entry 11216.75 > 9604.54,0,87,20,11216.749677734375,9604.542836608887,10
28,bl_entry 11262.06 > 9604.54,2,89,20,11262.056682128907,9604.542836608887,10
29,bl_entry 11113.66 > 9604.54,1,90,20,11113.663666992188,9604.542836608887,10
