strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,10,0.0,0.8399,16481.2511,6376.8621,134.008,35.112,13.484,273.262,37.049,1000
no_adaptation,10,1.0,0.8313,16415.8167,6446.6764,132.997,34.805,13.594,275.794,37.193,1000
no_adaptation,10,2.0,0.8161,16429.882,6602.1594,132.358,34.815,13.62,275.907,36.875,1000
no_adaptation,10,3.0,0.8033,16523.4469,6843.1883,133.232,34.777,13.798,281.836,37.005,1000
no_adaptation,10,4.0,0.781,16696.5115,7143.2726,133.134,34.56,13.985,286.121,37.308,1000
no_adaptation,10,6.0,0.6992,17281.1396,8104.4692,132.067,33.732,14.373,297.586,37.49,1000
no_adaptation,10,8.0,0.6153,18183.7662,9146.6282,131.075,33.862,15.034,314.248,37.19,1000
no_adaptation,10,10.0,0.5021,19404.3916,10428.672,129.844,32.978,15.594,332.738,36.693,1000
no_adaptation,10,12.0,0.3963,20943.0155,11865.6286,130.708,32.067,15.538,336.049,35.861,1000
no_adaptation,10,16.0,0.2858,24974.2591,15236.7693,130.155,32.214,15.787,350.808,35.673,1000
no_adaptation,20,0.0,0.9088,16481.2511,6376.8621,134.008,35.112,23.409,448.702,61.042,1000
no_adaptation,20,1.0,0.9069,16415.8167,6446.6764,132.997,34.805,23.572,452.675,61.79,1000
no_adaptation,20,2.0,0.894,16429.882,6602.1594,132.358,34.815,23.563,452.771,61.88,1000
no_adaptation,20,3.0,0.8811,16523.4469,6843.1883,133.232,34.777,23.648,457.458,62.368,1000
no_adaptation,20,4.0,0.8668,16696.5115,7143.2726,133.134,34.56,23.976,465.272,63.627,1000
no_adaptation,20,6.0,0.7991,17281.1396,8104.4692,132.067,33.732,24.861,489.57,66.175,1000
no_adaptation,20,8.0,0.724,18183.7662,9146.6282,131.075,33.862,25.62,511.729,67.69,1000
no_adaptation,20,10.0,0.6221,19404.3916,10428.672,129.844,32.978,26.66,544.653,69.103,1000
no_adaptation,20,12.0,0.5182,20943.0155,11865.6286,130.708,32.067,27.017,564.976,68.988,1000
no_adaptation,20,16.0,0.3951,24974.2591,15236.7693,130.155,32.214,27.497,595.446,69.203,1000
no_adaptation,50,0.0,0.9619,16481.2511,6376.8621,134.008,35.112,52.77,915.158,112.639,1000
no_adaptation,50,1.0,0.9608,16415.8167,6446.6764,132.997,34.805,52.942,919.626,114.391,1000
no_adaptation,50,2.0,0.9534,16429.882,6602.1594,132.358,34.815,53.039,923.086,115.363,1000
no_adaptation,50,3.0,0.9452,16523.4469,6843.1883,133.232,34.777,53.108,929.638,117.127,1000
no_adaptation,50,4.0,0.9367,16696.5115,7143.2726,133.134,34.56,53.442,939.676,120.939,1000
no_adaptation,50,6.0,0.8948,17281.1396,8104.4692,132.067,33.732,54.559,977.481,129.683,1000
no_adaptation,50,8.0,0.8343,18183.7662,9146.6282,131.075,33.862,55.931,1026.95,137.498,1000
no_adaptation,50,10.0,0.7567,19404.3916,10428.672,129.844,32.978,57.658,1088.483,146.628,1000
no_adaptation,50,12.0,0.6664,20943.0155,11865.6286,130.708,32.067,58.081,1130.904,151.295,1000
no_adaptation,50,16.0,0.5406,24974.2591,15236.7693,130.155,32.214,58.143,1191.943,155.195,1000
no_adaptation,100,0.0,0.9799,16481.2511,6376.8621,134.008,35.112,102.114,1611.322,182.897,1000
no_adaptation,100,1.0,0.9773,16415.8167,6446.6764,132.997,34.805,102.335,1618.126,185.756,1000
no_adaptation,100,2.0,0.9738,16429.882,6602.1594,132.358,34.815,102.658,1628.409,187.319,1000
no_adaptation,100,3.0,0.9707,16523.4469,6843.1883,133.232,34.777,102.753,1636.948,190.77,1000
no_adaptation,100,4.0,0.9642,16696.5115,7143.2726,133.134,34.56,103.09,1650.465,196.778,1000
no_adaptation,100,6.0,0.9391,17281.1396,8104.4692,132.067,33.732,104.781,1716.924,214.818,1000
no_adaptation,100,8.0,0.8905,18183.7662,9146.6282,131.075,33.862,105.941,1788.245,230.148,1000
no_adaptation,100,10.0,0.83,19404.3916,10428.672,129.844,32.978,107.721,1879.129,249.958,1000
no_adaptation,100,12.0,0.7472,20943.0155,11865.6286,130.708,32.067,108.406,1969.579,262.017,1000
no_adaptation,100,16.0,0.6477,24974.2591,15236.7693,130.155,32.214,107.365,2079.052,274.389,1000
no_adaptation,200,0.0,0.9894,16481.2511,6376.8621,134.008,35.112,201.724,2857.019,307.48,1000
no_adaptation,200,1.0,0.9879,16415.8167,6446.6764,132.997,34.805,201.82,2863.833,312.291,1000
no_adaptation,200,2.0,0.9864,16429.882,6602.1594,132.358,34.815,202.136,2881.123,315.552,1000
no_adaptation,200,3.0,0.9877,16523.4469,6843.1883,133.232,34.777,202.736,2902.586,321.691,1000
no_adaptation,200,4.0,0.9824,16696.5115,7143.2726,133.134,34.56,202.982,2927.748,329.446,1000
no_adaptation,200,6.0,0.9641,17281.1396,8104.4692,132.067,33.732,205.403,3039.498,360.473,1000
no_adaptation,200,8.0,0.9247,18183.7662,9146.6282,131.075,33.862,206.543,3175.154,386.985,1000
no_adaptation,200,10.0,0.8806,19404.3916,10428.672,129.844,32.978,208.147,3318.979,421.779,1000
no_adaptation,200,12.0,0.8167,20943.0155,11865.6286,130.708,32.067,208.958,3491.028,450.221,1000
no_adaptation,200,16.0,0.7399,24974.2591,15236.7693,130.155,32.214,207.517,3747.063,479.846,1000
no_adaptation,500,0.0,0.9971,16481.2511,6376.8621,134.008,35.112,501.259,6073.995,631.566,1000
no_adaptation,500,1.0,0.9962,16415.8167,6446.6764,132.997,34.805,501.754,6096.342,638.24,1000
no_adaptation,500,2.0,0.9961,16429.882,6602.1594,132.358,34.815,502.461,6132.128,645.922,1000
no_adaptation,500,3.0,0.9964,16523.4469,6843.1883,133.232,34.777,502.591,6173.353,656.211,1000
no_adaptation,500,4.0,0.9932,16696.5115,7143.2726,133.134,34.56,503.386,6241.201,669.854,1000
no_adaptation,500,6.0,0.9831,17281.1396,8104.4692,132.067,33.732,507.138,6467.237,727.023,1000
no_adaptation,500,8.0,0.9617,18183.7662,9146.6282,131.075,33.862,510.532,6780.996,786.135,1000
no_adaptation,500,10.0,0.9264,19404.3916,10428.672,129.844,32.978,511.384,7135.137,851.459,1000
no_adaptation,500,12.0,0.8819,20943.0155,11865.6286,130.708,32.067,512.706,7539.371,921.781,1000
no_adaptation,500,16.0,0.8229,24974.2591,15236.7693,130.155,32.214,507.805,8222.169,999.853,1000
poolAndRewire,10,0.0,0.8399,16481.2511,6376.8621,134.008,35.112,13.484,273.262,37.049,1000
poolAndRewire,10,1.0,0.8313,16415.8167,6446.6764,132.997,34.805,13.594,275.794,37.193,1000
poolAndRewire,10,2.0,0.8161,16429.882,6602.1594,132.358,34.815,13.62,275.907,36.875,1000
poolAndRewire,10,3.0,0.8033,16523.4469,6843.1883,133.232,34.777,13.798,281.836,37.005,1000
poolAndRewire,10,4.0,0.781,16696.5115,7143.2726,133.134,34.56,13.985,286.121,37.308,1000
poolAndRewire,10,6.0,0.6992,17281.1396,8104.4692,132.067,33.732,14.373,297.586,37.49,1000
poolAndRewire,10,8.0,0.6298,17379.721,9039.6121,128.425,34.15,14.921,311.743,36.553,1000
poolAndRewire,10,10.0,0.5562,16338.1553,10059.9153,112.353,31.639,14.937,319.371,34.559,1000
poolAndRewire,10,12.0,0.4598,17263.9273,11318.3798,105.725,29.1,15.009,327.549,33.465,1000
poolAndRewire,10,16.0,0.3526,19465.9672,14427.1292,95.529,26.532,14.686,331.942,32.028,1000
