update_n,reason,edges_added,total_edges,pool_size,mean_bl_entry,bl_threshold,ef
1,bl_entry 8004.75 > 7998.68,81,81,5,8004.746071777344,7998.676573974609,10
2,bl_entry 8078.05 > 7998.68,24,105,8,8078.045092773437,7998.676573974609,10
3,bl_entry 8405.87 > 7998.68,22,127,10,8405.874904785156,7998.676573974609,10
4,bl_entry 8386.64 > 7998.68,12,139,11,8386.635295410157,7998.676573974609,10
5,bl_entry 8444.84 > 7998.68,20,159,13,8444.841666259766,7998.676573974609,10
6,bl_entry 8412.45 > 7998.68,16,175,13,8412.446875610352,7998.676573974609,10
7,bl_entry 8306.88 > 7998.68,17,192,15,8306.880301513673,7998.676573974609,10
8,bl_entry 8346.37 > 7998.68,20,212,16,8346.366232910157,7998.676573974609,10
9,bl_entry 8297.57 > 7998.68,14,226,18,8297.571228027344,7998.676573974609,10
10,bl_entry 8408.99 > 7998.68,21,247,18,8408.993094482423,7998.676573974609,10
11,bl_entry 8321.66 > 7998.68,27,274,19,8321.660733642579,7998.676573974609,10
12,bl_entry 8369.63 > 7998.68,23,297,20,8369.627280273438,7998.676573974609,10
13,bl_entry 8160.43 > 7998.68,20,317,20,8160.432585449219,7998.676573974609,10
14,bl_entry 8087.07 > 7998.68,19,336,21,8087.073854980469,7998.676573974609,10
15,bl_entry 8173.81 > 7998.68,19,355,21,8173.811820678711,7998.676573974609,10
16,bl_entry 8256.64 > 7998.68,23,378,21,8256.643350219727,7998.676573974609,10
17,bl_entry 8111.84 > 7998.68,17,395,21,8111.839365844727,7998.676573974609,10
18,bl_entry 8024.45 > 7998.68,30,425,22,8024.453670043946,7998.676573974609,10
19,bl_entry 8049.12 > 7998.68,14,439,22,8049.11832397461,7998.676573974609,10
20,bl_entry 8131.14 > 7998.68,18,457,22,8131.144975585938,7998.676573974609,10
21,bl_entry 8307.66 > 7998.68,17,474,22,8307.656494750976,7998.676573974609,10
22,bl_entry 8307.81 > 7998.68,15,489,23,8307.814725952148,7998.676573974609,10
23,bl_entry 8160.56 > 7998.68,19,508,23,8160.564844970703,7998.676573974609,10
24,bl_entry 8058.99 > 7998.68,15,523,23,8058.98818359375,7998.676573974609,10
25,bl_entry 8148.62 > 7998.68,21,544,24,8148.623513183594,7998.676573974609,10
26,bl_entry 8233.12 > 7998.68,10,554,26,8233.122023925782,7998.676573974609,10
27,bl_entry 8204.49 > 7998.68,18,572,26,8204.491785888671,7998.676573974609,10
28,bl_entry 8007.48 > 7998.68,16,588,27,8007.475604248047,7998.676573974609,10
29,bl_entry 8087.43 > 7998.68,22,610,27,8087.4299908447265,7998.676573974609,10
30,bl_entry 8117.18 > 7998.68,20,630,27,8117.179302368164,7998.676573974609,10
31,bl_entry 8143.09 > 7998.68,13,643,28,8143.0940924072265,7998.676573974609,10
32,bl_entry 8097.44 > 7998.68,18,661,28,8097.438350219727,7998.676573974609,10
33,bl_entry 8173.72 > 7998.68,20,681,29,8173.722970581055,7998.676573974609,10
34,bl_entry 8023.65 > 7998.68,22,703,29,8023.65299194336,7998.676573974609,10
35,bl_entry 8028.33 > 7998.68,29,732,29,8028.334419555664,7998.676573974609,10
36,bl_entry 7999.49 > 7998.68,17,749,30,7999.486817016602,7998.676573974609,10
37,bl_entry 8012.77 > 7998.68,9,758,30,8012.766362915039,7998.676573974609,10
38,bl_entry 8112.75 > 7998.68,3,761,33,8112.74592956543,7998.676573974609,10
39,bl_entry 8518.70 > 7998.68,5,766,34,8518.699869995116,7998.676573974609,10
40,bl_entry 8651.13 > 7998.68,8,774,34,8651.133400268554,7998.676573974609,10
41,bl_entry 8774.86 > 7998.68,5,779,34,8774.858446044922,7998.676573974609,10
42,bl_entry 9064.99 > 7998.68,3,782,35,9064.99322265625,7998.676573974609,10
43,bl_entry 9257.32 > 7998.68,5,787,35,9257.324169921874,7998.676573974609,10
44,bl_entry 9299.36 > 7998.68,2,789,35,9299.356750488281,7998.676573974609,10
45,bl_entry 9362.77 > 7998.68,7,796,35,9362.76822265625,7998.676573974609,10
46,bl_entry 9256.44 > 7998.68,5,801,35,9256.444750976563,7998.676573974609,10
47,bl_entry 9135.89 > 7998.68,3,804,35,9135.885668945313,7998.676573974609,10
48,bl_entry 9087.65 > 7998.68,9,813,35,9087.64931640625,7998.676573974609,10
49,bl_entry 9173.94 > 7998.68,10,823,35,9173.944497070312,7998.676573974609,10
