strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,10,0.0,0.8339,15784.4478,6468.227,131.744,35.824,13.439,273.179,37.038,1000
no_adaptation,10,1.0,0.8271,16080.9935,6601.1587,130.978,34.761,13.615,276.395,37.904,1000
no_adaptation,10,2.0,0.8102,16457.0389,6761.4727,130.28,34.017,13.951,284.757,38.037,1000
no_adaptation,10,3.0,0.7869,16912.5839,7103.5903,129.762,34.401,14.147,290.049,38.12,1000
no_adaptation,10,4.0,0.7553,17447.6286,7454.1417,128.824,34.648,14.391,296.473,38.882,1000
no_adaptation,10,6.0,0.6739,18756.2169,8417.0638,124.476,33.034,15.409,321.58,40.015,1000
no_adaptation,10,8.0,0.5717,20382.8039,9549.3462,120.144,31.974,15.974,339.459,40.135,1000
no_adaptation,10,10.0,0.4588,22327.3895,10835.8861,115.724,31.487,16.189,349.869,39.144,1000
no_adaptation,10,12.0,0.3599,24589.9737,12153.4657,112.794,31.919,16.235,357.702,37.237,1000
no_adaptation,10,16.0,0.24,30069.1377,15229.1889,107.609,31.235,15.572,352.99,34.789,1000
no_adaptation,20,0.0,0.9077,15784.4478,6468.227,131.744,35.824,23.321,447.502,60.914,1000
no_adaptation,20,1.0,0.9017,16080.9935,6601.1587,130.978,34.761,23.532,452.601,62.37,1000
no_adaptation,20,2.0,0.8848,16457.0389,6761.4727,130.28,34.017,23.803,459.425,63.565,1000
no_adaptation,20,3.0,0.8703,16912.5839,7103.5903,129.762,34.401,24.223,469.713,65.125,1000
no_adaptation,20,4.0,0.8525,17447.6286,7454.1417,128.824,34.648,24.809,485.097,67.714,1000
no_adaptation,20,6.0,0.7782,18756.2169,8417.0638,124.476,33.034,25.927,515.697,71.546,1000
no_adaptation,20,8.0,0.6918,20382.8039,9549.3462,120.144,31.974,27.081,550.524,74.345,1000
no_adaptation,20,10.0,0.5825,22327.3895,10835.8861,115.724,31.487,27.813,577.307,74.653,1000
no_adaptation,20,12.0,0.4893,24589.9737,12153.4657,112.794,31.919,28.11,597.442,73.54,1000
no_adaptation,20,16.0,0.3477,30069.1377,15229.1889,107.609,31.235,27.773,610.66,69.302,1000
no_adaptation,50,0.0,0.9611,15784.4478,6468.227,131.744,35.824,52.733,915.297,112.429,1000
no_adaptation,50,1.0,0.9564,16080.9935,6601.1587,130.978,34.761,52.955,921.732,115.516,1000
no_adaptation,50,2.0,0.9485,16457.0389,6761.4727,130.28,34.017,53.34,932.316,119.44,1000
no_adaptation,50,3.0,0.9412,16912.5839,7103.5903,129.762,34.401,54.103,952.011,123.751,1000
no_adaptation,50,4.0,0.9274,17447.6286,7454.1417,128.824,34.648,54.543,965.755,129.336,1000
no_adaptation,50,6.0,0.8875,18756.2169,8417.0638,124.476,33.034,56.418,1021.772,142.951,1000
no_adaptation,50,8.0,0.8198,20382.8039,9549.3462,120.144,31.974,57.808,1078.198,153.017,1000
no_adaptation,50,10.0,0.724,22327.3895,10835.8861,115.724,31.487,59.157,1137.511,159.61,1000
no_adaptation,50,12.0,0.6348,24589.9737,12153.4657,112.794,31.919,59.514,1179.346,162.041,1000
no_adaptation,50,16.0,0.5053,30069.1377,15229.1889,107.609,31.235,59.482,1238.357,160.017,1000
no_adaptation,100,0.0,0.9795,15784.4478,6468.227,131.744,35.824,102.086,1611.333,182.377,1000
no_adaptation,100,1.0,0.9737,16080.9935,6601.1587,130.978,34.761,102.299,1620.581,187.013,1000
no_adaptation,100,2.0,0.9712,16457.0389,6761.4727,130.28,34.017,102.993,1637.54,193.529,1000
no_adaptation,100,3.0,0.9654,16912.5839,7103.5903,129.762,34.401,103.662,1659.756,200.187,1000
no_adaptation,100,4.0,0.9602,17447.6286,7454.1417,128.824,34.648,104.517,1684.346,209.746,1000
no_adaptation,100,6.0,0.9359,18756.2169,8417.0638,124.476,33.034,106.828,1765.843,234.545,1000
no_adaptation,100,8.0,0.879,20382.8039,9549.3462,120.144,31.974,108.065,1848.092,254.286,1000
no_adaptation,100,10.0,0.8153,22327.3895,10835.8861,115.724,31.487,110.65,1959.24,272.712,1000
no_adaptation,100,12.0,0.7274,24589.9737,12153.4657,112.794,31.919,110.582,2039.986,281.58,1000
no_adaptation,100,16.0,0.6231,30069.1377,15229.1889,107.609,31.235,109.254,2148.036,286.018,1000
no_adaptation,200,0.0,0.9895,15784.4478,6468.227,131.744,35.824,201.649,2856.658,307.627,1000
no_adaptation,200,1.0,0.9868,16080.9935,6601.1587,130.978,34.761,202.159,2872.957,314.19,1000
no_adaptation,200,2.0,0.9856,16457.0389,6761.4727,130.28,34.017,202.727,2896.228,323.911,1000
no_adaptation,200,3.0,0.9842,16912.5839,7103.5903,129.762,34.401,203.701,2929.673,333.902,1000
no_adaptation,200,4.0,0.9812,17447.6286,7454.1417,128.824,34.648,204.588,2965.967,347.807,1000
no_adaptation,200,6.0,0.9612,18756.2169,8417.0638,124.476,33.034,207.055,3083.624,386.53,1000
no_adaptation,200,8.0,0.9182,20382.8039,9549.3462,120.144,31.974,209.08,3240.893,420.214,1000
no_adaptation,200,10.0,0.8694,22327.3895,10835.8861,115.724,31.487,211.492,3415.641,456.543,1000
no_adaptation,200,12.0,0.802,24589.9737,12153.4657,112.794,31.919,211.72,3583.887,479.167,1000
no_adaptation,200,16.0,0.7155,30069.1377,15229.1889,107.609,31.235,209.031,3833.59,501.346,1000
no_adaptation,500,0.0,0.9968,15784.4478,6468.227,131.744,35.824,501.207,6073.247,631.508,1000
no_adaptation,500,1.0,0.9961,16080.9935,6601.1587,130.978,34.761,502.323,6108.074,641.806,1000
no_adaptation,500,2.0,0.9959,16457.0389,6761.4727,130.28,34.017,503.012,6148.405,654.854,1000
no_adaptation,500,3.0,0.9955,16912.5839,7103.5903,129.762,34.401,504.221,6211.368,673.259,1000
no_adaptation,500,4.0,0.9929,17447.6286,7454.1417,128.824,34.648,505.267,6280.754,694.972,1000
no_adaptation,500,6.0,0.9814,18756.2169,8417.0638,124.476,33.034,508.747,6513.937,757.545,1000
no_adaptation,500,8.0,0.9593,20382.8039,9549.3462,120.144,31.974,513.711,6865.807,829.924,1000
no_adaptation,500,10.0,0.9196,22327.3895,10835.8861,115.724,31.487,515.715,7253.864,904.664,1000
no_adaptation,500,12.0,0.8714,24589.9737,12153.4657,112.794,31.919,516.898,7686.937,968.457,1000
no_adaptation,500,16.0,0.8058,30069.1377,15229.1889,107.609,31.235,509.912,8356.38,1036.574,1000
poolAndRewire,10,0.0,0.8339,15784.4478,6468.227,131.744,35.824,13.439,273.179,37.038,1000
poolAndRewire,10,1.0,0.8271,16080.9935,6601.1587,130.978,34.761,13.615,276.395,37.904,1000
poolAndRewire,10,2.0,0.8102,16457.0389,6761.4727,130.28,34.017,13.951,284.757,38.037,1000
poolAndRewire,10,3.0,0.7869,16912.5839,7103.5903,129.762,34.401,14.147,290.049,38.12,1000
poolAndRewire,10,4.0,0.7553,17447.6286,7454.1417,128.824,34.648,14.391,296.473,38.882,1000
poolAndRewire,10,6.0,0.7013,16093.5022,8203.5307,121.192,34.156,14.895,310.323,37.72,1000
poolAndRewire,10,8.0,0.6076,16618.8677,9138.1654,111.978,30.176,15.335,325.29,37.25,1000
poolAndRewire,10,10.0,0.5129,17380.7058,10253.7121,103.835,27.805,15.346,332.971,34.978,1000
poolAndRewire,10,12.0,0.4029,17911.4949,11447.7556,95.378,25.726,15.093,334.147,32.451,1000
poolAndRewire,10,16.0,0.3161,19337.374,14183.1704,82.065,22.893,14.184,324.943,29.621,1000
poolAndRewire,20,0.0,0.9077,15784.4478,6468.227,131.744,35.824,23.321,447.502,60.914,1000
poolAndRewire,20,1.0,0.9017,16080.9935,6601.1587,130.978,34.761,23.532,452.601,62.37,1000
poolAndRewire,20,2.0,0.8848,16457.0389,6761.4727,130.28,34.017,23.803,459.425,63.565,1000
poolAndRewire,20,3.0,0.8703,16912.5839,7103.5903,129.762,34.401,24.223,469.713,65.125,1000
poolAndRewire,20,4.0,0.8525,17447.6286,7454.1417,128.824,34.648,24.809,485.097,67.714,1000
poolAndRewire,20,6.0,0.7931,16093.5022,8203.5307,121.192,34.156,25.616,509.226,68.014,1000
poolAndRewire,20,8.0,0.7209,16618.8677,9138.1654,111.978,30.176,26.371,535.158,69.406,1000
poolAndRewire,20,10.0,0.62,17380.7058,10253.7121,103.835,27.805,26.834,559.209,67.804,1000
poolAndRewire,20,12.0,0.5201,17911.4949,11447.7556,95.378,25.726,27.011,576.08,65.253,1000
poolAndRewire,20,16.0,0.4122,19337.374,14183.1704,82.065,22.893,26.216,579.876,60.068,1000
poolAndRewire,50,0.0,0.9611,15784.4478,6468.227,131.744,35.824,52.733,915.297,112.429,1000
poolAndRewire,50,1.0,0.9564,16080.9935,6601.1587,130.978,34.761,52.955,921.732,115.516,1000
poolAndRewire,50,2.0,0.9485,16457.0389,6761.4727,130.28,34.017,53.34,932.316,119.44,1000
poolAndRewire,50,3.0,0.9412,16912.5839,7103.5903,129.762,34.401,54.103,952.011,123.751,1000
poolAndRewire,50,4.0,0.9274,17447.6286,7454.1417,128.824,34.648,54.543,965.755,129.336,1000
poolAndRewire,50,6.0,0.8923,16093.5022,8203.5307,121.192,34.156,55.993,1014.091,137.517,1000
poolAndRewire,50,8.0,0.8374,16618.8677,9138.1654,111.978,30.176,57.865,1077.246,147.367,1000
poolAndRewire,50,10.0,0.743,17380.7058,10253.7121,103.835,27.805,58.437,1123.345,150.288,1000
poolAndRewire,50,12.0,0.6505,17911.4949,11447.7556,95.378,25.726,58.397,1160.834,150.986,1000
poolAndRewire,50,16.0,0.5471,19337.374,14183.1704,82.065,22.893,57.973,1208.236,147.709,1000
poolAndRewire,100,0.0,0.9795,15784.4478,6468.227,131.744,35.824,102.086,1611.333,182.377,1000
poolAndRewire,100,1.0,0.9737,16080.9935,6601.1587,130.978,34.761,102.299,1620.581,187.013,1000
poolAndRewire,100,2.0,0.9712,16457.0389,6761.4727,130.28,34.017,102.993,1637.54,193.529,1000
poolAndRewire,100,3.0,0.9654,16912.5839,7103.5903,129.762,34.401,103.662,1659.756,200.187,1000
poolAndRewire,100,4.0,0.9602,17447.6286,7454.1417,128.824,34.648,104.517,1684.346,209.746,1000
poolAndRewire,100,6.0,0.9377,16093.5022,8203.5307,121.192,34.156,106.7,1765.75,229.117,1000
poolAndRewire,100,8.0,0.888,16618.8677,9138.1654,111.978,30.176,107.944,1844.001,248.258,1000
poolAndRewire,100,10.0,0.8198,17380.7058,10253.7121,103.835,27.805,109.354,1936.381,261.71,1000
poolAndRewire,100,12.0,0.7342,17911.4949,11447.7556,95.378,25.726,110.01,2033.513,270.504,1000
poolAndRewire,100,16.0,0.6443,19337.374,14183.1704,82.065,22.893,107.393,2111.371,271.79,1000
poolAndRewire,200,0.0,0.9895,15784.4478,6468.227,131.744,35.824,201.649,2856.658,307.627,1000
poolAndRewire,200,1.0,0.9868,16080.9935,6601.1587,130.978,34.761,202.159,2872.957,314.19,1000
poolAndRewire,200,2.0,0.9856,16457.0389,6761.4727,130.28,34.017,202.727,2896.228,323.911,1000
poolAndRewire,200,3.0,0.9842,16912.5839,7103.5903,129.762,34.401,203.701,2929.673,333.902,1000
poolAndRewire,200,4.0,0.9812,17447.6286,7454.1417,128.824,34.648,204.588,2965.967,347.807,1000
poolAndRewire,200,6.0,0.9613,16093.5022,8203.5307,121.192,34.156,207.163,3089.255,381.986,1000
poolAndRewire,200,8.0,0.9216,16618.8677,9138.1654,111.978,30.176,208.638,3229.137,414.764,1000
poolAndRewire,200,10.0,0.8712,17380.7058,10253.7121,103.835,27.805,210.662,3402.681,445.063,1000
poolAndRewire,200,12.0,0.8045,17911.4949,11447.7556,95.378,25.726,211.569,3583.732,471.038,1000
poolAndRewire,200,16.0,0.7276,19337.374,14183.1704,82.065,22.893,208.767,3820.064,487.093,1000
poolAndRewire,500,0.0,0.9968,15784.4478,6468.227,131.744,35.824,501.207,6073.247,631.508,1000
poolAndRewire,500,1.0,0.9961,16080.9935,6601.1587,130.978,34.761,502.323,6108.074,641.806,1000
poolAndRewire,500,2.0,0.9959,16457.0389,6761.4727,130.28,34.017,503.012,6148.405,654.854,1000
poolAndRewire,500,3.0,0.9955,16912.5839,7103.5903,129.762,34.401,504.221,6211.368,673.259,1000
poolAndRewire,500,4.0,0.9929,17447.6286,7454.1417,128.824,34.648,505.267,6280.754,694.972,1000
poolAndRewire,500,6.0,0.9814,16093.5022,8203.5307,121.192,34.156,509.394,6530.755,756.918,1000
poolAndRewire,500,8.0,0.9606,16618.8677,9138.1654,111.978,30.176,512.88,6843.415,824.629,1000
poolAndRewire,500,10.0,0.9195,17380.7058,10253.7121,103.835,27.805,515.714,7255.248,893.628,1000
poolAndRewire,500,12.0,0.8703,17911.4949,11447.7556,95.378,25.726,516.319,7688.678,963.771,1000
poolAndRewire,500,16.0,0.8118,19337.374,14183.1704,82.065,22.893,509.653,8333.986,1021.714,1000
