strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,10,0.0,0.8381,14904.0744,6463.9867,134.247,36.44,13.512,273.855,37.514,1000
no_adaptation,10,1.0,0.8262,14847.8423,6488.0589,133.777,36.335,13.478,274.329,37.262,1000
no_adaptation,10,2.0,0.8218,14871.1097,6675.5394,133.241,35.787,13.685,278.496,37.792,1000
no_adaptation,10,3.0,0.7938,14973.8769,6918.3654,131.955,35.166,13.737,280.475,37.349,1000
no_adaptation,10,4.0,0.7686,15156.1437,7243.7549,131.387,35.236,14.201,291.121,37.633,1000
no_adaptation,10,6.0,0.6937,15759.1762,8207.5695,129.25,34.722,14.832,307.378,38.424,1000
no_adaptation,10,8.0,0.6022,16680.2074,9298.5193,126.003,33.294,15.352,324.846,38.878,1000
no_adaptation,10,10.0,0.4782,17919.2373,10662.604,124.513,33.91,15.723,339.529,38.484,1000
no_adaptation,10,12.0,0.3906,19476.2655,12177.1984,119.707,31.509,16.198,356.879,38.805,1000
no_adaptation,10,16.0,0.2642,23544.3182,15371.2426,118.512,31.217,16.183,365.03,36.612,1000
no_adaptation,20,0.0,0.9077,14904.0744,6463.9867,134.247,36.44,23.442,449.771,61.19,1000
no_adaptation,20,1.0,0.9023,14847.8423,6488.0589,133.777,36.335,23.459,451.277,61.089,1000
no_adaptation,20,2.0,0.8917,14871.1097,6675.5394,133.241,35.787,23.552,454.278,62.374,1000
no_adaptation,20,3.0,0.8755,14973.8769,6918.3654,131.955,35.166,23.782,459.518,62.635,1000
no_adaptation,20,4.0,0.851,15156.1437,7243.7549,131.387,35.236,24.219,470.169,63.991,1000
no_adaptation,20,6.0,0.7992,15759.1762,8207.5695,129.25,34.722,25.423,502.248,68.712,1000
no_adaptation,20,8.0,0.7214,16680.2074,9298.5193,126.003,33.294,26.194,528.221,71.595,1000
no_adaptation,20,10.0,0.6059,17919.2373,10662.604,124.513,33.91,27.013,557.009,73.126,1000
no_adaptation,20,12.0,0.511,19476.2655,12177.1984,119.707,31.509,27.652,584.088,74.69,1000
no_adaptation,20,16.0,0.3721,23544.3182,15371.2426,118.512,31.217,27.94,611.545,72.027,1000
no_adaptation,50,0.0,0.9594,14904.0744,6463.9867,134.247,36.44,52.778,917.202,112.671,1000
no_adaptation,50,1.0,0.9578,14847.8423,6488.0589,133.777,36.335,52.866,920.211,113.506,1000
no_adaptation,50,2.0,0.9524,14871.1097,6675.5394,133.241,35.787,53.061,925.203,116.311,1000
no_adaptation,50,3.0,0.9467,14973.8769,6918.3654,131.955,35.166,53.589,938.391,118.61,1000
no_adaptation,50,4.0,0.929,15156.1437,7243.7549,131.387,35.236,54.019,952.493,123.363,1000
no_adaptation,50,6.0,0.895,15759.1762,8207.5695,129.25,34.722,55.413,994.554,135.43,1000
no_adaptation,50,8.0,0.8407,16680.2074,9298.5193,126.003,33.294,56.478,1039.645,144.529,1000
no_adaptation,50,10.0,0.741,17919.2373,10662.604,124.513,33.91,58.133,1105.639,154.147,1000
no_adaptation,50,12.0,0.6569,19476.2655,12177.1984,119.707,31.509,58.563,1150.709,161.507,1000
no_adaptation,50,16.0,0.5268,23544.3182,15371.2426,118.512,31.217,59.323,1224.849,162.484,1000
no_adaptation,100,0.0,0.9796,14904.0744,6463.9867,134.247,36.44,102.41,1618.24,184.495,1000
no_adaptation,100,1.0,0.9758,14847.8423,6488.0589,133.777,36.335,102.384,1620.87,185.729,1000
no_adaptation,100,2.0,0.9751,14871.1097,6675.5394,133.241,35.787,102.765,1629.439,189.134,1000
no_adaptation,100,3.0,0.9696,14973.8769,6918.3654,131.955,35.166,103.139,1643.221,193.573,1000
no_adaptation,100,4.0,0.9631,15156.1437,7243.7549,131.387,35.236,103.979,1668.71,202.852,1000
no_adaptation,100,6.0,0.9419,15759.1762,8207.5695,129.25,34.722,105.476,1731.791,222.382,1000
no_adaptation,100,8.0,0.9006,16680.2074,9298.5193,126.003,33.294,106.939,1804.534,239.802,1000
no_adaptation,100,10.0,0.8253,17919.2373,10662.604,124.513,33.91,109.187,1913.004,261.49,1000
no_adaptation,100,12.0,0.7469,19476.2655,12177.1984,119.707,31.509,109.294,1995.538,277.096,1000
no_adaptation,100,16.0,0.6404,23544.3182,15371.2426,118.512,31.217,108.859,2122.462,286.973,1000
no_adaptation,200,0.0,0.9899,14904.0744,6463.9867,134.247,36.44,202.126,2864.443,311.28,1000
no_adaptation,200,1.0,0.9892,14847.8423,6488.0589,133.777,36.335,202.308,2871.869,313.384,1000
no_adaptation,200,2.0,0.9879,14871.1097,6675.5394,133.241,35.787,202.317,2881.838,318.08,1000
no_adaptation,200,3.0,0.9847,14973.8769,6918.3654,131.955,35.166,202.717,2904.438,324.636,1000
no_adaptation,200,4.0,0.9817,15156.1437,7243.7549,131.387,35.236,203.965,2947.456,337.977,1000
no_adaptation,200,6.0,0.9687,15759.1762,8207.5695,129.25,34.722,206.293,3051.52,369.257,1000
no_adaptation,200,8.0,0.9331,16680.2074,9298.5193,126.003,33.294,206.99,3169.753,397.041,1000
no_adaptation,200,10.0,0.8833,17919.2373,10662.604,124.513,33.91,210.302,3353.676,438.038,1000
no_adaptation,200,12.0,0.8136,19476.2655,12177.1984,119.707,31.509,209.532,3516.621,467.297,1000
no_adaptation,200,16.0,0.7326,23544.3182,15371.2426,118.512,31.217,208.573,3795.6,498.667,1000
no_adaptation,500,0.0,0.9972,14904.0744,6463.9867,134.247,36.44,501.662,6080.751,636.349,1000
no_adaptation,500,1.0,0.9963,14847.8423,6488.0589,133.777,36.335,501.865,6099.344,639.967,1000
no_adaptation,500,2.0,0.9963,14871.1097,6675.5394,133.241,35.787,502.084,6128.113,647.374,1000
no_adaptation,500,3.0,0.9967,14973.8769,6918.3654,131.955,35.166,503.851,6191.382,660.859,1000
no_adaptation,500,4.0,0.991,15156.1437,7243.7549,131.387,35.236,504.202,6259.477,681.048,1000
no_adaptation,500,6.0,0.9881,15759.1762,8207.5695,129.25,34.722,507.928,6467.13,736.94,1000
no_adaptation,500,8.0,0.9677,16680.2074,9298.5193,126.003,33.294,510.789,6763.492,794.755,1000
no_adaptation,500,10.0,0.9224,17919.2373,10662.604,124.513,33.91,511.495,7122.015,871.552,1000
no_adaptation,500,12.0,0.8799,19476.2655,12177.1984,119.707,31.509,512.947,7579.522,939.955,1000
no_adaptation,500,16.0,0.8093,23544.3182,15371.2426,118.512,31.217,507.801,8291.017,1021.929,1000
poolAndRewire,10,0.0,0.8381,14904.0744,6463.9867,134.247,36.44,13.512,273.855,37.514,1000
poolAndRewire,10,1.0,0.8262,14847.8423,6488.0589,133.777,36.335,13.478,274.329,37.262,1000
poolAndRewire,10,2.0,0.8218,14871.1097,6675.5394,133.241,35.787,13.685,278.496,37.792,1000
poolAndRewire,10,3.0,0.7938,14973.8769,6918.3654,131.955,35.166,13.737,280.475,37.349,1000
poolAndRewire,10,4.0,0.7686,15156.1437,7243.7549,131.387,35.236,14.201,291.121,37.633,1000
poolAndRewire,10,6.0,0.7354,14010.6767,7934.4584,123.356,34.351,14.534,302.184,36.511,1000
poolAndRewire,10,8.0,0.6608,14759.6909,8695.1432,118.44,32.038,14.667,308.668,34.874,1000
poolAndRewire,10,10.0,0.5492,15863.3895,9983.0373,114.97,31.164,14.851,319.118,34.724,1000
poolAndRewire,10,12.0,0.4647,16820.6006,11354.5791,107.079,27.812,14.911,326.584,33.408,1000
poolAndRewire,10,16.0,0.3323,19568.3543,14452.036,98.998,23.637,14.682,332.245,32.118,1000
poolAndRewire,20,0.0,0.9077,14904.0744,6463.9867,134.247,36.44,23.442,449.771,61.19,1000
poolAndRewire,20,1.0,0.9023,14847.8423,6488.0589,133.777,36.335,23.459,451.277,61.089,1000
poolAndRewire,20,2.0,0.8917,14871.1097,6675.5394,133.241,35.787,23.552,454.278,62.374,1000
poolAndRewire,20,3.0,0.8755,14973.8769,6918.3654,131.955,35.166,23.782,459.518,62.635,1000
poolAndRewire,20,4.0,0.851,15156.1437,7243.7549,131.387,35.236,24.219,470.169,63.991,1000
poolAndRewire,20,6.0,0.8256,14010.6767,7934.4584,123.356,34.351,25.071,495.68,65.457,1000
poolAndRewire,20,8.0,0.7677,14759.6909,8695.1432,118.44,32.038,25.408,509.461,64.591,1000
poolAndRewire,20,10.0,0.663,15863.3895,9983.0373,114.97,31.164,26.26,539.495,66.092,1000
poolAndRewire,20,12.0,0.5729,16820.6006,11354.5791,107.079,27.812,26.364,555.951,65.049,1000
poolAndRewire,20,16.0,0.4371,19568.3543,14452.036,98.998,23.637,26.546,582.433,63.697,1000
poolAndRewire,50,0.0,0.9594,14904.0744,6463.9867,134.247,36.44,52.778,917.202,112.671,1000
poolAndRewire,50,1.0,0.9578,14847.8423,6488.0589,133.777,36.335,52.866,920.211,113.506,1000
poolAndRewire,50,2.0,0.9524,14871.1097,6675.5394,133.241,35.787,53.061,925.203,116.311,1000
poolAndRewire,50,3.0,0.9467,14973.8769,6918.3654,131.955,35.166,53.589,938.391,118.61,1000
poolAndRewire,50,4.0,0.929,15156.1437,7243.7549,131.387,35.236,54.019,952.493,123.363,1000
poolAndRewire,50,6.0,0.9048,14010.6767,7934.4584,123.356,34.351,54.966,986.959,130.404,1000
poolAndRewire,50,8.0,0.8618,14759.6909,8695.1432,118.44,32.038,55.37,1014.457,133.229,1000
poolAndRewire,50,10.0,0.7759,15863.3895,9983.0373,114.97,31.164,57.094,1079.134,142.093,1000
poolAndRewire,50,12.0,0.6924,16820.6006,11354.5791,107.079,27.812,57.316,1122.966,146.073,1000
poolAndRewire,50,16.0,0.5625,19568.3543,14452.036,98.998,23.637,57.483,1192.8,148.548,1000
poolAndRewire,100,0.0,0.9796,14904.0744,6463.9867,134.247,36.44,102.41,1618.24,184.495,1000
poolAndRewire,100,1.0,0.9758,14847.8423,6488.0589,133.777,36.335,102.384,1620.87,185.729,1000
poolAndRewire,100,2.0,0.9751,14871.1097,6675.5394,133.241,35.787,102.765,1629.439,189.134,1000
poolAndRewire,100,3.0,0.9696,14973.8769,6918.3654,131.955,35.166,103.139,1643.221,193.573,1000
poolAndRewire,100,4.0,0.9631,15156.1437,7243.7549,131.387,35.236,103.979,1668.71,202.852,1000
poolAndRewire,100,6.0,0.947,14010.6767,7934.4584,123.356,34.351,105.043,1724.589,216.647,1000
poolAndRewire,100,8.0,0.9164,14759.6909,8695.1432,118.44,32.038,106.02,1777.966,226.768,1000
poolAndRewire,100,10.0,0.8458,15863.3895,9983.0373,114.97,31.164,107.503,1873.756,245.133,1000
poolAndRewire,100,12.0,0.766,16820.6006,11354.5791,107.079,27.812,108.025,1964.572,257.859,1000
poolAndRewire,100,16.0,0.6581,19568.3543,14452.036,98.998,23.637,107.221,2094.631,269.127,1000
poolAndRewire,200,0.0,0.9899,14904.0744,6463.9867,134.247,36.44,202.126,2864.443,311.28,1000
poolAndRewire,200,1.0,0.9892,14847.8423,6488.0589,133.777,36.335,202.308,2871.869,313.384,1000
poolAndRewire,200,2.0,0.9879,14871.1097,6675.5394,133.241,35.787,202.317,2881.838,318.08,1000
poolAndRewire,200,3.0,0.9847,14973.8769,6918.3654,131.955,35.166,202.717,2904.438,324.636,1000
poolAndRewire,200,4.0,0.9817,15156.1437,7243.7549,131.387,35.236,203.965,2947.456,337.977,1000
poolAndRewire,200,6.0,0.9689,14010.6767,7934.4584,123.356,34.351,205.557,3039.086,361.965,1000
poolAndRewire,200,8.0,0.945,14759.6909,8695.1432,118.44,32.038,206.332,3137.595,381.856,1000
poolAndRewire,200,10.0,0.895,15863.3895,9983.0373,114.97,31.164,208.473,3310.041,418.359,1000
poolAndRewire,200,12.0,0.828,16820.6006,11354.5791,107.079,27.812,208.239,3478.734,446.101,1000
poolAndRewire,200,16.0,0.7395,19568.3543,14452.036,98.998,23.637,207.194,3776.996,477.546,1000
poolAndRewire,500,0.0,0.9972,14904.0744,6463.9867,134.247,36.44,501.662,6080.751,636.349,1000
poolAndRewire,500,1.0,0.9963,14847.8423,6488.0589,133.777,36.335,501.865,6099.344,639.967,1000
poolAndRewire,500,2.0,0.9963,14871.1097,6675.5394,133.241,35.787,502.084,6128.113,647.374,1000
poolAndRewire,500,3.0,0.9967,14973.8769,6918.3654,131.955,35.166,503.851,6191.382,660.859,1000
poolAndRewire,500,4.0,0.991,15156.1437,7243.7549,131.387,35.236,504.202,6259.477,681.048,1000
poolAndRewire,500,6.0,0.9871,14010.6767,7934.4584,123.356,34.351,507.01,6452.94,726.138,1000
poolAndRewire,500,8.0,0.9708,14759.6909,8695.1432,118.44,32.038,507.892,6692.084,769.757,1000
poolAndRewire,500,10.0,0.9329,15863.3895,9983.0373,114.97,31.164,509.888,7075.347,846.895,1000
poolAndRewire,500,12.0,0.8912,16820.6006,11354.5791,107.079,27.812,512.145,7523.807,916.271,1000
poolAndRewire,500,16.0,0.8134,19568.3543,14452.036,98.998,23.637,505.767,8262.207,1000.098,1000
