update_n,reason,edges_added,total_edges,pool_size,mean_bl_entry,bl_threshold,ef
1,bl_entry 7625.76 > 7624.99,141,141,20,7625.763614196778,7624.994282958984,10
2,bl_entry 7631.09 > 7624.99,182,323,35,7631.092947387695,7624.994282958984,10
3,bl_entry 7980.54 > 7624.99,40,363,38,7980.544428710938,7624.994282958984,10
4,bl_entry 7795.50 > 7624.99,44,407,44,7795.502830810547,7624.994282958984,10
5,bl_entry 7826.75 > 7624.99,39,446,49,7826.747556152343,7624.994282958984,10
6,bl_entry 7686.48 > 7624.99,44,490,50,7686.477464599609,7624.994282958984,10
7,bl_entry 7626.10 > 7624.99,115,605,50,7626.100938720703,7624.994282958984,10
8,bl_entry 7934.38 > 7624.99,11,616,50,7934.384666748047,7624.994282958984,10
9,bl_entry 7987.15 > 7624.99,14,630,50,7987.151783447265,7624.994282958984,10
10,bl_entry 8075.36 > 7624.99,16,646,50,8075.3555352783205,7624.994282958984,10
11,bl_entry 7919.70 > 7624.99,40,686,50,7919.697495117188,7624.994282958984,10
12,bl_entry 7843.45 > 7624.99,36,722,50,7843.448054809571,7624.994282958984,10
13,bl_entry 7659.00 > 7624.99,36,758,50,7659.001394042969,7624.994282958984,10
14,bl_entry 7643.06 > 7624.99,33,791,50,7643.055544433594,7624.994282958984,10
15,bl_entry 7694.40 > 7624.99,35,826,50,7694.397908935547,7624.994282958984,10
16,bl_entry 7629.56 > 7624.99,22,848,50,7629.55510559082,7624.994282958984,10
17,bl_entry 8200.65 > 7624.99,16,864,50,8200.653138427735,7624.994282958984,10
18,bl_entry 8406.43 > 7624.99,9,873,50,8406.429249267578,7624.994282958984,10
19,bl_entry 8817.04 > 7624.99,10,883,50,8817.043802490234,7624.994282958984,10
20,bl_entry 9126.39 > 7624.99,8,891,50,9126.389233398437,7624.994282958984,10
21,bl_entry 9027.68 > 7624.99,16,907,50,9027.67911376953,7624.994282958984,10
22,bl_entry 8979.13 > 7624.99,9,916,50,8979.132849121093,7624.994282958984,10
23,bl_entry 8765.43 > 7624.99,16,932,50,8765.43066040039,7624.994282958984,10
24,bl_entry 8533.19 > 7624.99,12,944,50,8533.191909179688,7624.994282958984,10
25,bl_entry 8426.38 > 7624.99,14,958,50,8426.383406982422,7624.994282958984,10
26,bl_entry 8432.49 > 7624.99,12,970,50,8432.485650634766,7624.994282958984,10
27,bl_entry 8555.68 > 7624.99,20,990,50,8555.676915283204,7624.994282958984,10
28,bl_entry 8769.36 > 7624.99,13,1003,50,8769.355112304687,7624.994282958984,10
29,bl_entry 8904.26 > 7624.99,16,1019,50,8904.259560546874,7624.994282958984,10
30,bl_entry 9038.83 > 7624.99,13,1032,50,9038.827130126952,7624.994282958984,10
31,bl_entry 8909.55 > 7624.99,11,1043,50,8909.545935058593,7624.994282958984,10
32,bl_entry 8873.21 > 7624.99,7,1050,50,8873.213294677735,7624.994282958984,10
33,bl_entry 8626.92 > 7624.99,8,1058,50,8626.922098388672,7624.994282958984,10
34,bl_entry 8501.16 > 7624.99,7,1065,50,8501.160700683593,7624.994282958984,10
35,bl_entry 8605.32 > 7624.99,12,1077,50,8605.323137207031,7624.994282958984,10
36,bl_entry 8535.70 > 7624.99,14,1091,50,8535.701499023438,7624.994282958984,10
37,bl_entry 9160.37 > 7624.99,7,1098,50,9160.371114501953,7624.994282958984,10
38,bl_entry 9515.61 > 7624.99,14,1112,50,9515.611368408203,7624.994282958984,10
39,bl_entry 9876.28 > 7624.99,17,1129,50,9876.283748779297,7624.994282958984,10
40,bl_entry 10299.33 > 7624.99,5,1134,50,10299.328033447266,7624.994282958984,10
41,bl_entry 10126.66 > 7624.99,5,1139,50,10126.657352294922,7624.994282958984,10
42,bl_entry 10058.26 > 7624.99,12,1151,50,10058.264500732423,7624.994282958984,10
43,bl_entry 9976.03 > 7624.99,8,1159,50,9976.034362792969,7624.994282958984,10
