strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,10,0.0,0.8433,16416.2501,6362.8884,133.45,35.286,13.705,277.365,37.45,1000
no_adaptation,10,1.0,0.8314,16392.9269,6380.3364,133.762,35.402,13.646,276.439,37.519,1000
no_adaptation,10,2.0,0.8141,16449.1033,6594.0178,133.029,35.057,13.748,279.364,37.436,1000
no_adaptation,10,3.0,0.8004,16584.7793,6872.7818,132.949,35.277,14.002,286.141,38.217,1000
no_adaptation,10,4.0,0.7724,16799.9551,7194.1232,132.094,35.01,14.293,293.22,37.78,1000
no_adaptation,10,6.0,0.6959,17468.8055,8074.8302,131.81,34.524,14.671,305.441,38.641,1000
no_adaptation,10,8.0,0.5909,18455.6546,9262.0056,128.883,32.687,15.203,321.613,38.409,1000
no_adaptation,10,10.0,0.4678,19760.5023,10629.8343,126.192,31.758,15.958,345.41,38.421,1000
no_adaptation,10,12.0,0.3811,21383.3486,12013.5079,124.636,30.515,16.016,352.802,37.706,1000
no_adaptation,10,16.0,0.2645,25583.037,15248.6357,121.225,27.2,16.488,375.697,37.128,1000
no_adaptation,20,0.0,0.9077,16416.2501,6362.8884,133.45,35.286,23.494,451.143,61.244,1000
no_adaptation,20,1.0,0.9058,16392.9269,6380.3364,133.762,35.402,23.497,450.646,61.604,1000
no_adaptation,20,2.0,0.8887,16449.1033,6594.0178,133.029,35.057,23.721,456.772,62.184,1000
no_adaptation,20,3.0,0.8812,16584.7793,6872.7818,132.949,35.277,24.011,464.193,64.126,1000
no_adaptation,20,4.0,0.8562,16799.9551,7194.1232,132.094,35.01,24.335,473.548,64.942,1000
no_adaptation,20,6.0,0.7984,17468.8055,8074.8302,131.81,34.524,25.147,497.529,68.471,1000
no_adaptation,20,8.0,0.7125,18455.6546,9262.0056,128.883,32.687,26.114,527.412,70.998,1000
no_adaptation,20,10.0,0.597,19760.5023,10629.8343,126.192,31.758,27.271,564.521,73.608,1000
no_adaptation,20,12.0,0.5032,21383.3486,12013.5079,124.636,30.515,27.652,587.381,73.301,1000
no_adaptation,20,16.0,0.3707,25583.037,15248.6357,121.225,27.2,28.123,620.476,73.876,1000
no_adaptation,50,0.0,0.9603,16416.2501,6362.8884,133.45,35.286,52.81,916.633,113.049,1000
no_adaptation,50,1.0,0.9586,16392.9269,6380.3364,133.762,35.402,52.817,917.58,113.423,1000
no_adaptation,50,2.0,0.951,16449.1033,6594.0178,133.029,35.057,53.261,928.037,116.247,1000
no_adaptation,50,3.0,0.9427,16584.7793,6872.7818,132.949,35.277,53.434,935.901,120.158,1000
no_adaptation,50,4.0,0.9304,16799.9551,7194.1232,132.094,35.01,54.012,952.122,124.726,1000
no_adaptation,50,6.0,0.8977,17468.8055,8074.8302,131.81,34.524,55.284,993.678,134.512,1000
no_adaptation,50,8.0,0.8285,18455.6546,9262.0056,128.883,32.687,56.535,1045.712,144.68,1000
no_adaptation,50,10.0,0.7377,19760.5023,10629.8343,126.192,31.758,58.438,1115.478,155.855,1000
no_adaptation,50,12.0,0.6473,21383.3486,12013.5079,124.636,30.515,58.847,1161.984,159.669,1000
no_adaptation,50,16.0,0.518,25583.037,15248.6357,121.225,27.2,59.34,1234.844,166.845,1000
no_adaptation,100,0.0,0.9796,16416.2501,6362.8884,133.45,35.286,102.241,1613.952,184.221,1000
