update_n,reason,edges_added,total_edges,pool_size,mean_bl_entry,bl_threshold,ef
1,bl_entry 7729.23 > 7717.13,158,158,20,7729.230463256836,7717.134183105468,10
2,bl_entry 7928.82 > 7717.13,44,202,24,7928.824476318359,7717.134183105468,10
3,bl_entry 8142.26 > 7717.13,36,238,28,8142.263067016602,7717.134183105468,10
4,bl_entry 7997.73 > 7717.13,33,271,31,7997.726923828125,7717.134183105468,10
5,bl_entry 7773.76 > 7717.13,30,301,35,7773.757150268555,7717.134183105468,10
6,bl_entry 7759.43 > 7717.13,47,348,42,7759.425975341797,7717.134183105468,10
7,bl_entry 7731.24 > 7717.13,138,486,45,7731.238260498047,7717.134183105468,10
8,bl_entry 7858.52 > 7717.13,37,523,50,7858.518804321289,7717.134183105468,10
9,bl_entry 7782.78 > 7717.13,29,552,50,7782.781810913086,7717.134183105468,10
10,bl_entry 7775.41 > 7717.13,26,578,50,7775.408875122071,7717.134183105468,10
11,bl_entry 7829.49 > 7717.13,30,608,50,7829.48926574707,7717.134183105468,10
12,bl_entry 7764.96 > 7717.13,38,646,50,7764.956041259766,7717.134183105468,10
13,bl_entry 7882.45 > 7717.13,33,679,50,7882.4475769042965,7717.134183105468,10
14,bl_entry 7732.04 > 7717.13,17,696,50,7732.037574462891,7717.134183105468,10
15,bl_entry 7724.07 > 7717.13,23,719,50,7724.07095703125,7717.134183105468,10
16,bl_entry 8097.04 > 7717.13,8,727,50,8097.043713378906,7717.134183105468,10
17,bl_entry 8477.29 > 7717.13,11,738,50,8477.289674072266,7717.134183105468,10
18,bl_entry 8816.09 > 7717.13,11,749,50,8816.093120117188,7717.134183105468,10
19,bl_entry 8924.92 > 7717.13,5,754,50,8924.924924316407,7717.134183105468,10
20,bl_entry 8903.68 > 7717.13,9,763,50,8903.683947753907,7717.134183105468,10
21,bl_entry 8881.48 > 7717.13,8,771,50,8881.478510742187,7717.134183105468,10
22,bl_entry 8741.23 > 7717.13,28,799,50,8741.228328857422,7717.134183105468,10
23,bl_entry 8693.69 > 7717.13,12,811,50,8693.689862060546,7717.134183105468,10
24,bl_entry 8563.98 > 7717.13,13,824,50,8563.980532226562,7717.134183105468,10
