strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,10,0.0,0.8374,16038.5463,6263.5823,133.612,35.171,13.381,270.862,36.023,1000
no_adaptation,10,1.0,0.8344,16131.3619,6366.5135,133.203,35.288,13.56,275.074,36.379,1000
no_adaptation,10,2.0,0.8172,16303.6773,6506.4096,132.963,34.964,13.672,277.364,35.98,1000
no_adaptation,10,3.0,0.8051,16555.4923,6670.1024,134.069,35.946,13.769,279.712,35.9,1000
no_adaptation,10,4.0,0.7801,16886.807,6988.327,133.564,35.508,14.071,287.561,36.518,1000
no_adaptation,10,6.0,0.7051,17787.9354,8065.0683,129.711,34.164,14.886,307.484,38.721,1000
no_adaptation,10,8.0,0.5869,19007.0622,9468.9958,124.858,32.234,15.68,330.271,40.198,1000
no_adaptation,10,10.0,0.4669,20544.1877,10713.9456,122.53,31.525,16.334,350.434,38.995,1000
no_adaptation,10,12.0,0.3695,22399.3119,12108.6537,120.935,30.604,16.355,358.386,37.818,1000
no_adaptation,10,16.0,0.2588,27063.5559,15169.0135,121.165,30.057,16.059,361.344,35.556,1000
no_adaptation,20,0.0,0.9044,16038.5463,6263.5823,133.612,35.171,23.171,443.389,58.492,1000
no_adaptation,20,1.0,0.9037,16131.3619,6366.5135,133.203,35.288,23.331,447.526,59.687,1000
no_adaptation,20,2.0,0.8946,16303.6773,6506.4096,132.963,34.964,23.593,454.01,60.158,1000
no_adaptation,20,3.0,0.8889,16555.4923,6670.1024,134.069,35.946,23.878,460.488,60.798,1000
no_adaptation,20,4.0,0.8716,16886.807,6988.327,133.564,35.508,24.195,468.263,62.631,1000
no_adaptation,20,6.0,0.8177,17787.9354,8065.0683,129.711,34.164,25.647,503.982,68.804,1000
no_adaptation,20,8.0,0.7193,19007.0622,9468.9958,124.858,32.234,26.879,540.701,75.274,1000
no_adaptation,20,10.0,0.5933,20544.1877,10713.9456,122.53,31.525,27.941,576.21,74.973,1000
no_adaptation,20,12.0,0.484,22399.3119,12108.6537,120.935,30.604,28.017,593.583,73.829,1000
no_adaptation,20,16.0,0.3655,27063.5559,15169.0135,121.165,30.057,27.946,610.946,70.223,1000
no_adaptation,50,0.0,0.9593,16038.5463,6263.5823,133.612,35.171,52.562,910.941,109.099,1000
no_adaptation,50,1.0,0.9584,16131.3619,6366.5135,133.203,35.288,52.686,914.417,110.926,1000
no_adaptation,50,2.0,0.9529,16303.6773,6506.4096,132.963,34.964,52.877,919.997,112.936,1000
no_adaptation,50,3.0,0.9489,16555.4923,6670.1024,134.069,35.946,53.172,928.025,115.671,1000
no_adaptation,50,4.0,0.9386,16886.807,6988.327,133.564,35.508,53.628,942.026,119.933,1000
no_adaptation,50,6.0,0.9074,17787.9354,8065.0683,129.711,34.164,55.275,989.034,135.273,1000
no_adaptation,50,8.0,0.8508,19007.0622,9468.9958,124.858,32.234,57.564,1059.067,153.321,1000
no_adaptation,50,10.0,0.7479,20544.1877,10713.9456,122.53,31.525,59.589,1134.425,160.542,1000
no_adaptation,50,12.0,0.6371,22399.3119,12108.6537,120.935,30.604,59.323,1167.921,163.554,1000
no_adaptation,50,16.0,0.5203,27063.5559,15169.0135,121.165,30.057,59.492,1231.285,161.153,1000
no_adaptation,100,0.0,0.9785,16038.5463,6263.5823,133.612,35.171,101.992,1608.908,179.324,1000
no_adaptation,100,1.0,0.977,16131.3619,6366.5135,133.203,35.288,102.196,1614.343,182.025,1000
no_adaptation,100,2.0,0.9745,16303.6773,6506.4096,132.963,34.964,102.427,1622.508,184.996,1000
no_adaptation,100,3.0,0.9707,16555.4923,6670.1024,134.069,35.946,102.614,1631.01,189.386,1000
no_adaptation,100,4.0,0.967,16886.807,6988.327,133.564,35.508,103.278,1651.867,196.319,1000
no_adaptation,100,6.0,0.9497,17787.9354,8065.0683,129.711,34.164,104.97,1714.732,220.265,1000
no_adaptation,100,8.0,0.9106,19007.0622,9468.9958,124.858,32.234,107.938,1818.304,251.195,1000
no_adaptation,100,10.0,0.8318,20544.1877,10713.9456,122.53,31.525,110.522,1937.722,271.881,1000
no_adaptation,100,12.0,0.7393,22399.3119,12108.6537,120.935,30.604,110.542,2023.728,282.612,1000
no_adaptation,100,16.0,0.6322,27063.5559,15169.0135,121.165,30.057,109.206,2132.13,287.233,1000
no_adaptation,200,0.0,0.9893,16038.5463,6263.5823,133.612,35.171,201.821,2857.785,305.095,1000
no_adaptation,200,1.0,0.9881,16131.3619,6366.5135,133.203,35.288,201.89,2863.935,308.662,1000
no_adaptation,200,2.0,0.9873,16303.6773,6506.4096,132.963,34.964,201.928,2873.161,312.682,1000
no_adaptation,200,3.0,0.9868,16555.4923,6670.1024,134.069,35.946,202.366,2894.634,319.145,1000
no_adaptation,200,4.0,0.9856,16886.807,6988.327,133.564,35.508,203.058,2926.43,328.855,1000
no_adaptation,200,6.0,0.9694,17787.9354,8065.0683,129.711,34.164,204.718,3016.285,362.615,1000
no_adaptation,200,8.0,0.9405,19007.0622,9468.9958,124.858,32.234,207.5,3168.316,410.031,1000
no_adaptation,200,10.0,0.8901,20544.1877,10713.9456,122.53,31.525,211.886,3380.489,453.52,1000
no_adaptation,200,12.0,0.8116,22399.3119,12108.6537,120.935,30.604,210.983,3546.367,479.323,1000
no_adaptation,200,16.0,0.7279,27063.5559,15169.0135,121.165,30.057,210.257,3830.263,501.005,1000
no_adaptation,500,0.0,0.9968,16038.5463,6263.5823,133.612,35.171,501.348,6073.564,630.159,1000
no_adaptation,500,1.0,0.9965,16131.3619,6366.5135,133.203,35.288,501.681,6093.468,635.866,1000
no_adaptation,500,2.0,0.996,16303.6773,6506.4096,132.963,34.964,501.97,6122.603,642.054,1000
no_adaptation,500,3.0,0.9966,16555.4923,6670.1024,134.069,35.946,502.443,6165.486,651.985,1000
no_adaptation,500,4.0,0.995,16886.807,6988.327,133.564,35.508,503.057,6223.627,666.164,1000
no_adaptation,500,6.0,0.9855,17787.9354,8065.0683,129.711,34.164,505.573,6420.276,719.271,1000
