update_n,reason,edges_added,total_edges,pool_size,mean_bl_entry,bl_threshold,ef
1,bl_entry 8008.04 > 8006.76,168,168,5,8008.040377807617,8006.759764892578,10
2,bl_entry 8107.71 > 8006.76,27,195,8,8107.711389770508,8006.759764892578,10
3,bl_entry 8099.11 > 8006.76,37,232,10,8099.114102783203,8006.759764892578,10
4,bl_entry 8070.12 > 8006.76,46,278,13,8070.123489990235,8006.759764892578,10
5,bl_entry 8053.19 > 8006.76,28,306,13,8053.194794921875,8006.759764892578,10
6,bl_entry 8049.41 > 8006.76,127,433,16,8049.408372192383,8006.759764892578,10
7,bl_entry 8220.27 > 8006.76,32,465,16,8220.265395507813,8006.759764892578,10
8,bl_entry 8020.01 > 8006.76,46,511,17,8020.008044433594,8006.759764892578,10
9,bl_entry 8152.93 > 8006.76,44,555,18,8152.925330200195,8006.759764892578,10
10,bl_entry 8007.78 > 8006.76,93,648,22,8007.776429443359,8006.759764892578,10
11,bl_entry 8269.35 > 8006.76,7,655,22,8269.350783691407,8006.759764892578,10
12,bl_entry 8868.52 > 8006.76,14,669,22,8868.516915283202,8006.759764892578,10
13,bl_entry 8983.36 > 8006.76,10,679,23,8983.356960449219,8006.759764892578,10
14,bl_entry 8928.62 > 8006.76,12,691,24,8928.619565429688,8006.759764892578,10
15,bl_entry 8928.92 > 8006.76,13,704,24,8928.917930908203,8006.759764892578,10
16,bl_entry 8875.25 > 8006.76,13,717,24,8875.245001220703,8006.759764892578,10
17,bl_entry 8568.61 > 8006.76,20,737,24,8568.612259521484,8006.759764892578,10
18,bl_entry 8712.77 > 8006.76,16,753,26,8712.77023803711,8006.759764892578,10
19,bl_entry 8695.94 > 8006.76,7,760,26,8695.935856933595,8006.759764892578,10
20,bl_entry 8589.74 > 8006.76,11,771,26,8589.736884765625,8006.759764892578,10
21,bl_entry 8948.22 > 8006.76,11,782,27,8948.218145751953,8006.759764892578,10
22,bl_entry 8791.86 > 8006.76,11,793,27,8791.860913085937,8006.759764892578,10
23,bl_entry 8847.30 > 8006.76,8,801,27,8847.301494140625,8006.759764892578,10
24,bl_entry 8786.27 > 8006.76,13,814,27,8786.27476196289,8006.759764892578,10
25,bl_entry 8744.84 > 8006.76,39,853,27,8744.836520996094,8006.759764892578,10
26,bl_entry 8755.32 > 8006.76,33,886,27,8755.318800048828,8006.759764892578,10
27,bl_entry 8740.56 > 8006.76,14,900,27,8740.555623779297,8006.759764892578,10
28,bl_entry 8581.77 > 8006.76,11,911,27,8581.771413574219,8006.759764892578,10
29,bl_entry 8736.19 > 8006.76,8,919,28,8736.187666015625,8006.759764892578,10
30,bl_entry 9026.06 > 8006.76,6,925,28,9026.059187011719,8006.759764892578,10
31,bl_entry 9343.42 > 8006.76,17,942,28,9343.423232421876,8006.759764892578,10
32,bl_entry 9939.87 > 8006.76,9,951,28,9939.865966796875,8006.759764892578,10
33,bl_entry 10069.14 > 8006.76,9,960,28,10069.144274902344,8006.759764892578,10
34,bl_entry 10002.92 > 8006.76,7,967,28,10002.920407714844,8006.759764892578,10
35,bl_entry 10019.73 > 8006.76,10,977,28,10019.734187011718,8006.759764892578,10
36,bl_entry 10026.81 > 8006.76,7,984,28,10026.805671386719,8006.759764892578,10
37,bl_entry 9683.90 > 8006.76,9,993,30,9683.902239990235,8006.759764892578,10
38,bl_entry 9824.48 > 8006.76,12,1005,30,9824.478475341797,8006.759764892578,10
39,bl_entry 9739.05 > 8006.76,9,1014,30,9739.053485107423,8006.759764892578,10
40,bl_entry 9606.42 > 8006.76,11,1025,30,9606.41777709961,8006.759764892578,10
41,bl_entry 9929.64 > 8006.76,6,1031,30,9929.644044189454,8006.759764892578,10
42,bl_entry 9871.57 > 8006.76,7,1038,30,9871.568917236327,8006.759764892578,10
43,bl_entry 9910.71 > 8006.76,8,1046,30,9910.70709350586,8006.759764892578,10
44,bl_entry 9964.37 > 8006.76,11,1057,30,9964.37264038086,8006.759764892578,10
45,bl_entry 9915.20 > 8006.76,11,1068,30,9915.200590820312,8006.759764892578,10
46,bl_entry 9789.11 > 8006.76,7,1075,30,9789.110510253906,8006.759764892578,10
47,bl_entry 9751.43 > 8006.76,9,1084,31,9751.427766113282,8006.759764892578,10
48,bl_entry 9538.74 > 8006.76,18,1102,31,9538.741488037109,8006.759764892578,10
49,bl_entry 9714.04 > 8006.76,5,1107,31,9714.040076904297,8006.759764892578,10
50,bl_entry 10163.98 > 8006.76,5,1112,31,10163.982904052735,8006.759764892578,10
51,bl_entry 10408.91 > 8006.76,6,1118,31,10408.908209228515,8006.759764892578,10
52,bl_entry 10926.32 > 8006.76,7,1125,31,10926.323110351563,8006.759764892578,10
53,bl_entry 11169.29 > 8006.76,6,1131,31,11169.292678222657,8006.759764892578,10
54,bl_entry 11059.02 > 8006.76,9,1140,31,11059.015947265625,8006.759764892578,10
55,bl_entry 11201.64 > 8006.76,5,1145,31,11201.637390136719,8006.759764892578,10
56,bl_entry 11285.01 > 8006.76,6,1151,31,11285.013950195313,8006.759764892578,10
57,bl_entry 11037.92 > 8006.76,9,1160,31,11037.924445800782,8006.759764892578,10
58,bl_entry 11192.81 > 8006.76,10,1170,31,11192.805134277343,8006.759764892578,10
59,bl_entry 11098.38 > 8006.76,7,1177,31,11098.378601074219,8006.759764892578,10
60,bl_entry 10984.91 > 8006.76,6,1183,31,10984.909829101562,8006.759764892578,10
61,bl_entry 11245.85 > 8006.76,5,1188,31,11245.848103027343,8006.759764892578,10
62,bl_entry 11131.89 > 8006.76,4,1192,31,11131.890512695312,8006.759764892578,10
63,bl_entry 11200.82 > 8006.76,3,1195,31,11200.819321289062,8006.759764892578,10
64,bl_entry 11150.70 > 8006.76,6,1201,31,11150.699802246094,8006.759764892578,10
65,bl_entry 11073.49 > 8006.76,8,1209,31,11073.491611328125,8006.759764892578,10
66,bl_entry 11046.58 > 8006.76,7,1216,31,11046.584453125,8006.759764892578,10
67,bl_entry 11064.97 > 8006.76,9,1225,31,11064.969992675782,8006.759764892578,10
68,bl_entry 10919.46 > 8006.76,3,1228,31,10919.46200439453,8006.759764892578,10
69,bl_entry 11035.56 > 8006.76,10,1238,31,11035.561938476563,8006.759764892578,10
70,bl_entry 11626.20 > 8006.76,7,1245,31,11626.204375,8006.759764892578,10
71,bl_entry 12243.78 > 8006.76,6,1251,31,12243.778520507813,8006.759764892578,10
72,bl_entry 13190.81 > 8006.76,5,1256,31,13190.812658691406,8006.759764892578,10
