strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,10,0.0,0.8261,16155.0451,6401.5303,134.396,35.769,13.517,274.189,36.508,1000
no_adaptation,10,1.0,0.8143,16040.0627,6446.4977,134.198,35.984,13.562,275.723,36.391,1000
no_adaptation,10,2.0,0.8066,16004.5798,6638.8762,133.21,35.533,13.739,280.035,36.944,1000
no_adaptation,10,3.0,0.7868,16048.5967,6921.4169,132.858,35.208,13.995,286.562,37.003,1000
no_adaptation,10,4.0,0.7611,16172.1133,7233.6769,132.26,34.944,14.118,290.25,36.914,1000
no_adaptation,10,6.0,0.6811,16657.6453,8151.1175,130.9,33.42,14.478,300.795,37.616,1000
no_adaptation,10,8.0,0.5918,17461.1759,9196.7788,129.072,32.276,15.275,323.065,37.953,1000
no_adaptation,10,10.0,0.4957,18582.7052,10414.9335,127.822,31.488,15.716,338.443,36.735,1000
no_adaptation,10,12.0,0.4038,20022.2329,11858.1916,126.904,31.19,16.048,350.775,36.747,1000
no_adaptation,10,16.0,0.2866,23855.2844,15067.518,127.456,30.647,15.779,352.381,35.409,1000
no_adaptation,20,0.0,0.8998,16155.0451,6401.5303,134.396,35.769,23.462,450.609,60.153,1000
no_adaptation,20,1.0,0.8961,16040.0627,6446.4977,134.198,35.984,23.592,453.925,60.601,1000
no_adaptation,20,2.0,0.8887,16004.5798,6638.8762,133.21,35.533,23.713,458.105,62.185,1000
no_adaptation,20,3.0,0.8765,16048.5967,6921.4169,132.858,35.208,24.179,468.721,63.665,1000
no_adaptation,20,4.0,0.8496,16172.1133,7233.6769,132.26,34.944,24.417,475.62,64.126,1000
no_adaptation,20,6.0,0.7867,16657.6453,8151.1175,130.9,33.42,25.199,498.078,66.965,1000
no_adaptation,20,8.0,0.7151,17461.1759,9196.7788,129.072,32.276,26.142,527.682,69.955,1000
no_adaptation,20,10.0,0.6133,18582.7052,10414.9335,127.822,31.488,26.818,552.698,69.63,1000
no_adaptation,20,12.0,0.5222,20022.2329,11858.1916,126.904,31.19,27.35,575.912,70.776,1000
no_adaptation,20,16.0,0.3971,23855.2844,15067.518,127.456,30.647,27.469,595.577,68.859,1000
no_adaptation,50,0.0,0.9568,16155.0451,6401.5303,134.396,35.769,52.862,919.092,111.85,1000
no_adaptation,50,1.0,0.949,16040.0627,6446.4977,134.198,35.984,52.896,922.177,113.578,1000
no_adaptation,50,2.0,0.9483,16004.5798,6638.8762,133.21,35.533,53.183,928.817,116.461,1000
