update_n,reason,edges_added,total_edges,pool_size,mean_bl_entry,bl_threshold,ef
1,bl_entry 10192.70 > 10183.61,13,13,5,10192.697904052735,10183.606165466308,10
2,bl_entry 10226.00 > 10183.61,1,14,5,10226.00172241211,10183.606165466308,10
3,bl_entry 10296.98 > 10183.61,1,15,6,10296.980356445312,10183.606165466308,10
4,bl_entry 10221.68 > 10183.61,1,16,7,10221.675400390624,10183.606165466308,10
5,bl_entry 10232.59 > 10183.61,2,18,7,10232.587639160156,10183.606165466308,10
6,bl_entry 10235.82 > 10183.61,6,24,9,10235.820615234376,10183.606165466308,10
7,bl_entry 10229.28 > 10183.61,3,27,11,10229.279506835937,10183.606165466308,10
8,bl_entry 10204.63 > 10183.61,4,31,11,10204.628010253906,10183.606165466308,10
9,bl_entry 10186.55 > 10183.61,6,37,13,10186.553356933593,10183.606165466308,10
10,bl_entry 10281.02 > 10183.61,2,39,13,10281.02301513672,10183.606165466308,10
11,bl_entry 10189.05 > 10183.61,1,40,14,10189.05354248047,10183.606165466308,10
12,bl_entry 10263.10 > 10183.61,0,40,14,10263.103322753906,10183.606165466308,10
13,bl_entry 10191.10 > 10183.61,5,45,14,10191.101369628906,10183.606165466308,10
14,bl_entry 10201.34 > 10183.61,7,52,14,10201.340100097656,10183.606165466308,10
15,bl_entry 10570.54 > 10183.61,0,52,14,10570.5428515625,10183.606165466308,10
16,bl_entry 11013.08 > 10183.61,0,52,14,11013.078959960938,10183.606165466308,10
17,bl_entry 11333.31 > 10183.61,1,53,14,11333.307783203125,10183.606165466308,10
18,bl_entry 11402.63 > 10183.61,1,54,14,11402.629216308595,10183.606165466308,10
19,bl_entry 11349.15 > 10183.61,0,54,15,11349.150031738282,10183.606165466308,10
20,bl_entry 11542.18 > 10183.61,0,54,15,11542.180166015625,10183.606165466308,10
21,bl_entry 11370.19 > 10183.61,1,55,15,11370.189245605468,10183.606165466308,10
22,bl_entry 11412.17 > 10183.61,0,55,15,11412.171188964843,10183.606165466308,10
23,bl_entry 11400.76 > 10183.61,0,55,15,11400.762145996094,10183.606165466308,10
24,bl_entry 11235.11 > 10183.61,0,55,15,11235.106857910156,10183.606165466308,10
25,bl_entry 11456.39 > 10183.61,0,55,16,11456.385017089844,10183.606165466308,10
26,bl_entry 11364.72 > 10183.61,0,55,16,11364.715366210938,10183.606165466308,10
27,bl_entry 11423.26 > 10183.61,0,55,16,11423.259948730469,10183.606165466308,10
28,bl_entry 11460.86 > 10183.61,0,55,16,11460.858344726563,10183.606165466308,10
29,bl_entry 11409.93 > 10183.61,0,55,16,11409.92905517578,10183.606165466308,10
30,bl_entry 11355.34 > 10183.61,1,56,16,11355.337092285155,10183.606165466308,10
31,bl_entry 11304.62 > 10183.61,1,57,16,11304.621936035157,10183.606165466308,10
32,bl_entry 11114.51 > 10183.61,0,57,16,11114.506716308593,10183.606165466308,10
33,bl_entry 11073.57 > 10183.61,0,57,16,11073.568110351562,10183.606165466308,10
34,bl_entry 11543.08 > 10183.61,1,58,16,11543.084675292968,10183.606165466308,10
35,bl_entry 12277.33 > 10183.61,0,58,16,12277.325200195313,10183.606165466308,10
36,bl_entry 13083.49 > 10183.61,0,58,17,13083.49443359375,10183.606165466308,10
37,bl_entry 13834.82 > 10183.61,0,58,17,13834.817998046876,10183.606165466308,10
38,bl_entry 14177.89 > 10183.61,0,58,18,14177.889907226563,10183.606165466308,10
39,bl_entry 14203.99 > 10183.61,0,58,18,14203.985712890624,10183.606165466308,10
40,bl_entry 14336.07 > 10183.61,0,58,18,14336.066645507812,10183.606165466308,10
41,bl_entry 14223.38 > 10183.61,0,58,18,14223.377119140625,10183.606165466308,10
