update_n,reason,edges_added,total_edges,pool_size,mean_bl_entry,bl_threshold,ef
1,bl_entry 10129.66 > 10119.55,12,12,5,10129.664401855469,10119.548822021483,10
2,bl_entry 10405.04 > 10119.55,1,13,6,10405.042932128907,10119.548822021483,10
3,bl_entry 10432.66 > 10119.55,1,14,6,10432.658125,10119.548822021483,10
4,bl_entry 10474.59 > 10119.55,3,17,6,10474.5869921875,10119.548822021483,10
5,bl_entry 10633.06 > 10119.55,1,18,6,10633.06387451172,10119.548822021483,10
6,bl_entry 10438.48 > 10119.55,1,19,6,10438.483862304687,10119.548822021483,10
7,bl_entry 10516.12 > 10119.55,2,21,6,10516.11833251953,10119.548822021483,10
8,bl_entry 10585.00 > 10119.55,1,22,6,10584.995305175782,10119.548822021483,10
9,bl_entry 10435.79 > 10119.55,0,22,6,10435.78550048828,10119.548822021483,10
10,bl_entry 10495.69 > 10119.55,1,23,6,10495.690422363281,10119.548822021483,10
11,bl_entry 10422.87 > 10119.55,0,23,6,10422.872941894531,10119.548822021483,10
12,bl_entry 10341.74 > 10119.55,2,25,8,10341.74374267578,10119.548822021483,10
13,bl_entry 10166.31 > 10119.55,1,26,9,10166.310895996094,10119.548822021483,10
14,bl_entry 10125.42 > 10119.55,9,35,9,10125.421146240235,10119.548822021483,10
15,bl_entry 10285.09 > 10119.55,2,37,10,10285.093385009766,10119.548822021483,10
16,bl_entry 10392.69 > 10119.55,1,38,11,10392.688692626953,10119.548822021483,10
17,bl_entry 10474.77 > 10119.55,0,38,13,10474.771761474609,10119.548822021483,10
18,bl_entry 10536.07 > 10119.55,2,40,14,10536.070982666015,10119.548822021483,10
19,bl_entry 10634.17 > 10119.55,2,42,14,10634.172406005859,10119.548822021483,10
20,bl_entry 10714.16 > 10119.55,0,42,14,10714.163525390624,10119.548822021483,10
21,bl_entry 10605.44 > 10119.55,0,42,14,10605.436042480469,10119.548822021483,10
22,bl_entry 10484.40 > 10119.55,2,44,14,10484.402237548828,10119.548822021483,10
23,bl_entry 10450.54 > 10119.55,3,47,14,10450.540318603516,10119.548822021483,10
24,bl_entry 10389.89 > 10119.55,0,47,14,10389.886417236328,10119.548822021483,10
25,bl_entry 10356.18 > 10119.55,0,47,14,10356.184654541015,10119.548822021483,10
26,bl_entry 10302.66 > 10119.55,1,48,14,10302.661439208985,10119.548822021483,10
27,bl_entry 10252.29 > 10119.55,1,49,15,10252.288521728515,10119.548822021483,10
28,bl_entry 10125.66 > 10119.55,2,51,15,10125.66127319336,10119.548822021483,10
29,bl_entry 10120.80 > 10119.55,0,51,16,10120.79868774414,10119.548822021483,10
30,bl_entry 10135.21 > 10119.55,0,51,16,10135.207921142579,10119.548822021483,10
31,bl_entry 10482.20 > 10119.55,0,51,16,10482.202947998047,10119.548822021483,10
32,bl_entry 10555.37 > 10119.55,0,51,16,10555.372093505859,10119.548822021483,10
33,bl_entry 10847.09 > 10119.55,0,51,16,10847.09162475586,10119.548822021483,10
34,bl_entry 11075.18 > 10119.55,0,51,16,11075.182260742187,10119.548822021483,10
35,bl_entry 11308.29 > 10119.55,0,51,16,11308.290395507813,10119.548822021483,10
36,bl_entry 11422.55 > 10119.55,0,51,16,11422.550285644531,10119.548822021483,10
37,bl_entry 11598.19 > 10119.55,0,51,16,11598.194196777344,10119.548822021483,10
38,bl_entry 11699.76 > 10119.55,1,52,16,11699.761220703125,10119.548822021483,10
39,bl_entry 11606.73 > 10119.55,0,52,16,11606.729431152344,10119.548822021483,10
40,bl_entry 11646.65 > 10119.55,0,52,16,11646.647172851563,10119.548822021483,10
41,bl_entry 11669.88 > 10119.55,0,52,16,11669.87953857422,10119.548822021483,10
42,bl_entry 11733.36 > 10119.55,0,52,16,11733.36334716797,10119.548822021483,10
43,bl_entry 11719.76 > 10119.55,1,53,16,11719.758237304688,10119.548822021483,10
44,bl_entry 11669.90 > 10119.55,0,53,16,11669.904213867187,10119.548822021483,10
45,bl_entry 11544.78 > 10119.55,1,54,16,11544.780034179688,10119.548822021483,10
46,bl_entry 11491.41 > 10119.55,0,54,16,11491.405107421875,10119.548822021483,10
