strategy,ef_search,shift_sigma,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
no_adaptation,10,0.0,0.8471,16757.0348,6389.9097,134.052,35.76,13.662,276.873,37.219,1000
no_adaptation,10,1.0,0.8373,16974.2671,6504.6793,134.231,35.396,13.751,279.098,37.452,1000
no_adaptation,10,2.0,0.8145,17270.999,6751.7447,133.995,35.086,13.939,283.878,38.227,1000
no_adaptation,10,3.0,0.7916,17647.2306,7110.831,132.897,34.04,14.278,292.643,38.768,1000
no_adaptation,10,4.0,0.7511,18102.9618,7430.2057,133.52,34.206,14.54,299.486,38.437,1000
no_adaptation,10,6.0,0.6731,19252.9233,8366.3325,131.975,33.646,15.167,316.346,39.516,1000
no_adaptation,10,8.0,0.5911,20720.8834,9365.7127,132.368,34.102,15.566,329.491,38.718,1000
no_adaptation,10,10.0,0.4699,22506.8421,10618.3047,130.569,33.898,15.794,340.688,38.19,1000
no_adaptation,10,12.0,0.3909,24610.7994,12018.6612,128.784,32.428,16.165,353.753,37.562,1000
no_adaptation,10,16.0,0.2509,29772.7097,15240.0129,127.68,30.887,15.923,359.154,35.53,1000
no_adaptation,20,0.0,0.9099,16757.0348,6389.9097,134.052,35.76,23.379,448.827,61.213,1000
no_adaptation,20,1.0,0.9067,16974.2671,6504.6793,134.231,35.396,23.514,451.931,61.829,1000
no_adaptation,20,2.0,0.8944,17270.999,6751.7447,133.995,35.086,23.944,462.481,63.541,1000
no_adaptation,20,3.0,0.8809,17647.2306,7110.831,132.897,34.04,24.383,473.47,66.227,1000
no_adaptation,20,4.0,0.8587,18102.9618,7430.2057,133.52,34.206,24.919,486.581,67.263,1000
no_adaptation,20,6.0,0.7824,19252.9233,8366.3325,131.975,33.646,25.88,514.225,70.288,1000
no_adaptation,20,8.0,0.706,20720.8834,9365.7127,132.368,34.102,26.33,531.63,71.173,1000
no_adaptation,20,10.0,0.5914,22506.8421,10618.3047,130.569,33.898,27.308,565.32,71.864,1000
no_adaptation,20,12.0,0.5077,24610.7994,12018.6612,128.784,32.428,27.656,584.167,71.982,1000
no_adaptation,20,16.0,0.3623,29772.7097,15240.0129,127.68,30.887,27.928,612.04,70.408,1000
no_adaptation,50,0.0,0.9599,16757.0348,6389.9097,134.052,35.76,52.594,913.479,111.958,1000
no_adaptation,50,1.0,0.9592,16974.2671,6504.6793,134.231,35.396,52.716,916.563,113.803,1000
no_adaptation,50,2.0,0.9538,17270.999,6751.7447,133.995,35.086,53.199,928.785,118.17,1000
no_adaptation,50,3.0,0.9461,17647.2306,7110.831,132.897,34.04,53.827,946.107,123.93,1000
no_adaptation,50,4.0,0.9324,18102.9618,7430.2057,133.52,34.206,54.462,964.099,129.13,1000
no_adaptation,50,6.0,0.8916,19252.9233,8366.3325,131.975,33.646,56.251,1017.021,140.261,1000
no_adaptation,50,8.0,0.8255,20720.8834,9365.7127,132.368,34.102,56.695,1050.716,145.462,1000
no_adaptation,50,10.0,0.7283,22506.8421,10618.3047,130.569,33.898,58.395,1115.778,153.701,1000
no_adaptation,50,12.0,0.6478,24610.7994,12018.6612,128.784,32.428,58.549,1151.629,157.041,1000
no_adaptation,50,16.0,0.52,29772.7097,15240.0129,127.68,30.887,59.327,1232.611,160.131,1000
no_adaptation,100,0.0,0.9793,16757.0348,6389.9097,134.052,35.76,102.022,1611.001,182.404,1000
no_adaptation,100,1.0,0.9773,16974.2671,6504.6793,134.231,35.396,102.235,1616.491,184.719,1000
no_adaptation,100,2.0,0.9736,17270.999,6751.7447,133.995,35.086,102.773,1632.976,191.492,1000
no_adaptation,100,3.0,0.9679,17647.2306,7110.831,132.897,34.04,103.313,1651.605,199.871,1000
no_adaptation,100,4.0,0.9607,18102.9618,7430.2057,133.52,34.206,104.141,1677.667,208.98,1000
no_adaptation,100,6.0,0.9362,19252.9233,8366.3325,131.975,33.646,106.179,1753.794,230.113,1000
no_adaptation,100,8.0,0.8869,20720.8834,9365.7127,132.368,34.102,107.143,1822.368,243.122,1000
no_adaptation,100,10.0,0.8065,22506.8421,10618.3047,130.569,33.898,108.607,1919.621,261.645,1000
no_adaptation,100,12.0,0.736,24610.7994,12018.6612,128.784,32.428,109.434,2006.371,272.793,1000
no_adaptation,100,16.0,0.6292,29772.7097,15240.0129,127.68,30.887,108.509,2126.366,285.822,1000
no_adaptation,200,0.0,0.9891,16757.0348,6389.9097,134.052,35.76,201.594,2856.053,306.499,1000
no_adaptation,200,1.0,0.9885,16974.2671,6504.6793,134.231,35.396,201.868,2864.046,310.169,1000
no_adaptation,200,2.0,0.9866,17270.999,6751.7447,133.995,35.086,202.382,2886.525,319.918,1000
no_adaptation,200,3.0,0.9837,17647.2306,7110.831,132.897,34.04,202.869,2914.186,330.64,1000
no_adaptation,200,4.0,0.9794,18102.9618,7430.2057,133.52,34.206,203.771,2955.227,343.96,1000
no_adaptation,200,6.0,0.964,19252.9233,8366.3325,131.975,33.646,207.1,3080.134,380.295,1000
no_adaptation,200,8.0,0.9214,20720.8834,9365.7127,132.368,34.102,207.379,3200.507,404.089,1000
no_adaptation,200,10.0,0.8688,22506.8421,10618.3047,130.569,33.898,210.951,3398.65,443.638,1000
no_adaptation,200,12.0,0.8077,24610.7994,12018.6612,128.784,32.428,210.104,3539.665,466.23,1000
no_adaptation,200,16.0,0.728,29772.7097,15240.0129,127.68,30.887,209.829,3826.097,500.621,1000
no_adaptation,500,0.0,0.9967,16757.0348,6389.9097,134.052,35.76,501.171,6072.402,629.823,1000
no_adaptation,500,1.0,0.9958,16974.2671,6504.6793,134.231,35.396,501.422,6091.716,634.619,1000
no_adaptation,500,2.0,0.9959,17270.999,6751.7447,133.995,35.086,502.441,6135.829,648.976,1000
no_adaptation,500,3.0,0.9945,17647.2306,7110.831,132.897,34.04,503.532,6201.87,666.176,1000
no_adaptation,500,4.0,0.991,18102.9618,7430.2057,133.52,34.206,504.57,6275.427,686.016,1000
no_adaptation,500,6.0,0.983,19252.9233,8366.3325,131.975,33.646,508.396,6505.048,750.614,1000
no_adaptation,500,8.0,0.9587,20720.8834,9365.7127,132.368,34.102,511.763,6828.111,808.549,1000
no_adaptation,500,10.0,0.9121,22506.8421,10618.3047,130.569,33.898,513.157,7227.371,885.42,1000
no_adaptation,500,12.0,0.875,24610.7994,12018.6612,128.784,32.428,515.273,7638.99,945.719,1000
no_adaptation,500,16.0,0.8113,29772.7097,15240.0129,127.68,30.887,510.185,8331.165,1032.41,1000
poolAndRewire,10,0.0,0.8471,16757.0348,6389.9097,134.052,35.76,13.662,276.873,37.219,1000
poolAndRewire,10,1.0,0.8373,16974.2671,6504.6793,134.231,35.396,13.751,279.098,37.452,1000
poolAndRewire,10,2.0,0.8145,17270.999,6751.7447,133.995,35.086,13.939,283.878,38.227,1000
poolAndRewire,10,3.0,0.7916,17647.2306,7110.831,132.897,34.04,14.278,292.643,38.768,1000
poolAndRewire,10,4.0,0.7511,18102.9618,7430.2057,133.52,34.206,14.54,299.486,38.437,1000
poolAndRewire,10,6.0,0.6731,19252.9233,8366.3325,131.975,33.646,15.167,316.346,39.516,1000
poolAndRewire,10,8.0,0.5911,20720.8834,9365.7127,132.368,34.102,15.566,329.491,38.718,1000
poolAndRewire,10,10.0,0.5171,18591.8513,10334.166,116.823,32.765,15.55,335.087,36.16,1000
poolAndRewire,10,12.0,0.4429,18422.4186,11508.0248,105.122,28.853,15.251,335.419,34.279,1000
poolAndRewire,10,16.0,0.3162,20229.9085,14432.7175,94.226,25.664,14.725,335.013,31.966,1000
poolAndRewire,20,0.0,0.9099,16757.0348,6389.9097,134.052,35.76,23.379,448.827,61.213,1000
poolAndRewire,20,1.0,0.9067,16974.2671,6504.6793,134.231,35.396,23.514,451.931,61.829,1000
poolAndRewire,20,2.0,0.8944,17270.999,6751.7447,133.995,35.086,23.944,462.481,63.541,1000
poolAndRewire,20,3.0,0.8809,17647.2306,7110.831,132.897,34.04,24.383,473.47,66.227,1000
poolAndRewire,20,4.0,0.8587,18102.9618,7430.2057,133.52,34.206,24.919,486.581,67.263,1000
poolAndRewire,20,6.0,0.7824,19252.9233,8366.3325,131.975,33.646,25.88,514.225,70.288,1000
poolAndRewire,20,8.0,0.706,20720.8834,9365.7127,132.368,34.102,26.33,531.63,71.173,1000
poolAndRewire,20,10.0,0.6262,18591.8513,10334.166,116.823,32.765,26.94,558.27,68.969,1000
poolAndRewire,20,12.0,0.5473,18422.4186,11508.0248,105.122,28.853,26.711,566.1,66.319,1000
