update_n,reason,edges_added,total_edges,pool_size,mean_bl_entry,bl_threshold,ef
1,bl_entry 9914.15 > 9893.26,15,15,5,9914.152578125,9893.255996704102,10
2,bl_entry 10079.81 > 9893.26,2,17,8,10079.807646484374,9893.255996704102,10
3,bl_entry 10401.79 > 9893.26,2,19,9,10401.787603759765,9893.255996704102,10
4,bl_entry 10579.58 > 9893.26,2,21,9,10579.580202636718,9893.255996704102,10
5,bl_entry 10498.91 > 9893.26,3,24,10,10498.907099609374,9893.255996704102,10
6,bl_entry 10553.44 > 9893.26,2,26,10,10553.44157470703,9893.255996704102,10
7,bl_entry 10622.54 > 9893.26,3,29,10,10622.542854003907,9893.255996704102,10
8,bl_entry 10423.69 > 9893.26,0,29,14,10423.688171386719,9893.255996704102,10
9,bl_entry 10312.83 > 9893.26,2,31,16,10312.826889648437,9893.255996704102,10
10,bl_entry 10225.95 > 9893.26,2,33,17,10225.946215820313,9893.255996704102,10
11,bl_entry 10077.59 > 9893.26,3,36,18,10077.585764160156,9893.255996704102,10
12,bl_entry 10282.51 > 9893.26,0,36,19,10282.507762451172,9893.255996704102,10
13,bl_entry 10291.65 > 9893.26,3,39,20,10291.653775634766,9893.255996704102,10
14,bl_entry 10247.98 > 9893.26,3,42,20,10247.982520751953,9893.255996704102,10
15,bl_entry 10341.83 > 9893.26,2,44,20,10341.827735595703,9893.255996704102,10
16,bl_entry 10312.28 > 9893.26,0,44,20,10312.279411621093,9893.255996704102,10
17,bl_entry 10228.41 > 9893.26,0,44,20,10228.413576660156,9893.255996704102,10
18,bl_entry 10320.32 > 9893.26,2,46,20,10320.323413085938,9893.255996704102,10
19,bl_entry 10135.09 > 9893.26,0,46,20,10135.090083007812,9893.255996704102,10
20,bl_entry 10107.89 > 9893.26,1,47,20,10107.893835449218,9893.255996704102,10
21,bl_entry 10547.44 > 9893.26,1,48,20,10547.439020996093,9893.255996704102,10
22,bl_entry 10747.45 > 9893.26,1,49,20,10747.449868164062,9893.255996704102,10
23,bl_entry 11194.35 > 9893.26,2,51,20,11194.346799316407,9893.255996704102,10
24,bl_entry 11559.33 > 9893.26,0,51,20,11559.332912597656,9893.255996704102,10
25,bl_entry 11584.70 > 9893.26,0,51,20,11584.696477050782,9893.255996704102,10
